Sample_ID	Site	Library	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
GIS05	WEE387	WEE387	NA	Chair_handle	Rubber	Empty	NA	GIS	NA
GIS04	WEE388	WEE388	NA	Desk	Wood	Empty	NA	GIS	NA
GIS03	WEE368	WEE368	NA	Sink_Trap	Metal	Low	NA	GIS	NA
GIS02	WEE349	WEE349	NA	Aerator	Plastic	Low	NA	GIS	NA
GIS01	WEE330	WEE330	NA	Door_handle-interior	Metal	Empty	NA	GIS	NA
HMST042	WEE057	WEE057	Room_5	Sink_Trap	Metal	Moderate_(2-5)	2	Isolation_rooms	NA
HMST042	WEE141	WEE141	Room_5	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMST039	WEE056	WEE056	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMST039	WEE370	WEE370	Room_4	Sink_Trap	Metal	Empty	2	Isolation_rooms	NA
HMST036	WEE055	WEE055	Room_3	Sink_Trap	Metal	Empty	2	Isolation_rooms	NA
HMST036	WEE152	WEE152	Room_3	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
HMST033	WEE054	WEE054	Room_2	Sink_Trap	Metal	Empty	1	Isolation_rooms	NA
HMST033	WEE274	WEE274	Room_2	Sink_Trap	Metal	Empty	2	Isolation_rooms	NA
HMST030	WEE052	WEE052	Room_1	Sink_Trap	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
HMST030	WEE053	WEE053	Room_1	Sink_Trap	Metal	Empty	2	Isolation_rooms	NA
HMST027	WEE336	WEE336	Cubicle_4	Sink_Trap	Metal	Moderate_(2-5)	2	Non-cohort_cubicles	NA
HMST027	WEE346	WEE346	Cubicle_4	Sink_Trap	Metal	Empty	1	Non-cohort_cubicles	NA
HMST024	WEE190	WEE190	Cubicle_3	Sink_Trap	Metal	Empty	2	Non-cohort_cubicles	NA
HMST024	WEE359	WEE359	Cubicle_3	Sink_Trap	Metal	Empty	1	Non-cohort_cubicles	NA
HMST021	WEE123	WEE123	Cubicle_2	Sink_Trap	Metal	Moderate_(2-5)	2	Non-cohort_cubicles	NA
HMST021	WEE158	WEE158	Cubicle_2	Sink_Trap	Metal	Empty	1	Non-cohort_cubicles	NA
HMST018	WEE134	WEE134	Cubicle_1	Sink_Trap	Metal	Empty	2	Non-cohort_cubicles	NA
HMST018	WEE352	WEE352	Cubicle_1	Sink_Trap	Metal	Empty	1	Non-cohort_cubicles	NA
HMST010	WEE258	WEE258	Cubicle_4	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
HMST007	WEE237	WEE237	Cubicle_3	Sink_Trap	Metal	Empty	1	MDRO_cubicles	NA
HMST007	WEE249	WEE249	Cubicle_3	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
HMST004	WEE076	WEE076	Cubicle_2	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
HMST004	WEE261	WEE261	Cubicle_2	Sink_Trap	Metal	Empty	1	MDRO_cubicles	NA
HMST001	WEE131	WEE131	Cubicle_1	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
HMST001	WEE282	WEE282	Cubicle_1	Sink_Trap	Metal	Empty	1	MDRO_cubicles	NA
HMP042	WEE050	WEE050	Room_5	Pulse_Oxymeter	Rubber	Moderate_(2-5)	1	Isolation_rooms	NA
HMP042	WEE051	WEE051	Room_5	Pulse_Oxymeter	Rubber	Moderate_(2-5)	2	Isolation_rooms	NA
HMP039	WEE049	WEE049	Room_4	Pulse_Oxymeter	Rubber	Moderate_(2-5)	1	Isolation_rooms	NA
HMP039	WEE247	WEE247	Room_4	Pulse_Oxymeter	Rubber	Empty	2	Isolation_rooms	NA
HMP036	WEE380	WEE380	Room_3	Pulse_Oxymeter	Rubber	Empty	2	Isolation_rooms	NA
HMP033	WEE272	WEE272	Room_2	Pulse_Oxymeter	Rubber	Empty	2	Isolation_rooms	NA
HMP030	WEE048	WEE048	Room_1	Pulse_Oxymeter	Rubber	Empty	2	Isolation_rooms	NA
HMP030	WEE363	WEE363	Room_1	Pulse_Oxymeter	Rubber	Low_(less_than_2)	1	Isolation_rooms	NA
HMP027	WEE277	WEE277	Cubicle_4	Pulse_Oxymeter	Rubber	Moderate_(2-5)	2	Non-cohort_cubicles	NA
HMP027	WEE347	WEE347	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
HMP024	WEE209	WEE209	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	2	Non-cohort_cubicles	NA
HMP024	WEE385	WEE385	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
HMP021	WEE133	WEE133	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	2	Non-cohort_cubicles	NA
HMP021	WEE367	WEE367	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
HMP018	WEE181	WEE181	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
HMP018	WEE344	WEE344	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	2	Non-cohort_cubicles	NA
HMP010	WEE191	WEE191	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
HMP010	WEE217	WEE217	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
HMP007	WEE299	WEE299	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
HMP007	WEE371	WEE371	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
HMP004	WEE075	WEE075	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
HMP004	WEE265	WEE265	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
HMP001	WEE124	WEE124	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
HMP001	WEE323	WEE323	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
HMD013	WEE047	WEE047	Room_5	Door_handle-interior	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMD013	WEE353	WEE353	Room_5	Door_handle-interior	Metal	Moderate_(2-5)	2	Isolation_rooms	NA
HMD010	WEE266	WEE266	Room_4	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
HMD010	WEE379	WEE379	Room_4	Door_handle-interior	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMD007	WEE046	WEE046	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
HMD007	WEE365	WEE365	Room_3	Door_handle-interior	Metal	Empty	1	Isolation_rooms	NA
