Library ID	Qubit 	DNA Amt
WEE287	0.118	5.9
WEE125	0.508	25.4
WEE315	0.146	7.3
WEE074	1.65	82.5
WEE342	0.556	27.8
WEE233	0.656	32.8
WEE290	0.58	29
WEE214	0.197	9.85
WEE362	0.398	19.9
WEE137	0.62	31
WEE351	0.195	9.75
WEE358	0.282	14.1
WEE355	2.21	110.5
WEE219	1.69	84.5
WEE356	0.416	20.8
WEE337	0.436	21.8
WEE025	0.0544	2.72
WEE026	0.0896	4.48
WEE142	0.31	15.5
WEE240	0.0396	1.98
WEE139	0.115	5.75
WEE027	0.0996	4.98
WEE028	0.275	13.75
WEE298	0.668	33.4
WEE029	0.036	1.8
WEE030	0.0236	1.18
WEE264	0.391	19.55
WEE196	0.404	20.2
WEE297	0.347	17.35
WEE155	0.121	6.05
WEE291	0.267	13.35
WEE140	0.126	6.3
WEE280	0.592	29.6
WEE172	0.108	5.4
WEE278	0.808	40.4
WEE070	0.0508	2.54
WEE276	0.203	10.15
WEE058	0.114	5.7
WEE307	0.0548	2.74
WEE061	0.0968	4.84
WEE283	0.13	6.5
WEE064	0.0224	1.12
WEE308	0.285	14.25
WEE067	0.166	8.3
WEE284	0.101	5.05
WEE071	0.076	3.8
WEE254	0.138	6.9
WEE230	0.048	2.4
WEE322	0.588	29.4
WEE201	0.105	5.25
WEE286	0.0392	1.96
WEE199	0.0328	1.64
WEE300	0.103	5.15
WEE228	0.0304	1.52
WEE223	0.0916	4.58
WEE234	0.0356	1.78
WEE311	0.215	10.75
WEE235	0.564	28.2
WEE340	0.251	12.55
WEE232	0.066	3.3
WEE242	0.0804	4.02
WEE248	0.0452	2.26
WEE212	0.314	15.7
WEE246	0.238	11.9
WEE188	1.57	78.5
WEE215	0.058	2.9
WEE177	0.0268	1.34
WEE194	0.379	18.95
WEE086	0.158	7.9
WEE167	0.0272	1.36
WEE165	0.167	8.35
WEE354	0.0272	1.36
WEE178	0.0644	3.22
WEE168	0.0416	2.08
WEE143	0.119	5.95
WEE117	0.115	5.75
WEE162	0.424	21.2
WEE077	0.0536	2.68
WEE159	0.125	6.25
WEE135	0.054	2.7
WEE183	0.0716	3.58
WEE128	0.0928	4.64
WEE103	0.0376	1.88
WEE104	0.0388	1.94
WEE118	0.131	6.55
WEE119	0.0492	2.46
WEE078	0.0416	2.08
WEE335	0.135	6.75
WEE087	0.0792	3.96
