Sample accession	Isolate	MDRSE	pipeline	genomeID
ERS1019849	BPH0663	1	ADD_GERMS_WGS_SAMEA3712700	G_134
ERS1019850	BPH0666	1	ADD_GERMS_WGS_SAMEA3712701	G_152
ERS1019851	BPH0667	0	ADD_GERMS_WGS_SAMEA3712702	G_64
ERS1019852	BPH0668	1	ADD_GERMS_WGS_SAMEA3712703	G_208
ERS1019853	BPH0669	1	ADD_GERMS_WGS_SAMEA3712704	G_68
ERS1019854	BPH0670	1	ADD_GERMS_WGS_SAMEA3712705	G_230
ERS1019855	BPH0671	0	ADD_GERMS_WGS_SAMEA3712706	G_25
ERS1019856	BPH0672	1	ADD_GERMS_WGS_SAMEA3712707	G_43
ERS1019857	BPH0673	0	ADD_GERMS_WGS_SAMEA3712708	G_222
ERS1019858	BPH0674	1	ADD_GERMS_WGS_SAMEA3712709	G_171
ERS1019859	BPH0675	1	ADD_GERMS_WGS_SAMEA3712710	G_161
ERS1019860	BPH0676	0	ADD_GERMS_WGS_SAMEA3712711	G_110
ERS1019862	BPH0677	0	ADD_GERMS_WGS_SAMEA3712713	G_166
ERS1019863	BPH0678	1	ADD_GERMS_WGS_SAMEA3712714	G_89
ERS1019864	BPH0679	1	ADD_GERMS_WGS_SAMEA3712715	G_37
ERS1019865	BPH0681	0	ADD_GERMS_WGS_SAMEA3712716	G_75
ERS1019866	BPH0684	0	ADD_GERMS_WGS_SAMEA3712717	G_67
ERS1019867	BPH0685	1	ADD_GERMS_WGS_SAMEA3712718	G_15
ERS1019868	BPH0686	1	ADD_GERMS_WGS_SAMEA3712719	G_99
ERS1019869	BPH0687	1	ADD_GERMS_WGS_SAMEA3712720	G_96
ERS1019870	BPH0689	0	ADD_GERMS_WGS_SAMEA3712721	G_104
ERS1019871	BPH0690	0	ADD_GERMS_WGS_SAMEA3712722	G_56
ERS1019872	BPH0691	1	ADD_GERMS_WGS_SAMEA3712723	G_93
ERS1019873	BPH0692	1	ADD_GERMS_WGS_SAMEA3712724	G_206
ERS1019874	BPH0693	0	ADD_GERMS_WGS_SAMEA3712725	G_49
ERS1019875	BPH0694	1	ADD_GERMS_WGS_SAMEA3712726	G_128
ERS1019876	BPH0695	1	ADD_GERMS_WGS_SAMEA3712727	G_109
ERS1019877	BPH0696	1	ADD_GERMS_WGS_SAMEA3712728	G_52
ERS1019878	BPH0697	0	ADD_GERMS_WGS_SAMEA3712729	G_102
ERS1019879	BPH0699	0	ADD_GERMS_WGS_SAMEA3712730	G_51
ERS1019880	BPH0700	0	ADD_GERMS_WGS_SAMEA3712731	G_72
ERS1019881	BPH0701	0	ADD_GERMS_WGS_SAMEA3712732	G_60
ERS1019882	BPH0702	1	ADD_GERMS_WGS_SAMEA3712733	G_61
ERS1019883	BPH0703	1	ADD_GERMS_WGS_SAMEA3712734	G_136
ERS1019884	BPH0704	0	ADD_GERMS_WGS_SAMEA3712735	G_94
ERS1019885	BPH0705	0	ADD_GERMS_WGS_SAMEA3712736	G_186
ERS1019886	BPH0706	1	ADD_GERMS_WGS_SAMEA3712737	G_86
ERS1019887	BPH0707	0	ADD_GERMS_WGS_SAMEA3712738	G_157
ERS1019888	BPH0708	0	ADD_GERMS_WGS_SAMEA3712739	G_53
ERS1019889	BPH0709	1	ADD_GERMS_WGS_SAMEA3712740	G_178
ERS1019890	BPH0710	0	ADD_GERMS_WGS_SAMEA3712741	G_155
ERS1019891	BPH0711	0	ADD_GERMS_WGS_SAMEA3712742	G_215
ERS1019892	BPH0712	1	ADD_GERMS_WGS_SAMEA3712743	G_40
ERS1019893	BPH0713	1	ADD_GERMS_WGS_SAMEA3712744	G_50
ERS1019894	BPH0714	1	ADD_GERMS_WGS_SAMEA3712745	G_223
ERS1019895	BPH0715	1	ADD_GERMS_WGS_SAMEA3712746	G_218
ERS1019896	BPH0716	0	ADD_GERMS_WGS_SAMEA3712747	G_105
ERS1019897	BPH0717	0	ADD_GERMS_WGS_SAMEA3712748	G_85
ERS1019898	BPH0718	1	ADD_GERMS_WGS_SAMEA3712749	G_199
ERS1019899	BPH0719	0	ADD_GERMS_WGS_SAMEA3712750	G_174
ERS1019900	BPH0720	1	ADD_GERMS_WGS_SAMEA3712751	G_211
ERS1019901	BPH0721	0	ADD_GERMS_WGS_SAMEA3712752	G_217
ERS1019902	BPH0722	0	ADD_GERMS_WGS_SAMEA3712753	G_117
ERS1019903	BPH0723	0	ADD_GERMS_WGS_SAMEA3712754	G_203
ERS1019904	BPH0724	0	ADD_GERMS_WGS_SAMEA3712755	G_91
ERS1019905	BPH0726	0	ADD_GERMS_WGS_SAMEA3712756	G_44
ERS1019906	BPH0727	1	ADD_GERMS_WGS_SAMEA3712757	G_189
ERS1019907	BPH0728	1	ADD_GERMS_WGS_SAMEA3712758	G_139
ERS1019908	BPH0729	0	ADD_GERMS_WGS_SAMEA3712759	G_101
ERS1019909	BPH0730	0	ADD_GERMS_WGS_SAMEA3712760	G_90
ERS1019910	BPH0731	1	ADD_GERMS_WGS_SAMEA3712761	G_184
ERS1019911	BPH0732	1	ADD_GERMS_WGS_SAMEA3712762	G_148
ERS1019912	BPH0733	1	ADD_GERMS_WGS_SAMEA3712763	G_23
ERS1019913	BPH0734	0	ADD_GERMS_WGS_SAMEA3712764	G_122
ERS1019914	BPH0735	1	ADD_GERMS_WGS_SAMEA3712765	G_131
ERS1019915	BPH0736	0	ADD_GERMS_WGS_SAMEA3712766	G_38
ERS1019917	BPH0737	0	ADD_GERMS_WGS_SAMEA3712768	G_33
ERS1019918	BPH0738	0	ADD_GERMS_WGS_SAMEA3712769	G_185
ERS1019919	BPH0739	0	ADD_GERMS_WGS_SAMEA3712770	G_124
