Nanopore_ID	Sample_ID	Illumina_Library_ID	Culturing_Sample_ID	Antibiotics
N154_BC09	HMA001	WEE287	HMA003	AMP
N154_BC10	HMA001	WEE287	HMA003	CHLOR
N154_BC11	HMA001	WEE287	HMA003	KAN
N154_BC12	HMA001	WEE287	HMA003	STREP
N161_BC02	HMA001	WEE287	HMA003	TET
N214_BC08	HMA001	WEE287	HMA003	BHI
N170_BC04	HMA001_02	WEE125	HMA003_02	AMP
N170_BC05	HMA001_02	WEE125	HMA003_02	KAN
N170_BC06	HMA001_02	WEE125	HMA003_02	STREP
N170_BC07	HMA001_02	WEE125	HMA003_02	TET
N185_BC05	HMA001_02	WEE125	HMA003_02	CHLOR
N218_BC05	HMA001_02	WEE125	HMA003_02	BHI
N139_BC07	HMA004	WEE315	HMA006	AMP
N139_BC08	HMA004	WEE315	HMA006	KAN
N139_BC09	HMA004	WEE315	HMA006	STREP
N150_BC11	HMA004	WEE315	HMA006	TET
N209_BC12	HMA004	WEE315	HMA006	BHI
N100_BC01	HMA004_02	WEE074	HMA006_02	STREP
N100_BC02	HMA004_02	WEE074	HMA006_02	KAN
N100_BC03	HMA004_02	WEE074	HMA006_02	CHLOR
N106_BC01	HMA004_02	WEE074	HMA006_02	TET
N130_BC01	HMA004_02	WEE074	HMA006_02	AMP
N237_BC03	HMA004_02	WEE074	HMA006_02	BHI
N146_BC04	HMA007	WEE342	HMA009	KAN
N151_BC10	HMA007	WEE342	HMA009	AMP
N151_BC11	HMA007	WEE342	HMA009	STREP
N151_BC12	HMA007	WEE342	HMA009	TET
N220_BC12	HMA007	WEE342	HMA009	BHI
N163_BC08	HMA007_02	WEE233	HMA009_02	AMP
N163_BC09	HMA007_02	WEE233	HMA009_02	KAN
N163_BC10	HMA007_02	WEE233	HMA009_02	TET
N216_BC08	HMA007_02	WEE233	HMA009_02	BHI
N144_BC08	HMA010	WEE290	HMA012	AMP
N144_BC09	HMA010	WEE290	HMA012	CHLOR
N144_BC10	HMA010	WEE290	HMA012	KAN
N144_BC11	HMA010	WEE290	HMA012	STREP
N144_BC12	HMA010	WEE290	HMA012	TET
N212_BC12	HMA010	WEE290	HMA012	BHI
N127_BC08	HMA010_02	WEE214	HMA012_02	STREP
N127_BC09	HMA010_02	WEE214	HMA012_02	AMP
N127_BC10	HMA010_02	WEE214	HMA012_02	KAN
N127_BC11	HMA010_02	WEE214	HMA012_02	TET
N204_BC02	HMA010_02	WEE214	HMA012_02	BHI
N138_BC03	HMA018	WEE362	HMA020	AMP
N138_BC04	HMA018	WEE362	HMA020	CHLOR
N138_BC05	HMA018	WEE362	HMA020	KAN
N138_BC06	HMA018	WEE362	HMA020	STREP
N138_BC07	HMA018	WEE362	HMA020	TET
N240_BC02	HMA018	WEE362	HMA020	BHI
N167_BC01	HMA018_02	WEE137	HMA020_02	AMP
N167_BC02	HMA018_02	WEE137	HMA020_02	KAN
N167_BC03	HMA018_02	WEE137	HMA020_02	STREP
N167_BC04	HMA018_02	WEE137	HMA020_02	TET
N195_BC12	HMA018_02	WEE137	HMA020_02	CHLOR
N217_BC08	HMA018_02	WEE137	HMA020_02	BHI
N155_BC09	HMA021	WEE351	HMA023	KAN
N161_BC04	HMA021	WEE351	HMA023	AMP
N161_BC05	HMA021	WEE351	HMA023	CHLOR
N161_BC06	HMA021	WEE351	HMA023	TET
N221_BC03	HMA021	WEE351	HMA023	BHI
N167_BC09	HMA021_02	WEE358	HMA023_02	KAN
N167_BC10	HMA021_02	WEE358	HMA023_02	STREP
N167_BC11	HMA021_02	WEE358	HMA023_02	TET
N185_BC02	HMA021_02	WEE358	HMA023_02	AMP
N185_BC03	HMA021_02	WEE358	HMA023_02	CHLOR
N217_BC10	HMA021_02	WEE358	HMA023_02	BHI
N142_BC07	HMA024	WEE355	HMA026	AMP
N142_BC08	HMA024	WEE355	HMA026	KAN
N142_BC09	HMA024	WEE355	HMA026	TET
N151_BC06	HMA024	WEE355	HMA026	STREP
N212_BC07	HMA024	WEE355	HMA026	BHI
N239_BC03	HMA024	WEE355	HMA026	CHLOR
N109_BC06	HMA024_02	WEE219	HMA026_02	AMP
N109_BC07	HMA024_02	WEE219	HMA026_02	STREP
N109_BC08	HMA024_02	WEE219	HMA026_02	CHLOR
N109_BC09	HMA024_02	WEE219	HMA026_02	KAN
N109_BC10	HMA024_02	WEE219	HMA026_02	TET
N194_BC10	HMA024_02	WEE219	HMA026_02	BHI
N145_BC08	HMA027	WEE356	HMA029	KAN
N151_BC08	HMA027	WEE356	HMA029	TET
N160_BC05	HMA027	WEE356	HMA029	STREP
N162_BC08	HMA027_02	WEE337	HMA029_02	AMP
N162_BC09	HMA027_02	WEE337	HMA029_02	KAN
N162_BC10	HMA027_02	WEE337	HMA029_02	STREP
N162_BC11	HMA027_02	WEE337	HMA029_02	TET
N207_BC07	HMA027_02	WEE337	HMA029_02	CHLOR
N237_BC02	HMA027_02	WEE337	HMA029_02	BHI
N156_BC01	HMA030	WEE025	HMA032	STREP
N156_BC02	HMA030	WEE025	HMA032	KAN
N215_BC02	HMA030	WEE025	HMA032	BHI
N182_BC07	HMA030_02	WEE026	HMA032_02	KAN
N182_BC08	HMA030_02	WEE026	HMA032_02	STREP
N197_BC11	HMA030_02	WEE026	HMA032_02	AMP
N223_BC05	HMA030_02	WEE026	HMA032_02	BHI
N149_BC11	HMA033	WEE142	HMA035	AMP
N149_BC12	HMA033	WEE142	HMA035	STREP
N214_BC06	HMA033	WEE142	HMA035	BHI
N165_BC10	HMA033_02	WEE240	HMA035_02	AMP
N165_BC11	HMA033_02	WEE240	HMA035_02	KAN
N165_BC12	HMA033_02	WEE240	HMA035_02	STREP
N217_BC03	HMA033_02	WEE240	HMA035_02	BHI
N104_BC06	HMA039	WEE028	HMA041	AMP
N104_BC07	HMA039	WEE028	HMA041	KAN
N104_BC08	HMA039	WEE028	HMA041	TET
N200_BC05	HMA039	WEE028	HMA041	BHI
N236_BC06	HMA039_02	WEE298	HMA041_02	AMP
N236_BC07	HMA039_02	WEE298	HMA041_02	KAN
N162_BC07	HMA042	WEE029	HMA044	STREP
N216_BC07	HMA042	WEE029	HMA044	BHI
N139_BC10	HMBL001	WEE264	HMBL003	AMP
N139_BC11	HMBL001	WEE264	HMBL003	KAN
N150_BC12	HMBL001	WEE264	HMBL003	TET
N211_BC11	HMBL001	WEE264	HMBL003	BHI
N199_BC01	HMBL001_02	WEE196	HMBL003_02	AMP
N199_BC02	HMBL001_02	WEE196	HMBL003_02	CHLOR
N199_BC03	HMBL001_02	WEE196	HMBL003_02	KAN
N199_BC04	HMBL001_02	WEE196	HMBL003_02	TET
N124_BC06	HMBL004	WEE297	HMBL006	AMP
N124_BC07	HMBL004	WEE297	HMBL006	TET
N124_BC08	HMBL004	WEE297	HMBL006	STREP
N131_BC07	HMBL004	WEE297	HMBL006	KAN
N203_BC04	HMBL004	WEE297	HMBL006	BHI
N230_BC09	HMBL004	WEE297	HMBL006	CHLOR
N176_BC09	HMBL004_02	WEE155	HMBL006_02	CHLOR
N176_BC10	HMBL004_02	WEE155	HMBL006_02	KAN
N176_BC11	HMBL004_02	WEE155	HMBL006_02	STREP
N176_BC12	HMBL004_02	WEE155	HMBL006_02	TET
N186_BC07	HMBL004_02	WEE155	HMBL006_02	AMP
N221_BC08	HMBL004_02	WEE155	HMBL006_02	BHI
N123_BC09	HMBL007	WEE291	HMBL009	KAN
N123_BC10	HMBL007	WEE291	HMBL009	AMP
N144_BC01	HMBL007_02	WEE140	HMBL009_02	AMP
N144_BC02	HMBL007_02	WEE140	HMBL009_02	KAN
N212_BC11	HMBL007_02	WEE140	HMBL009_02	BHI
N226_BC01	HMBL007_02	WEE140	HMBL009_02	TET
N235_BC11	HMBL007_02	WEE140	HMBL009_02	STREP
N128_BC06	HMBL010	WEE280	HMBL012	CHLOR
N128_BC07	HMBL010	WEE280	HMBL012	KAN
N195_BC06	HMBL010	WEE280	HMBL012	STREP
N238_BC07	HMBL010_02	WEE172	HMBL012_02	BHI
N238_BC08	HMBL010_02	WEE172	HMBL012_02	AMP
N238_BC09	HMBL010_02	WEE172	HMBL012_02	KAN
N238_BC10	HMBL010_02	WEE172	HMBL012_02	TET
N118_BC08	HMBL013	WEE278	HMBL015	AMP
N118_BC09	HMBL013	WEE278	HMBL015	STREP
N130_BC06	HMBL013	WEE278	HMBL015	TET
N201_BC11	HMBL013	WEE278	HMBL015	BHI
N220_BC02	HMBL013	WEE278	HMBL015	CHLOR
N235_BC04	HMBL013	WEE278	HMBL015	KAN
N238_BC11	HMBL013_02	WEE070	HMBL015_02	BHI
N238_BC12	HMBL013_02	WEE070	HMBL015_02	AMP
N240_BC05	HMBL013_02	WEE070	HMBL015_02	KAN
N240_BC06	HMBL013_02	WEE070	HMBL015_02	TET
N114_BC05	HMBL016	WEE276	HMBL018	CHLOR
N114_BC06	HMBL016	WEE276	HMBL018	KAN
N114_BC07	HMBL016	WEE276	HMBL018	TET
N201_BC01	HMBL016	WEE276	HMBL018	BHI
N143_BC08	HMBL016_02	WEE058	HMBL018_02	AMP
N143_BC09	HMBL016_02	WEE058	HMBL018_02	CHLOR
N143_BC10	HMBL016_02	WEE058	HMBL018_02	KAN
N143_BC11	HMBL016_02	WEE058	HMBL018_02	STREP
N143_BC12	HMBL016_02	WEE058	HMBL018_02	TET
