"Antibiotics"	"Env"	"variable"	"freq"
"AMP"	"Dry"	"Elizabethkingia"	0.00403225806451613
"AMP"	"Dry"	"Streptococcus"	0.00806451612903226
"AMP"	"Dry"	"Enterococcus"	0.254032258064516
"AMP"	"Dry"	"Staphylococcus"	0.798387096774194
"AMP"	"Dry"	"Lysinibacillus"	0.0120967741935484
"AMP"	"Dry"	"Pseudomonas"	0.120967741935484
"AMP"	"Dry"	"Aerococcus"	0.00403225806451613
"AMP"	"Dry"	"Neisseria"	0.00403225806451613
"AMP"	"Dry"	"Virgibacillus"	0.00403225806451613
"AMP"	"Dry"	"Erwinia"	0.00403225806451613
"AMP"	"Dry"	"Bacillus"	0.737903225806452
"AMP"	"Dry"	"Methylovulum"	0.0161290322580645
"AMP"	"Dry"	"Corynebacterium"	0.0120967741935484
"AMP"	"Dry"	"Haemophilus"	0.00403225806451613
"AMP"	"Dry"	"Tolumonas"	0.00403225806451613
"AMP"	"Dry"	"Serratia"	0.0161290322580645
"AMP"	"Dry"	"Kurthia"	0.032258064516129
"AMP"	"Dry"	"Klebsiella"	0.0645161290322581
"AMP"	"Dry"	"Aeromonas"	0.00403225806451613
"AMP"	"Dry"	"Enterobacter"	0.0201612903225806
"AMP"	"Dry"	"Escherichia"	0.032258064516129
"AMP"	"Dry"	"Acinetobacter"	0.189516129032258
"AMP"	"Dry"	"Bordetella"	0.00403225806451613
"AMP"	"Dry"	"Burkholderia"	0.00403225806451613
"AMP"	"Dry"	"Lactococcus"	0.00403225806451613
"AMP"	"Dry"	"Paenibacillus"	0.0241935483870968
"AMP"	"Dry"	"Achromobacter"	0.00403225806451613
"AMP"	"Dry"	"Stenotrophomonas"	0.0282258064516129
"AMP"	"Dry"	"Pantoea"	0.0120967741935484
"BHI"	"Dry"	"Solibacillus"	0.00403225806451613
"BHI"	"Dry"	"Dermabacter"	0.00403225806451613
"BHI"	"Dry"	"Elizabethkingia"	0.00806451612903226
"BHI"	"Dry"	"Lactococcus"	0.00403225806451613
"BHI"	"Dry"	"Achromobacter"	0.0201612903225806
"BHI"	"Dry"	"Erwinia"	0.00806451612903226
"BHI"	"Dry"	"Clostridium"	0.00403225806451613
"BHI"	"Dry"	"Lysinibacillus"	0.00806451612903226
"BHI"	"Dry"	"Exiguobacterium"	0.00403225806451613
"BHI"	"Dry"	"Brevibacterium"	0.00403225806451613
"BHI"	"Dry"	"Acidovorax"	0.00403225806451613
"BHI"	"Dry"	"Escherichia"	0.0443548387096774
"BHI"	"Dry"	"Klebsiella"	0.0887096774193548
"BHI"	"Dry"	"Serratia"	0.0282258064516129
"BHI"	"Dry"	"Pseudomonas"	0.108870967741935
"BHI"	"Dry"	"Bacillus"	0.786290322580645
"BHI"	"Dry"	"Methylovulum"	0.0120967741935484
"BHI"	"Dry"	"Corynebacterium"	0.0161290322580645
"BHI"	"Dry"	"Burkholderia"	0.00806451612903226
"BHI"	"Dry"	"Tolumonas"	0.00403225806451613
"BHI"	"Dry"	"Enterococcus"	0.217741935483871
