"Antibiotics"	"Env"	"variable"	"freq"
"AMP"	"Wet"	"Sphingobium"	0.0238095238095238
"AMP"	"Wet"	"Pseudogulbenkiania"	0.0476190476190476
"AMP"	"Wet"	"Novosphingobium"	0.0238095238095238
"AMP"	"Wet"	"Bordetella"	0.30952380952381
"AMP"	"Wet"	"Acidovorax"	0.0238095238095238
"AMP"	"Wet"	"Acinetobacter"	0.0238095238095238
"AMP"	"Wet"	"Klebsiella"	0.380952380952381
"AMP"	"Wet"	"Burkholderia"	0.166666666666667
"AMP"	"Wet"	"Enterobacter"	0.0714285714285714
"AMP"	"Wet"	"Vogesella"	0.0476190476190476
"AMP"	"Wet"	"Achromobacter"	0.404761904761905
"AMP"	"Wet"	"Sphingomonas"	0.0238095238095238
"AMP"	"Wet"	"Elizabethkingia"	0.333333333333333
"AMP"	"Wet"	"Streptococcus"	0.0238095238095238
"AMP"	"Wet"	"Chromobacterium"	0.0476190476190476
"AMP"	"Wet"	"Staphylococcus"	0.214285714285714
"AMP"	"Wet"	"Delftia"	0.119047619047619
"AMP"	"Wet"	"Serratia"	0.5
"AMP"	"Wet"	"Escherichia"	0.261904761904762
"AMP"	"Wet"	"Xanthomonas"	0.0476190476190476
"AMP"	"Wet"	"Aeromonas"	0.0952380952380952
"AMP"	"Wet"	"Pseudomonas"	0.238095238095238
"AMP"	"Wet"	"Bacillus"	0.0476190476190476
"AMP"	"Wet"	"Chlamydia"	0.0238095238095238
"AMP"	"Wet"	"Pandoraea"	0.0238095238095238
"BHI"	"Wet"	"Ralstonia"	0.0454545454545455
"BHI"	"Wet"	"Chromobacterium"	0.0681818181818182
"BHI"	"Wet"	"Burkholderia"	0.181818181818182
"BHI"	"Wet"	"Acinetobacter"	0.0454545454545455
"BHI"	"Wet"	"Novosphingobium"	0.0454545454545455
"BHI"	"Wet"	"Sphingomonas"	0.0681818181818182
"BHI"	"Wet"	"Xanthomonas"	0.0454545454545455
"BHI"	"Wet"	"Bordetella"	0.295454545454545
"BHI"	"Wet"	"Klebsiella"	0.340909090909091
"BHI"	"Wet"	"Sphingobium"	0.0681818181818182
"BHI"	"Wet"	"Achromobacter"	0.431818181818182
"BHI"	"Wet"	"Aeromonas"	0.0909090909090909
"BHI"	"Wet"	"Elizabethkingia"	0.318181818181818
"BHI"	"Wet"	"Cupriavidus"	0.0454545454545455
"BHI"	"Wet"	"Staphylococcus"	0.0681818181818182
"BHI"	"Wet"	"Delftia"	0.0909090909090909
"BHI"	"Wet"	"Acidovorax"	0.0227272727272727
"BHI"	"Wet"	"Escherichia"	0.113636363636364
"BHI"	"Wet"	"Serratia"	0.477272727272727
"BHI"	"Wet"	"Enterobacter"	0.113636363636364
"BHI"	"Wet"	"Pseudomonas"	0.25
"BHI"	"Wet"	"Bacillus"	0.227272727272727
"BHI"	"Wet"	"Citrobacter"	0.0227272727272727
"CHLOR"	"Wet"	"Enterobacter"	0.037037037037037
"CHLOR"	"Wet"	"Enterococcus"	0.037037037037037
"CHLOR"	"Wet"	"Comamonas"	0.0740740740740741
"CHLOR"	"Wet"	"Pseudomonas"	0.518518518518518
"CHLOR"	"Wet"	"Acinetobacter"	0.037037037037037
