library_id	metasub_name	city	surface_material	site	setting
SL357394	CSD17-SIN-001	singapore	metal	overhead_handrail	urban
SL357395	CSD17-SIN-002	singapore	metal	overhead_handrail	urban
SL357396	CSD17-SIN-003	singapore	metal	pedestrian_crossing_button	urban
SL357397	CSD17-SIN-004	singapore	metal	pedestrian_crossing_button	urban
SL357402	CSD17-SIN-009	singapore	metal	handrail	urban
SL357403	CSD17-SIN-010	singapore	metal	handrail	urban
SL343391	CSD17-SIN-025	singapore	metal	overhead_handrail	urban
SL343392	CSD17-SIN-026	singapore	metal	overhead_handrail	urban
SL343393	CSD17-SIN-028	singapore	metal	pedestrian_crossing_button	urban
SL343376	CSD17-SIN-033	singapore	metal	handrail	urban
SL343377	CSD17-SIN-034	singapore	metal	handrail	urban
SL343375	CSD17-SIN-037	singapore	metal	overhead_handrail	urban
SL343355	CSD17-SIN-038	singapore	metal	overhead_handrail	urban
SL343344	CSD17-SIN-040	singapore	metal	pedestrian_crossing_button	urban
SL343507	CSD17-SIN-045	singapore	metal	handrail	urban
SL343333	CSD17-SIN-046	singapore	metal	handrail	urban
SL343360	CSD17-SIN-049	singapore	metal	overhead_handrail	urban
SL343348	CSD17-SIN-051	singapore	metal	pedestrian_crossing_button	urban
SL343368	CSD17-SIN-058	singapore	metal	handrail	urban
SL336366	CSD17-SIN-097	singapore	painted_metal	overhead_handrail	urban
SL357383	CSD17-SIN-098	singapore	metal	overhead_handrail	urban
SL357436	CSD17-SIN-121	singapore	metal	overhead_handrail	urban
SL357437	CSD17-SIN-122	singapore	metal	overhead_handrail	urban
SL357438	CSD17-SIN-123	singapore	metal	pedestrian_crossing_button	urban
SL357441	CSD17-SIN-124	singapore	metal	pedestrian_crossing_button	urban
SL357393	CSD17-SIN-129	singapore	painted_metal	handrail	urban
SL357439	CSD17-SIN-130	singapore	painted_metal	handrail	urban
SL357362	CSD17-SIN-385	singapore	painted_metal	handrail	suburban
SL357363	CSD17-SIN-386	singapore	painted_metal	handrail	suburban
SL357364	CSD17-SIN-387	singapore	metal	pedestrian_crossing_button	suburban
SL357365	CSD17-SIN-388	singapore	metal	pedestrian_crossing_button	suburban
SL357370	CSD17-SIN-393	singapore	painted_metal	handrail	suburban
SL357371	CSD17-SIN-394	singapore	painted_metal	handrail	suburban
SL357350	CSD17-SIN-445	singapore	painted_metal	handrail	suburban
SL357351	CSD17-SIN-446	singapore	painted_metal	handrail	suburban
SL357352	CSD17-SIN-447	singapore	metal	pedestrian_crossing_button	suburban
SL357353	CSD17-SIN-448	singapore	metal	pedestrian_crossing_button	suburban
SL357358	CSD17-SIN-453	singapore	metal	handrail	suburban
SL357359	CSD17-SIN-454	singapore	metal	handrail	suburban
SL357430	CSD17-SIN-461	singapore	metal	seat	urban
SL357431	CSD17-SIN-462	singapore	metal	seat	urban
SL336368	CSD17-SIN-493	singapore	metal_plastic	seat	urban
SL357388	CSD17-SIN-494	singapore	metal_plastic	seat	urban
SL357378	CSD17-SIN-501	singapore	plastic	seat	suburban
SL357379	CSD17-SIN-502	singapore	plastic	seat	suburban
SL343384	CSD17-SIN-541	singapore	metal	seat	urban
SL343385	CSD17-SIN-542	singapore	metal	seat	urban
SL343353	CSD17-SIN-549	singapore	metal	seat	urban
SL343346	CSD17-SIN-550	singapore	metal	seat	urban
