s_3521	s_3485	s_3471	s_3545	s_3527	s_3462	s_3472	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3528	s_3511	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3487	s_3514	s_3509	s_3520	s_3543	s_3484	s_3512	s_3458	s_3507	s_3530	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3508	s_3542	s_3489	s_3557	s_3473	s_3457	s_3533	s_3517	s_3478	s_3456	s_3535	s_3493	s_3515	s_3470	s_3502	s_3453
s_3521 0 0.05138066 0.00161632 0.09273086 0.00170690 0.00665047 0.00173154 0.09585873 0.00250956 0.02149349 0.05647649 0.07016466 0.00663755 0.05163304 0.00277566 0.00244421 0.00282238 0.08600726 0.00139226 0.00546009 0.05379508 0.08497066 0.00199547 0.05470437 0.01410229 0.05142882 0.00265338 0.00002815 0.00358891 0.00205271 0.00230377 0.00152806 0.05375699 0.06466248 0.00171554 0.05753776 0.08513421 0.09050557 0.09121653 0.00220791 0.00448283 0.09038424 0.00419862 0.00179144 0.00175567 0.00181381 0.00323638 0.00536683 0.00349369 0.00216861 0.00153091 0.01006094 0.00161883 0.01357685 0.00206153 0.00559085 0.00174594 0.05167805 0.00204072 0.00003760 0.00582639
s_3485 0.05138066 0 0.00110832 0.04002082 0.00077021 0.00063524 0.00111522 0.00230410 0.00062610 0.00067776 0.00032844 0.00071906 0.00071005 0.00080199 0.00071304 0.00067456 0.00097981 0.00092283 0.00062856 0.00070269 0.00004087 0.00094431 0.00058783 0.00003919 0.00045320 0.00076299 0.00067270 0.05271551 0.00100167 0.00077353 0.00072555 0.00092585 0.00004190 0.00052359 0.00062077 0.00092292 0.00092058 0.03531969 0.03626838 0.00099617 0.00028999 0.03597865 0.00046811 0.00094102 0.00097743 0.00096853 0.00100954 0.00030514 0.00099722 0.00094894 0.00092461 0.00041713 0.00070351 0.00030189 0.00103304 0.00065336 0.00064633 0.00007222 0.00088714 0.05168672 0.00026675
s_3471 0.00161632 0.00110832 0 0.04961689 0.00084603 0.00135838 0.00060858 0.00171997 0.00075774 0.00106620 0.00114649 0.00105768 0.00110230 0.00126953 0.00086089 0.00083384 0.00040860 0.00130473 0.00075579 0.00111048 0.00111089 0.00130258 0.00077401 0.00109519 0.00117777 0.00111686 0.00079906 0.00142412 0.00035713 0.00113943 0.00095689 0.00032792 0.00111785 0.00087160 0.00081114 0.00132724 0.00129150 0.04444089 0.03871711 0.00035566 0.00099337 0.03825343 0.00118275 0.00033726 0.00034788 0.00035839 0.00034133 0.00114013 0.00034621 0.00036650 0.00034597 0.00103633 0.00081064 0.00115920 0.00041725 0.00075777 0.00078008 0.00110866 0.00034161 0.00144963 0.00111468
s_3545 0.09273086 0.04002082 0.04961689 0 0.03953163 0.03343332 0.02770620 0.04177226 0.04272329 0.03316585 0.03292022 0.02386794 0.03617699 0.03599576 0.04407008 0.04380385 0.03591695 0.02996825 0.04594681 0.02962791 0.04252360 0.03061912 0.03724018 0.04117511 0.03050678 0.02970900 0.04356190 0.09140873 0.03168825 0.03733869 0.02427510 0.03800815 0.03854145 0.03576023 0.04049873 0.03382037 0.03078984 0.00007427 0.00007424 0.04028634 0.03326153 0.00007621 0.02518444 0.03990411 0.03600910 0.03536143 0.03635860 0.03055389 0.04069786 0.03977199 0.03726410 0.03079688 0.03962710 0.03059973 0.04281262 0.06699758 0.03147676 0.03262485 0.02657887 0.09440913 0.03037680
s_3527 0.00170690 0.00077021 0.00084603 0.03953163 0 0.00101990 0.00095098 0.00202362 0.00024353 0.00077663 0.00076945 0.00079598 0.00070456 0.00067970 0.00036067 0.00028767 0.00079197 0.00100632 0.00024521 0.00079150 0.00073179 0.00101805 0.00024267 0.00072930 0.00094440 0.00077663 0.00028029 0.00193339 0.00079740 0.00056440 0.00045586 0.00071920 0.00072813 0.00033015 0.00032181 0.00099917 0.00101785 0.03970385 0.03801160 0.00077013 0.00073395 0.03847862 0.00077922 0.00074075 0.00075352 0.00078466 0.00079227 0.00075018 0.00079707 0.00076170 0.00073541 0.00076357 0.00031840 0.00073921 0.00079043 0.00034256 0.00030720 0.00069669 0.00072704 0.00210136 0.00071103
s_3462 0.00665047 0.00063524 0.00135838 0.03343332 0.00101990 0 0.00130025 0.00233248 0.00100021 0.00099459 0.00045742 0.00099027 0.00108934 0.00087197 0.00108396 0.00097521 0.00123077 0.00114841 0.00093851 0.00104102 0.00065553 0.00113713 0.00098676 0.00064096 0.00051727 0.00097622 0.00099999 0.00818331 0.00121146 0.00095148 0.00104287 0.00111213 0.00063813 0.00081456 0.00100090 0.00116855 0.00111679 0.03052789 0.02944110 0.00123225 0.00043823 0.02931345 0.00061589 0.00115159 0.00123268 0.00127064 0.00125238 0.00041054 0.00124227 0.00125176 0.00113987 0.00053462 0.00101790 0.00043768 0.00127149 0.00092882 0.00096038 0.00063387 0.00127280 0.00913038 0.00038441
s_3472 0.00173154 0.00111522 0.00060858 0.02770620 0.00095098 0.00130025 0 0.00168594 0.00082881 0.00120724 0.00111929 0.00116768 0.00124018 0.00122169 0.00083651 0.00085964 0.00043368 0.00124674 0.00081887 0.00123863 0.00110569 0.00123566 0.00083816 0.00106931 0.00106715 0.00121636 0.00083439 0.00170201 0.00039813 0.00119862 0.00105745 0.00039723 0.00109940 0.00079745 0.00084968 0.00125611 0.00122952 0.02586792 0.02334562 0.00040755 0.00103961 0.02311448 0.00118907 0.00040034 0.00040288 0.00039983 0.00040109 0.00112986 0.00039904 0.00042664 0.00042204 0.00097149 0.00086097 0.00111982 0.00046190 0.00076490 0.00084449 0.00107426 0.00041389 0.00191043 0.00112656
s_3559 0.09585873 0.00230410 0.00171997 0.04177226 0.00202362 0.00233248 0.00168594 0 0.00229307 0.00213846 0.00239307 0.00221896 0.00221437 0.00227865 0.00220873 0.00223705 0.00187505 0.00240011 0.00229388 0.00220066 0.00237880 0.00239935 0.00211197 0.00234025 0.00232014 0.00222907 0.00223912 0.09714898 0.00189913 0.00221834 0.00194919 0.00180232 0.00227981 0.00201590 0.00205240 0.00239849 0.00244223 0.03010173 0.03588734 0.00195959 0.00221825 0.03508935 0.00215971 0.00181849 0.00190713 0.00189968 0.00195743 0.00246969 0.00198741 0.00186524 0.00178581 0.00229667 0.00216808 0.00236927 0.00165984 0.00204866 0.00212285 0.00226773 0.00175410 0.09686842 0.00229401
s_3518 0.00250956 0.00062610 0.00075774 0.04272329 0.00024353 0.00100021 0.00082881 0.00229307 0 0.00066098 0.00067443 0.00070503 0.00063930 0.00069858 0.00019936 0.00011734 0.00062293 0.00090302 0.00004112 0.00065032 0.00065368 0.00091538 0.00004366 0.00064465 0.00086459 0.00071733 0.00009684 0.00214330 0.00059771 0.00050789 0.00037735 0.00055058 0.00063498 0.00024159 0.00013239 0.00090339 0.00089585 0.03655810 0.03983978 0.00059762 0.00055266 0.03912333 0.00070734 0.00056441 0.00058809 0.00058703 0.00059549 0.00065644 0.00058448 0.00057496 0.00057181 0.00070983 0.00016376 0.00065345 0.00064075 0.00020364 0.00008497 0.00063982 0.00053440 0.00536579 0.00065030
s_3468 0.02149349 0.00067776 0.00106620 0.03316585 0.00077663 0.00099459 0.00120724 0.00213846 0.00066098 0 0.00079966 0.00008786 0.00010174 0.00065698 0.00072810 0.00070105 0.00104200 0.00038239 0.00065750 0.00009394 0.00068037 0.00039925 0.00067069 0.00067677 0.00079856 0.00012263 0.00067937 0.01997409 0.00103071 0.00057999 0.00040112 0.00101796 0.00068707 0.00055456 0.00069313 0.00039943 0.00037357 0.03028038 0.03078266 0.00104539 0.00071620 0.03140341 0.00092025 0.00103606 0.00103875 0.00103820 0.00103796 0.00076954 0.00102607 0.00106218 0.00102086 0.00077867 0.00072553 0.00079228 0.00108274 0.00071684 0.00070085 0.00067955 0.00105433 0.03233511 0.00074432
s_3524 0.05647649 0.00032844 0.00114649 0.03292022 0.00076945 0.00045742 0.00111929 0.00239307 0.00067443 0.00079966 0 0.00080541 0.00078915 0.00083054 0.00083051 0.00067176 0.00102172 0.00098298 0.00062949 0.00078338 0.00031663 0.00100653 0.00062298 0.00031922 0.00026168 0.00081862 0.00070630 0.05506463 0.00098511 0.00070595 0.00071142 0.00093951 0.00031064 0.00057139 0.00066535 0.00098295 0.00097313 0.02895693 0.03196029 0.00100289 0.00014869 0.03201612 0.00033914 0.00096504 0.00099034 0.00098661 0.00101789 0.00007501 0.00097774 0.00098063 0.00095808 0.00024240 0.00071220 0.00009297 0.00110266 0.00073197 0.00063413 0.00033690 0.00090820 0.05449370 0.00008474
s_3538 0.07016466 0.00071906 0.00105768 0.02386794 0.00079598 0.00099027 0.00116768 0.00221896 0.00070503 0.00008786 0.00080541 0 0.00004070 0.00069792 0.00077876 0.00072852 0.00107600 0.00037393 0.00068672 0.00004484 0.00073372 0.00038866 0.00064172 0.00071911 0.00080989 0.00008806 0.00071739 0.07006538 0.00102422 0.00055393 0.00036957 0.00099026 0.00070275 0.00057471 0.00067098 0.00039019 0.00036501 0.02359558 0.02328958 0.00106817 0.00072863 0.02314127 0.00087333 0.00100638 0.00105800 0.00104839 0.00104181 0.00080484 0.00103950 0.00102703 0.00099754 0.00081121 0.00073461 0.00077921 0.00106373 0.00077649 0.00067957 0.00069027 0.00095660 0.07281801 0.00075805
s_3469 0.00663755 0.00071005 0.00110230 0.03617699 0.00070456 0.00108934 0.00124018 0.00221437 0.00063930 0.00010174 0.00078915 0.00004070 0 0.00062342 0.00073601 0.00068900 0.00105087 0.00036546 0.00062987 0.00010402 0.00066681 0.00038281 0.00066244 0.00066971 0.00080478 0.00009751 0.00067260 0.00508086 0.00103722 0.00055446 0.00036955 0.00101730 0.00067862 0.00050259 0.00068596 0.00037812 0.00034825 0.03226474 0.03052731 0.00104617 0.00078513 0.03020051 0.00090170 0.00105327 0.00104187 0.00108953 0.00105080 0.00076212 0.00102461 0.00106748 0.00103274 0.00080335 0.00071342 0.00077756 0.00111438 0.00068053 0.00070696 0.00066638 0.00104499 0.00491807 0.00074351
