s_3246	s_3292	s_3257	s_3252	s_3279	s_3266	s_3258	s_3226	s_3210	s_3213	s_3238	s_3263	s_3249	s_3233	s_3209	s_3305	s_3287	s_3296	s_3270	s_3254	s_3242	s_3267	s_3253	s_3216	s_3250	s_3288	s_3262	s_3219	s_3291	s_3276	s_3227	s_3274	s_3236	s_3230	s_3235	s_3286	s_3284	s_3229	s_3240	s_3244	s_3260	s_3297	s_3272	s_3281	s_3261	s_3228	s_3273	s_3215	s_3285	s_3264	s_3237	s_3248	s_3214	s_3225	s_3255	s_3303	s_3289
s_3246 0 0.04844058 0.00383401 0.00302387 0.00259932 0.05575143 0.00327154 0.00280483 0.00136791 0.00498284 0.00297379 0.00316789 0.00292191 0.00274112 0.00156566 0.00567097 0.00308349 0.04820905 0.00163711 0.00372434 0.00240541 0.05470437 0.00007532 0.00372288 0.00280612 0.00374148 0.00007740 0.00431553 0.04896817 0.00227076 0.00346576 0.00368787 0.00279955 0.00368041 0.00155157 0.00305808 0.00278246 0.00584859 0.00358113 0.00151985 0.00280997 0.04824842 0.00383433 0.00315170 0.00015706 0.00572481 0.00404291 0.00356227 0.00301006 0.00283380 0.00204462 0.00277939 0.00366849 0.00283770 0.00295656 0.00372128 0.00368534
s_3292 0.04844058 0 0.04859554 0.04707622 0.04663947 0.09379954 0.04432831 0.04699870 0.04677207 0.04860582 0.04846760 0.04833183 0.04882259 0.04795982 0.04667337 0.04797044 0.04635494 0.00024829 0.04735953 0.04705868 0.04626311 0.09121653 0.04798857 0.04807898 0.04905437 0.04737141 0.04856475 0.04753412 0.00045653 0.04758912 0.04538373 0.04790569 0.04635946 0.04799581 0.04678640 0.04658889 0.04456926 0.04606928 0.04795828 0.04631204 0.04635920 0.00019851 0.04759480 0.05019878 0.04702583 0.04893170 0.04874693 0.04769613 0.04623469 0.04871108 0.04543961 0.04697360 0.04771138 0.04717124 0.04888938 0.04744857 0.04624513
s_3257 0.00383401 0.04859554 0 0.00407966 0.00550888 0.03518265 0.00210042 0.00402149 0.00461141 0.00316979 0.00106192 0.00108262 0.00085620 0.00073920 0.00395202 0.00658986 0.00423839 0.04895790 0.00494671 0.00248569 0.00639923 0.03506852 0.00377005 0.00249981 0.00067133 0.00252015 0.00383122 0.00741607 0.04942012 0.00152044 0.00249098 0.00411777 0.00433388 0.00257813 0.00478396 0.00425176 0.00424350 0.00402363 0.00331873 0.00471114 0.00421455 0.04852363 0.00283236 0.00137012 0.00385111 0.00416627 0.00186839 0.00258614 0.00415798 0.00065992 0.00442606 0.00087909 0.00272135 0.00416567 0.00080833 0.00257792 0.00268168
s_3252 0.00302387 0.04707622 0.00407966 0 0.00448061 0.05632540 0.00221804 0.00113201 0.00378519 0.00478590 0.00346969 0.00362355 0.00342363 0.00326942 0.00392096 0.00670227 0.00029522 0.04689530 0.00401059 0.00393349 0.00480967 0.05753776 0.00306833 0.00404419 0.00328569 0.00395403 0.00307254 0.00648448 0.04775592 0.00276991 0.00384952 0.00452786 0.00119072 0.00394025 0.00398532 0.00025645 0.00125242 0.00599232 0.00337069 0.00388314 0.00120856 0.04701887 0.00412245 0.00369152 0.00314378 0.00602338 0.00456922 0.00394211 0.00027896 0.00333073 0.00424940 0.00316425 0.00403985 0.00125099 0.00341373 0.00388593 0.00399626
s_3279 0.00259932 0.04663947 0.00550888 0.00448061 0 0.04658885 0.00442043 0.00421951 0.00118461 0.00571946 0.00393007 0.00421222 0.00364257 0.00388724 0.00141214 0.00803335 0.00461649 0.04731268 0.00116413 0.00444881 0.00201946 0.04553529 0.00250875 0.00419289 0.00386061 0.00463872 0.00259959 0.00306869 0.04742524 0.00360995 0.00408958 0.00471349 0.00420916 0.00456644 0.00106834 0.00457230 0.00393561 0.00635152 0.00347290 0.00102163 0.00384685 0.04662792 0.00496104 0.00499413 0.00255203 0.00643849 0.00524063 0.00424596 0.00466031 0.00405594 0.00182481 0.00402747 0.00436267 0.00399402 0.00433039 0.00434789 0.00467301
s_3266 0.05575143 0.09379954 0.03518265 0.05632540 0.04658885 0 0.03407214 0.04247828 0.04054884 0.03386520 0.03284473 0.03159353 0.03518008 0.03416096 0.03982955 0.09714898 0.08540647 0.09175881 0.05506463 0.03378867 0.04782304 0.00005845 0.05404891 0.03347171 0.03096588 0.04044983 0.05374395 0.04520563 0.09140873 0.06845971 0.03445385 0.05357026 0.04231699 0.03564280 0.04611072 0.08510049 0.07006538 0.02721450 0.03457781 0.04291488 0.05007184 0.08945605 0.03898073 0.04047992 0.05171565 0.02929628 0.02990461 0.03321966 0.08474892 0.03577910 0.04028615 0.03235496 0.03509003 0.04867570 0.03551621 0.04215405 0.04046687
s_3258 0.00327154 0.04432831 0.00210042 0.00221804 0.00442043 0.03407214 0 0.00163545 0.00371864 0.00369240 0.00162566 0.00158494 0.00156772 0.00131461 0.00408498 0.00543172 0.00216805 0.04524139 0.00371676 0.00282284 0.00485130 0.03399161 0.00327755 0.00255067 0.00126670 0.00238824 0.00303632 0.00693745 0.04560246 0.00161756 0.00253239 0.00290137 0.00223893 0.00256492 0.00391769 0.00208230 0.00153230 0.00502839 0.00243608 0.00385502 0.00161043 0.04442077 0.00258326 0.00219764 0.00310164 0.00449134 0.00195383 0.00257324 0.00210197 0.00126391 0.00396047 0.00171437 0.00265189 0.00175408 0.00142635 0.00235435 0.00239465
s_3226 0.00280483 0.04699870 0.00402149 0.00113201 0.00421951 0.04247828 0.00163545 0 0.00329309 0.00495687 0.00340424 0.00349381 0.00335895 0.00317526 0.00398959 0.00651934 0.00115699 0.04742768 0.00350924 0.00413501 0.00427223 0.04402879 0.00282626 0.00376883 0.00312497 0.00373521 0.00277661 0.00646429 0.04824645 0.00226279 0.00378953 0.00423370 0.00076796 0.00385916 0.00341423 0.00107889 0.00010489 0.00646229 0.00316067 0.00345892 0.00021330 0.04691444 0.00394155 0.00363346 0.00277057 0.00544458 0.00394969 0.00380591 0.00108388 0.00313263 0.00391649 0.00377314 0.00395360 0.00031114 0.00323826 0.00369224 0.00380207
s_3210 0.00136791 0.04677207 0.00461141 0.00378519 0.00118461 0.04054884 0.00371864 0.00329309 0 0.00524617 0.00328770 0.00351448 0.00302190 0.00318584 0.00047060 0.00656384 0.00384966 0.04636698 0.00024851 0.00419184 0.00091083 0.04124563 0.00143466 0.00395965 0.00314062 0.00432186 0.00143358 0.00187855 0.04710794 0.00234094 0.00414629 0.00352634 0.00333539 0.00417561 0.00015753 0.00380118 0.00325920 0.00652924 0.00300256 0.00012561 0.00332568 0.04682892 0.00450797 0.00391861 0.00140684 0.00620526 0.00422008 0.00397161 0.00377075 0.00330262 0.00109145 0.00323860 0.00419949 0.00335772 0.00346304 0.00429287 0.00418444
s_3213 0.00498284 0.04860582 0.00316979 0.00478590 0.00571946 0.03386520 0.00369240 0.00495687 0.00524617 0 0.00293942 0.00281679 0.00299297 0.00256264 0.00494968 0.00619844 0.00478448 0.04892155 0.00576278 0.00098791 0.00668094 0.03473590 0.00499403 0.00104579 0.00245025 0.00089543 0.00502457 0.00859961 0.04934961 0.00384479 0.00111065 0.00729216 0.00477409 0.00108695 0.00568739 0.00471993 0.00460857 0.00305850 0.00492316 0.00560206 0.00476150 0.04851261 0.00120793 0.00366697 0.00507444 0.00271083 0.00396791 0.00106914 0.00472556 0.00242549 0.00570209 0.00258931 0.00117975 0.00482193 0.00260850 0.00091340 0.00101675
