Lib	Anti	Cover
WEE025	TEM-1D_Bla	3.202
WEE025	StrB_AGly	1077.119
WEE025	OXA-1_Bla	99.667
WEE025	StrA_AGly	1103.13
WEE025	CatBx_Phe	73.54
WEE025	Aac6-IIc_AGly	157.859
WEE025	SulI_Sul	109.577
WEE025	OXA-7_Bla	328.233
WEE026	AacAad_AGly	347.352
WEE026	OXA-1_Bla	111.1
WEE026	StrA_AGly	1684.98
WEE026	StrB_AGly	1687.658
WEE026	Aac6-IIc_AGly	253.346
WEE026	SulI_Sul	138.851
WEE026	OXA-7_Bla	254.808
WEE027	GES_Bla	89.925
WEE027	OXA-1_Bla	55.605
WEE027	StrA_AGly	2283.661
WEE027	StrB_AGly	2164.589
WEE027	Aac6-IIc_AGly	753.693
WEE027	SulI_Sul	69.809
WEE027	OXA-7_Bla	503.696
WEE028	SulI_Sul	216.081
WEE028	StrA_AGly	1606.927
WEE028	StrB_AGly	1521.629
WEE028	AadB_AGly	55.198
WEE028	AadA_AGly	14.425
WEE028	OXA-1_Bla	129.282
WEE028	Aac6-IIc_AGly	506.763
WEE030	OXA-7_Bla	17.5
WEE031	StrB_AGly	9.088
WEE031	AmpH_Bla	14.464
WEE031	SulII_Sul	7.277
WEE031	ErmC_MLS	4.504
WEE031	TEM-1D_Bla	7.101
WEE031	SHV-OKP-LEN_Bla	18.477
WEE031	StrA_AGly	10.209
WEE031	TetW_Tet	32.232
WEE032	AadB_AGly	3.964
WEE032	StrB_AGly	9.119
WEE032	SulI_Sul	6.284
WEE032	Cmr_Phe	3.98
WEE033	OXA-51_Bla	47.349
WEE033	ErmX_MLS	13.775
WEE033	StrB_AGly	156.079
WEE033	OXA-48_Bla	7.86
WEE033	OXA-1_Bla	8.4
WEE033	QnrB_Flq	9.258
WEE033	AacAad_AGly	8.383
WEE033	OXA-58_Bla	9.03
WEE033	OXA-50_Bla	7.099
WEE033	StrA_AGly	148.506
WEE033	SulI_Sul	25.523
WEE033	MsrE_MLS	45.294
WEE033	TetA_Tet	13.106
WEE034	BlaZ_Bla	9.762
WEE034	SulII_Sul	56.049
WEE034	OXA-50_Bla	5.209
WEE034	cfxA_Bla	6.224
WEE034	TetW_Tet	13.487
WEE034	CatA9_Phe	17.637
WEE035	Ant6-Ia_AGly	8.256
WEE035	CTX-M-1_Bla	6.38
WEE035	OXA-48_Bla	11.184
WEE035	OXA-1_Bla	24.482
WEE035	Aac6-Aph2_AGly	13.34
WEE035	Sat4A_AGly	7.002
WEE035	SulIII_Sul	12.762
WEE035	OqxA_Flq	6.284
WEE035	TetA_Tet	30.191
WEE035	Qnr-S_Flq	17.436
WEE035	TetR_Tet	27.615
WEE035	CatBx_Phe	28.073
WEE035	DfrA5_Tmt	4.703
WEE036	TetW_Tet	9.41
WEE037	Str_AGly	6.095
WEE037	CTX-M-1_Bla	30.071
WEE037	StrB_AGly	167.406
WEE037	ErmF_MLS	6.141
WEE037	OXA-48_Bla	22.453
WEE037	Aph3''Ia_AGly	181.143
WEE037	OXA-1_Bla	42.722
WEE037	SulII_Sul	31.753
WEE037	Aac6-Aph2_AGly	25.763
WEE037	QnrB_Flq	21.305
WEE037	MECA_Bla	10.863
WEE037	DfrC_Tmt	20.988
WEE037	DHA_Bla	21.041
WEE037	SulI_Sul	24.021
WEE037	MphC_MLS	151.943
WEE037	SulIII_Sul	17.735
WEE037	TetA_Tet	43.353
WEE037	Qnr-S_Flq	18.723
WEE037	Dfr_Tmt	18.725
WEE037	TetR_Tet	32.722
WEE037	CatBx_Phe	61.991
WEE037	DfrA_Tmt	29.453
WEE037	DfrA1_Tmt	27.84
WEE037	DfrA5_Tmt	10.615
WEE038	AadD_AGly	5.447
WEE038	CatA9_Phe	4.357
WEE038	SulII_Sul	7.01
WEE038	TetX_Tet	7.578
WEE039	CTX-M-9_Bla	12.96
WEE039	CTX-M-1_Bla	48.374
WEE039	StrB_AGly	47.772
WEE039	OXA-48_Bla	109.278
WEE039	OXA-1_Bla	131.133
WEE039	SulII_Sul	53.472
WEE039	Aac6-Aph2_AGly	12.878
WEE039	VanR-C_Gly	8.142
WEE039	AadA4-5_AGly	11.724
WEE039	SulIII_Sul	78.946
WEE039	SHV-OKP-LEN_Bla	30.103
WEE039	SulI_Sul	27.107
WEE039	TetA_Tet	168.143
WEE039	Qnr-S_Flq	71.479
WEE039	TetR_Tet	158.472
WEE039	CatBx_Phe	178.378
WEE039	DfrA1_Tmt	101.76
WEE039	DfrA5_Tmt	44.171
WEE040	CatBx_Phe	9.636
WEE040	FloR_Phe	5.379
WEE041	ErmB_MLS	5.928
WEE041	TetW_Tet	42.031
WEE041	ErmX_MLS	9.918
WEE042	GES_Bla	12.883
WEE042	ErmX_MLS	11.376
WEE042	ErmC_MLS	4.996
WEE043	CTX-M-1_Bla	16.884
WEE043	StrB_AGly	73.29
WEE043	OXA-48_Bla	12.728
WEE043	FloR_Phe	4.804
WEE043	Aph3''Ia_AGly	82.989
WEE043	OXA-1_Bla	15.457
WEE043	SulII_Sul	15.048
WEE043	Aac6-Aph2_AGly	19.393
WEE043	QnrB_Flq	11.171
WEE043	DHA_Bla	13.705
WEE043	SulI_Sul	12.873
WEE043	TetA_Tet	21.621
WEE043	TetR_Tet	16.814
WEE043	CatBx_Phe	41.295
WEE043	DfrA_Tmt	13.89
WEE044	AacAad_AGly	5.958
WEE044	Aph3''Ia_AGly	9.379
WEE046	BlaZ_Bla	7.286
WEE046	OXA-48_Bla	6.478
WEE046	Aph3''Ia_AGly	25.591
WEE046	StrA_AGly	36.744
WEE046	StrB_AGly	31.733
WEE046	MphC_MLS	15.496
WEE046	TetR_Tet	5.618
WEE046	CatBx_Phe	17.271
WEE047	StrB_AGly	9.773
WEE047	OXA-48_Bla	10.524
WEE047	FloR_Phe	13.433
WEE047	AmpH_Bla	5.753
WEE047	OXA-1_Bla	16.726
WEE047	QnrB_Flq	7.999
WEE047	Aac3-IIa_AGly	5.274
WEE047	TEM-1D_Bla	5.066
WEE047	TetA_Tet	15.46
WEE047	TetR_Tet	20.261
WEE047	CatBx_Phe	26.238
WEE047	DfrA1_Tmt	9.745
WEE047	DfrA5_Tmt	7.794
WEE049	SulII_Sul	12.062
WEE049	Aac6-Aph2_AGly	27.232
WEE049	MECA_Bla	61.025
WEE049	MsrA_MLS	50.231
WEE049	CatA9_Phe	48.406
WEE050	AacAad_AGly	4.85
WEE051	SulIII_Sul	7.581
WEE051	TetA_Tet	9.492
WEE051	OXA-48_Bla	10.186
WEE051	CatBx_Phe	14.482
WEE051	OXA-1_Bla	15.948
WEE052	GES_Bla	97.016
WEE052	MphA_MLS	7.539
WEE052	AacAad_AGly	30.219
WEE052	StrA_AGly	43.769
WEE052	StrB_AGly	45.461
WEE052	SHV-OKP-LEN_Bla	45.452
WEE052	SulII_Sul	41.738
WEE054	SHV-OKP-LEN_Bla	16.104
WEE054	SulII_Sul	25.911
WEE054	SulI_Sul	43.054
WEE054	OXA-1_Bla	19.619
WEE054	GES_Bla	9.92
WEE054	StrA_AGly	96.297
WEE054	Tet-39_Tet	4.555
WEE054	AadA_AGly	11.713
WEE054	StrB_AGly	114.677
WEE054	OXA-7_Bla	19.537
WEE054	MsrE_MLS	18.529
WEE054	TetA_Tet	20.462
WEE054	AadB_AGly	31.103
WEE054	CatBx_Phe	40.516
WEE054	AphA6_AGly	5.764
WEE054	TetR_Tet	19.788
WEE055	GES_Bla	85.891
WEE055	GOB-1_Bla	26.765
WEE055	B-1_Bla	22.846
WEE055	StrB_AGly	63.584
WEE055	SulI_Sul	136.39
WEE055	OXA-1_Bla	9.363
WEE055	OXA-7_Bla	84.724
WEE055	AadB_AGly	24.892
WEE056	StrB_AGly	1727.154
WEE056	CARB_Bla	29.437
WEE056	OXA-7_Bla	17.287
WEE056	StrA_AGly	1845.112
WEE056	Aac6-IIc_AGly	465.928
WEE056	AadA_AGly	25.223
WEE056	SulI_Sul	53.254
