sample	reads
MEE001	638422
MEE002	967920
MEE003	4197001
MEE004	12180353
MEE005	367804
MEE006	470713
MEE007	837266
MEE008	4698703
MEE009	14423563
MEE010	19570793
MEE011	20477244
MEE012	2079745
MEE013	908569
MEE014	6054192
MEE015	15680450
MEE016	5769356
MEE017	12024919
MEE018	1111054
MEE019	200444
MEE020	10057284
MEE021	4203514
MEE022	1780105
MEE023	3997777
MEE024	17125132
MEE025	524340
MEE026	326849
MEE027	313049
MEE028	1241733
MEE029	10333983
MEE030	10755804
MEE031	145874
MEE032	988027
MEE033	600929
MEE034	4468715
MEE035	226245
MEE036	2725186
MEE037	3501074
MEE038	69194
MEE039	2505034
MEE040	5795684
MEE041	2624493
MEE042	485554
MEE043	1870638
MEE044	710155
MEE045	1047663
MEE046	1572814
MEE047	1630268
MEE048	1886048
MEE049	11263570
MEE050	12389124
MEE051	1983339
MEE052	5231580
MEE053	2126880
MEE054	6043483
MEE055	390522
MEE056	360016
MEE057	931019
MEE058	857815
MEE059	27629
MEE060	1775851
MEE061	7412770
MEE062	11770119
MEE063	13295550
MEE064	9744445
MEE065	6232996
MEE066	8513550
MEE067	3489136
MEE068	950916
MEE069	2542303
MEE070	7543968
MEE071	2757603
MEE072	11387528
MEE073	4864321
MEE074	9641929
MEE075	2643450
MEE076	7364462
MEE077	7948065
MEE078	12820243
MEE079	5923669
MEE080	8953192
MEM001	2076263
MEM002	1377712
MEM003	1625130
MEM004	863024
MEM005	1289542
MEM006	1791482
MEM007	2252062
MEM008	1326949
MEM009	578751
MEM010	2663285
MEM011	3897120
MEM012	3005223
MEM013	5770875
MEM014	307281
MEM015	2078755
MEM016	1721844
MEM017	3241071
MEM018	2514726
MEM019	2304903
MEM020	2642431
MEM021	2963725
MEM022	3637972
MEM023	2437882
MEM024	2156662
MEM025	2368773
MEM026	48186
MEM027	10677331
MEM028	12276522
MEM029	9150037
MEM030	2274501
MEM031	5643708
MEM032	9604988
MEM033	14421767
WEE025	3391436
WEE026	3768542
WEE027	6857322
WEE028	5121880
WEE029	1471288
WEE030	1333518
WEE031	1175298
WEE032	2227766
WEE033	6587849
WEE034	1885505
WEE035	1388642
WEE036	471685
WEE037	1761075
WEE038	1022581
WEE039	1550295
WEE040	237964
WEE041	2530152
WEE042	2135993
WEE043	3177313
WEE044	7764455
WEE045	413181
WEE046	3183893
WEE047	1993138
WEE048	642327
WEE049	5289308
WEE050	146087
WEE051	416003
WEE052	1268006
WEE053	67210
WEE054	3084085
WEE055	7469031
WEE056	6265728
WEE057	846203
WEE058	831371
WEE059	2919271
WEE060	7448464
WEE061	3508496
WEE062	3972207
WEE063	10531824
WEE064	2122925
WEE065	1488516
WEE066	3157404
WEE067	723382
WEE068	1342936
WEE069	524654
WEE070	1858913
WEE071	2363406
WEE072	2668323
WEE073	10181522
WEE074	4978578
WEE075	1151109
WEE076	6660750
WEE077	2118775
WEE078	2089351
WEE079	3039567
WEE080	2714175
WEE081	1723553
WEE082	1537047
WEE083	1491564
WEE084	910816
WEE085	785760
WEE086	1302983
WEE087	1442390
WEE088	3979733
WEE089	4477181
WEE090	5677727
WEE091	2041138
WEE092	2336503
WEE093	970075
WEE094	1410703
WEE095	2667655
WEE096	2856730
WEE097	2421765
WEE098	1027968
WEE099	1744800
WEE100	2119841
WEE101	5404163
WEE102	9443733
WEE103	1944051
WEE104	1793467
WEE105	2190983
WEE106	3186206
WEE107	1883064
WEE108	2200140
WEE109	2006104
WEE110	2576171
WEE111	1776693
WEE112	253844
WEE113	3526789
WEE114	613308
WEE115	6148863
WEE116	3221913
WEE117	1264514
WEE118	941039
WEE119	2921156
WEE120	3298912
WEE121	5199321
WEE122	4513538
WEE123	5849893
WEE124	1844479
WEE125	5279637
WEE126	2910339
WEE127	3500598
WEE128	4011625
WEE129	2703871
WEE130	2311228
WEE131	8303678
WEE132	6892661
WEE133	1352645
WEE134	8128638
WEE135	2909790
WEE136	3699202
WEE137	6192558
WEE138	2222844
WEE139	6669884
WEE140	2104993
WEE141	884749
WEE142	7540548
WEE143	1560164
WEE144	943486
WEE145	1520056
WEE146	407494
WEE147	3134775
WEE148	6826607
WEE149	2436732
WEE150	12206449
WEE151	2036280
WEE152	9591698
WEE153	11358852
WEE154	1472185
WEE155	976780
WEE156	1645240
WEE157	2683344
WEE158	8832985
WEE159	2093153
WEE160	3618551
WEE161	1922875
WEE162	336383
WEE163	4664386
WEE164	10738228
WEE165	8721021
WEE166	1831244
WEE167	3088722
WEE168	3128274
WEE169	783523
WEE170	1512055
WEE171	2638480
WEE172	1196832
WEE173	1989426
WEE174	1970446
WEE175	1413861
WEE176	1782405
WEE177	2403502
WEE178	3838818
WEE179	5450765
WEE180	7977894
WEE181	515778
WEE182	318213
WEE183	1800087
WEE184	1152467
WEE185	1185821
WEE186	871631
WEE187	1982976
WEE188	612896
WEE189	1398041
WEE190	10088498
WEE191	695169
WEE192	1511470
WEE193	3210721
WEE194	3052486
WEE195	13579232
WEE196	1852555
WEE197	9691748
WEE198	2285062
WEE199	4822598
WEE200	3178981
WEE201	1747771
WEE202	3745457
WEE203	9534771
WEE204	2304599
WEE205	6578366
WEE206	1071384
WEE207	10160827
WEE208	1852608
WEE209	1406828
WEE210	2658979
WEE211	6746476
WEE212	800266
WEE213	8290006
WEE214	5475793
WEE215	2738293
WEE216	1602410
WEE217	360784
WEE218	820895
WEE219	2320733
WEE220	1804223
WEE221	1256157
WEE222	1188980
WEE223	551306
WEE224	19416
WEE225	785759
WEE226	963522
WEE227	769778
WEE228	1263829
WEE229	40481
WEE230	1063108
WEE231	574878
WEE232	527224
WEE233	1318898
WEE234	881873
WEE235	242448
WEE236	1437987
WEE237	2606331
WEE238	1386966
WEE239	367208
WEE240	1126994
WEE241	2283258
WEE242	999730
WEE243	586413
WEE244	487737
WEE245	2220297
WEE246	101807
WEE247	1101443
WEE248	1121687
WEE249	3001565
WEE250	2504145
WEE251	1763040
WEE252	540566
WEE253	1628131
WEE254	545891
WEE255	142241
WEE256	539610
WEE257	1296409
WEE258	2598473
WEE259	422122
WEE260	180180
WEE261	3968823
WEE262	89964
WEE263	1170209
WEE264	438352
WEE265	730237
WEE266	2093270
WEE267	6051408
WEE268	826293
WEE269	1674114
WEE270	468014
WEE271	134848
WEE272	2258536
WEE273	856703
WEE274	1170039
WEE275	210364
WEE276	176062
WEE277	749614
WEE278	510016
WEE279	4709376
WEE280	322948
WEE281	443596
WEE282	2768812
WEE283	1850135
WEE284	1221345
WEE285	742433
WEE286	468638
WEE287	3304766
WEE288	664876
WEE289	631835
WEE290	1931840
WEE291	279037
WEE292	883354
WEE293	1931227
WEE294	143879
WEE295	4807213
WEE296	1032166
WEE297	366482
WEE298	3044768
WEE299	208434
WEE300	264752
WEE301	1571554
WEE302	1033277
WEE303	1138951
WEE305	1635784
WEE306	676778
WEE307	2157563
WEE308	187527
WEE309	488769
WEE310	191908
WEE311	616457
WEE312	4410666
WEE313	1980912
WEE314	7004840
WEE315	5502561
WEE316	2154769
WEE317	1884618
WEE318	3362236
WEE319	98696
WEE320	487453
WEE321	631080
WEE322	163787
WEE323	658820
WEE324	1652343
WEE325	925158
WEE326	261529
WEE327	3560493
WEE328	2185541
WEE329	1659834
WEE330	3494890
WEE331	4466973
WEE332	1446097
WEE333	1717245
WEE334	1963142
WEE335	750399
WEE336	5149132
WEE337	2720121
WEE338	3009668
WEE339	967449
WEE340	737658
WEE341	6004808
WEE342	5841375
WEE343	8887914
WEE344	532072
WEE345	673220
WEE346	6589178
WEE347	112127
WEE348	10401544
WEE349	2827931
WEE350	3866898
WEE351	6439426
WEE352	3965577
WEE353	1502738
WEE354	3239915
WEE355	2733474
WEE356	7622007
WEE357	3139109
WEE358	5137320
WEE359	9168882
WEE360	1148055
WEE361	1174220
WEE362	5971608
WEE363	906980
WEE364	2381171
WEE365	2980848
WEE366	2127962
WEE367	1653661
WEE368	3014943
WEE369	6785395
WEE370	916309
WEE371	997408
WEE372	2118272
WEE373	4400491
WEE374	2670497
WEE375	6371443
WEE376	3899399
WEE377	3065982
WEE378	3140199
WEE379	4148068
WEE380	982045
WEE381	2807024
WEE382	1626389
WEE383	7089020
WEE384	7894836
WEE385	1695493
WEE386	2873238
WEE387	5182234
WEE388	3304874
