sample	reads
SL336366	392791
SL336367	323695
SL336368	283359
SL336369	450465
SL343329	933270
SL343330	639884
SL343331	311675
SL343332	405255
SL343333	761181
SL343334	690505
SL343335	1067507
SL343336	733146
SL343337	765348
SL343338	320947
SL343339	399700
SL343340	430717
SL343341	1562763
SL343342	1349934
SL343343	1109820
SL343344	1055299
SL343345	1098927
SL343346	688632
SL343347	1160975
SL343348	1171915
SL343349	844466
SL343350	945192
SL343351	579517
SL343352	1768247
SL343353	612049
SL343354	791709
SL343355	815457
SL343356	551145
SL343357	815774
SL343358	561073
SL343359	541833
SL343360	765127
SL343361	297715
SL343362	1035535
SL343363	559776
SL343364	1407605
SL343365	1038935
SL343366	1131235
SL343367	777267
SL343368	669128
SL343369	575415
SL343370	591392
SL343371	941158
SL343372	686238
SL343373	613127
SL343374	765141
SL343375	1590215
SL343376	660170
SL343377	1039831
SL343378	697494
SL343379	790386
SL343380	563910
SL343381	564347
SL343382	1244537
SL343383	502951
SL343384	700453
SL343385	832931
SL343386	1038832
SL343387	521012
SL343388	605893
SL343389	1129416
SL343390	841431
SL343391	449418
SL343392	472617
SL343393	1240448
SL343394	949760
SL343395	603860
SL343396	580329
SL343502	516745
SL343503	632591
SL343504	1037378
SL343505	483912
SL343506	770978
SL343507	493361
SL343508	518865
SL343509	415016
SL343510	376010
SL343511	378688
SL343512	637390
SL343513	337005
SL343514	669378
SL343515	699114
SL343516	556462
SL357350	403045
SL357351	8401
SL357352	392383
SL357353	19576
SL357354	350358
SL357355	521513
SL357356	28774
SL357357	14924
SL357358	692138
SL357359	352754
SL357360	555710
SL357361	970486
SL357362	364279
SL357363	359839
SL357364	1381109
SL357365	1141783
SL357366	175529
SL357367	701455
SL357368	376423
SL357369	361191
SL357370	434254
SL357371	305002
SL357372	508616
SL357373	406764
SL357374	131791
SL357375	9136
SL357376	495437
SL357377	257135
SL357378	374488
SL357379	409274
SL357380	378297
SL357381	506282
SL357382	549228
SL357383	414439
SL357385	57703
SL357386	886398
SL357387	269734
SL357388	26506
SL357389	247652
SL357390	456477
SL357391	1025319
SL357392	843055
SL357393	645900
SL357394	538246
SL357395	280685
SL357396	1151949
SL357397	1274680
SL357398	38162
SL357399	23830
SL357400	5276452
SL357401	1010532
SL357402	14019
SL357403	372888
SL357404	1233136
SL357405	688236
SL357406	1924100
SL357407	2308010
SL357408	1405958
SL357409	1473301
SL357410	206487
SL357411	354633
SL357412	427657
SL357413	392571
SL357414	628149
SL357415	485745
SL357416	934562
SL357417	879387
SL357418	974931
SL357419	927482
SL357420	704138
SL357421	831421
SL357422	421243
SL357423	395698
SL357424	100770
SL357425	128920
SL357426	684605
SL357427	769877
SL357428	176220
SL357429	180117
SL357430	500556
SL357431	483007
SL357432	662812
SL357433	209256
SL357434	270767
SL357435	333032
SL357436	1047373
SL357437	585038
SL357438	1521130
SL357439	743780
SL357440	730889
SL357441	42714
