sample	reads
MEE001	3966
MEE002	5257
MEE003	53094
MEE004	66137
MEE005	5379
MEE006	24063
MEE007	6546
MEE008	60411
MEE009	206220
MEE010	131358
MEE011	261520
MEE012	9014
MEE013	19191
MEE014	43323
MEE015	88704
MEE016	74222
MEE017	207033
MEE018	2254
MEE019	2020
MEE020	45108
MEE021	10970
MEE022	5009
MEE023	57106
MEE024	193072
MEE025	10722
MEE026	5835
MEE027	4283
MEE028	21000
MEE029	155777
MEE030	163646
MEE031	3208
MEE032	16796
MEE033	3740
MEE034	23349
MEE035	4549
MEE036	75922
MEE037	11091
MEE038	642
MEE039	15168
MEE040	5697
MEE041	3806
MEE042	3513
MEE043	6701
MEE044	2677
MEE045	5330
MEE046	6279
MEE047	11508
MEE048	10586
MEE049	163539
MEE050	379614
MEE051	10688
MEE052	21955
MEE053	27591
MEE054	23560
MEE055	15658
MEE056	6467
MEE057	42565
MEE058	2105
MEE059	397
MEE060	2851
MEE061	89519
MEE062	309826
MEE063	189704
MEE064	133668
MEE065	72175
MEE066	69915
MEE067	12952
MEE068	6103
MEE069	9060
MEE070	105832
MEE071	5124
MEE072	180648
MEE073	65787
MEE074	127186
MEE075	5261
MEE076	12933
MEE077	2978
MEE078	19419
MEE079	12872
MEE080	6122
MEM001	3060
MEM002	1480
MEM003	1617
MEM004	855
MEM005	819
MEM006	1582
MEM007	1864
MEM008	2199
MEM009	1733
MEM010	5316
MEM011	1340
MEM012	3988
MEM013	2190
MEM014	2583
MEM015	2098
MEM016	3724
MEM017	4152
MEM018	2785
MEM019	1258
MEM020	3798
MEM021	1433
MEM022	4130
MEM023	1404
MEM024	2316
MEM025	1778
MEM026	2782
MEM027	21313
MEM028	23075
MEM029	16802
MEM030	15313
MEM031	26901
MEM032	54836
MEM033	53361
WEE025	111566
WEE026	101081
WEE027	179796
WEE028	61281
WEE029	2845
WEE030	10847
WEE031	47908
WEE032	4448
WEE033	169332
WEE034	13506
WEE035	36040
WEE036	5426
WEE037	109456
WEE038	5985
WEE039	195073
WEE040	9957
WEE041	67061
WEE042	11593
WEE043	97947
WEE044	13298
WEE045	1526
WEE046	23106
WEE047	28671
WEE048	1254
WEE049	17138
WEE050	4464
WEE051	11422
WEE052	112514
WEE053	677
WEE054	60200
WEE055	87349
WEE056	82554
WEE057	18410
WEE058	13616
WEE059	21546
WEE060	5860
WEE061	35240
WEE062	62363
WEE063	39771
WEE064	4867
WEE065	9338
WEE066	2480
WEE067	5155
WEE068	9738
WEE069	1601
WEE070	27440
WEE071	17530
WEE072	11502
WEE073	9038
WEE074	85811
WEE075	9275
WEE076	120808
WEE077	9361
WEE078	10526
WEE079	3622
WEE080	21755
WEE081	13449
WEE082	3002
WEE083	7972
WEE084	1048
WEE085	3381
WEE086	24667
WEE087	4290
WEE088	31311
WEE089	24053
WEE090	17789
WEE091	4480
WEE092	3448
WEE093	10428
WEE094	6695
WEE095	63661
WEE096	7652
WEE097	9704
WEE098	2054
WEE099	13711
WEE100	4283
WEE101	2876
WEE102	5125
WEE103	7191
WEE104	11462
WEE105	12540
WEE106	14582
WEE107	4014
WEE108	10641
WEE109	3353
WEE110	6320
WEE111	13169
WEE112	152
WEE113	7491
WEE114	2917
WEE115	5868
WEE116	7163
WEE117	23472
WEE118	12695
WEE119	520728
WEE120	101811
WEE121	23406
WEE122	43496
WEE123	96538
WEE124	24367
WEE125	84212
WEE126	43916
WEE127	30509
WEE128	30403
WEE129	22637
WEE130	29819
WEE131	46144
WEE132	29174
WEE133	28384
WEE134	264829
WEE135	24965
WEE136	30387
WEE137	112506
WEE138	31490
WEE139	244244
WEE140	25790
WEE141	54508
WEE142	68588
WEE143	123192
WEE144	34491
WEE145	25460
WEE146	22731
WEE147	25246
WEE148	34798
WEE149	37834
WEE150	189591
WEE151	45198
WEE152	93124
WEE153	54112
WEE154	31580
WEE155	32064
WEE156	71188
WEE157	45660
WEE158	125528
WEE159	35552
WEE160	39902
WEE161	73883
WEE162	19826
WEE163	48621
WEE164	40044
WEE165	58811
WEE166	63034
WEE167	36734
WEE168	37848
WEE169	18585
WEE170	24010
WEE171	45015
WEE172	23059
WEE173	18363
WEE174	28010
WEE175	30701
WEE176	41994
WEE177	27157
WEE178	47821
WEE179	55266
WEE180	39150
WEE181	32515
WEE182	32542
WEE183	27078
WEE184	42301
WEE185	35240
WEE186	38380
WEE187	80644
WEE188	28492
