sample	reads
SL336366	2855
SL336367	878
SL336368	2702
SL336369	1863
SL343329	884
SL343330	5677
SL343331	221
SL343332	919
SL343333	1350
SL343334	824
SL343335	604
SL343336	1566
SL343337	2376
SL343338	2103
SL343339	4410
SL343340	258
SL343341	1489
SL343342	1605
SL343343	1113
SL343344	947
SL343345	971
SL343346	2626
SL343347	3257
SL343348	2480
SL343349	3321
SL343350	2399
SL343351	2287
SL343352	1976
SL343353	2688
SL343354	2935
SL343355	3796
SL343356	1218
SL343357	2219
SL343358	590
SL343359	5667
SL343360	1474
SL343361	708
SL343362	2049
SL343363	5204
SL343364	1113
SL343365	708
SL343366	1588
SL343367	1864
SL343368	1314
SL343369	801
SL343370	8463
SL343371	923
SL343372	842
SL343373	2498
SL343374	1171
SL343375	2006
SL343376	1572
SL343377	2584
SL343378	1356
SL343379	4066
SL343381	2178
SL343382	813
SL343383	571
SL343384	1466
SL343385	2975
SL343386	1497
SL343387	2079
SL343388	3435
SL343389	1090
SL343390	841
SL343391	381
SL343392	1904
SL343393	672
SL343394	728
SL343395	1703
SL343396	1010
SL343502	349
SL343503	1229
SL343504	4510
SL343505	1982
SL343506	495
SL343508	324
SL343509	2502
SL343511	2610
SL343512	1015
SL343513	1130
SL343514	413
SL343515	6573
SL343516	4046
SL357350	1551
SL357351	5
SL357352	1221
SL357353	10
SL357354	10295
SL357355	5783
SL357356	1807
SL357357	20
SL357358	991
SL357359	5009
SL357360	7255
SL357361	3444
SL357362	2013
SL357363	1399
SL357364	12809
SL357365	13037
SL357366	807
SL357367	3291
SL357368	226
SL357369	313
SL357370	992
SL357371	553
SL357372	2856
SL357373	6631
SL357374	1307
SL357375	16452
SL357376	1168
SL357377	505
SL357378	964
SL357379	751
SL357380	3477
SL357381	8561
SL357382	8483
SL357383	1130
SL357385	3066
SL357386	8923
SL357387	472
SL357388	41
SL357389	248
SL357390	1807
SL357391	23911
SL357392	16166
SL357393	2645
SL357394	2193
SL357395	349
SL357396	21017
SL357397	33144
SL357398	24
SL357399	18
SL357400	280079
SL357401	21871
SL357402	915
SL357403	4498
SL357404	16885
SL357405	14028
SL357406	32003
SL357407	38896
SL357408	20026
SL357409	22522
SL357410	2904
SL357411	3492
SL357412	3207
SL357413	257
SL357414	13640
SL357415	10621
SL357416	6915
SL357417	4564
SL357418	15608
SL357419	10585
SL357420	5164
SL357421	3229
SL357422	5378
SL357423	5787
SL357424	2169
SL357425	448
SL357426	19396
SL357427	25984
SL357428	3540
SL357430	788
SL357431	2051
SL357432	12179
SL357433	137
SL357434	999
SL357435	5882
SL357436	3880
SL357437	2916
SL357438	15149
SL357439	9031
SL357440	3476
SL357441	337
