s_3999	s_3976	s_3948	s_3943	s_3940	s_3953	s_3989	s_3935	s_3984	s_3978	s_3930	s_3959	s_3951	s_4002	s_3982	s_3933	s_3991	s_3932	s_3942	s_3936	s_3934	s_3941	s_3931
s_3999 0 0.01028562 0.01157977 0.00068284 0.01000376 0.01073230 0.00624282 0.00657173 0.00011762 0.01092689 0.00824496 0.00619675 0.01041261 0.00008839 0.01078047 0.00013889 0.00623580 0.00021841 0.00030949 0.00771638 0.00018868 0.00031794 0.00012787
s_3976 0.01028562 0 0.00698024 0.01075661 0.00568269 0.00601892 0.00983591 0.01033778 0.01017853 0.00705406 0.00832356 0.00974053 0.00561671 0.01029042 0.00597450 0.01009277 0.00980216 0.01007894 0.01040647 0.01177283 0.01013513 0.01035224 0.01015904
s_3948 0.01157977 0.00698024 0 0.01219940 0.00681344 0.00202474 0.01108516 0.01202293 0.01144437 0.00890839 0.00967419 0.01103874 0.00215711 0.01157988 0.00230263 0.01151054 0.01105422 0.01156751 0.01178556 0.01341368 0.01155942 0.01175643 0.01152235
s_3943 0.00068284 0.01075661 0.01219940 0 0.01081584 0.01129201 0.00678684 0.00704772 0.00071466 0.01139788 0.00880148 0.00672288 0.01103559 0.00069454 0.01138231 0.00074786 0.00679321 0.00082052 0.00093793 0.00836398 0.00080097 0.00096620 0.00072571
s_3940 0.01000376 0.00568269 0.00681344 0.01081584 0 0.00604134 0.00952246 0.01202569 0.01023733 0.00778091 0.00909464 0.00980995 0.00565000 0.01030941 0.00570398 0.01034293 0.00957704 0.01044755 0.01047263 0.01277806 0.01036242 0.01025231 0.01030577
s_3953 0.01073230 0.00601892 0.00202474 0.01129201 0.00604134 0 0.01016530 0.01248426 0.01063546 0.00845216 0.00888002 0.01011026 0.00040376 0.01071908 0.00079813 0.01056679 0.01017987 0.01058434 0.01081106 0.01308782 0.01052748 0.01081181 0.01055330
s_3989 0.00624282 0.00983591 0.01108516 0.00678684 0.00952246 0.01016530 0 0.00683293 0.00606364 0.01089055 0.00883769 0.00019484 0.00994239 0.00624599 0.01006183 0.00622269 0.00028341 0.00620648 0.00642098 0.00808678 0.00626404 0.00642784 0.00621199
s_3935 0.00657173 0.01033778 0.01202293 0.00704772 0.01202569 0.01248426 0.00683293 0 0.00658575 0.01199331 0.00986703 0.00675089 0.01184650 0.00657369 0.01102090 0.00660405 0.00682129 0.00667969 0.00683744 0.00211380 0.00668842 0.00681878 0.00658696
s_3984 0.00011762 0.01017853 0.01144437 0.00071466 0.01023733 0.01063546 0.00606364 0.00658575 0 0.01085488 0.00829802 0.00615073 0.01029525 0.00012990 0.01072171 0.00018091 0.00607024 0.00025883 0.00035215 0.00772835 0.00021524 0.00035701 0.00016240
s_3978 0.01092689 0.00705406 0.00890839 0.01139788 0.00778091 0.00845216 0.01089055 0.01199331 0.01085488 0 0.01000284 0.01075825 0.00819900 0.01095138 0.00800606 0.01077815 0.01090094 0.01081455 0.01104044 0.01290742 0.01081545 0.01099852 0.01071439
s_3930 0.00824496 0.00832356 0.00967419 0.00880148 0.00909464 0.00888002 0.00883769 0.00986703 0.00829802 0.01000284 0 0.00878621 0.00879101 0.00835917 0.00864384 0.00834384 0.00875275 0.00842810 0.00858947 0.01076939 0.00824574 0.00851122 0.00827724
s_3959 0.00619675 0.00974053 0.01103874 0.00672288 0.00980995 0.01011026 0.00019484 0.00675089 0.00615073 0.01075825 0.00878621 0 0.00990393 0.00619926 0.01002422 0.00618838 0.00021680 0.00608806 0.00638655 0.00804388 0.00623235 0.00639620 0.00618284
