s_2937	F_52	F_34	F_25	s_2971	s_2940	F_28	F_18	F_11	s_2968	F_62	F_47	F_17	F_12	s_2961	s_2912	F_43	s_2970	F_29	s_2917	F_53	F_35	s_2904	F_51	F_42	s_2909	F_40	F_58	F_13	F_37	s_2939	F_14	F_60	F_48	s_2923	F_20	F_23	s_2941	s_2907	F_57	F_39	s_2931	F_44	s_2955	s_2918	s_2953	F_64	F_31	F_61	G_2	s_2930	F_36	F_26	F_66	F_38	F_19	s_2972	G_7	s_2964	F_21	s_2956	s_2920	F_55	s_2966	F_67	s_2903	G_5	F_46	F_65	G_8	F_32	F_63	F_16	s_2945	G_1	s_2914	F_56	s_2933	s_2965	F_59	s_2915	F_41	F_27	F_22	s_2954	F_54	s_2950	F_30	s_2959	G_6	F_15	s_2948	s_2942	s_2926	G_3	F_45	s_2908	s_2962	F_50	F_33	s_2949	s_2927	s_2969	F_24	s_2916	F_49	s_2952	s_2921	G_9	s_2944	G_4
s_2937 0 0.01377102 0.01423008 0.01349142 0.01473687 0.00016955 0.01340048 0.01304279 0.00428719 0.01759277 0.03623728 0.01301342 0.01304612 0.01447854 0.01543194 0.00018071 0.01358424 0.01602995 0.01482036 0.01278145 0.01449792 0.01341071 0.01286135 0.01357232 0.01447695 0.01572716 0.01435641 0.01438755 0.01446609 0.01280850 0.00017761 0.01335655 0.07387042 0.01445774 0.01604754 0.00386620 0.01350663 0.00018398 0.01279266 0.01532880 0.01298550 0.01355629 0.07385466 0.01291795 0.01291668 0.00107140 0.14535195 0.01460709 0.01348235 0.01478596 0.01281160 0.01351013 0.01425152 0.01346209 0.01488164 0.01347128 0.01293246 0.01349985 0.00016254 0.01367905 0.01287980 0.01594012 0.01359638 0.00016862 0.01349275 0.08032095 0.01353860 0.01348608 0.01516499 0.01478511 0.01444364 0.01368067 0.01350202 0.01284640 0.00438319 0.01283724 0.01528083 0.08136617 0.00018465 0.01301612 0.01287830 0.01354084 0.01304316 0.01350119 0.01288463 0.01451242 0.00131137 0.01441492 0.01283162 0.01350667 0.00430196 0.00016846 0.00026648 0.01584477 0.00396151 0.01452101 0.01525815 0.01287412 0.14040297 0.01447872 0.00017288 0.01554419 0.07746467 0.00429654 0.01289098 0.01295224 0.00029502 0.01574657 0.01350069 0.01289756 0.01348525
F_52 0.01377102 0 0.01441959 0.01444718 0.01491027 0.01375526 0.01445218 0.01451753 0.01394503 0.01766818 0.16114790 0.01450048 0.01450227 0.01495538 0.01641165 0.01343347 0.01451293 0.01594726 0.01432826 0.01402265 0.01493077 0.01431468 0.01409542 0.01445462 0.01491220 0.01603378 0.01460157 0.01449737 0.01449920 0.01467427 0.01378085 0.01445703 0.07633228 0.01429851 0.01597900 0.01383216 0.01452690 0.01381055 0.01413426 0.01547675 0.01451791 0.01434553 0.07621235 0.01423311 0.01409931 0.01335739 0.15192945 0.01432324 0.01443065 0.01496375 0.01399212 0.01451201 0.01448081 0.01433670 0.01477646 0.01443400 0.01397935 0.01437727 0.01375640 0.01452240 0.01419721 0.01594659 0.01450817 0.01357504 0.01435188 0.08359246 0.01446811 0.01445470 0.01578979 0.01496231 0.01493975 0.01451207 0.01445634 0.01417713 0.01397997 0.01393106 0.01493002 0.08460595 0.01368207 0.01452298 0.01408228 0.01449166 0.01452055 0.01445671 0.01364555 0.01437582 0.01339656 0.01354674 0.01415080 0.01445792 0.01395099 0.01382570 0.01384860 0.01584136 0.01393034 0.01421936 0.01536084 0.01412644 0.15250401 0.01493212 0.01325876 0.01561803 0.08380175 0.01388850 0.01409992 0.01450885 0.01377856 0.01565668 0.01446530 0.01394285 0.01451333
F_34 0.01423008 0.01441959 0 0.01378575 0.01313121 0.01433097 0.01380991 0.01379678 0.01484602 0.01557156 0.16114790 0.01379304 0.01379024 0.01278938 0.01446121 0.01391394 0.01380841 0.01348459 0.01352377 0.01331263 0.01276293 0.01375069 0.01332152 0.01379506 0.01266265 0.01384695 0.00001642 0.01239996 0.00981055 0.01282859 0.01431763 0.01379374 0.07571145 0.01344525 0.01363666 0.01475409 0.01376561 0.01437220 0.01341226 0.01344808 0.01378237 0.01380268 0.07566422 0.01337184 0.01331285 0.01395517 0.15198083 0.01351704 0.01381565 0.01310243 0.01327341 0.01382907 0.00958868 0.01379809 0.01158545 0.01379994 0.01326339 0.01369216 0.01413265 0.01378409 0.01344053 0.01359735 0.01380265 0.01404530 0.01381334 0.08321764 0.01379769 0.01382219 0.01075428 0.01272352 0.01260773 0.01383637 0.01378174 0.01341204 0.01475682 0.01325879 0.01324018 0.08431466 0.01430535 0.01379815 0.01334402 0.01378768 0.01378285 0.01380306 0.01294503 0.01345716 0.01388941 0.01392125 0.01337748 0.01381333 0.01475242 0.01426768 0.01441883 0.01338570 0.01476678 0.01352308 0.01320228 0.01323245 0.15190479 0.01274529 0.01381358 0.01326919 0.08250541 0.01482486 0.01336311 0.01381127 0.01438649 0.01328319 0.01381475 0.01320817 0.01380484
F_25 0.01349142 0.01444718 0.01378575 0 0.01384834 0.01344453 0.00003625 0.00004931 0.01553356 0.01685625 0.16114790 0.00008261 0.00008346 0.01382899 0.01470011 0.01310512 0.00107526 0.01496628 0.01417525 0.00024593 0.01385922 0.00120945 0.00021931 0.00070830 0.01373567 0.01508596 0.01396793 0.01508755 0.01397948 0.01419876 0.01336845 0.00003106 0.07527219 0.01411674 0.01498786 0.01523007 0.00000330 0.01353207 0.00022804 0.01482021 0.00009055 0.00146753 0.07528634 0.00021504 0.00028984 0.01339033 0.15227293 0.01414524 0.00002840 0.01423661 0.00021697 0.00004541 0.01449898 0.00003532 0.01459242 0.00000900 0.00020855 0.00055535 0.01347620 0.00106377 0.00023005 0.01517796 0.00101021 0.01316321 0.00066300 0.08184115 0.00070263 0.00002862 0.01624693 0.01425455 0.01379833 0.00110060 0.00002818 0.00022398 0.01581787 0.00028492 0.01534493 0.08281388 0.01345311 0.00020206 0.00026470 0.00001340 0.00004733 0.00062921 0.00021114 0.01414132 0.01333624 0.01390325 0.00021199 0.00062543 0.01550047 0.01357334 0.01356877 0.01498037 0.01535623 0.01412829 0.01446636 0.00022174 0.15217909 0.01385835 0.01311740 0.01486960 0.07991013 0.01554765 0.00025187 0.00021266 0.01341824 0.01480056 0.00063552 0.00022474 0.00000993
s_2971 0.01473687 0.01491027 0.01313121 0.01384834 0 0.01483842 0.01367157 0.01358296 0.01532657 0.01259440 0.04793388 0.01361979 0.01360013 0.01187080 0.00147501 0.01426445 0.01376265 0.01158883 0.01489634 0.01312042 0.01187558 0.01371738 0.01327491 0.01371516 0.01185860 0.01232920 0.01317032 0.01265837 0.01277648 0.01242066 0.01467491 0.01375313 0.07152271 0.01492534 0.01181529 0.01524177 0.01379129 0.01487137 0.01325382 0.01074917 0.01355192 0.01341618 0.07148479 0.01333851 0.01325629 0.01440405 0.14469574 0.01485879 0.01365063 0.01215403 0.01316884 0.01378734 0.01315297 0.01374808 0.01269637 0.01380228 0.01322133 0.01380472 0.01463414 0.01393052 0.01323138 0.01172718 0.01377393 0.01446493 0.01368425 0.08159506 0.01370739 0.01367315 0.01507898 0.01187704 0.01185635 0.01396659 0.01366909 0.01326198 0.01563418 0.01320724 0.01171137 0.08221267 0.01475706 0.01332711 0.01339475 0.01388650 0.01356497 0.01377559 0.01274044 0.01503626 0.01465035 0.01487126 0.01311199 0.01374573 0.01526725 0.01479386 0.01488635 0.01164538 0.01504153 0.01489760 0.01096090 0.01298794 0.14189738 0.01187481 0.01460422 0.01135064 0.08080545 0.01533581 0.01334728 0.01319058 0.01474640 0.01150818 0.01369760 0.01313499 0.01376777
s_2940 0.00016955 0.01375526 0.01433097 0.01344453 0.01483842 0 0.01296399 0.01318893 0.00338755 0.01776010 0.04008847 0.01315792 0.01318069 0.01452696 0.01562801 0.00020137 0.01286900 0.01617822 0.01486406 0.01292450 0.01454677 0.01263963 0.01290630 0.01434786 0.01452762 0.01594237 0.01446638 0.01429059 0.01447648 0.01313966 0.00016778 0.01296978 0.07417184 0.01447239 0.01611807 0.00385781 0.01345005 0.00019731 0.01305454 0.01545117 0.01312984 0.01364319 0.07415497 0.01302687 0.01300831 0.00061160 0.14670974 0.01460331 0.01298820 0.01482353 0.01291380 0.01351246 0.01432165 0.01290459 0.01487070 0.01329022 0.01307493 0.01434327 0.00017806 0.01267025 0.01305426 0.01606457 0.01288250 0.00020475 0.01437299 0.07895291 0.01440063 0.01297585 0.01578351 0.01482267 0.01449092 0.01266059 0.01289102 0.01310207 0.00349941 0.01300567 0.01563110 0.07981872 0.00018182 0.01318362 0.01286933 0.01336805 0.01319480 0.01436527 0.01306711 0.01451933 0.00071527 0.01453513 0.01309857 0.01426268 0.00344273 0.00018584 0.00024871 0.01598191 0.00320209 0.01451715 0.01548246 0.01305378 0.14288210 0.01452577 0.00017766 0.01569375 0.07441441 0.00339639 0.01288932 0.01309095 0.00030541 0.01581031 0.01436667 0.01291786 0.01332777
F_28 0.01340048 0.01445218 0.01380991 0.00003625 0.01367157 0.01296399 0 0.00002889 0.01429912 0.01680854 0.16114790 0.00002758 0.00002816 0.01380425 0.01464146 0.01304847 0.00011825 0.01484823 0.01412062 0.00022568 0.01382737 0.00020159 0.00019776 0.00149643 0.01379343 0.01511054 0.01392827 0.01504283 0.01400187 0.01413888 0.01287112 0.00000752 0.07519301 0.01405099 0.01492419 0.01516748 0.00003166 0.01299010 0.00020451 0.01480789 0.00002996 0.00146783 0.07521733 0.00019331 0.00026790 0.01236422 0.15229398 0.01406905 0.00000423 0.01395955 0.00019259 0.00002747 0.01445824 0.00000470 0.01447364 0.00002793 0.00018718 0.00139163 0.01351423 0.00002300 0.00020863 0.01510779 0.00011918 0.01264116 0.00142311 0.07984534 0.00145660 0.00000493 0.01691833 0.01395816 0.01373825 0.00002650 0.00000493 0.00020320 0.01463945 0.00025912 0.01549147 0.08078760 0.01293144 0.00018088 0.00021539 0.00002586 0.00002908 0.00141053 0.00019058 0.01408847 0.01251067 0.01384878 0.00019070 0.00141302 0.01428563 0.01363323 0.01308121 0.01494183 0.01414736 0.01406122 0.01443255 0.00020057 0.15200075 0.01382731 0.01256982 0.01475706 0.07612438 0.01437951 0.00023106 0.00018384 0.01300812 0.01488645 0.00141742 0.00020672 0.00002955
F_18 0.01304279 0.01451753 0.01379678 0.00004931 0.01358296 0.01318893 0.00002889 0 0.01498205 0.01680204 0.16114790 0.00000971 0.00001021 0.01383258 0.01485696 0.01273405 0.00035434 0.01482015 0.01428763 0.00007219 0.01385313 0.00043839 0.00004440 0.00024100 0.01373007 0.01493502 0.01402034 0.01457414 0.01396677 0.01418310 0.01313844 0.00003176 0.07609427 0.01422082 0.01489556 0.01442823 0.00004854 0.01322880 0.00004168 0.01478155 0.00001772 0.00122858 0.07610941 0.00003089 0.00010969 0.01299512 0.15237258 0.01423813 0.00002938 0.01402409 0.00004253 0.00001212 0.01419529 0.00003185 0.01434010 0.00006277 0.00002678 0.00014420 0.01302818 0.00035947 0.00004618 0.01510212 0.00035384 0.01297173 0.00015397 0.08152687 0.00019541 0.00002815 0.01574333 0.01402270 0.01374757 0.00036234 0.00002731 0.00004859 0.01528319 0.00010816 0.01461682 0.08258251 0.01322497 0.00001212 0.00008413 0.00004498 0.00001456 0.00015916 0.00003706 0.01423195 0.01316643 0.01389635 0.00003652 0.00015446 0.01490474 0.01312087 0.01333160 0.01493550 0.01498177 0.01423301 0.01443618 0.00004078 0.15193181 0.01385445 0.01282404 0.01472596 0.07938048 0.01498388 0.00007293 0.00002183 0.01321771 0.01485481 0.00015664 0.00004974 0.00004884
F_11 0.00428719 0.01394503 0.01484602 0.01553356 0.01532657 0.00338755 0.01429912 0.01498205 0 0.01741406 0.16114790 0.01504236 0.01497065 0.01519326 0.01612309 0.00422509 0.01329558 0.01551839 0.01588140 0.01435646 0.01519439 0.01329257 0.01430969 0.01456864 0.01518551 0.01523094 0.01503979 0.01632397 0.01518146 0.01532926 0.00336718 0.01430152 0.07555756 0.01575444 0.01543404 0.00080937 0.01554788 0.00341359 0.01440771 0.01514418 0.01492145 0.01444307 0.07554793 0.01442659 0.01437539 0.00363583 0.15129657 0.01585446 0.01431472 0.01500797 0.01439808 0.01543760 0.01506077 0.01437015 0.01531521 0.01546532 0.01450754 0.01427986 0.00428605 0.01430274 0.01465501 0.01544136 0.01322998 0.00348417 0.01450537 0.08014214 0.01442804 0.01438670 0.01782677 0.01500769 0.01534007 0.01439367 0.01431350 0.01448203 0.00002178 0.01441016 0.01625955 0.08073035 0.00335114 0.01496791 0.01434208 0.01546609 0.01497525 0.01449961 0.01410842 0.01589638 0.00337745 0.01481338 0.01452808 0.01427907 0.00001178 0.00434731 0.00340601 0.01535545 0.00011659 0.01575161 0.01460299 0.01449948 0.15063467 0.01518923 0.00319913 0.01507856 0.07690150 0.00000166 0.01431247 0.01495741 0.00365355 0.01521119 0.01428238 0.01412420 0.01552034
s_2968 0.01759277 0.01766818 0.01557156 0.01685625 0.01259440 0.01776010 0.01680854 0.01680204 0.01741406 0 0.09782255 0.01684125 0.01685465 0.01457924 0.01499097 0.01708302 0.01609314 0.00198559 0.01859743 0.01663276 0.01451334 0.01616404 0.01659514 0.01596441 0.01450640 0.00382739 0.01586210 0.01550947 0.01559160 0.01557259 0.01766019 0.01681014 0.07494753 0.01854266 0.00218941 0.01749397 0.01686045 0.01779604 0.01677757 0.00233033 0.01677087 0.01664625 0.07502038 0.01665317 0.01670584 0.01669481 0.14498764 0.01856468 0.01681806 0.01568316 0.01637577 0.01686045 0.01615592 0.01681354 0.01563855 0.01680797 0.01667199 0.01601562 0.01744891 0.01693825 0.01669488 0.00215731 0.01609057 0.01732745 0.01598316 0.08377407 0.01602117 0.01682021 0.01705142 0.01537224 0.01459067 0.01694354 0.01681236 0.01678452 0.01758604 0.01674340 0.01461396 0.08361067 0.01779503 0.01677919 0.01659315 0.01680950 0.01676521 0.01598937 0.01613168 0.01866665 0.01697313 0.01789333 0.01654084 0.01598890 0.01731781 0.01760976 0.01781625 0.00214879 0.01728841 0.01863849 0.00281448 0.01650082 0.14329371 0.01457437 0.01718356 0.00222976 0.08193191 0.01741194 0.01682066 0.01676513 0.01761748 0.00202834 0.01599721 0.01651095 0.01683242
