ID	Species	Library	Classification
qacA	Staphylococcus_aureus	N103_BC03	qacA
qacA	Staphylococcus_aureus	N104_BC01	qacA
qacA	Staphylococcus_aureus	N104_BC03	qacA
qacA	Staphylococcus_aureus	N104_BC05	qacA
qacA	Staphylococcus_aureus	N104_BC05	qacA
qacA	Staphylococcus_aureus	N105_BC06	qacA
qacA	Staphylococcus_aureus	N109_BC03	qacA
qacA	Staphylococcus_aureus	N109_BC04	qacA
qacA	Staphylococcus_aureus	N109_BC05	qacA
qacA	Staphylococcus_aureus	N111_BC04	qacA
qacA	Staphylococcus_aureus	N111_BC05	qacA
qacA	Staphylococcus_aureus	N112_BC04	qacA
qacA	Staphylococcus_aureus	N112_BC06	qacA
qacA	Staphylococcus_aureus	N113_BC01	qacA
qacA	Staphylococcus_aureus	N113_BC04	qacA
qacA	Staphylococcus_aureus	N114_BC04	qacA
qacA	Staphylococcus_aureus	N115_BC03	qacA
qacA	Staphylococcus_aureus	N117_BC06	qacA
qacA	Staphylococcus_aureus	N122_BC05	qacA
qacA	Staphylococcus_aureus	N122_BC06	qacA
qacA	Staphylococcus_aureus	N122_BC07	qacA
qacA	Staphylococcus_aureus	N124_BC06	qacA
qacA	Staphylococcus_aureus	N128_BC12	qacA
qacA	Staphylococcus_aureus	N129_BC01	qacA
qacA	Staphylococcus_aureus	N129_BC11	qacA
qacA	Staphylococcus_aureus	N130_BC03	qacA
qacA	Staphylococcus_aureus	N131_BC07	qacA
qacA	Staphylococcus_aureus	N133_BC06	qacA
qacA	Staphylococcus_aureus	N138_BC08	qacA
qacA	Staphylococcus_aureus	N138_BC10	qacA
qacA	Staphylococcus_aureus	N138_BC12	qacA
qacA	Staphylococcus_aureus	N141_BC02	qacA
qacA	Staphylococcus_aureus	N141_BC02	qacA
qacA	Staphylococcus_aureus	N143_BC04	qacA
qacA	Staphylococcus_aureus	N143_BC05	qacA
qacA	Staphylococcus_aureus	N143_BC06	qacA
qacA	Staphylococcus_aureus	N143_BC07	qacA
qacA	Staphylococcus_aureus	N146_BC07	qacA
qacA	Staphylococcus_aureus	N146_BC08	qacA
qacA	Staphylococcus_aureus	N146_BC09	qacA
qacA	Staphylococcus_aureus	N147_BC11	qacA
qacA	Staphylococcus_aureus	N148_BC03	qacA
qacA	Staphylococcus_aureus	N148_BC07	qacA
qacA	Staphylococcus_aureus	N148_BC09	qacA
qacA	Staphylococcus_aureus	N152_BC01	qacA
qacA	Staphylococcus_aureus	N153_BC05	qacA
qacA	Staphylococcus_aureus	N153_BC12	qacA
qacA	Staphylococcus_aureus	N153_BC12	qacA
qacA	Staphylococcus_aureus	N154_BC01	qacA
qacA	Staphylococcus_aureus	N154_BC02	qacA
qacA	Staphylococcus_aureus	N154_BC04	qacA
qacA	Staphylococcus_aureus	N157_BC09	qacA
qacA	Staphylococcus_aureus	N158_BC03	qacA
qacA	Staphylococcus_aureus	N159_BC02	qacA
qacA	Staphylococcus_aureus	N162_BC02	qacA
qacA	Staphylococcus_aureus	N162_BC06	qacA
qacA	Staphylococcus_aureus	N163_BC12	qacA
qacA	Staphylococcus_aureus	N163_BC12	qacA
qacA	Staphylococcus_aureus	N164_BC02	qacA
qacA	Staphylococcus_aureus	N164_BC03	qacA
qacA	Staphylococcus_aureus	N164_BC04	qacA
