#species	lib	length	genomeID	n50	genome_quality
Achromobacter_sp.	N098_BC01	6604822	s_16	1616007	HIGH_QUAL
Achromobacter_sp.	N098_BC02	6736052	s_17	3460099	HIGH_QUAL
Achromobacter_sp.	N098_BC04	6551986	s_18	6486988	HIGH_QUAL
Achromobacter_sp.	N098_BC05	6759540	s_19	1878176	HIGH_QUAL
Achromobacter_sp.	N100_BC01	6631289	s_20	6565505	HIGH_QUAL
Achromobacter_sp.	N100_BC02	6626476	s_21	5607636	HIGH_QUAL
Achromobacter_sp.	N100_BC03	6557333	s_22	2272914	HIGH_QUAL
Achromobacter_sp.	N106_BC01	6629077	s_23	6563315	HIGH_QUAL
Achromobacter_sp.	N109_BC07	6637721	s_25	1232944	HIGH_QUAL
Achromobacter_sp.	N109_BC08	6671250	s_26	4014793	HIGH_QUAL
Achromobacter_sp.	N109_BC09	6161169	s_27	4074987	HIGH_QUAL
Achromobacter_sp.	N109_BC10	4862645	s_28	212011	MEDIUM_QUAL
Achromobacter_sp.	N111_BC11	6865723	s_29	915679	HIGH_QUAL
Achromobacter_sp.	N111_BC12	6474456	s_30	531892	HIGH_QUAL
Achromobacter_sp.	N112_BC01	7578785	s_31	476673	MEDIUM_QUAL
Achromobacter_sp.	N122_BC04	6883413	s_32	5854563	HIGH_QUAL
Achromobacter_sp.	N127_BC09	6769871	s_33	6702715	HIGH_QUAL
Achromobacter_sp.	N127_BC11	6785379	s_34	6718070	HIGH_QUAL
Achromobacter_sp.	N130_BC01	6621695	s_35	6556006	HIGH_QUAL
Achromobacter_sp.	N138_BC03	6631617	s_36	1718961	HIGH_QUAL
Achromobacter_sp.	N138_BC07	6775007	s_37	1938586	HIGH_QUAL
Achromobacter_sp.	N139_BC09	6608129	s_40	6542575	HIGH_QUAL
Achromobacter_sp.	N146_BC10	6832220	s_41	5540960	HIGH_QUAL
Achromobacter_sp.	N146_BC11	6869582	s_42	6801439	HIGH_QUAL
Achromobacter_sp.	N146_BC12	6866075	s_43	6797966	HIGH_QUAL
Achromobacter_sp.	N150_BC11	6046532	s_44	288712	HIGH_QUAL
Achromobacter_sp.	N151_BC06	4552348	s_45	60957	MEDIUM_QUAL
Achromobacter_sp.	N151_BC08	6605729	s_46	594759	HIGH_QUAL
Achromobacter_sp.	N151_BC10	6785220	s_47	6220926	HIGH_QUAL
Achromobacter_sp.	N151_BC12	6776892	s_48	5295095	HIGH_QUAL
Achromobacter_sp.	N154_BC09	6651645	s_49	6573477	HIGH_QUAL
Achromobacter_sp.	N154_BC10	7415221	s_50	231777	MEDIUM_QUAL
Achromobacter_sp.	N154_BC11	6672618	s_51	6580579	HIGH_QUAL
Achromobacter_sp.	N154_BC12	6629059	s_52	6563297	HIGH_QUAL
Achromobacter_sp.	N160_BC05	3763648	s_53	44514	MEDIUM_QUAL
Achromobacter_sp.	N160_BC08	6870967	s_54	6802809	HIGH_QUAL
Achromobacter_sp.	N160_BC09	6855802	s_55	6787796	HIGH_QUAL
Achromobacter_sp.	N161_BC02	6683492	s_56	5106123	HIGH_QUAL
Achromobacter_sp.	N162_BC11	7251740	s_58	5051731	HIGH_QUAL
Achromobacter_sp.	N167_BC11	6681224	s_62	340971	HIGH_QUAL
Achromobacter_sp.	N168_BC02	6488544	s_64	299198	HIGH_QUAL
Achromobacter_sp.	N168_BC03	6846762	s_65	5760508	HIGH_QUAL
Achromobacter_sp.	N170_BC04	6611113	s_66	948207	HIGH_QUAL
Achromobacter_sp.	N170_BC05	6441760	s_67	658453	HIGH_QUAL
Achromobacter_sp.	N170_BC11	7018622	s_70	6924398	HIGH_QUAL
Achromobacter_sp.	N170_BC12	5553139	s_71	121813	MEDIUM_QUAL
Achromobacter_sp.	N171_BC01	4113820	s_72	260924	MEDIUM_QUAL
Achromobacter_sp.	N171_BC02	5494389	s_73	166050	MEDIUM_QUAL
Achromobacter_sp.	N171_BC04	7068965	s_75	2142208	HIGH_QUAL
Achromobacter_sp.	N175_BC03	7014496	s_76	6944917	HIGH_QUAL
Achromobacter_sp.	N175_BC04	7038146	s_77	3601498	HIGH_QUAL
Achromobacter_sp.	N183_BC01	6697587	s_78	4606543	HIGH_QUAL
Achromobacter_sp.	N183_BC02	6745415	s_79	1887067	HIGH_QUAL
Achromobacter_sp.	N183_BC03	6688922	s_80	742932	HIGH_QUAL
Achromobacter_sp.	N185_BC02	6717631	s_81	659026	HIGH_QUAL
Achromobacter_sp.	N185_BC04	7008784	s_82	2020198	HIGH_QUAL
Achromobacter_sp.	N185_BC08	6962921	s_83	1401165	HIGH_QUAL
Achromobacter_sp.	N185_BC09	6972263	s_84	754224	HIGH_QUAL
Achromobacter_sp.	N187_BC02	6734493	s_85	439317	HIGH_QUAL
Achromobacter_sp.	N194_BC10	4026616	s_87	72801	MEDIUM_QUAL
