s_3579	s_3614	s_3625	s_3600	s_3587	s_3596	s_3626	s_3616	s_3642	s_3606	s_3641	s_3624	s_3608	s_3584	s_3597	s_3581	s_3635	s_3586	s_3599	s_3588	s_3633	s_3593	s_3612	s_3598	s_3583	s_3638	s_3607	s_3591	s_3580	s_3582	s_3611	s_3585	s_3590	s_3632	s_3627	s_3634	s_3617	s_3604	s_3578	s_3609	s_3615	s_3592	s_3589	s_3636	s_3628	s_3618	s_3643	s_3613
s_3579 0 0.00759282 0.00722450 0.00780453 0.00739004 0.00144546 0.00807920 0.00892242 0.00191890 0.00794365 0.00111632 0.00162502 0.00824623 0.00734993 0.00157223 0.00069605 0.00808709 0.00728391 0.00089137 0.00762792 0.00110671 0.00753507 0.00756141 0.00130243 0.00734709 0.00101948 0.00720673 0.00721606 0.00081019 0.05511227 0.00800826 0.00731967 0.00743944 0.00779478 0.00718727 0.00767350 0.05177258 0.00227468 0.00173460 0.00894886 0.00907326 0.00766542 0.00755098 0.05026927 0.00098729 0.00854992 0.00739013 0.00726861
s_3614 0.00759282 0 0.00831518 0.00836236 0.00781891 0.00798845 0.00902300 0.00961235 0.00852658 0.00932848 0.00783195 0.00836032 0.00923802 0.00830206 0.00803480 0.00733679 0.00872078 0.00806555 0.00747090 0.00841138 0.00780747 0.00826530 0.00875395 0.00775667 0.00777584 0.00772319 0.00801000 0.00774184 0.00736986 0.05663582 0.00148615 0.00835320 0.00812623 0.00126117 0.00792045 0.00826762 0.05230383 0.00921460 0.00826435 0.00997774 0.00951931 0.00824335 0.00837353 0.05166010 0.00776308 0.00950947 0.00779362 0.00797382
s_3625 0.00722450 0.00831518 0 0.00770451 0.00781115 0.00761949 0.00881627 0.00915577 0.00829199 0.00203960 0.00746719 0.00805270 0.00904061 0.00802216 0.00765554 0.00696457 0.00824606 0.00792744 0.00709554 0.00791541 0.00738742 0.00799004 0.00844849 0.00744083 0.00772902 0.00733445 0.00798338 0.00756678 0.00702206 0.05661911 0.00833225 0.00809035 0.00760470 0.00811091 0.00796700 0.00783284 0.05307485 0.00884374 0.00793556 0.00987348 0.00958612 0.00796573 0.00788295 0.05129715 0.00731304 0.00928637 0.00739397 0.00794538
s_3600 0.00780453 0.00836236 0.00770451 0 0.00812511 0.00807799 0.00787131 0.00981329 0.00864188 0.00859890 0.00786672 0.00817101 0.00806712 0.00731428 0.00815052 0.00753986 0.00197580 0.00711061 0.00759266 0.00858119 0.00788712 0.00809087 0.00744867 0.00795975 0.00804417 0.00780732 0.00795410 0.00775865 0.00753119 0.05475919 0.00850620 0.00731230 0.00839952 0.00838049 0.00794060 0.00860632 0.05193229 0.00901411 0.00853337 0.00871585 0.00979336 0.00819864 0.00854827 0.05022717 0.00780733 0.00922291 0.00798548 0.00798851
s_3587 0.00739004 0.00781891 0.00781115 0.00812511 0 0.00769955 0.00843732 0.00965876 0.00831293 0.00846868 0.00766002 0.00796392 0.00861100 0.00769532 0.00773338 0.00707507 0.00846134 0.00770899 0.00720041 0.00835252 0.00752617 0.00817205 0.00786387 0.00763921 0.00076400 0.00751755 0.00739620 0.00787299 0.00707997 0.05539262 0.00796408 0.00771001 0.00815425 0.00778513 0.00723539 0.00845660 0.05181037 0.00858476 0.00801583 0.00923399 0.00260446 0.00823339 0.00829569 0.04981315 0.00742871 0.00920890 0.00786728 0.00744656
s_3596 0.00144546 0.00798845 0.00761949 0.00807799 0.00769955 0 0.00840362 0.00923362 0.00232997 0.00830183 0.00146902 0.00203404 0.00856321 0.00769852 0.00186413 0.00116791 0.00846040 0.00769442 0.00122958 0.00801717 0.00155533 0.00798841 0.00794884 0.00163692 0.00765825 0.00139979 0.00760922 0.00764362 0.00122621 0.05528422 0.00838026 0.00771189 0.00779566 0.00823100 0.00761003 0.00802334 0.05202327 0.00259850 0.00221394 0.00919816 0.00944062 0.00806752 0.00791507 0.05106640 0.00140190 0.00902461 0.00771024 0.00766377
s_3626 0.00807920 0.00902300 0.00881627 0.00787131 0.00843732 0.00840362 0 0.01040035 0.00933056 0.00938468 0.00860728 0.00898302 0.00219116 0.00755280 0.00843526 0.00774937 0.00859783 0.00749413 0.00795907 0.00890180 0.00867984 0.00795489 0.00787637 0.00822890 0.00829394 0.00861960 0.00783963 0.00766946 0.00777359 0.05650850 0.00893547 0.00757041 0.00861372 0.00874575 0.00774948 0.00928063 0.05311683 0.00979228 0.00871498 0.00302634 0.01052833 0.00808335 0.00881055 0.05134019 0.00863817 0.00948605 0.00844775 0.00790363
s_3616 0.00892242 0.00961235 0.00915577 0.00981329 0.00965876 0.00923362 0.01040035 0 0.01013574 0.00998735 0.00932921 0.00981260 0.01051517 0.00984924 0.00929227 0.00859702 0.01004908 0.00983927 0.00877558 0.00254949 0.00920448 0.00996081 0.01031093 0.00910739 0.00948322 0.00933130 0.00970154 0.00957530 0.00857511 0.05720103 0.00982068 0.00990112 0.00227258 0.00974957 0.00972606 0.00249278 0.05314005 0.01042641 0.00943541 0.01130924 0.01121951 0.00995091 0.00241772 0.05326343 0.00922952 0.01108557 0.00949513 0.00966022
s_3642 0.00191890 0.00852658 0.00829199 0.00864188 0.00831293 0.00232997 0.00933056 0.01013574 0 0.00903974 0.00205324 0.00267098 0.00948839 0.00844425 0.00240726 0.00167683 0.00902008 0.00834335 0.00180092 0.00890473 0.00210234 0.00887545 0.00882936 0.00212014 0.00823721 0.00194497 0.00854293 0.00849388 0.00173825 0.05582870 0.00879585 0.00852282 0.00867851 0.00862537 0.00851893 0.00890149 0.05182994 0.00336129 0.00267364 0.01022038 0.01002159 0.00885160 0.00885479 0.05003181 0.00195576 0.01012040 0.00845028 0.00855496
s_3606 0.00794365 0.00932848 0.00203960 0.00859890 0.00846868 0.00830183 0.00938468 0.00998735 0.00903974 0 0.00836103 0.00887470 0.00935505 0.00874951 0.00826104 0.00774177 0.00917370 0.00867115 0.00778958 0.00870617 0.00833704 0.00865091 0.00913108 0.00808558 0.00845862 0.00830982 0.00865658 0.00829155 0.00777322 0.05656616 0.00920994 0.00875530 0.00845718 0.00904127 0.00867724 0.00879469 0.05326350 0.00940407 0.00865419 0.01030760 0.01051545 0.00868084 0.00855885 0.05155646 0.00827596 0.01005677 0.00841695 0.00875432
