G_20	s_263	s_194	s_252	s_201	s_245	s_228	s_341	s_274	G_18	s_205	s_222	s_248	s_226	s_231	G_31	G_22	s_261	s_215	s_296	s_240	s_224	G_33	s_326	s_208	s_336	s_343	s_219	s_257	s_279	s_237	s_196	s_183	G_2	G_27	s_321	s_304	s_246	G_14	s_286	s_288	s_269	s_241	G_10	s_265	G_5	s_282	s_323	s_192	G_16	s_239	s_344	s_220	s_243	s_203	s_250	s_187	G_25	s_297	s_330	s_184	G_21	s_299	s_338	s_329	s_254	s_349	s_233	s_209	G_28	s_300	s_313	s_188	s_308	G_19	s_347	s_216	G_17	s_229	s_314	s_195	G_9	G_12	s_275	s_218	G_4	s_202	s_253	s_225	s_337	s_227	s_214	s_291	s_339	s_346	s_273	s_260	s_249	s_221	s_191	s_311	s_185	G_32	s_293	s_332	s_280	s_284	s_320	s_236	G_36	G_34	G_23	s_306	s_316	s_223	s_262	s_322	s_325	s_287	s_328	G_7	s_256	s_350	s_230	s_207	s_310	G_8	s_234	s_303	s_258	G_35	s_242	s_281	s_324	G_1	G_26	G_11	s_204	s_307	s_295	s_305	s_298	G_15	s_217	s_251	s_264	s_285	s_315	s_193	s_255	G_6	s_289	G_30	s_266	G_29	s_302	s_235	G_3	s_290	s_211	s_206	s_232	s_210	s_292	s_186	G_24	s_348	s_238	s_270	G_13	s_340
G_20 0 0.01803030 0.01807329 0.01872508 0.01982401 0.00258280 0.01789082 0.01837222 0.02044968 0.00253986 0.01907111 0.01812198 0.01808043 0.01805154 0.01780604 0.00239816 0.00243906 0.00258208 0.01805080 0.01827073 0.01804611 0.01794204 0.00236189 0.00252004 0.01810267 0.02038976 0.01859508 0.01815540 0.01862624 0.00249539 0.00250784 0.00436255 0.01803736 0.00603988 0.00239342 0.01692004 0.01810786 0.00256018 0.00265882 0.01797755 0.01781725 0.01787783 0.01794561 0.01364749 0.01809452 0.00240008 0.01796436 0.01626013 0.01798760 0.00267008 0.01793813 0.00251386 0.01808993 0.01793521 0.01839164 0.02017656 0.01805241 0.00251175 0.01850994 0.01842704 0.01810165 0.00242760 0.01825177 0.01783430 0.01754754 0.01814273 0.01879966 0.00256787 0.01813910 0.00248126 0.01846822 0.01843485 0.01806145 0.00258557 0.00268254 0.00366941 0.01804815 0.00242537 0.01782583 0.00254818 0.01818428 0.00239913 0.00269753 0.02027359 0.01820475 0.00238772 0.01978368 0.00252970 0.01802800 0.02026734 0.01803272 0.01812181 0.00258330 0.01778687 0.01874954 0.01798290 0.00253552 0.01807640 0.00262548 0.01802658 0.01809047 0.01806060 0.00265589 0.00256471 0.01803703 0.00256825 0.01792031 0.01637650 0.00250532 0.00262435 0.00252393 0.00240095 0.00253022 0.02075309 0.01777226 0.02076573 0.01785902 0.01790558 0.01788242 0.01862271 0.00237282 0.00256517 0.01881623 0.01779057 0.01801219 0.00250407 0.00266093 0.00256581 0.01816060 0.01739932 0.00254032 0.01813421 0.01838243 0.01888528 0.00631159 0.00239649 0.00606719 0.01850472 0.01912613 0.01821064 0.01770379 0.01971675 0.00240905 0.01807506 0.02022492 0.01782717 0.01790592 0.01790628 0.01793201 0.01818632 0.00276909 0.01826265 0.00240985 0.01787768 0.00237806 0.01825778 0.00251105 0.01357795 0.01904931 0.01793103 0.01909945 0.00251108 0.01812360 0.00257320 0.01809455 0.00261139 0.01797489 0.00250520 0.01794302 0.00238019 0.01810052
s_263 0.01803030 0 0.01791461 0.01818824 0.01995713 0.01779278 0.00132295 0.01817095 0.02031214 0.01787869 0.01868562 0.00129015 0.00128508 0.00122145 0.00127130 0.01782359 0.01795883 0.01790107 0.00118286 0.00140655 0.00122814 0.00122390 0.01783464 0.01769450 0.00120339 0.02072940 0.01820269 0.00131256 0.01811363 0.01754095 0.01767429 0.01825999 0.00121101 0.01792940 0.01776897 0.00014732 0.00124449 0.01770484 0.01789853 0.01827383 0.01871365 0.01852533 0.00120846 0.01884681 0.00016033 0.01785239 0.01962959 0.00124454 0.00122526 0.01804987 0.00121796 0.01772758 0.00127976 0.00121360 0.01883658 0.02017752 0.00122315 0.01788717 0.01924801 0.01866923 0.00122026 0.01792601 0.00144060 0.00123891 0.01822816 0.00128688 0.01776958 0.01789500 0.00119757 0.01792654 0.00171608 0.01896221 0.01786463 0.01775079 0.01796290 0.01798776 0.00127944 0.01776863 0.00130784 0.01769767 0.01803154 0.01779805 0.01789479 0.02027114 0.01717262 0.01783439 0.01990802 0.01775856 0.00117221 0.02025970 0.00124314 0.00119741 0.01769494 0.00122326 0.01819371 0.01872506 0.01773872 0.01745004 0.01763117 0.00121523 0.00120902 0.00119780 0.01792544 0.01768590 0.00124172 0.01772222 0.01825814 0.01747416 0.01767288 0.01792426 0.01781485 0.01778177 0.01775671 0.02084260 0.00121219 0.02043934 0.01864762 0.01968223 0.01828069 0.01956970 0.01780487 0.01764940 0.01776648 0.00139444 0.00122456 0.01760134 0.01785935 0.01775549 0.00126130 0.01675578 0.01783192 0.00122756 0.01973602 0.01964815 0.01785552 0.01765124 0.01781534 0.01888744 0.01973884 0.01933906 0.00124056 0.01980731 0.01786884 0.00122666 0.02020686 0.00017968 0.01825887 0.01713258 0.00117014 0.00131600 0.01797989 0.01876208 0.01792674 0.01863325 0.01786166 0.01763301 0.01767798 0.01888110 0.01978195 0.00119531 0.01874433 0.01763509 0.00121104 0.01766021 0.00120016 0.01787559 0.01788725 0.01763546 0.01853696 0.01781472 0.00121575
s_194 0.01807329 0.01791461 0 0.00973055 0.01940143 0.01752442 0.01707764 0.01850721 0.01910069 0.01770907 0.01781659 0.01709055 0.01723228 0.01720168 0.01704692 0.01766804 0.01783749 0.01760922 0.01707531 0.01740385 0.01704375 0.01713981 0.01767219 0.01760388 0.01728820 0.01950548 0.01859912 0.01726411 0.01157344 0.01760560 0.01750528 0.01760140 0.01749194 0.01783391 0.01774825 0.01707440 0.01735245 0.01744040 0.01775659 0.01755880 0.01783347 0.01772630 0.01702989 0.01875103 0.01769018 0.01767878 0.01906943 0.01737927 0.01749158 0.01782851 0.01713684 0.01756581 0.01723206 0.01708640 0.01748707 0.01361379 0.01748484 0.01775779 0.01754442 0.01774920 0.01760076 0.01774610 0.01735974 0.01721494 0.01741504 0.01715137 0.01099603 0.01748955 0.01724925 0.01774065 0.01745236 0.01775463 0.00004158 0.01765157 0.01781762 0.01793319 0.01724308 0.01765702 0.01700492 0.01759171 0.00005874 0.01771522 0.01775219 0.01907460 0.00977302 0.01771055 0.01944619 0.01738732 0.01710052 0.01913080 0.01718519 0.01715602 0.01762887 0.01716300 0.01851290 0.01166895 0.01758685 0.01149340 0.01741383 0.01733425 0.01726545 0.01740981 0.01783342 0.01759750 0.01724064 0.01762617 0.01751525 0.00995427 0.01744337 0.01775127 0.01776536 0.01767058 0.01762239 0.01417288 0.01697631 0.01962290 0.01771212 0.01908175 0.01752587 0.01917649 0.01769999 0.01749848 0.01101814 0.01710681 0.01723410 0.01742354 0.01786838 0.01759935 0.01722169 0.01000353 0.01782601 0.01722371 0.01907484 0.01198089 0.01782140 0.01774224 0.01780189 0.01748586 0.01801559 0.01854234 0.01716804 0.01869571 0.01772871 0.01723299 0.01363612 0.01770078 0.01758996 0.01081442 0.01753022 0.01731586 0.01783863 0.01784346 0.01770250 0.01759993 0.01789538 0.01001057 0.01745072 0.01879318 0.01925786 0.01706206 0.01784875 0.01742028 0.01734480 0.01754230 0.01747439 0.01777099 0.00003595 0.01748764 0.01754994 0.01768854 0.01724443
s_252 0.01872508 0.01818824 0.00973055 0 0.01980206 0.01875346 0.01778517 0.01868613 0.02015966 0.01850394 0.01909923 0.01811002 0.01805125 0.01799614 0.01767799 0.01854350 0.01874036 0.01840891 0.01790819 0.01780675 0.01800488 0.01806811 0.01849053 0.01846174 0.01806133 0.02038218 0.01871924 0.01811522 0.01064397 0.01822006 0.01869182 0.01973274 0.01812463 0.01857561 0.01844697 0.01689326 0.01775852 0.01859963 0.01870550 0.01746038 0.01752560 0.01802109 0.01797080 0.01885523 0.01820567 0.01848055 0.01936846 0.01815984 0.01798800 0.01871648 0.01794077 0.01853447 0.01817724 0.01801332 0.01752284 0.01519663 0.01800900 0.01856642 0.01737576 0.01737291 0.01812324 0.01868086 0.01778799 0.01765063 0.01726865 0.01767494 0.00904075 0.01882782 0.01811373 0.01860358 0.01790917 0.01798869 0.00971204 0.01857279 0.01863730 0.01886614 0.01804119 0.01840077 0.01763920 0.01846246 0.00976146 0.01854485 0.01839953 0.02001433 0.00974053 0.01858778 0.01971175 0.01843709 0.01799370 0.02016203 0.01811861 0.01777440 0.01847234 0.01769198 0.01863064 0.00661285 0.01840558 0.01045033 0.01832088 0.01796256 0.01770634 0.01803534 0.01864257 0.01847747 0.01769650 0.01847645 0.01746278 0.01161929 0.01876195 0.01867798 0.01862009 0.01849026 0.01855149 0.01579347 0.01790143 0.01975413 0.01790452 0.01943166 0.01744039 0.01954863 0.01857995 0.01838017 0.00910707 0.01774570 0.01798220 0.01835777 0.01869717 0.01879773 0.01775504 0.01155696 0.01855067 0.01812132 0.01947569 0.00739953 0.01852444 0.01849712 0.01838453 0.01753925 0.01777022 0.01930217 0.01738325 0.01946046 0.01850011 0.01804751 0.01524031 0.01819045 0.01743549 0.00979906 0.01787204 0.01765668 0.01875494 0.01749071 0.01854138 0.01783406 0.01869403 0.00982744 0.01864414 0.01891321 0.01930956 0.01785585 0.01909160 0.01864338 0.01809452 0.01839497 0.01809624 0.01863779 0.00950580 0.01873867 0.01792062 0.01845520 0.01767645
s_201 0.01982401 0.01995713 0.01940143 0.01980206 0 0.01920155 0.01998922 0.01994123 0.02188422 0.01981208 0.02050767 0.02016755 0.02011288 0.01999251 0.02001075 0.01934356 0.01984625 0.01924989 0.02026341 0.02037843 0.02006922 0.02014254 0.01945136 0.01932988 0.02019732 0.02248044 0.01975275 0.02013955 0.01914535 0.01936538 0.01920101 0.02039978 0.02032121 0.01962560 0.01936850 0.01865051 0.02021620 0.01933761 0.01943545 0.01948586 0.02021942 0.01925734 0.02001001 0.02009134 0.01989493 0.01949431 0.02065652 0.02013589 0.02030322 0.01958019 0.02003569 0.01938477 0.02011246 0.02004412 0.02003518 0.02141614 0.02019661 0.01974422 0.02019832 0.02012311 0.02026846 0.01957882 0.02044624 0.02031800 0.01929329 0.02012988 0.01929835 0.01921181 0.02019873 0.01979767 0.02008108 0.02041038 0.01939686 0.01924738 0.01954067 0.01941826 0.02024159 0.01939649 0.01987166 0.01935479 0.01957571 0.01943249 0.01937968 0.02195801 0.01899919 0.01938430 0.00010123 0.01927647 0.02000510 0.02196878 0.02009660 0.02007098 0.01932772 0.02029295 0.01969740 0.01967029 0.01934411 0.01891341 0.01931174 0.02027793 0.02020008 0.02030524 0.01941474 0.01920873 0.02015126 0.01933932 0.01937341 0.01917612 0.01914677 0.01974042 0.01977189 0.01939197 0.01929018 0.02203794 0.01999719 0.02120021 0.01934193 0.02047620 0.01937521 0.02036237 0.01941099 0.01923188 0.01932384 0.01999720 0.02014304 0.01914309 0.01988000 0.01918984 0.02012475 0.01914264 0.01970551 0.02010458 0.02039808 0.02010211 0.01946569 0.01932170 0.01954324 0.02002720 0.02015047 0.02043403 0.02014002 0.02136171 0.01948459 0.02017649 0.02147638 0.01981780 0.01945129 0.01872527 0.02017945 0.02022035 0.01980542 0.02012125 0.01945769 0.01918550 0.01951335 0.01911097 0.01920494 0.02003174 0.00008072 0.02011227 0.02048335 0.01919466 0.02020049 0.01928392 0.02031871 0.01955949 0.01918926 0.01911354 0.01929965 0.01936191 0.02031813
s_245 0.00258280 0.01779278 0.01752442 0.01875346 0.01920155 0 0.01717473 0.01815344 0.02007452 0.00034032 0.01805791 0.01729582 0.01727248 0.01720815 0.01707744 0.00034362 0.00035567 0.00011718 0.01713789 0.01746931 0.01720950 0.01716971 0.00032479 0.00008407 0.01681053 0.02047700 0.01820193 0.01738553 0.01835182 0.00009930 0.00008489 0.00275820 0.01721238 0.00336199 0.00033861 0.01660645 0.01728960 0.00014144 0.00036725 0.01769965 0.01800817 0.01729532 0.01711003 0.01789564 0.01774295 0.00035219 0.01821095 0.01700956 0.01717436 0.00036801 0.01664436 0.00010270 0.01739695 0.01712569 0.01760016 0.02040221 0.01713937 0.00036886 0.01807282 0.01791181 0.01735102 0.00040735 0.01748873 0.01716891 0.01764223 0.01729614 0.01832208 0.00014659 0.01728927 0.00036173 0.01775183 0.01770762 0.01751434 0.00015173 0.00035852 0.00166891 0.01729726 0.00032818 0.01709492 0.00008500 0.01766241 0.00034094 0.00033636 0.02004442 0.01734345 0.00034896 0.01923313 0.00013412 0.01718787 0.01998471 0.01729044 0.01731802 0.00013855 0.01732391 0.01822913 0.01754090 0.00012356 0.01794169 0.00018634 0.01721295 0.01731271 0.01721118 0.00037355 0.00013479 0.01732364 0.00010267 0.01764128 0.01741231 0.00009118 0.00054681 0.00042523 0.00032906 0.00012704 0.02096879 0.01698968 0.01953623 0.01755739 0.01822449 0.01768976 0.01839969 0.00034673 0.00014562 0.01832568 0.01721465 0.01720465 0.00009349 0.00031561 0.00014018 0.01731751 0.01741117 0.00038200 0.01730849 0.01809439 0.01827163 0.00363687 0.00032702 0.00337796 0.01775936 0.01854032 0.01795417 0.01727318 0.01886459 0.00033760 0.01730723 0.02033115 0.01780135 0.01767840 0.01787623 0.01707739 0.01730133 0.00041328 0.01801684 0.00035572 0.01741822 0.00037286 0.01775980 0.00008725 0.01783295 0.01893414 0.01709544 0.01799901 0.00011400 0.01732774 0.00014831 0.01732781 0.00033659 0.01713385 0.00009690 0.01732634 0.00033154 0.01734345
s_228 0.01789082 0.00132295 0.01707764 0.01778517 0.01998922 0.01717473 0 0.01791480 0.01982618 0.01722347 0.01833429 0.00087095 0.00085987 0.00080227 0.00010153 0.01715252 0.01742645 0.01721643 0.00052633 0.00075305 0.00079101 0.00079797 0.01722053 0.01717011 0.00053361 0.02020979 0.01788042 0.00062101 0.01742656 0.01706695 0.01707157 0.01750282 0.00052906 0.01769430 0.01718279 0.00141496 0.00078846 0.01703913 0.01751517 0.01760396 0.01861613 0.01811688 0.00078937 0.01855365 0.00126492 0.01723118 0.01880146 0.00053629 0.00057132 0.01758634 0.00078851 0.01718176 0.00083542 0.00078856 0.01834419 0.01994741 0.00053186 0.01717956 0.01892908 0.01856819 0.00056475 0.01724282 0.00109879 0.00054008 0.01753976 0.00084449 0.01732865 0.01712398 0.00052610 0.01732014 0.00105000 0.01845494 0.01713942 0.01722428 0.01761146 0.01746447 0.00057945 0.01716622 0.00017402 0.01718504 0.01727222 0.01725046 0.01757260 0.01978747 0.01682754 0.01720659 0.01998757 0.01711850 0.00079857 0.01972217 0.00084957 0.00051131 0.01717066 0.00054952 0.01788097 0.01796234 0.01720773 0.01708465 0.01689082 0.00053428 0.00080366 0.00053185 0.01753799 0.01719982 0.00056196 0.01723735 0.01758771 0.01664938 0.01707073 0.01737954 0.01731141 0.01713945 0.01718053 0.02041893 0.00079215 0.01968046 0.01827495 0.01896774 0.01761065 0.01882632 0.01712546 0.01724254 0.01739054 0.00024404 0.00053979 0.01704069 0.01755624 0.01712937 0.00084529 0.01691104 0.01719331 0.00079550 0.01894872 0.01838421 0.01770008 0.01718404 0.01758027 0.01843084 0.01938874 0.01865907 0.00010589 0.01946286 0.01713825 0.00053566 0.01996221 0.00128613 0.01757835 0.01695399 0.00054177 0.00089282 0.01762919 0.01870226 0.01721054 0.01810379 0.01729370 0.01727256 0.01713117 0.01851826 0.01901124 0.00055024 0.01841196 0.01701187 0.00055536 0.01708907 0.00053384 0.01753661 0.01731366 0.01710584 0.01800467 0.01717106 0.00054356
s_341 0.01837222 0.01817095 0.01850721 0.01868613 0.01994123 0.01815344 0.01791480 0 0.02068268 0.01779460 0.01928112 0.01807643 0.01796595 0.01797793 0.01784199 0.01754655 0.01771901 0.01824987 0.01822277 0.01847294 0.01797456 0.01796682 0.01769906 0.01811619 0.01831796 0.02062549 0.00005658 0.01802183 0.01872664 0.01808896 0.01799790 0.01861439 0.01819383 0.01802302 0.01763215 0.01730943 0.01800490 0.01806292 0.01786037 0.01861176 0.01829634 0.01855342 0.01782020 0.01862778 0.01814602 0.01771936 0.01839534 0.01643673 0.01829055 0.01796426 0.01785284 0.01769039 0.01805728 0.01785279 0.01927153 0.02108109 0.01823563 0.01780316 0.01941779 0.01900681 0.01827911 0.01775727 0.01871634 0.01800813 0.01809548 0.01803152 0.01747117 0.01816963 0.01832032 0.01767019 0.01839987 0.01929440 0.01837527 0.01831232 0.01796517 0.01786627 0.01830377 0.01758642 0.01781492 0.01804358 0.01855192 0.01770940 0.01799277 0.02036725 0.01812099 0.01759512 0.01981825 0.01802313 0.01792711 0.02048247 0.01808075 0.01802572 0.01828545 0.01800619 0.00004926 0.01819321 0.01809824 0.01817583 0.01796077 0.01818643 0.01801836 0.01808975 0.01795397 0.01821669 0.01824121 0.01833900 0.01849131 0.01635997 0.01811163 0.01774261 0.01759729 0.01760400 0.01816695 0.02162884 0.01772161 0.02121353 0.01860786 0.01840737 0.01848698 0.01939590 0.01764110 0.01813244 0.01738316 0.01781127 0.01819914 0.01786492 0.01791085 0.01815676 0.01806411 0.01743396 0.01767897 0.01807011 0.01918016 0.01922878 0.01786733 0.01763730 0.01787695 0.01912851 0.01972154 0.01913284 0.01777442 0.02011892 0.01774400 0.01827137 0.02113112 0.01797587 0.01849564 0.01800111 0.01819299 0.01812457 0.01787509 0.01863049 0.01768056 0.01850691 0.01777328 0.01836702 0.01808565 0.01862819 0.01932140 0.01816582 0.01936861 0.01800126 0.01839618 0.01803080 0.01827184 0.01787883 0.01759822 0.01813576 0.01848613 0.01761290 0.01826377
s_274 0.02044968 0.02031214 0.01910069 0.02015966 0.02188422 0.02007452 0.01982618 0.02068268 0 0.02001229 0.00488103 0.02008790 0.02010274 0.01996082 0.01968464 0.02004665 0.02027337 0.02015603 0.02005477 0.01988562 0.02005598 0.02007246 0.02008029 0.01999988 0.02008605 0.00139618 0.02075153 0.02008679 0.01955469 0.02004210 0.01976580 0.02000514 0.02015739 0.01994012 0.01999996 0.01880129 0.01986196 0.01989990 0.02016271 0.01104940 0.01333868 0.02034847 0.01986128 0.02128506 0.02028718 0.02010130 0.02059541 0.01944180 0.01992872 0.02024353 0.01997315 0.02010793 0.02008357 0.01980278 0.01277712 0.01765758 0.02002687 0.02006195 0.01319974 0.01333954 0.02018202 0.02015434 0.01999749 0.01969356 0.01084393 0.02025385 0.01923235 0.01998123 0.02006432 0.02027621 0.02004533 0.00731386 0.01900206 0.02011694 0.01993251 0.01998557 0.01999710 0.02002758 0.01962365 0.01988731 0.01915229 0.02005708 0.01994057 0.00095230 0.01828100 0.02007498 0.02185765 0.01977223 0.01998507 0.00108734 0.02003107 0.02018354 0.02005668 0.01974433 0.02067307 0.01999473 0.01995927 0.01925133 0.01979953 0.02002324 0.01978002 0.02006724 0.02014727 0.02001178 0.01968821 0.02001778 0.01108938 0.01895208 0.01999797 0.02026617 0.02019543 0.02003923 0.02006584 0.01790357 0.01992315 0.00930050 0.02016141 0.02056969 0.01108141 0.02048805 0.02003976 0.01991763 0.01924938 0.01966878 0.01999387 0.01994316 0.02035076 0.02008633 0.01977769 0.01828039 0.02009978 0.02010900 0.02056457 0.02060565 0.01995965 0.02002769 0.01970934 0.01271482 0.01358453 0.02025393 0.01952581 0.00569192 0.02007602 0.01996949 0.01772452 0.02014685 0.01109534 0.01892336 0.01984586 0.02021108 0.02031816 0.01337697 0.02005603 0.02035101 0.02014662 0.01862339 0.01980381 0.02133511 0.02154703 0.01986863 0.00500717 0.01991457 0.02013185 0.01996430 0.02006803 0.02012753 0.01902763 0.01999924 0.02031246 0.02005509 0.01986881
G_18 0.00253986 0.01787869 0.01770907 0.01850394 0.01981208 0.00034032 0.01722347 0.01779460 0.02001229 0 0.01824621 0.01778788 0.01779621 0.01774281 0.01713425 0.00013216 0.00047077 0.00032975 0.01764835 0.01794712 0.01774442 0.01760856 0.00012325 0.00030320 0.01781037 0.02001368 0.01795446 0.01775669 0.01847797 0.00031008 0.00030333 0.00242577 0.01776789 0.00366890 0.00014618 0.01691775 0.01774141 0.00033609 0.00021842 0.01770326 0.01769534 0.01772445 0.01770272 0.01857763 0.01793612 0.00013398 0.01790952 0.01571507 0.01767150 0.00018962 0.01761133 0.00030580 0.01780389 0.01759729 0.01791362 0.01996576 0.01774151 0.00012467 0.01804239 0.01783271 0.01778521 0.00018445 0.01795281 0.01749993 0.01728821 0.01776607 0.01836629 0.00033838 0.01772492 0.00048039 0.01807914 0.01711650 0.01763988 0.00035023 0.00018498 0.00150018 0.01770264 0.00013784 0.01710518 0.00031301 0.01783692 0.00013040 0.00016516 0.01984056 0.01752428 0.00013458 0.01974508 0.00032263 0.01764440 0.01979998 0.01778510 0.01760395 0.00033995 0.01751155 0.01822251 0.01788965 0.00033465 0.01796263 0.00033727 0.01770897 0.01778914 0.01771940 0.00021667 0.00033511 0.01753603 0.00032210 0.01761316 0.01567904 0.00030675 0.00064732 0.00054339 0.00014018 0.00031766 0.02051292 0.01749374 0.02022634 0.01776607 0.01778357 0.01759243 0.01859090 0.00013450 0.00035089 0.01829786 0.01714987 0.01770597 0.00030397 0.00048875 0.00035772 0.01783629 0.01668920 0.00016030 0.01783540 0.01833472 0.01874907 0.00393190 0.00012409 0.00371808 0.01801469 0.01840386 0.01811232 0.01705807 0.01888830 0.00015178 0.01778897 0.01995431 0.01772086 0.01764161 0.01786124 0.01757600 0.01785325 0.00050624 0.01791734 0.00013087 0.01765301 0.00014003 0.01757783 0.00030279 0.01859071 0.01893485 0.01770376 0.01821175 0.00030707 0.01781115 0.00035031 0.01781650 0.00015201 0.01751283 0.00030344 0.01766702 0.00012349 0.01776551
