	Acinetobacter_lwoffii_N199_BC07	Acinetobacter_pittii_N104_BC09	Acinetobacter_pittii_N214_BC03	Aerococcus_viridans_N127_BC12	Bacillus_cereus_N128_BC08	Bacillus_cereus_N204_BC03	Bacillus_thuringiensis_N101_BC05	Bacillus_thuringiensis_N118_BC06	Bacillus_thuringiensis_N128_BC08	Bacillus_thuringiensis_N162_BC02	Bacillus_thuringiensis_N183_BC12	Bacillus_thuringiensis_N219_BC01	Bacillus_thuringiensis_N221_BC09	Bacillus_thuringiensis_N236_BC05	Bacillus_thuringiensis_N238_BC12	Burkholderia_cenocepacia_N139_BC07	Burkholderia_cenocepacia_N209_BC12	Burkholderia_contaminans_N151_BC06	Burkholderia_lata_N104_BC06	Burkholderia_lata_N127_BC08	Burkholderia_lata_N127_BC10	Burkholderia_lata_N139_BC07	Burkholderia_lata_N139_BC08	Burkholderia_lata_N150_BC11	Burkholderia_lata_N151_BC06	Burkholderia_lata_N200_BC05	Candida_albicans_N235_BC07	Candida_dubliniensis_N235_BC07	Candida_dubliniensis_N239_BC02	Chromobacterium_vaccinii_N175_BC04	Chromobacterium_vaccinii_N183_BC04	Chromobacterium_vaccinii_N187_BC02	Chromobacterium_vaccinii_N196_BC09	Chromobacterium_vaccinii_N208_BC01	Chromobacterium_vaccinii_N227_BC02	Chromobacterium_vaccinii_N228_BC06	Chromobacterium_violaceum_N196_BC11	Chromobacterium_violaceum_N221_BC06	Comamonas_testosteroni_N114_BC09	Corynebacterium_striatum_N230_BC07	Elizabethkingia_anophelis_N109_BC09	Elizabethkingia_anophelis_N167_BC01	Elizabethkingia_anophelis_N221_BC03	Elizabethkingia_genomosp._N155_BC09	Elizabethkingia_genomosp._N221_BC03	Elizabethkingia_miricola_N109_BC06	Elizabethkingia_miricola_N109_BC10	Elizabethkingia_miricola_N138_BC07	Elizabethkingia_miricola_N161_BC04	Elizabethkingia_miricola_N161_BC05	Elizabethkingia_miricola_N161_BC06	Elizabethkingia_miricola_N167_BC02	Elizabethkingia_miricola_N167_BC04	Elizabethkingia_miricola_N171_BC04	Elizabethkingia_miricola_N194_BC10	Elizabethkingia_miricola_N217_BC08	Elizabethkingia_miricola_N239_BC03	Enterococcus_sp._N233_BC08	Lysinibacillus_sp._N170_BC01	Lysinibacillus_sp._N220_BC01	Lysinibacillus_sp._N234_BC11	Macrococcus_sp._N125_BC08	Paenibacillus_sp._N132_BC08	Paenibacillus_sp._N143_BC11	Paenibacillus_sp._N173_BC04	Paenibacillus_sp._N190_BC10	Paenibacillus_sp._N198_BC04	Paenibacillus_sp._N220_BC06	Paenibacillus_xylanexedens_N101_BC06	Paenibacillus_xylanexedens_N195_BC10	Pantoea_rwandensis_N156_BC03	Plautia_stali_N105_BC01	Pseudomonas_oryzihabitans_N112_BC11	Pseudomonas_putida_N188_BC01	Pseudomonas_putida_N192_BC11	Pseudomonas_putida_N198_BC03	Pseudomonas_putida_N227_BC03	Pseudomonas_resinovorans_N133_BC12	Pseudomonas_sp._N104_BC04	Sphingomonas_sp._N156_BC01	Sphingomonas_sp._N156_BC02	Sphingomonas_sp._N162_BC07	Sphingomonas_sp._N182_BC07	Sphingomonas_sp._N182_BC08	Sphingomonas_sp._N215_BC02	Sphingomonas_sp._N216_BC07	Sphingomonas_sp._N223_BC05	Staphylococcus_capitis_N103_BC08	Staphylococcus_capitis_N108_BC10	Staphylococcus_capitis_N113_BC01	Staphylococcus_capitis_N113_BC02	Staphylococcus_capitis_N113_BC03	Staphylococcus_capitis_N114_BC03	Staphylococcus_capitis_N116_BC10	Staphylococcus_capitis_N121_BC07	Staphylococcus_capitis_N125_BC06	Staphylococcus_capitis_N125_BC07	Staphylococcus_capitis_N125_BC08	Staphylococcus_capitis_N128_BC08	Staphylococcus_capitis_N128_BC10	Staphylococcus_capitis_N128_BC11	Staphylococcus_capitis_N131_BC08	Staphylococcus_capitis_N131_BC09	Staphylococcus_capitis_N131_BC10	Staphylococcus_capitis_N135_BC02	Staphylococcus_capitis_N135_BC03	Staphylococcus_capitis_N136_BC10	Staphylococcus_capitis_N140_BC11	Staphylococcus_capitis_N154_BC02	Staphylococcus_capitis_N165_BC06	Staphylococcus_capitis_N169_BC03	Staphylococcus_capitis_N176_BC05	Staphylococcus_capitis_N176_BC06	Staphylococcus_capitis_N178_BC01	Staphylococcus_capitis_N181_BC06	Staphylococcus_capitis_N188_BC05	Staphylococcus_capitis_N200_BC09	Staphylococcus_capitis_N202_BC02	Staphylococcus_capitis_N203_BC06	Staphylococcus_capitis_N209_BC03	Staphylococcus_capitis_N210_BC05	Staphylococcus_capitis_N212_BC03	Staphylococcus_capitis_N217_BC06	Staphylococcus_capitis_N218_BC02	Staphylococcus_capitis_N220_BC11	Staphylococcus_capitis_N221_BC07	Staphylococcus_capitis_N225_BC11	Staphylococcus_capitis_N233_BC04	Staphylococcus_capitis_N235_BC02	Staphylococcus_capitis_N237_BC11	Staphylococcus_capitis_N238_BC04	Staphylococcus_cohnii_N101_BC08	Staphylococcus_cohnii_N129_BC02	Staphylococcus_kloosii_N232_BC10	Staphylococcus_piscifermentans_N233_BC03	Staphylococcus_succinus_N168_BC08	Staphylococcus_succinus_N176_BC09	Staphylococcus_succinus_N176_BC11	Staphylococcus_succinus_N176_BC12	Staphylococcus_succinus_N202_BC08	Staphylococcus_succinus_N225_BC07	Stenotrophomonas_maltophilia_N116_BC12	Stenotrophomonas_maltophilia_N117_BC02	Stenotrophomonas_maltophilia_N131_BC06	Stenotrophomonas_maltophilia_N178_BC12	Stenotrophomonas_maltophilia_N188_BC07	Stenotrophomonas_maltophilia_N188_BC09	Stenotrophomonas_maltophilia_N188_BC10	Stenotrophomonas_maltophilia_N201_BC07	Stenotrophomonas_maltophilia_N203_BC03	Stenotrophomonas_maltophilia_N216_BC11	Stenotrophomonas_maltophilia_N228_BC08	Streptococcus_salivarius_N174_BC07	
Acinetobacter_lwoffii_N199_BC07	0	0.224525	0.250557	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	0.405585	1.0	1.0	0.405585	1.0	0.35328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	0.405585	1.0	0.405585	1.0	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	1.0	0.295981	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	
Acinetobacter_pittii_N104_BC09	0.224525	0	0.0426724	1.0	1.0	1.0	0.35328	1.0	1.0	0.372583	1.0	0.372583	0.372583	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.35328	0.35328	0.320287	0.35328	0.35328	0.328965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.312952	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	
Acinetobacter_pittii_N214_BC03	0.250557	0.0426724	0	1.0	1.0	1.0	0.405585	1.0	1.0	0.405585	1.0	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.35328	0.35328	0.339586	0.35328	0.328965	0.339586	0.372583	0.35328	0.35328	0.35328	0.35328	0.339586	0.372583	0.372583	0.405585	0.35328	0.35328	0.35328	0.35328	0.339586	0.35328	0.35328	0.405585	0.35328	0.339586	0.35328	0.372583	0.372583	0.328965	0.35328	0.35328	0.35328	0.35328	0.405585	0.339586	0.405585	0.35328	0.339586	0.372583	0.339586	0.35328	0.35328	0.372583	0.372583	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	
Aerococcus_viridans_N127_BC12	0.405585	1.0	1.0	0	0.328965	0.328965	0.372583	0.339586	0.328965	0.35328	0.328965	0.339586	0.328965	0.339586	0.328965	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.273629	0.35328	0.339586	0.328965	0.328965	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.328965	0.339586	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.372583	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.300994	0.283502	0.291447	0.295981	0.291447	0.372583	0.295981	0.312952	0.306598	0.295981	0.300994	0.306598	0.306598	0.295981	0.320287	0.320287	0.339586	0.320287	0.295981	0.295981	0.300994	0.300994	0.295981	0.295981	0.273629	0.295981	0.295981	0.295981	0.295981	0.295981	0.320287	0.320287	0.295981	0.295981	0.295981	0.320287	0.300994	0.35328	0.295981	0.295981	0.35328	0.295981	0.291447	0.295981	0.339586	0.339586	0.320287	0.306598	0.320287	0.295981	0.295981	0.300994	0.328965	0.312952	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.283502	
Bacillus_cereus_N128_BC08	1.0	1.0	1.0	0.328965	0	0.0487413	0.0896287	0.0937829	0.147707	0.0834957	0.0785817	0.0802797	0.0961527	0.0715889	0.0774628	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.35328	0.339586	0.300994	0.306598	0.339586	0.320287	0.320287	0.320287	0.35328	0.320287	0.320287	0.328965	0.339586	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.248764	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.339586	0.339586	0.35328	0.372583	0.372583	0.339586	0.35328	0.320287	0.339586	0.35328	0.35328	0.35328	0.35328	0.35328	0.372583	0.372583	0.35328	0.35328	0.35328	0.339586	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.328965	0.35328	0.35328	0.35328	0.35328	0.35328	0.328965	0.35328	0.372583	0.35328	0.35328	0.35328	0.35328	0.339586	0.35328	0.35328	0.372583	0.372583	0.328965	0.320287	0.35328	0.339586	0.339586	0.328965	0.35328	0.328965	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.35328	1.0	
Bacillus_cereus_N204_BC03	1.0	1.0	1.0	0.328965	0.0487413	0	0.11188	0.0840036	0.0644877	0.0995376	0.100636	0.103815	0.103219	0.104267	0.0879038	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	0.35328	0.35328	0.405585	0.372583	0.372583	0.35328	0.35328	0.35328	0.35328	0.405585	0.35328	0.35328	0.35328	0.35328	0.405585	0.35328	0.35328	0.35328	0.320287	0.300994	0.328965	0.339586	0.328965	0.328965	0.328965	0.35328	0.328965	0.328965	0.339586	0.339586	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.235108	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.312952	0.328965	0.328965	0.35328	0.339586	0.328965	0.339586	0.312952	0.328965	0.328965	0.328965	0.339586	0.328965	0.328965	0.339586	0.35328	0.328965	0.328965	0.328965	0.339586	0.328965	0.328965	0.328965	0.35328	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.312952	0.328965	0.339586	0.328965	0.328965	0.320287	0.328965	0.320287	0.328965	0.328965	0.372583	0.372583	0.320287	0.312952	0.339586	0.328965	0.339586	0.328965	0.35328	0.328965	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	
Bacillus_thuringiensis_N101_BC05	1.0	0.35328	0.405585	0.372583	0.0896287	0.11188	0	0.121572	0.0986654	0.0397265	0.0440624	0.0540862	0.0452424	0.0749829	0.0705214	0.405585	0.405585	0.372583	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.372583	0.372583	0.320287	0.328965	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.219531	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.405585	0.35328	0.405585	0.372583	0.372583	1.0	0.35328	0.35328	0.372583	0.405585	0.372583	0.372583	0.405585	0.372583	0.35328	0.35328	0.35328	0.405585	0.405585	0.405585	0.372583	0.372583	0.405585	0.372583	0.372583	0.405585	0.372583	0.405585	0.405585	0.405585	0.372583	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	0.35328	0.405585	0.372583	0.35328	0.372583	0.35328	0.405585	0.405585	0.372583	0.372583	0.339586	0.372583	0.405585	0.372583	0.35328	0.35328	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.372583	1.0	
Bacillus_thuringiensis_N118_BC06	1.0	1.0	1.0	0.339586	0.0937829	0.0840036	0.121572	0	0.106845	0.118622	0.122255	0.127359	0.136471	0.113823	0.122717	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	0.35328	0.35328	1.0	0.339586	0.339586	0.35328	0.35328	0.35328	0.35328	1.0	0.35328	0.35328	0.35328	0.35328	0.405585	0.35328	0.35328	0.35328	0.339586	0.306598	0.35328	0.339586	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.263022	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.372583	0.339586	0.35328	0.372583	0.372583	1.0	0.35328	0.372583	0.320287	0.35328	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.35328	0.372583	0.372583	0.372583	0.372583	0.372583	0.339586	0.372583	0.372583	0.35328	0.372583	0.372583	0.35328	0.35328	0.372583	0.35328	0.35328	0.35328	0.328965	0.320287	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	1.0	
Bacillus_thuringiensis_N128_BC08	1.0	1.0	1.0	0.328965	0.147707	0.0644877	0.0986654	0.106845	0	0.0994022	0.0917657	0.0849439	0.0969736	0.0790711	0.0796916	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.339586	0.328965	0.320287	0.339586	0.339586	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.328965	0.35328	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.235108	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.328965	0.306598	0.339586	0.328965	0.328965	0.372583	0.320287	0.339586	0.312952	0.328965	0.320287	0.328965	0.339586	0.328965	0.328965	0.328965	0.312952	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.339586	0.328965	0.328965	0.328965	0.312952	0.339586	0.328965	0.328965	0.328965	0.320287	0.328965	0.328965	0.320287	0.328965	0.35328	0.339586	0.328965	0.312952	0.328965	0.328965	0.328965	0.328965	0.328965	0.328965	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.256381	1.0	
Bacillus_thuringiensis_N162_BC02	1.0	0.372583	0.405585	0.35328	0.0834957	0.0995376	0.0397265	0.118622	0.0994022	0	0.0375603	0.0526539	0.0369042	0.0717924	0.0540236	0.372583	0.372583	0.372583	1.0	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.372583	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.372583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35328	0.35328	0.295981	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	0.35328	1.0	1.0	0.405585	0.405585	0.405585	0.405585	0.256381	0.405585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.339586	0.339586	0.339586	0.339586	0.35328	0.372583	0.339586	0.339586	0.328965	0.339586	0.35328	0.339586	0.339586	0.339586	0.328965	0.339586	0.35328	0.339586	0.339586	0.339586	0.35328	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.339586	0.35328	0.339586	0.339586	0.339586	0.328965	0.339586	0.339586	0.339586	0.35328	0.339586	0.339586	0.339586	0.35328	0.339586	0.35328	0.339586	0.339586	0.339586	0.405585	0.405585	0.405585	1.0	0.405585	0.405585	0.405585	0.405585	0.405585	0.405585	0.339586	1.0	
