Species_name	Nanopore_ID	Genome_ID	Sequence_size	N50	AR_gene_list	Genome_quality
Staphylococcus_haemolyticus	N125_BC03	s_6077	2579393	2553727	MECA;Far1;	HIGH_QUAL
Staphylococcus_haemolyticus	N143_BC01	s_6170	2753331	621694	MECA;BlaZ;	HIGH_QUAL
Staphylococcus_haemolyticus	N192_BC07	s_6447	2567595	2542045	MphC;Aph3-III;Aac6-Aph2;MECA;Sat4A;BlaZ;TetK;MsrA;	HIGH_QUAL
Staphylococcus_haemolyticus	N145_BC09	s_6188	2674023	2647421	BlaZ;MECA;Aac6-Aph2;TetK;TetM;	HIGH_QUAL
Staphylococcus_haemolyticus	N163_BC04	s_6276	1641556	41510	BlaZ;MphC;	MEDIUM_QUAL
Staphylococcus_haemolyticus	N121_BC07	s_6051	2573429	2529247	Dfr;MECA;Far1;BlaZ;	HIGH_QUAL
Staphylococcus_haemolyticus	N135_BC02	s_6141	2746714	2670066	Aph3-III;MECA;BlaZ;Aac6-Aph2;TetK;TetM;MECA;	HIGH_QUAL
Staphylococcus_haemolyticus	N113_BC08	s_5998	2699902	2045689	BlaZ;MECA;TetK;BlaZ;TetK;MECA;	HIGH_QUAL
Staphylococcus_haemolyticus	N151_BC01	s_6212	2946208	2357268	MECA;Aac6-Aph2;BlaZ;TetK;MECA;Aac6-Aph2;BlaZ;MphC;Dfr;MsrA;	MEDIUM_QUAL
Staphylococcus_haemolyticus	N239_BC04	s_6623	2793257	204150	Aac6-Aph2;TetM;BlaZ;MECA;TetK;BlaZ;Aac6-Aph2;Aph3-III;Sat4A;BlaZ;MECA;	HIGH_QUAL
Staphylococcus_haemolyticus	N105_BC06	s_5962	2097222	46121	AadD;TetK;LnuA;	MEDIUM_QUAL
Staphylococcus_haemolyticus	N166_BC11	s_6291	2542646	2517346	Dfr;Aac6-Aph2;MECA;BlaZ;	HIGH_QUAL
Staphylococcus_haemolyticus	N145_BC05	s_6186	2614347	2553114	MECA;Aph3-III;BlaZ;Sat4A;BlaZ;Aac6-Aph2;	HIGH_QUAL
Staphylococcus_haemolyticus	N189_BC11	s_6429	2938287	894015	MECA;Aac6-Aph2;BlaZ;MsrA;Aac6-Aph2;Dfr;	MEDIUM_QUAL
Staphylococcus_haemolyticus	N193_BC11	s_6456	2561811	341956	BlaZ;Aph3-III;BlaZ;Sat4A;MECA;TetK;	HIGH_QUAL
Staphylococcus_haemolyticus	N178_BC07	s_6365	2270177	342294	Dfr;	MEDIUM_QUAL
