phage	is_Circular	is_Novel	AR	VF
N207_BC10_tig00000362	False	False	NA	NA
N207_BC10_tig00000489	False	True	NA	NA
N157_BC12_tig00003330	False	True	NA	NA
N157_BC12_tig00003331	False	True	NA	NA
N157_BC11_tig00000028	False	True	NA	NA
N104_BC08_tig00000001	False	True	NA	NA
N216_BC11_tig00000106	True	False	NA	NA
N104_BC02_tig00000066	False	True	NA	NA
N104_BC02_tig00000072	False	True	NA	NA
N104_BC02_tig00000082	False	True	NA	NA
N148_BC12_tig00000048	False	False	NA	NA
N148_BC12_tig00007392	False	False	NA	NA
N128_BC02_tig00000067	False	True	NA	NA
N226_BC02_tig00000124	False	False	NA	NA
N186_BC10_tig00000182	True	True	NA	NA
N186_BC10_tig00000183	True	True	NA	NA
N186_BC10_tig00000184	False	True	NA	NA
N186_BC10_tig00000257	True	True	NA	NA
N186_BC10_tig00000410	False	True	NA	NA
N186_BC10_tig00000416	False	True	NA	NA
N186_BC10_tig00000456	False	False	NA	NA
N186_BC10_tig00000482	False	True	NA	NA
N186_BC10_tig00000548	False	False	NA	NA
N182_BC03_tig00000183	False	True	NA	NA
N216_BC06_tig00003375	False	True	NA	NA
N216_BC06_tig00003376	False	True	NA	NA
N222_BC06_tig00008824	False	False	NA	NA
N222_BC06_tig00008826	False	False	NA	NA
N111_BC02_tig00000092	False	False	NA	NA
N192_BC02_tig00000023	False	False	NA	NA
N103_BC06_tig00000058	False	True	NA	NA
N103_BC06_tig00000062	False	True	NA	NA
N188_BC11_tig00007677	False	True	NA	NA
N188_BC11_tig00000373	False	True	NA	NA
N188_BC11_tig00007698	True	False	NA	NA
N117_BC08_tig00000019	False	True	NA	NA
N117_BC08_tig00000051	True	True	NA	NA
N217_BC01_tig00000143	False	True	NA	NA
N142_BC03_tig00000086	False	True	NA	NA
N202_BC08_tig00000151	False	True	NA	NA
N202_BC08_tig00006511	False	True	NA	NA
N193_BC01_tig00000160	False	True	NA	NA
N193_BC01_tig00000173	False	True	NA	NA
N159_BC08_tig00000256	True	True	NA	NA
N159_BC08_tig00000293	True	True	NA	NA
N159_BC08_tig00000389	False	False	NA	NA
N191_BC11_tig00001276	False	True	NA	NA
N191_BC11_tig00001277	False	True	NA	NA
N122_BC04_tig00000007	True	True	NA	NA
N122_BC04_tig00000012	False	True	NA	NA
N122_BC04_tig00000023	False	True	NA	NA
