Species_name	Nanopore_ID	Genome_ID	Sequence_size	N50	AR_gene_list	Genome_quality	novel	clusters
1	Bacillus cereus	N128_BC08	s_892	3992006	83164		MEDIUM_QUAL	yes	4
2	Bacillus cereus	N204_BC03	s_1029	3961479	2690277		MEDIUM_QUAL	yes	4
3	Staphylococcus capitis	N121_BC07	s_5193	2287988	127141	Aac6-Aph2;	HIGH_QUAL	yes	33
4	Staphylococcus capitis	N135_BC02	s_5231	2697680	951216	MECA;	HIGH_QUAL	yes	33
5	Staphylococcus capitis	N113_BC02	s_5171	2616474	170726	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
6	Staphylococcus capitis	N178_BC01	s_5310	2444154	190401	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
7	Staphylococcus capitis	N113_BC03	s_5172	2189521	739194	Aac6-Aph2;	MEDIUM_QUAL	yes	33
8	Staphylococcus capitis	N176_BC05	s_5306	1488972	74963	Aac6-Aph2;	MEDIUM_QUAL	yes	33
9	Staphylococcus capitis	N128_BC08	s_5212	2624212	211302	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
10	Staphylococcus capitis	N212_BC03	s_5379	2663632	768638	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
11	Staphylococcus capitis	N209_BC03	s_5375	2851014	2372319	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
12	Staphylococcus capitis	N154_BC02	s_5268	2519724	94014	Aac6-Aph2;	HIGH_QUAL	yes	33
13	Staphylococcus capitis	N116_BC10	s_5180	2161957	64063	Aac6-Aph2;	MEDIUM_QUAL	yes	33
14	Staphylococcus capitis	N128_BC10	s_5213	2677376	1396896	MECA;	HIGH_QUAL	yes	33
15	Staphylococcus capitis	N113_BC01	s_5170	2676327	809515	Aac6-Aph2;	HIGH_QUAL	yes	33
16	Staphylococcus capitis	N128_BC11	s_5214	2566893	1605886	Aac6-Aph2;	HIGH_QUAL	yes	33
17	Staphylococcus capitis	N237_BC11	s_5414	2153461	83079	Aac6-Aph2;ErmA;Spc;	MEDIUM_QUAL	yes	33
18	Staphylococcus capitis	N210_BC05	s_5378	2915480	559932	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
19	Staphylococcus capitis	N125_BC08	s_5208	2525571	236344	BlaZ;Aac6-Aph2;	HIGH_QUAL	yes	33
20	Staphylococcus capitis	N131_BC08	s_5219	1986327	95863		MEDIUM_QUAL	yes	33
21	Staphylococcus capitis	N233_BC04	s_5405	1915610	361000	DfrC;	MEDIUM_QUAL	yes	33
22	Staphylococcus capitis	N220_BC11	s_5390	1803405	36674	MECA;	MEDIUM_QUAL	yes	33
