s_4408	s_4392	s_4428	s_4448	s_4445	s_4439	s_4419	s_4449	s_4443	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4464	s_4461	s_4407	s_4399	s_4390	s_4405	s_4442	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4453	s_4438	s_4475	s_4429
s_4408 0 0.00038149 0.01124864 0.03425848 0.00039905 0.01141937 0.00702708 0.03430439 0.01386452 0.00349416 0.01028162 0.01109349 0.01130103 0.01144907 0.00075748 0.01201929 0.00051569 0.01204815 0.00450926 0.00047576 0.00041316 0.00532127 0.00053029 0.01138158 0.01195173 0.00051075 0.00092813 0.00038158 0.00354448 0.00138269 0.00356392 0.01138250 0.00039806 0.00044300 0.00357631 0.03439104 0.03431870 0.01042983 0.01123657 0.00610492 0.00040838 0.01093516 0.00035828 0.01046808 0.00052489 0.00043529 0.00094574 0.01124770 0.01131440 0.01108105 0.00078143 0.00361794 0.01038626 0.01140502 0.00914205 0.01141786 0.01044030 0.03428279 0.01163048 0.01131132 0.01057270 0.00920828 0.00900857 0.01133561 0.00038261 0.00094443 0.01120149 0.01131247
s_4392 0.00038149 0 0.01108712 0.03425671 0.00019421 0.01129583 0.00678185 0.03424302 0.01378139 0.00332534 0.01023203 0.01089448 0.01115010 0.01134549 0.00060678 0.01189187 0.00033225 0.01206652 0.00427030 0.00034085 0.00025605 0.00501430 0.00038498 0.01123906 0.01180950 0.00038330 0.00079465 0.00020906 0.00344749 0.00126432 0.00344814 0.01125560 0.00021659 0.00028801 0.00343061 0.03422445 0.03421289 0.01033887 0.01111603 0.00604424 0.00024887 0.01082252 0.00017533 0.01027888 0.00038090 0.00028732 0.00081273 0.01112921 0.01116275 0.01070598 0.00055441 0.00348990 0.01023081 0.01129283 0.00897039 0.01128001 0.01032053 0.03412572 0.01146095 0.01123526 0.01046415 0.00909822 0.00890745 0.01116482 0.00023472 0.00077304 0.01105966 0.01121054
s_4428 0.01124864 0.01108712 0 0.03664001 0.01090202 0.00137209 0.00974381 0.03669821 0.00314969 0.01088725 0.00154377 0.00133596 0.00248280 0.00170540 0.01069094 0.00197132 0.01113959 0.00145293 0.01117476 0.01116360 0.01111390 0.01203179 0.01122275 0.00125680 0.00228880 0.01126504 0.01089032 0.01103047 0.01098767 0.01195909 0.01132801 0.00129678 0.01107978 0.01114563 0.00695912 0.03667674 0.03671892 0.00136962 0.00114481 0.00409141 0.01112502 0.00103957 0.01091740 0.00139364 0.01133311 0.01114447 0.01099867 0.00134333 0.00136462 0.00161695 0.01135730 0.01113468 0.00159318 0.00127548 0.00109211 0.00133253 0.00154583 0.03675981 0.00222516 0.00147298 0.00169917 0.00110996 0.00105287 0.00102019 0.01112254 0.01077491 0.00122237 0.00128647
s_4448 0.03425848 0.03425671 0.03664001 0 0.03272182 0.03700527 0.03400696 0.00016800 0.03845851 0.03449042 0.03569985 0.03691512 0.03643869 0.03744089 0.03408159 0.03731197 0.03415425 0.03748616 0.03419707 0.03413644 0.03424403 0.03486592 0.03433792 0.03704805 0.03578550 0.03431910 0.03392859 0.03405526 0.03456124 0.03484304 0.03330535 0.03714527 0.03400871 0.03421151 0.02901598 0.00030977 0.00018128 0.03604676 0.03694673 0.03097227 0.03425690 0.03648342 0.03424810 0.03593484 0.03441327 0.03428890 0.03413060 0.03716665 0.03686435 0.03779357 0.03399059 0.03445362 0.03615630 0.03704192 0.03481183 0.03701479 0.03624061 0.00015619 0.03570575 0.03689172 0.03587486 0.03444635 0.03426169 0.03681494 0.03435541 0.03422245 0.03718490 0.03698880
s_4445 0.00039905 0.00019421 0.01090202 0.03272182 0 0.01107954 0.00701494 0.03279020 0.01388882 0.00328238 0.01006076 0.01080778 0.01095633 0.01114534 0.00074791 0.01159423 0.00036017 0.01184423 0.00407628 0.00033443 0.00026553 0.00476897 0.00042392 0.01100611 0.01204479 0.00040272 0.00090618 0.00021474 0.00328879 0.00124551 0.00343909 0.01106874 0.00020899 0.00031503 0.00288099 0.03275703 0.03282222 0.01019465 0.01095289 0.00622813 0.00026634 0.01065582 0.00021352 0.01014164 0.00040029 0.00030077 0.00091577 0.01101581 0.01103366 0.01111189 0.00097342 0.00338984 0.01004826 0.01103831 0.00878237 0.01111253 0.01012941 0.03277291 0.01128048 0.01103321 0.01019414 0.00883595 0.00866731 0.01091497 0.00028532 0.00090241 0.01093103 0.01109060
s_4439 0.01141937 0.01129583 0.00137209 0.03700527 0.01107954 0 0.00975682 0.03704558 0.00327657 0.01104214 0.00174310 0.00153577 0.00222000 0.00188095 0.01098587 0.00172447 0.01130701 0.00162618 0.01121289 0.01135484 0.01130403 0.01211802 0.01144193 0.00105206 0.00188902 0.01147049 0.01108413 0.01123072 0.01102099 0.01223631 0.01129384 0.00153766 0.01129044 0.01125145 0.00694361 0.03697790 0.03698530 0.00158492 0.00128339 0.00392241 0.01129316 0.00123805 0.01115923 0.00162840 0.01141370 0.01135131 0.01116615 0.00151138 0.00153524 0.00194552 0.01170102 0.01109725 0.00176349 0.00105009 0.00081382 0.00110863 0.00172190 0.03681057 0.00193267 0.00158817 0.00163956 0.00084531 0.00078590 0.00117829 0.01131144 0.01099273 0.00134514 0.00151323
s_4419 0.00702708 0.00678185 0.00974381 0.03400696 0.00701494 0.00975682 0 0.03401020 0.01174057 0.00706646 0.00896229 0.00951844 0.00998344 0.00981310 0.00653448 0.01035475 0.00696586 0.01005400 0.00751743 0.00700629 0.00690482 0.00882108 0.00702233 0.00970933 0.01071092 0.00701073 0.00672807 0.00682651 0.00726736 0.00772103 0.00759664 0.00984452 0.00691581 0.00691935 0.00715372 0.03393969 0.03397572 0.00908125 0.00973093 0.00661453 0.00693415 0.00940140 0.00671349 0.00902944 0.00706518 0.00698334 0.00673595 0.00970441 0.00978001 0.00910385 0.00717585 0.00731295 0.00892126 0.00974715 0.00763286 0.00976181 0.00877282 0.03427462 0.00996648 0.00979943 0.00886707 0.00769386 0.00753137 0.00958703 0.00685738 0.00642972 0.00963643 0.00982202
s_4449 0.03430439 0.03424302 0.03669821 0.00016800 0.03279020 0.03704558 0.03401020 0 0.03846232 0.03460663 0.03569649 0.03707901 0.03645755 0.03760752 0.03425546 0.03737939 0.03428083 0.03728593 0.03424579 0.03421374 0.03428796 0.03467717 0.03438313 0.03718681 0.03575851 0.03442603 0.03398830 0.03408079 0.03453442 0.03496490 0.03332954 0.03716126 0.03405596 0.03417284 0.02916144 0.00029088 0.00015553 0.03609129 0.03712528 0.03116849 0.03429463 0.03662747 0.03441633 0.03595030 0.03446958 0.03432916 0.03415659 0.03712227 0.03690621 0.03764280 0.03390655 0.03439105 0.03615961 0.03705564 0.03475751 0.03709704 0.03627682 0.00013174 0.03594304 0.03691268 0.03592025 0.03451551 0.03433720 0.03706163 0.03452332 0.03430106 0.03726900 0.03694375
s_4443 0.01386452 0.01378139 0.00314969 0.03845851 0.01388882 0.00327657 0.01174057 0.03846232 0 0.01394530 0.00330454 0.00296407 0.00424296 0.00337013 0.01370543 0.00376908 0.01378052 0.00306958 0.01314424 0.01389467 0.01379159 0.01338491 0.01398136 0.00333342 0.00398661 0.01397128 0.01336365 0.01369473 0.01350518 0.01476802 0.01386688 0.00326035 0.01377540 0.01372115 0.01005774 0.03848933 0.03844824 0.00320880 0.00321700 0.00572598 0.01376048 0.00311976 0.01395263 0.00322920 0.01393354 0.01384247 0.01357736 0.00290033 0.00278570 0.00306187 0.01378730 0.01359109 0.00321717 0.00318075 0.00280957 0.00325504 0.00323570 0.03735304 0.00439792 0.00275494 0.00328810 0.00281364 0.00276541 0.00322750 0.01405674 0.01329872 0.00293215 0.00320190
s_4452 0.00349416 0.00332534 0.01088725 0.03449042 0.00328238 0.01104214 0.00706646 0.03460663 0.01394530 0 0.01008901 0.01079184 0.01096404 0.01115305 0.00327751 0.01160013 0.00348079 0.01164857 0.00331108 0.00346237 0.00340390 0.00406329 0.00349921 0.01098891 0.01131386 0.00349391 0.00348523 0.00331006 0.00019946 0.00431441 0.00020738 0.01114205 0.00334481 0.00339661 0.00537265 0.03437036 0.03459227 0.01020473 0.01097037 0.00587533 0.00338914 0.01065554 0.00329009 0.01007761 0.00346920 0.00343279 0.00351054 0.01103497 0.01099580 0.00981950 0.00406820 0.00020379 0.01009937 0.01098519 0.00872350 0.01106143 0.01020782 0.03446484 0.01093789 0.01108020 0.01004330 0.00877585 0.00860928 0.01092654 0.00337898 0.00350438 0.01096019 0.01104775
