genomeID	lib	Species	length	n50	genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
s_15	N098_BC01	Achromobacter_sp.	6604822	1616007	HIGH_QUAL	WEE076	HMST004_02	HMST006_02	AMP	HMST004	Cubicle_2	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
s_16	N098_BC02	Achromobacter_sp.	6736052	3460099	HIGH_QUAL	WEE076	HMST004_02	HMST006_02	STREP	HMST004	Cubicle_2	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
s_17	N098_BC04	Achromobacter_sp.	6551986	6486988	HIGH_QUAL	WEE076	HMST004_02	HMST006_02	CHLOR	HMST004	Cubicle_2	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
s_18	N098_BC05	Achromobacter_sp.	6759540	1878176	HIGH_QUAL	WEE076	HMST004_02	HMST006_02	TET	HMST004	Cubicle_2	Sink_Trap	Metal	Empty	2	MDRO_cubicles	NA
s_170	N098_BC06	Acinetobacter_baumannii	3916203	3877302	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	AMP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
s_6761	N098_BC07	Stenotrophomonas_maltophilia	3738920	63626	MEDIUM_QUAL	WEE063	HMCT019_02	HMCT021_02	STREP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
s_171	N098_BC07	Acinetobacter_baumannii	3910293	3871450	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	STREP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
s_172	N098_BC08	Acinetobacter_baumannii	3925339	3886348	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	KAN	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
s_173	N098_BC09	Acinetobacter_baumannii	3923702	2783095	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	CHLOR	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
s_174	N098_BC10	Acinetobacter_baumannii	3920061	3870413	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	TET	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
