s_3676	s_3672	s_3708	s_3701	s_3705	s_3690	s_3721	s_3706	s_3674	s_3707	s_3686	s_3683	s_3702	s_3691	s_3692	s_3728	s_3726	s_3693	s_3732	s_3720	s_3684	s_3735	s_3673	s_3722	s_3679	s_3678	s_3727	s_3719	s_3698	s_3710	s_3680	s_3694	s_3687	s_3700	s_3709	s_3682	s_3681	s_3675	s_3729	s_3677	s_3685	s_3737	s_3703
s_3676 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_3672 0.10000000 0 0.00276253 0.00280401 0.00280520 0.00047644 0.00279878 0.00285573 0.00038851 0.00278385 0.00263626 0.00264149 0.00293995 0.00047137 0.00044484 0.00273233 0.00278305 0.00039517 0.00042494 0.00283859 0.00264466 0.00045828 0.00039204 0.00044652 0.00282671 0.00283919 0.00044786 0.00279746 0.00060868 0.00269537 0.00283154 0.00272825 0.00272499 0.00279334 0.00284074 0.00262789 0.00279712 0.00038822 0.00283769 0.00281023 0.00273740 0.00287373 0.00296681
s_3708 0.10000000 0.00276253 0 0.00339751 0.00067355 0.00295283 0.00351944 0.00369946 0.00303438 0.00351108 0.00299334 0.00303867 0.00355022 0.00286853 0.00294114 0.00346618 0.00061331 0.00304735 0.00354806 0.00361901 0.00304533 0.00352577 0.00296833 0.00353468 0.00323600 0.00326175 0.00344349 0.00356630 0.00330852 0.00342505 0.00317864 0.00306664 0.00306102 0.00343082 0.00348645 0.00297096 0.00311815 0.00307197 0.00350604 0.00311166 0.00305129 0.00360711 0.00363598
s_3701 0.10000000 0.00280401 0.00339751 0 0.00338281 0.00300740 0.00049350 0.00354812 0.00310066 0.00054784 0.00096987 0.00308270 0.00344506 0.00292348 0.00301740 0.00343271 0.00340402 0.00310412 0.00351214 0.00340189 0.00306023 0.00347364 0.00302892 0.00350050 0.00323679 0.00325160 0.00341873 0.00345468 0.00330023 0.00336924 0.00319875 0.00307792 0.00099262 0.00335142 0.00339630 0.00301021 0.00308523 0.00311513 0.00346420 0.00306902 0.00095647 0.00356008 0.00350544
s_3705 0.10000000 0.00280520 0.00067355 0.00338281 0 0.00296673 0.00347023 0.00363771 0.00309855 0.00345081 0.00297384 0.00303473 0.00351166 0.00289470 0.00297309 0.00342902 0.00059706 0.00307523 0.00353264 0.00356107 0.00305095 0.00352492 0.00300532 0.00354463 0.00325260 0.00326442 0.00347930 0.00353630 0.00330145 0.00339632 0.00321918 0.00305789 0.00303272 0.00338973 0.00345079 0.00297656 0.00311156 0.00310304 0.00348930 0.00311305 0.00301195 0.00357513 0.00358523
s_3690 0.10000000 0.00047644 0.00295283 0.00300740 0.00296673 0 0.00300205 0.00310067 0.00038722 0.00301433 0.00280997 0.00281683 0.00311536 0.00044144 0.00041575 0.00293806 0.00303417 0.00036637 0.00042022 0.00302169 0.00285549 0.00042738 0.00039270 0.00042564 0.00301933 0.00301931 0.00046588 0.00301031 0.00061983 0.00288104 0.00300593 0.00290199 0.00286674 0.00298719 0.00305517 0.00279068 0.00296647 0.00037557 0.00302300 0.00295576 0.00292313 0.00308289 0.00312903
s_3721 0.10000000 0.00279878 0.00351944 0.00049350 0.00347023 0.00300205 0 0.00365636 0.00307836 0.00055254 0.00094630 0.00306862 0.00348199 0.00290506 0.00300379 0.00353852 0.00353238 0.00309543 0.00363000 0.00353614 0.00306873 0.00359000 0.00300011 0.00362773 0.00320252 0.00324396 0.00348876 0.00359542 0.00330859 0.00348791 0.00317549 0.00308379 0.00095504 0.00336557 0.00348780 0.00304094 0.00299355 0.00309867 0.00353785 0.00306208 0.00092908 0.00372834 0.00349864
s_3706 0.10000000 0.00285573 0.00369946 0.00354812 0.00363771 0.00310067 0.00365636 0 0.00313326 0.00364312 0.00313553 0.00319239 0.00348552 0.00306793 0.00307487 0.00370121 0.00372475 0.00318184 0.00371941 0.00347172 0.00320581 0.00369468 0.00309157 0.00372626 0.00027523 0.00027057 0.00361732 0.00367714 0.00338238 0.00363294 0.00022756 0.00296924 0.00318957 0.00343336 0.00363324 0.00314850 0.00317717 0.00316683 0.00341154 0.00318145 0.00325063 0.00379218 0.00351478
s_3674 0.10000000 0.00038851 0.00303438 0.00310066 0.00309855 0.00038722 0.00307836 0.00313326 0 0.00307980 0.00289714 0.00290559 0.00319251 0.00037214 0.00034918 0.00302419 0.00308996 0.00027891 0.00030219 0.00309969 0.00279967 0.00033045 0.00026828 0.00030097 0.00307366 0.00309512 0.00032177 0.00304579 0.00060282 0.00298988 0.00307850 0.00299521 0.00295729 0.00305765 0.00311056 0.00286801 0.00301419 0.00019336 0.00313414 0.00301956 0.00300619 0.00317158 0.00320986
s_3707 0.10000000 0.00278385 0.00351108 0.00054784 0.00345081 0.00301433 0.00055254 0.00364312 0.00307980 0 0.00096224 0.00306570 0.00349148 0.00292139 0.00300880 0.00353987 0.00352233 0.00312197 0.00359546 0.00351054 0.00305945 0.00358639 0.00302107 0.00359337 0.00322465 0.00323510 0.00352754 0.00355950 0.00333347 0.00347539 0.00318602 0.00308286 0.00098051 0.00339861 0.00350992 0.00301365 0.00308467 0.00309065 0.00352786 0.00308010 0.00095113 0.00368423 0.00350726
s_3686 0.10000000 0.00263626 0.00299334 0.00096987 0.00297384 0.00280997 0.00094630 0.00313553 0.00289714 0.00096224 0 0.00292911 0.00307975 0.00277490 0.00282600 0.00309615 0.00303143 0.00291052 0.00305781 0.00298205 0.00293080 0.00306553 0.00284250 0.00306590 0.00300041 0.00302134 0.00303016 0.00302414 0.00297671 0.00304552 0.00299555 0.00287446 0.00041963 0.00302486 0.00304416 0.00288299 0.00291697 0.00292508 0.00300033 0.00294005 0.00037836 0.00313505 0.00308725
s_3683 0.10000000 0.00264149 0.00303867 0.00308270 0.00303473 0.00281683 0.00306862 0.00319239 0.00290559 0.00306570 0.00292911 0 0.00321413 0.00277420 0.00282707 0.00036509 0.00310626 0.00291650 0.00302615 0.00310515 0.00027720 0.00306500 0.00283729 0.00302232 0.00313785 0.00313711 0.00298749 0.00291321 0.00295679 0.00064347 0.00311674 0.00301778 0.00296552 0.00292530 0.00314868 0.00031674 0.00301997 0.00292286 0.00314957 0.00302339 0.00303676 0.00310271 0.00323517
