s_4408	s_4392	s_4428	s_4448	s_4481	s_4445	s_4439	s_4419	s_4449	s_4443	s_4490	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4497	s_4464	s_4496	s_4461	s_4407	s_4488	s_4399	s_4390	s_4405	s_4442	s_4489	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4478	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4492	s_4482	s_4495	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4479	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4494	s_4493	s_4491	s_4453	s_4438	s_4475	s_4429
s_4408 0 0.00015479 0.00366626 0.01457742 0.00369012 0.00019955 0.00356211 0.00279347 0.01467064 0.00385510 0.00364476 0.00194506 0.00332962 0.00367640 0.00336115 0.00348666 0.00019284 0.00359325 0.00021340 0.00361215 0.00207925 0.00019093 0.00017036 0.00207485 0.00022778 0.00365315 0.00369867 0.00364490 0.00367855 0.00021503 0.00363453 0.00019196 0.00014969 0.00189880 0.00050071 0.00361712 0.00187664 0.00360135 0.00014934 0.00017532 0.00111475 0.01438532 0.01469608 0.00342806 0.00366541 0.00366933 0.00197941 0.00018299 0.00368646 0.00017047 0.00344114 0.00020815 0.00018243 0.00022982 0.00359721 0.00360371 0.00190392 0.00367661 0.00189512 0.00355886 0.00028858 0.00192461 0.00344737 0.00368441 0.00297312 0.00364902 0.00364217 0.00345753 0.01457849 0.00340076 0.00357639 0.00334997 0.00292707 0.00288657 0.00371064 0.00190082 0.00190419 0.00361673 0.00019204 0.00024688 0.00367135 0.00362551
s_4392 0.00015479 0 0.00357122 0.01460330 0.00359110 0.00007564 0.00346871 0.00265943 0.01459465 0.00377646 0.00355683 0.00183069 0.00323759 0.00357062 0.00327487 0.00340235 0.00010524 0.00351197 0.00009322 0.00355014 0.00198340 0.00013450 0.00011065 0.00197497 0.00017390 0.00358291 0.00361185 0.00356358 0.00357263 0.00016421 0.00356084 0.00012152 0.00003948 0.00181042 0.00046532 0.00353547 0.00178107 0.00350687 0.00003884 0.00010964 0.00103778 0.01424469 0.01461477 0.00335829 0.00358344 0.00358018 0.00190516 0.00006655 0.00361144 0.00005585 0.00334057 0.00015014 0.00011747 0.00015644 0.00350452 0.00350916 0.00180154 0.00359954 0.00179247 0.00340046 0.00016591 0.00182223 0.00336218 0.00359660 0.00287299 0.00356994 0.00356688 0.00336018 0.01443428 0.00332086 0.00351228 0.00326092 0.00287235 0.00282126 0.00360023 0.00180152 0.00180700 0.00354893 0.00011382 0.00016942 0.00357095 0.00353845
s_4428 0.00366626 0.00357122 0 0.01550726 0.00057999 0.00363486 0.00060010 0.00312035 0.01563173 0.00106171 0.00059648 0.00365704 0.00054409 0.00057966 0.00077769 0.00069259 0.00366448 0.00080689 0.00359746 0.00060942 0.00367840 0.00357002 0.00360483 0.00381687 0.00369568 0.00059087 0.00057641 0.00058606 0.00073754 0.00369324 0.00058530 0.00349908 0.00353447 0.00353641 0.00369168 0.00058493 0.00365765 0.00060970 0.00353623 0.00356123 0.00216348 0.01518296 0.01566187 0.00053149 0.00060619 0.00057440 0.00130255 0.00363686 0.00052864 0.00363865 0.00055779 0.00367840 0.00359122 0.00359120 0.00061038 0.00060511 0.00361492 0.00057279 0.00361197 0.00055822 0.00356580 0.00358275 0.00059804 0.00056671 0.00036448 0.00058846 0.00059546 0.00057937 0.01549458 0.00074806 0.00062798 0.00060024 0.00037698 0.00031588 0.00052121 0.00360984 0.00361318 0.00057626 0.00372512 0.00359966 0.00056624 0.00061568
s_4448 0.01457742 0.01460330 0.01550726 0 0.01593081 0.01394888 0.01572344 0.01443463 0.00007503 0.01589830 0.01582242 0.01518518 0.01429113 0.01583664 0.01431052 0.01579356 0.01485075 0.01557819 0.01445167 0.01614051 0.01479942 0.01425719 0.01448747 0.01442562 0.01467722 0.01571654 0.01600617 0.01574232 0.01430763 0.01461987 0.01575352 0.01409154 0.01431514 0.01482518 0.01426229 0.01560877 0.01397023 0.01587026 0.01425560 0.01440503 0.01053694 0.00011689 0.00007901 0.01478863 0.01593566 0.01591540 0.01072495 0.01472345 0.01554103 0.01491673 0.01466918 0.01469700 0.01443908 0.01439379 0.01597610 0.01560294 0.01499503 0.01542984 0.01498073 0.01640420 0.01419368 0.01472457 0.01489800 0.01593712 0.01369250 0.01586683 0.01534585 0.01498325 0.00005794 0.01418529 0.01553402 0.01436883 0.01326734 0.01306408 0.01583899 0.01499394 0.01497867 0.01588842 0.01498851 0.01479324 0.01615493 0.01580193
s_4481 0.00369012 0.00359110 0.00057999 0.01593081 0 0.00373504 0.00057919 0.00313006 0.01608195 0.00107136 0.00053986 0.00374581 0.00052518 0.00056872 0.00075971 0.00069155 0.00372197 0.00079324 0.00359109 0.00060377 0.00371814 0.00361899 0.00365686 0.00387758 0.00370856 0.00052361 0.00058265 0.00054202 0.00074801 0.00368959 0.00053155 0.00352819 0.00353945 0.00357047 0.00373205 0.00050667 0.00368586 0.00064311 0.00356937 0.00358339 0.00218569 0.01567625 0.01603512 0.00052895 0.00050826 0.00059490 0.00132786 0.00367160 0.00051618 0.00374572 0.00052013 0.00366098 0.00363358 0.00361369 0.00059445 0.00059043 0.00384317 0.00049708 0.00384956 0.00054884 0.00370632 0.00361077 0.00053279 0.00057256 0.00030082 0.00061665 0.00050827 0.00052840 0.01555998 0.00075785 0.00060487 0.00056245 0.00031829 0.00026605 0.00055158 0.00383620 0.00384307 0.00051429 0.00375592 0.00361785 0.00056357 0.00061922
s_4445 0.00019955 0.00007564 0.00363486 0.01394888 0.00373504 0 0.00355717 0.00278299 0.01404181 0.00397360 0.00365920 0.00189396 0.00323598 0.00367946 0.00332540 0.00348832 0.00016107 0.00357205 0.00013875 0.00368599 0.00200410 0.00017493 0.00014417 0.00202505 0.00022365 0.00366417 0.00371501 0.00367277 0.00374610 0.00020452 0.00365095 0.00016489 0.00007350 0.00177223 0.00051600 0.00363190 0.00177402 0.00360349 0.00007283 0.00015220 0.00096137 0.01361652 0.01405930 0.00338678 0.00369892 0.00366947 0.00175049 0.00011095 0.00370146 0.00009805 0.00333895 0.00019145 0.00015844 0.00020896 0.00360980 0.00360746 0.00186379 0.00375999 0.00186737 0.00360159 0.00021586 0.00183179 0.00335941 0.00366013 0.00289368 0.00364951 0.00370638 0.00339024 0.01378938 0.00337781 0.00358116 0.00327300 0.00286410 0.00282557 0.00372544 0.00186763 0.00186721 0.00363630 0.00016140 0.00021643 0.00368221 0.00364018
s_4439 0.00356211 0.00346871 0.00060010 0.01572344 0.00057919 0.00355717 0 0.00298555 0.01579475 0.00105435 0.00062660 0.00355147 0.00058512 0.00061279 0.00075043 0.00071147 0.00358950 0.00077043 0.00349223 0.00061340 0.00353499 0.00347007 0.00349932 0.00367742 0.00358698 0.00061422 0.00056104 0.00061424 0.00070166 0.00358153 0.00061208 0.00339546 0.00341964 0.00340910 0.00364283 0.00060803 0.00352049 0.00064507 0.00343527 0.00346257 0.00205479 0.01533341 0.01573309 0.00059972 0.00060477 0.00058015 0.00118413 0.00352060 0.00055389 0.00353636 0.00060040 0.00354039 0.00349213 0.00348861 0.00062226 0.00062581 0.00352826 0.00059795 0.00352328 0.00060553 0.00349867 0.00345136 0.00062748 0.00055372 0.00030602 0.00058986 0.00060719 0.00062222 0.01534599 0.00070960 0.00063659 0.00062003 0.00031007 0.00027459 0.00054052 0.00351455 0.00351838 0.00061717 0.00362704 0.00351272 0.00057626 0.00064473
s_4419 0.00279347 0.00265943 0.00312035 0.01443463 0.00313006 0.00278299 0.00298555 0 0.01448828 0.00323158 0.00305232 0.00274164 0.00282216 0.00310839 0.00288595 0.00293012 0.00271982 0.00303956 0.00271555 0.00300195 0.00284739 0.00272919 0.00273052 0.00303358 0.00280537 0.00310663 0.00310889 0.00308418 0.00311284 0.00280850 0.00308201 0.00262778 0.00265434 0.00274226 0.00284485 0.00305023 0.00282316 0.00304282 0.00265830 0.00271593 0.00258228 0.01403699 0.01443839 0.00294238 0.00311020 0.00310177 0.00247757 0.00275593 0.00312471 0.00268655 0.00291501 0.00279980 0.00272897 0.00269770 0.00303234 0.00305922 0.00270397 0.00315432 0.00271262 0.00290577 0.00264746 0.00276763 0.00291685 0.00309569 0.00243843 0.00307523 0.00311849 0.00285612 0.01465909 0.00283357 0.00302201 0.00278164 0.00242310 0.00237736 0.00310343 0.00269827 0.00270005 0.00305859 0.00278797 0.00264875 0.00309269 0.00307227
s_4449 0.01467064 0.01459465 0.01563173 0.00007503 0.01608195 0.01404181 0.01579475 0.01448828 0 0.01586630 0.01603993 0.01533027 0.01432617 0.01606873 0.01438702 0.01598401 0.01504350 0.01567109 0.01461327 0.01593209 0.01490883 0.01437069 0.01457019 0.01427904 0.01475794 0.01586786 0.01618391 0.01594060 0.01427696 0.01477643 0.01589954 0.01419674 0.01438123 0.01485724 0.01437237 0.01576521 0.01404033 0.01592661 0.01435149 0.01438769 0.01070984 0.00010265 0.00006499 0.01487386 0.01610071 0.01611718 0.01090909 0.01480204 0.01573938 0.01510029 0.01472073 0.01481019 0.01451257 0.01447502 0.01594476 0.01565592 0.01516831 0.01560548 0.01516898 0.01625148 0.01412916 0.01470739 0.01493670 0.01596802 0.01365906 0.01596321 0.01554046 0.01503786 0.00004737 0.01446341 0.01561524 0.01447769 0.01333524 0.01315307 0.01614959 0.01517581 0.01517934 0.01599603 0.01521852 0.01491056 0.01627608 0.01576080
s_4443 0.00385510 0.00377646 0.00106171 0.01589830 0.00107136 0.00397360 0.00105435 0.00323158 0.01586630 0 0.00109445 0.00396408 0.00094480 0.00103360 0.00110769 0.00109050 0.00397737 0.00118286 0.00379041 0.00108788 0.00380555 0.00379913 0.00380641 0.00379380 0.00392413 0.00106370 0.00110308 0.00109075 0.00111034 0.00388770 0.00109347 0.00365428 0.00373152 0.00370508 0.00391509 0.00106119 0.00384361 0.00106285 0.00375376 0.00377445 0.00242739 0.01556251 0.01589665 0.00098531 0.00104517 0.00109043 0.00145188 0.00383300 0.00106254 0.00396197 0.00099556 0.00387354 0.00379797 0.00377452 0.00099983 0.00098557 0.00395136 0.00106065 0.00395559 0.00097352 0.00374635 0.00375752 0.00096347 0.00105290 0.00079359 0.00108536 0.00106292 0.00098959 0.01450331 0.00114934 0.00092375 0.00098116 0.00078475 0.00072634 0.00104782 0.00394976 0.00394687 0.00105473 0.00401601 0.00370810 0.00105596 0.00106307
