s_129	G_20	s_133	s_112	s_194	s_201	s_228	s_142	s_158	G_18	s_205	s_172	s_115	s_222	s_145	s_226	G_31	s_168	s_106	G_22	s_215	s_135	s_138	s_199	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_121	s_118	s_196	s_183	s_164	s_178	s_102	G_2	s_213	G_27	s_136	G_14	G_10	s_182	s_156	G_5	s_144	s_117	s_192	G_16	s_100	s_220	s_203	s_111	s_187	G_25	s_184	s_154	G_21	s_124	s_131	s_159	s_97	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	s_101	G_12	s_218	G_4	s_114	s_202	s_225	s_104	s_108	s_132	s_127	s_212	s_227	s_214	s_99	s_134	s_148	s_198	s_221	s_191	s_162	s_120	s_185	G_32	s_171	s_126	s_143	s_149	s_107	s_150	s_197	s_179	G_36	G_34	s_137	s_152	G_23	s_169	s_177	s_176	s_223	s_103	s_146	s_140	s_113	s_122	G_7	s_147	s_207	s_119	s_105	s_189	s_180	G_8	s_110	G_35	s_116	s_170	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_109	s_130	s_175	s_193	G_6	s_141	G_30	G_29	s_173	G_3	s_98	s_211	s_206	s_210	s_157	s_186	s_190	G_24	s_161	G_13
s_129 0 0.00734203 0.00000431 0.00765472 0.00000481 0.00721093 0.00715364 0.00721041 0.00000526 0.00726969 0.00743509 0.00747199 0.00000902 0.00710925 0.00000750 0.00718663 0.00718411 0.00028843 0.00722557 0.00726986 0.00741566 0.00006640 0.00720659 0.00721067 0.00721470 0.00720180 0.00703967 0.00721169 0.00000849 0.00733880 0.00719672 0.00000878 0.00000531 0.00001009 0.00741156 0.00719611 0.00756086 0.00722260 0.00733284 0.00757274 0.00720798 0.00006257 0.00720325 0.00740010 0.00732989 0.00736441 0.00720704 0.00722057 0.00000981 0.00763071 0.00726065 0.00001090 0.00000716 0.00000216 0.00757547 0.00720023 0.00727362 0.00739888 0.00720477 0.00723175 0.00698985 0.00000583 0.00000658 0.00000318 0.00731322 0.00724942 0.00028833 0.00719373 0.00720173 0.00000636 0.00719759 0.00730238 0.00710832 0.00001106 0.00715607 0.00720142 0.00728082 0.00718158 0.00000558 0.00722618 0.00735410 0.00720770 0.00000639 0.00719918 0.00712597 0.00001118 0.00770115 0.00001288 0.00722619 0.00717188 0.00715720 0.00733608 0.00000639 0.00006705 0.00000342 0.00006591 0.00000876 0.00754984 0.00714826 0.00000662 0.00786731 0.00720164 0.00740589 0.00000744 0.00720982 0.00000737 0.00734228 0.00001738 0.00000316 0.00733650 0.00728302 0.00724077 0.00006367 0.00719649 0.00718297 0.00741357 0.00753188 0.00722284 0.00712990 0.00001279 0.00000869 0.00721319 0.00764688 0.00001405 0.00720078 0.00000790 0.00705686 0.00000798 0.00001092 0.00754297 0.00732830 0.00725301 0.00756864 0.00728424 0.00001151 0.00741038 0.00719871 0.00734309 0.00000395 0.00719248 0.00734138 0.00674477 0.00721620 0.00721416 0.00738861 0.00764137 0.00730149 0.00748775 0.00000762 0.00719663 0.00000769 0.00726828 0.00720277 0.00719796 0.00719491 0.00734353 0.00739507 0.00000557 0.00752904 0.00719731 0.00740926 0.00721330 0.00719127 0.00000723 0.00720128 0.00704290 0.00720371
G_20 0.00734203 0 0.00731123 0.00772252 0.00736297 0.00108488 0.00747228 0.00108590 0.00734336 0.00107600 0.00760000 0.00746652 0.00736666 0.00755448 0.00732064 0.00756327 0.00104666 0.00711893 0.00760530 0.00107365 0.00746214 0.00731909 0.00108642 0.00108377 0.00108506 0.00104334 0.00736317 0.00767753 0.00734568 0.00746973 0.00108370 0.00733917 0.00736130 0.00734752 0.00746430 0.00108350 0.00738142 0.00759105 0.00194324 0.00742703 0.00104793 0.00731915 0.00109769 0.00490848 0.00749387 0.00774583 0.00105267 0.00108162 0.00735236 0.00773466 0.00110877 0.00707361 0.00734180 0.00733736 0.00754759 0.00108698 0.00106587 0.00746082 0.00764851 0.00108008 0.00745814 0.00734194 0.00735614 0.00735168 0.00727926 0.00104979 0.00713036 0.00108424 0.00108374 0.00734243 0.00106635 0.00775099 0.00761628 0.00733969 0.00776743 0.00108361 0.00745643 0.00106314 0.00735050 0.00108228 0.00757487 0.00105561 0.00735237 0.00108625 0.00753216 0.00736747 0.00775442 0.00734396 0.00110628 0.00108284 0.00748701 0.00749407 0.00736298 0.00733109 0.00734476 0.00732937 0.00735187 0.00756579 0.00685991 0.00734501 0.00791167 0.00108964 0.00738775 0.00735813 0.00108552 0.00734324 0.00771776 0.00747950 0.00734270 0.00749605 0.00111781 0.00105650 0.00731931 0.00108210 0.00103698 0.00737924 0.00735936 0.00108212 0.00758042 0.00734615 0.00734342 0.00108319 0.00774098 0.00734813 0.00105464 0.00735526 0.00736223 0.00735858 0.00736373 0.00737161 0.00746556 0.00106153 0.00756223 0.00108621 0.00720944 0.00738811 0.00108615 0.00202237 0.00735351 0.00104513 0.00196117 0.00114424 0.00108783 0.00106562 0.00782184 0.00772659 0.00749812 0.00730182 0.00734071 0.00108295 0.00736313 0.00107537 0.00108294 0.00104708 0.00105599 0.00754880 0.00489515 0.00736598 0.00736937 0.00108250 0.00738255 0.00108438 0.00108638 0.00735479 0.00106240 0.00733158 0.00104890
s_133 0.00000431 0.00731123 0 0.00779724 0.00000662 0.00721135 0.00734293 0.00719293 0.00000617 0.00725031 0.00759489 0.00761565 0.00000810 0.00717390 0.00000592 0.00736547 0.00713198 0.00032803 0.00737064 0.00722481 0.00754758 0.00006620 0.00720733 0.00721548 0.00721646 0.00714452 0.00720820 0.00725786 0.00000718 0.00738097 0.00717669 0.00000781 0.00000717 0.00000468 0.00756229 0.00718421 0.00770521 0.00736175 0.00744906 0.00771885 0.00715382 0.00006716 0.00718673 0.00753599 0.00737455 0.00754637 0.00714807 0.00718115 0.00000935 0.00779040 0.00720503 0.00001010 0.00000780 0.00000510 0.00767662 0.00717826 0.00726116 0.00754478 0.00724469 0.00716715 0.00715755 0.00000529 0.00000309 0.00000311 0.00752412 0.00719717 0.00032794 0.00718258 0.00718652 0.00000905 0.00716243 0.00749214 0.00746639 0.00000773 0.00739553 0.00718475 0.00741426 0.00716126 0.00000719 0.00720329 0.00745142 0.00715936 0.00000720 0.00718108 0.00717817 0.00000657 0.00780962 0.00000616 0.00718065 0.00714679 0.00734521 0.00737796 0.00000814 0.00006791 0.00000494 0.00006755 0.00000906 0.00765667 0.00732111 0.00000871 0.00800642 0.00718443 0.00762910 0.00000560 0.00719153 0.00000648 0.00755207 0.00002161 0.00000525 0.00737959 0.00728383 0.00722633 0.00006879 0.00718614 0.00713274 0.00763416 0.00768627 0.00717727 0.00719662 0.00000783 0.00000679 0.00721224 0.00778533 0.00000871 0.00714942 0.00000648 0.00722214 0.00000688 0.00000752 0.00768427 0.00737279 0.00722683 0.00766702 0.00726567 0.00000768 0.00762942 0.00718094 0.00747686 0.00000587 0.00714395 0.00742757 0.00664836 0.00721887 0.00710797 0.00741827 0.00764978 0.00740123 0.00763648 0.00000339 0.00718215 0.00000968 0.00724052 0.00719142 0.00714645 0.00715879 0.00743103 0.00754258 0.00000686 0.00766535 0.00717913 0.00762874 0.00719648 0.00717658 0.00000884 0.00716824 0.00720339 0.00714187
s_112 0.00765472 0.00772252 0.00779724 0 0.00761878 0.00750375 0.00710796 0.00750740 0.00765840 0.00755539 0.00138561 0.00758663 0.00764988 0.00787688 0.00755911 0.00700055 0.00751097 0.00716156 0.00701909 0.00757550 0.00383263 0.00759494 0.00750300 0.00751574 0.00751391 0.00750688 0.00718671 0.00723809 0.00764180 0.00290783 0.00750618 0.00764159 0.00764448 0.00764327 0.00383410 0.00749933 0.00775532 0.00699503 0.00756454 0.00773081 0.00750718 0.00759743 0.00753391 0.00791298 0.00290809 0.00767978 0.00751435 0.00750285 0.00764922 0.00000078 0.00755607 0.00729932 0.00765149 0.00756999 0.00354579 0.00750084 0.00753968 0.00381908 0.00723085 0.00752795 0.00652174 0.00762232 0.00765790 0.00761247 0.00724914 0.00753763 0.00715903 0.00749885 0.00751736 0.00763529 0.00751494 0.00708838 0.00708119 0.00764815 0.00687776 0.00750379 0.00073800 0.00753349 0.00762286 0.00750859 0.00064240 0.00751452 0.00764972 0.00749300 0.00787167 0.00763066 0.00780390 0.00765914 0.00749900 0.00746679 0.00711841 0.00291320 0.00762563 0.00759926 0.00766042 0.00760130 0.00765084 0.00353428 0.00693975 0.00764726 0.00774620 0.00752283 0.00767747 0.00763994 0.00749731 0.00765529 0.00729102 0.00766324 0.00765592 0.00291956 0.00758873 0.00754708 0.00759531 0.00749037 0.00749553 0.00768064 0.00774884 0.00750362 0.00787046 0.00762116 0.00766147 0.00751186 0.00000340 0.00764282 0.00750952 0.00765736 0.00718548 0.00764172 0.00762718 0.00770958 0.00291866 0.00755178 0.00353178 0.00756459 0.00764184 0.00767578 0.00750128 0.00755226 0.00764658 0.00751076 0.00754598 0.00747417 0.00750253 0.00752338 0.00722521 0.00362027 0.00070890 0.00719027 0.00765585 0.00749099 0.00764724 0.00756920 0.00750819 0.00751330 0.00752997 0.00064080 0.00790821 0.00762745 0.00775412 0.00750120 0.00767587 0.00750717 0.00749495 0.00761846 0.00750885 0.00714634 0.00749323
s_194 0.00000481 0.00736297 0.00000662 0.00761878 0 0.00725234 0.00716436 0.00725132 0.00000803 0.00730552 0.00748284 0.00747894 0.00000504 0.00712508 0.00001040 0.00718909 0.00720418 0.00029254 0.00722384 0.00730162 0.00742256 0.00005444 0.00725528 0.00724551 0.00724661 0.00722500 0.00708766 0.00722779 0.00000716 0.00733752 0.00723622 0.00000557 0.00000345 0.00001287 0.00744852 0.00723832 0.00756279 0.00722451 0.00737938 0.00758252 0.00721506 0.00005007 0.00724560 0.00739339 0.00733404 0.00737285 0.00722427 0.00721378 0.00000983 0.00760708 0.00728110 0.00001035 0.00000398 0.00000437 0.00759793 0.00723581 0.00731300 0.00743877 0.00721342 0.00723587 0.00701299 0.00000775 0.00000884 0.00000159 0.00730572 0.00726721 0.00029304 0.00721067 0.00726327 0.00000504 0.00721658 0.00726688 0.00714342 0.00001205 0.00714736 0.00720107 0.00736446 0.00723358 0.00000371 0.00723531 0.00735986 0.00724423 0.00000372 0.00724520 0.00713494 0.00000796 0.00772303 0.00001551 0.00723105 0.00721904 0.00717217 0.00733436 0.00000425 0.00005477 0.00000535 0.00005272 0.00000584 0.00758640 0.00646424 0.00000478 0.00792794 0.00723153 0.00741843 0.00000751 0.00726188 0.00000991 0.00734066 0.00001911 0.00000454 0.00733723 0.00731098 0.00727048 0.00005225 0.00721780 0.00716398 0.00745631 0.00751931 0.00723763 0.00714519 0.00001036 0.00000937 0.00721531 0.00761054 0.00001008 0.00721994 0.00000937 0.00706249 0.00000424 0.00000929 0.00754069 0.00733169 0.00730175 0.00758503 0.00734185 0.00000996 0.00745248 0.00725888 0.00738892 0.00000643 0.00721267 0.00734286 0.00672967 0.00725862 0.00719793 0.00741800 0.00767082 0.00730660 0.00748726 0.00001043 0.00721299 0.00000557 0.00728679 0.00723861 0.00719859 0.00723628 0.00737962 0.00740092 0.00000318 0.00754590 0.00725003 0.00743588 0.00726279 0.00723965 0.00000399 0.00724993 0.00703732 0.00718542
s_201 0.00721093 0.00108488 0.00721135 0.00750375 0.00725234 0 0.00735853 0.00000836 0.00722030 0.00008482 0.00740309 0.00739257 0.00723166 0.00740567 0.00718140 0.00744405 0.00007739 0.00698265 0.00746226 0.00009820 0.00743213 0.00720238 0.00000387 0.00000232 0.00000361 0.00007548 0.00740910 0.00759754 0.00721457 0.00743958 0.00000862 0.00721527 0.00720383 0.00726287 0.00745508 0.00000601 0.00729391 0.00745810 0.00096921 0.00733840 0.00007502 0.00722512 0.00011342 0.00727436 0.00746104 0.00756061 0.00007767 0.00001045 0.00720906 0.00752209 0.00011090 0.00699954 0.00720209 0.00717841 0.00747390 0.00000706 0.00008559 0.00744739 0.00764511 0.00011861 0.00737084 0.00724057 0.00722618 0.00725089 0.00759096 0.00007298 0.00704352 0.00000915 0.00009440 0.00720860 0.00008188 0.00745367 0.00742209 0.00722826 0.00751744 0.00000784 0.00741231 0.00008697 0.00724389 0.00007983 0.00741140 0.00008708 0.00725624 0.00000730 0.00741404 0.00721540 0.00756955 0.00721457 0.00001011 0.00000690 0.00733374 0.00743880 0.00719034 0.00720606 0.00722155 0.00721307 0.00720693 0.00746650 0.00677236 0.00723505 0.00784256 0.00010827 0.00723772 0.00724531 0.00000888 0.00721291 0.00758473 0.00738361 0.00720718 0.00746652 0.00014507 0.00008304 0.00719269 0.00000784 0.00007030 0.00723453 0.00731161 0.00001097 0.00740543 0.00724382 0.00721180 0.00000077 0.00752348 0.00720659 0.00007530 0.00725106 0.00737656 0.00723379 0.00724956 0.00728420 0.00743794 0.00007313 0.00744549 0.00011350 0.00708679 0.00723394 0.00000784 0.00102105 0.00726596 0.00007843 0.00097688 0.00004050 0.00000257 0.00009325 0.00775315 0.00760949 0.00733781 0.00713381 0.00720925 0.00000783 0.00723204 0.00007803 0.00000784 0.00007506 0.00009713 0.00744480 0.00721197 0.00720820 0.00732482 0.00000574 0.00720332 0.00000889 0.00000862 0.00722321 0.00008135 0.00738439 0.00007156
s_228 0.00715364 0.00747228 0.00734293 0.00710796 0.00716436 0.00735853 0 0.00741091 0.00715420 0.00739787 0.00704165 0.00312941 0.00716459 0.00739804 0.00715349 0.00438733 0.00742406 0.00703368 0.00419738 0.00745419 0.00675777 0.00716452 0.00738572 0.00735583 0.00736112 0.00743141 0.00135536 0.00523961 0.00715555 0.00703262 0.00738109 0.00715988 0.00716623 0.00713019 0.00675430 0.00740821 0.00764786 0.00419226 0.00739234 0.00770653 0.00740203 0.00716377 0.00742256 0.00700969 0.00703845 0.00293422 0.00743518 0.00738561 0.00716474 0.00712027 0.00748504 0.00691638 0.00715794 0.00715414 0.00681492 0.00736774 0.00741351 0.00675378 0.00522489 0.00744139 0.00276790 0.00715231 0.00714535 0.00711926 0.00431646 0.00742175 0.00703712 0.00737915 0.00742038 0.00716310 0.00741531 0.00465990 0.00256786 0.00714744 0.00310449 0.00735617 0.00689298 0.00743589 0.00715869 0.00739046 0.00695436 0.00744975 0.00715971 0.00739928 0.00739859 0.00716077 0.00755231 0.00715003 0.00742739 0.00739479 0.00000137 0.00704297 0.00716119 0.00716752 0.00715881 0.00717430 0.00716208 0.00680610 0.00426274 0.00715910 0.00783849 0.00742813 0.00730558 0.00714370 0.00741159 0.00715098 0.00448500 0.00724175 0.00715101 0.00703959 0.00749621 0.00742709 0.00716746 0.00737826 0.00741478 0.00733470 0.00759977 0.00741357 0.00738269 0.00716313 0.00715470 0.00736114 0.00711224 0.00716215 0.00741075 0.00715099 0.00135025 0.00716580 0.00716729 0.00765383 0.00703490 0.00740517 0.00680981 0.00742355 0.00702367 0.00733786 0.00737805 0.00741560 0.00715443 0.00741917 0.00737715 0.00719879 0.00738295 0.00742987 0.00536963 0.00690085 0.00691491 0.00723435 0.00714853 0.00737598 0.00715574 0.00744988 0.00740301 0.00743611 0.00739600 0.00694746 0.00698799 0.00712752 0.00765195 0.00739887 0.00733481 0.00740349 0.00736740 0.00714146 0.00740578 0.00134487 0.00742528
s_142 0.00721041 0.00108590 0.00719293 0.00750740 0.00725132 0.00000836 0.00741091 0 0.00725544 0.00008179 0.00740910 0.00737321 0.00724955 0.00739452 0.00721655 0.00744373 0.00007410 0.00706430 0.00745570 0.00009674 0.00742585 0.00720516 0.00000939 0.00000837 0.00000653 0.00007271 0.00739180 0.00761621 0.00725132 0.00745864 0.00000522 0.00720891 0.00721571 0.00725747 0.00742307 0.00000522 0.00729880 0.00745911 0.00096689 0.00731320 0.00007304 0.00723024 0.00010990 0.00735190 0.00746088 0.00759040 0.00007333 0.00000444 0.00721267 0.00748197 0.00010870 0.00698502 0.00725423 0.00723417 0.00747639 0.00000600 0.00008257 0.00742243 0.00760248 0.00011613 0.00733835 0.00723343 0.00725219 0.00724045 0.00762491 0.00006991 0.00706126 0.00000470 0.00009190 0.00725312 0.00008069 0.00751230 0.00745542 0.00721180 0.00750200 0.00000731 0.00735266 0.00008393 0.00724886 0.00007544 0.00737655 0.00008406 0.00724856 0.00000209 0.00737483 0.00722628 0.00756813 0.00720560 0.00000891 0.00000478 0.00740616 0.00746142 0.00721076 0.00721076 0.00725790 0.00727023 0.00725341 0.00746926 0.00744831 0.00722897 0.00774752 0.00010447 0.00720392 0.00724537 0.00000261 0.00725667 0.00758592 0.00730935 0.00725600 0.00745956 0.00014317 0.00007944 0.00720565 0.00000548 0.00006750 0.00720175 0.00732764 0.00000574 0.00739294 0.00723605 0.00725549 0.00000652 0.00751338 0.00720917 0.00007331 0.00725539 0.00739484 0.00722722 0.00724921 0.00730442 0.00745544 0.00006901 0.00744523 0.00011053 0.00709281 0.00720271 0.00000679 0.00102231 0.00725882 0.00007750 0.00097713 0.00004568 0.00000939 0.00009180 0.00773854 0.00758223 0.00730276 0.00721199 0.00720713 0.00000470 0.00725273 0.00007521 0.00000261 0.00007281 0.00009306 0.00737017 0.00733028 0.00722829 0.00730310 0.00000470 0.00720416 0.00000287 0.00000496 0.00724387 0.00007883 0.00738585 0.00006958
s_158 0.00000526 0.00734336 0.00000617 0.00765840 0.00000803 0.00722030 0.00715420 0.00725544 0 0.00726064 0.00743254 0.00747050 0.00000451 0.00707658 0.00001139 0.00719084 0.00717963 0.00028898 0.00722909 0.00727228 0.00741008 0.00006570 0.00725405 0.00721103 0.00721520 0.00720005 0.00707853 0.00721281 0.00000717 0.00733722 0.00723009 0.00000612 0.00000665 0.00000928 0.00740754 0.00720548 0.00756317 0.00722937 0.00733488 0.00757427 0.00720330 0.00006651 0.00720773 0.00739546 0.00732831 0.00737870 0.00720317 0.00723456 0.00001036 0.00763382 0.00726349 0.00000649 0.00000876 0.00000675 0.00757715 0.00718345 0.00726524 0.00739353 0.00720754 0.00722277 0.00699071 0.00000292 0.00000578 0.00000452 0.00728403 0.00724353 0.00028884 0.00716416 0.00720493 0.00000584 0.00719056 0.00730080 0.00710486 0.00000764 0.00715566 0.00716796 0.00727513 0.00718535 0.00000772 0.00721880 0.00735043 0.00721597 0.00000693 0.00720251 0.00711385 0.00000986 0.00766830 0.00000895 0.00723709 0.00714674 0.00716677 0.00733463 0.00000613 0.00006966 0.00000499 0.00006787 0.00000877 0.00755014 0.00714780 0.00000451 0.00781422 0.00721840 0.00740700 0.00000770 0.00726498 0.00000394 0.00734665 0.00001701 0.00000500 0.00733492 0.00728607 0.00724766 0.00006542 0.00723834 0.00717570 0.00741486 0.00753287 0.00722545 0.00711738 0.00000987 0.00000684 0.00724679 0.00765076 0.00001062 0.00720671 0.00000394 0.00705771 0.00000693 0.00001146 0.00754515 0.00732671 0.00725623 0.00757218 0.00729117 0.00001047 0.00741171 0.00718321 0.00734253 0.00000685 0.00718860 0.00733612 0.00675530 0.00726640 0.00721674 0.00740947 0.00764182 0.00729776 0.00748587 0.00000868 0.00720596 0.00000505 0.00726290 0.00724119 0.00720554 0.00721492 0.00733978 0.00739328 0.00000744 0.00752987 0.00718139 0.00741059 0.00726752 0.00717989 0.00000563 0.00720484 0.00704334 0.00719557
G_18 0.00726969 0.00107600 0.00725031 0.00755539 0.00730552 0.00008482 0.00739787 0.00008179 0.00726064 0 0.00739743 0.00745007 0.00730035 0.00743166 0.00716250 0.00751130 0.00006734 0.00703493 0.00746914 0.00009570 0.00743674 0.00721076 0.00008593 0.00008508 0.00008277 0.00006598 0.00738045 0.00754431 0.00727237 0.00742637 0.00008229 0.00726651 0.00727372 0.00730342 0.00743715 0.00008174 0.00731292 0.00746615 0.00099252 0.00736442 0.00006605 0.00723520 0.00010374 0.00737552 0.00744638 0.00762756 0.00006617 0.00008333 0.00726896 0.00754542 0.00010084 0.00704535 0.00730010 0.00721577 0.00749285 0.00008309 0.00006305 0.00743025 0.00757710 0.00010631 0.00733992 0.00728312 0.00731322 0.00730928 0.00715793 0.00007307 0.00706429 0.00008231 0.00008295 0.00727176 0.00007096 0.00759605 0.00752591 0.00727399 0.00755340 0.00008414 0.00746345 0.00007853 0.00730705 0.00006604 0.00745655 0.00007540 0.00730640 0.00008094 0.00740531 0.00727678 0.00763060 0.00726611 0.00008899 0.00008623 0.00740705 0.00745090 0.00726333 0.00721394 0.00726363 0.00723273 0.00726549 0.00747965 0.00674893 0.00729043 0.00784727 0.00009792 0.00728491 0.00730561 0.00008235 0.00726070 0.00758897 0.00744445 0.00725920 0.00745006 0.00014633 0.00008112 0.00720203 0.00008335 0.00006370 0.00727944 0.00734233 0.00008386 0.00739990 0.00729088 0.00726250 0.00008298 0.00756031 0.00726597 0.00006449 0.00729734 0.00742615 0.00728087 0.00730768 0.00731961 0.00742349 0.00007504 0.00746877 0.00009013 0.00714938 0.00728124 0.00008518 0.00105320 0.00731470 0.00006887 0.00100677 0.00013448 0.00008400 0.00008417 0.00774339 0.00764219 0.00739887 0.00712961 0.00726765 0.00008297 0.00728886 0.00008052 0.00008047 0.00006474 0.00008323 0.00745293 0.00739104 0.00727825 0.00730780 0.00008125 0.00728164 0.00008233 0.00008227 0.00727191 0.00006923 0.00738252 0.00006156
