s_129	G_20	s_163	s_133	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_217	s_251	s_130	s_175	s_255	s_141	G_6	G_30	G_29	s_173	s_235	G_3	s_206	s_210	s_232	s_157	s_190	s_186	G_24	s_161	s_238	G_13
s_129 0 0.10000000 0.00005930 0.10000000 0.10000000 0.10000000 0.00000688 0.10000000 0.00000450 0.00000480 0.10000000 0.10000000 0.00000961 0.00000693 0.00001084 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005507 0.10000000 0.10000000 0.10000000 0.00000794 0.10000000 0.00000878 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000847 0.10000000 0.10000000 0.10000000 0.10000000 0.00000613 0.10000000 0.00001033 0.10000000 0.10000000 0.10000000 0.00001037 0.10000000 0.10000000 0.10000000 0.10000000 0.00000987 0.00001200 0.10000000 0.00000529 0.00001139 0.00000784 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000930 0.10000000 0.00001368 0.10000000 0.10000000 0.00000238 0.00005594 0.00001228 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000767 0.10000000 0.10000000 0.10000000 0.10000000 0.00000291 0.10000000 0.10000000 0.10000000 0.00005777 0.00000667 0.10000000 0.00000759 0.10000000 0.00000371 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000854 0.10000000 0.10000000 0.10000000 0.10000000 0.00000609 0.10000000 0.00001441 0.00000793 0.00000794 0.10000000 0.00000846 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000529 0.10000000 0.10000000 0.00001007 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001279 0.10000000 0.10000000 0.00000609 0.00000747 0.10000000 0.00000874 0.10000000 0.10000000 0.10000000 0.00000880 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000936 0.10000000 0.10000000 0.10000000 0.00005412 0.10000000 0.10000000
G_20 0.10000000 0 0.10000000 0.10000000 0.10000000 0.00108295 0.10000000 0.00108457 0.10000000 0.10000000 0.00107600 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00105387 0.00108422 0.00107697 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00104851 0.00110403 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00108378 0.00108474 0.00108049 0.00194324 0.00108535 0.00105760 0.10000000 0.10000000 0.00109769 0.10000000 0.10000000 0.10000000 0.10000000 0.00105267 0.10000000 0.00110877 0.10000000 0.10000000 0.10000000 0.10000000 0.00108506 0.10000000 0.00107344 0.10000000 0.10000000 0.00108752 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00105675 0.00108319 0.10000000 0.00108374 0.10000000 0.00106635 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00106314 0.00108228 0.10000000 0.00105561 0.00108023 0.10000000 0.00108377 0.00108233 0.10000000 0.10000000 0.00108475 0.00108488 0.00108263 0.10000000 0.10000000 0.10000000 0.10000000 0.00108560 0.10000000 0.10000000 0.00109784 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00112407 0.00106594 0.10000000 0.10000000 0.10000000 0.00104376 0.00108491 0.10000000 0.00108209 0.10000000 0.10000000 0.10000000 0.00105464 0.10000000 0.00115904 0.10000000 0.10000000 0.00106153 0.10000000 0.00109225 0.00108102 0.10000000 0.00108783 0.00202237 0.10000000 0.00105337 0.00196117 0.10000000 0.10000000 0.00106562 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00107537 0.00105590 0.00106211 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00108194 0.10000000 0.00108197 0.00108306 0.00107005 0.10000000 0.00108119 0.00104890
s_163 0.00005930 0.10000000 0 0.10000000 0.10000000 0.10000000 0.00005307 0.10000000 0.00005993 0.00007544 0.10000000 0.10000000 0.00007109 0.00005839 0.00005270 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000629 0.10000000 0.10000000 0.10000000 0.00005390 0.10000000 0.00006668 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005251 0.10000000 0.10000000 0.10000000 0.10000000 0.00007105 0.10000000 0.00005100 0.10000000 0.10000000 0.10000000 0.00005241 0.10000000 0.10000000 0.10000000 0.10000000 0.00006562 0.00007027 0.10000000 0.00005711 0.00005174 0.00006873 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005114 0.10000000 0.00006668 0.10000000 0.10000000 0.00005001 0.00000814 0.00006316 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005270 0.10000000 0.10000000 0.10000000 0.10000000 0.00005953 0.10000000 0.10000000 0.10000000 0.00000393 0.00006812 0.10000000 0.00007189 0.10000000 0.00005691 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005654 0.10000000 0.10000000 0.10000000 0.10000000 0.00005527 0.10000000 0.00006562 0.00005330 0.00005278 0.10000000 0.00005430 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005152 0.10000000 0.10000000 0.00005388 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006367 0.10000000 0.10000000 0.00005739 0.00006862 0.10000000 0.00005501 0.10000000 0.10000000 0.10000000 0.00007107 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006749 0.10000000 0.10000000 0.10000000 0.00000681 0.10000000 0.10000000
s_133 0.10000000 0.10000000 0.10000000 0 0.00000413 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000535 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000836 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_252 0.10000000 0.10000000 0.10000000 0.00000413 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000441 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000662 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_201 0.10000000 0.00108295 0.10000000 0.10000000 0.10000000 0 0.10000000 0.00000469 0.10000000 0.10000000 0.00008297 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007559 0.00000470 0.00009611 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007299 0.00000969 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000522 0.00001044 0.00000157 0.00096424 0.00000339 0.00007409 0.10000000 0.10000000 0.00011049 0.10000000 0.10000000 0.10000000 0.10000000 0.00007477 0.10000000 0.00010912 0.10000000 0.10000000 0.10000000 0.10000000 0.00000757 0.10000000 0.00008324 0.10000000 0.10000000 0.00011543 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007052 0.00000601 0.10000000 0.00009253 0.10000000 0.00008145 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008477 0.00007769 0.10000000 0.00008457 0.00000339 0.10000000 0.00000913 0.00000496 0.10000000 0.10000000 0.00000183 0.00000783 0.00000235 0.10000000 0.10000000 0.10000000 0.10000000 0.00000287 0.10000000 0.10000000 0.00010584 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014241 0.00007915 0.10000000 0.10000000 0.10000000 0.00006977 0.00000600 0.10000000 0.00000235 0.10000000 0.10000000 0.10000000 0.00007269 0.10000000 0.00004756 0.10000000 0.10000000 0.00006954 0.10000000 0.00011354 0.00000652 0.10000000 0.00000940 0.00102132 0.10000000 0.00007749 0.00097699 0.10000000 0.10000000 0.00009258 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007509 0.00007303 0.00009353 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000104 0.10000000 0.00000130 0.00000365 0.00007935 0.10000000 0.00000159 0.00006999
s_245 0.00000688 0.10000000 0.00005307 0.10000000 0.10000000 0.10000000 0 0.10000000 0.00000764 0.00000929 0.10000000 0.10000000 0.00000797 0.00000717 0.00000608 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00004876 0.10000000 0.10000000 0.10000000 0.00000790 0.10000000 0.00000795 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000316 0.10000000 0.10000000 0.10000000 0.10000000 0.00000796 0.10000000 0.00000448 0.10000000 0.10000000 0.10000000 0.00000716 0.10000000 0.10000000 0.10000000 0.10000000 0.00000717 0.00000823 0.10000000 0.00000688 0.00000580 0.00000717 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000718 0.10000000 0.00000984 0.10000000 0.10000000 0.00000158 0.00005528 0.00000664 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000344 0.10000000 0.10000000 0.10000000 0.10000000 0.00000869 0.10000000 0.10000000 0.10000000 0.00005264 0.00001010 0.10000000 0.00001012 0.10000000 0.00000870 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000585 0.10000000 0.10000000 0.10000000 0.10000000 0.00000606 0.10000000 0.00000903 0.00000579 0.00000397 0.10000000 0.00000740 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000763 0.10000000 0.10000000 0.00000820 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000849 0.10000000 0.10000000 0.00000926 0.00000478 0.10000000 0.00000659 0.10000000 0.10000000 0.10000000 0.00000610 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000722 0.10000000 0.10000000 0.10000000 0.00004765 0.10000000 0.10000000
s_228 0.10000000 0.00108457 0.10000000 0.10000000 0.10000000 0.00000469 0.10000000 0 0.10000000 0.10000000 0.00008106 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007472 0.00000208 0.00009721 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007371 0.00001048 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000339 0.00001095 0.00000573 0.00096486 0.00000625 0.00007268 0.10000000 0.10000000 0.00010989 0.10000000 0.10000000 0.10000000 0.10000000 0.00007551 0.10000000 0.00010908 0.10000000 0.10000000 0.10000000 0.10000000 0.00000496 0.10000000 0.00008239 0.10000000 0.10000000 0.00011689 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007133 0.00000574 0.10000000 0.00009196 0.10000000 0.00008007 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008339 0.00007509 0.10000000 0.00008451 0.00000781 0.10000000 0.00000888 0.00000156 0.10000000 0.10000000 0.00000573 0.00000731 0.00000625 0.10000000 0.10000000 0.10000000 0.10000000 0.00000704 0.10000000 0.10000000 0.00010474 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014440 0.00007985 0.10000000 0.10000000 0.10000000 0.00006762 0.00000261 0.10000000 0.00000599 0.10000000 0.10000000 0.10000000 0.00007368 0.10000000 0.00004648 0.10000000 0.10000000 0.00006949 0.10000000 0.00011055 0.00000521 0.10000000 0.00000783 0.00102216 0.10000000 0.00007558 0.00097734 0.10000000 0.10000000 0.00009177 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007612 0.00007349 0.00009291 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000391 0.10000000 0.00000417 0.00000782 0.00007951 0.10000000 0.00000504 0.00006993
s_142 0.00000450 0.10000000 0.00005993 0.10000000 0.10000000 0.10000000 0.00000764 0.10000000 0 0.00000557 0.10000000 0.10000000 0.00000743 0.00000690 0.00000925 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005700 0.10000000 0.10000000 0.10000000 0.00000684 0.10000000 0.00000584 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000711 0.10000000 0.10000000 0.10000000 0.10000000 0.00000557 0.10000000 0.00000817 0.10000000 0.10000000 0.10000000 0.00001009 0.10000000 0.10000000 0.10000000 0.10000000 0.00001062 0.00001114 0.10000000 0.00000555 0.00000948 0.00000779 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000878 0.10000000 0.00001257 0.10000000 0.10000000 0.00000316 0.00005463 0.00001221 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000660 0.10000000 0.10000000 0.10000000 0.10000000 0.00000447 0.10000000 0.10000000 0.10000000 0.00005748 0.00000983 0.10000000 0.00000730 0.10000000 0.00000290 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000930 0.10000000 0.10000000 0.10000000 0.10000000 0.00000685 0.10000000 0.00001221 0.00000815 0.00001058 0.10000000 0.00000872 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000448 0.10000000 0.10000000 0.00000714 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001166 0.10000000 0.10000000 0.00000661 0.00000849 0.10000000 0.00001001 0.10000000 0.10000000 0.10000000 0.00000796 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001149 0.10000000 0.10000000 0.10000000 0.00005506 0.10000000 0.10000000
s_158 0.00000480 0.10000000 0.00007544 0.10000000 0.10000000 0.10000000 0.00000929 0.10000000 0.00000557 0 0.10000000 0.10000000 0.00000711 0.00000662 0.00001225 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007165 0.10000000 0.10000000 0.10000000 0.00001113 0.10000000 0.00000762 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001194 0.10000000 0.10000000 0.10000000 0.10000000 0.00000605 0.10000000 0.00001328 0.10000000 0.10000000 0.10000000 0.00001550 0.10000000 0.10000000 0.10000000 0.10000000 0.00000895 0.00000763 0.10000000 0.00000879 0.00001406 0.00000617 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001232 0.10000000 0.00001435 0.10000000 0.10000000 0.00000531 0.00006922 0.00001079 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001170 0.10000000 0.10000000 0.10000000 0.10000000 0.00000742 0.10000000 0.10000000 0.10000000 0.00007514 0.00000684 0.10000000 0.00000807 0.10000000 0.00000743 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000795 0.10000000 0.10000000 0.10000000 0.10000000 0.00001062 0.10000000 0.00001342 0.00001086 0.00001359 0.10000000 0.00001038 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000796 0.10000000 0.10000000 0.00001039 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00001288 0.10000000 0.10000000 0.00000905 0.00000605 0.10000000 0.00001221 0.10000000 0.10000000 0.10000000 0.00000737 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000874 0.10000000 0.10000000 0.10000000 0.00006968 0.10000000 0.10000000
