Species_name	Nanopore_ID	Genome_ID	Sequence_size	N50	AR_gene_list	Genome_quality
Staphylococcus_haemolyticus	N186_BC01	s_5640	2368403	35994	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N265_barcode12	s_6930	2779832	740885	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N143_BC01	s_5548	2676918	1419837	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N264_barcode15	s_5785	2646077	789007	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode05	s_5739	2620586	863931	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N153_BC12	s_5571	2604659	150594	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N125_BC01	s_5495	2651919	401878	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N113_BC08	s_5473	2492895	1055148	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N182_BC03	s_5630	2767624	313862	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N134_BC09	s_5531	2143400	16102	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N189_BC07	s_5650	2646699	1864642	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N105_BC06	s_5455	2382715	109748	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N166_BC11	s_5599	2546930	671667	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N148_BC03	s_5562	2568072	459661	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N219_BC11	s_5711	2822215	599436	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N194_BC05	s_5666	2307897	38112	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N189_BC11	s_5654	2577095	715581	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N171_BC05	s_5604	2518122	235107	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N181_BC04	s_5628	2469766	171588	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N119_BC04	s_5487	2840458	656258	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N131_BC12	s_5522	2480102	527625	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N143_BC06	s_5551	2515850	114193	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N264_barcode11	s_5783	2655657	889936	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N226_BC11	s_5725	1908830	21693	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N108_BC09	s_5462	2515738	673069	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N115_BC08	s_5477	2556710	1975233	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N184_BC07	s_5637	2468786	335512	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N159_BC05	s_5586	2764889	2494896	NONE	HIGH_QUAL
