s_2377	s_2405	F_28	s_2393	F_47	F_17	F_12	s_2384	F_53	F_35	s_2373	F_51	s_2382	F_58	F_13	s_2370	F_37	s_2366	s_2414	s_2399	s_2368	F_39	s_2344	s_2371	F_44	s_2408	s_2401	s_2364	F_64	F_31	s_2387	F_61	G_2	s_2367	F_26	F_19	s_2390	F_21	s_2337	s_2360	G_5	s_2396	F_32	s_2391	s_2349	s_2336	F_56	s_2410	F_59	s_2412	F_41	s_2379	F_27	F_54	F_15	s_2340	s_2356	F_45	s_2361	s_2389	s_2335	F_24	s_2345	s_2397	s_2354	G_9	s_2403	G_4	s_2369	F_52	F_34	s_2363	F_25	F_11	F_18	F_62	s_2404	s_2378	F_43	F_29	s_2347	s_2409	F_42	F_40	s_2406	F_14	F_60	s_2353	F_48	F_20	s_2376	F_23	F_57	s_2343	s_2372	s_2388	s_2386	s_2400	F_36	F_66	F_38	G_7	s_2385	s_2338	s_2380	F_55	s_2398	s_2413	F_67	F_46	F_65	s_2350	G_8	s_2362	s_2381	F_63	s_2395	F_16	G_1	s_2355	F_22	s_2407	s_2415	G_6	F_30	s_2392	s_2411	s_2374	s_2348	s_2394	G_3	s_2351	s_2402	F_33	F_50	s_2383	F_49	s_2359	s_2365	s_2346
s_2377 0 0.00529941 0.00003439 0.00529376 0.00001427 0.00001427 0.00532697 0.00524575 0.00533054 0.00005623 0.00475790 0.00005175 0.00001774 0.00553803 0.00540414 0.00000024 0.00542490 0.00000049 0.00475235 0.00530121 0.00000389 0.00002903 0.00531915 0.00001507 0.07508685 0.00538924 0.00530083 0.00479372 0.15267115 0.00507701 0.00000415 0.00003415 0.00552719 0.00000097 0.00552102 0.00003130 0.00000536 0.00004227 0.00000438 0.00000024 0.00004626 0.00529876 0.00530747 0.00000414 0.00000364 0.00000583 0.00545832 0.00000439 0.00000583 0.00531711 0.00001698 0.00537967 0.00002879 0.00508756 0.00523083 0.00465253 0.00479648 0.00507711 0.00481707 0.00000439 0.08312495 0.00523501 0.00545717 0.00531604 0.00478592 0.00003937 0.00529435 0.00003127 0.00002522 0.00521745 0.00526100 0.00479693 0.00003320 0.00523270 0.00001375 1.00000000 0.00529923 0.07931088 0.00003010 0.00509566 0.00537113 0.00529705 0.00532545 0.00523695 0.00536045 0.00003932 0.07508738 0.00481310 0.00508522 0.00507591 0.00537037 0.00003270 0.00531852 0.00540082 0.00466865 0.00000512 0.00001800 0.00530183 0.00002463 0.00003539 0.00537458 0.00003666 0.00001804 0.00533574 0.08187840 0.00004298 0.00531482 0.00529906 0.00003689 0.00003464 0.00566743 0.00000580 0.00552632 0.00480986 0.00001800 0.00002836 0.00531872 0.00003538 0.00536818 0.00481484 0.00003940 0.00529285 0.00003392 0.00004061 0.00525583 0.00000414 0.00000610 0.00479728 0.00000268 0.00531957 0.00503744 0.05534512 0.00530145 0.00533029 0.15235346 0.00001776 0.00000924 0.00000024 0.00479109 0.00497487
s_2405 0.00529941 0 0.00530059 0.00000853 0.00531916 0.00531305 0.00477652 0.00000952 0.00477772 0.00503223 0.00559529 0.00502335 0.00538910 0.00503292 0.00497141 0.00529212 0.00502449 0.00537584 0.00558903 0.00001048 0.00537147 0.00530429 0.00000858 0.00538013 0.07623148 0.00000440 0.00001072 0.00555815 0.15214165 0.00570566 0.00531754 0.00530470 0.00494739 0.00537525 0.00509319 0.00530681 0.00536980 0.00531593 0.00529034 0.00537337 0.00501913 0.00000810 0.00476785 0.00536429 0.00527896 0.00529015 0.00447468 0.00530564 0.00530571 0.00000596 0.00533684 0.00000710 0.00531382 0.00570676 0.00532636 0.00543182 0.00560290 0.00577021 0.00558904 0.00540415 0.08233095 0.00534450 0.00001142 0.00000883 0.00559935 0.00501413 0.00000548 0.00530774 0.00536252 0.00570067 0.00491965 0.00546678 0.00531898 0.00533990 0.00530249 1.00000000 0.00001239 0.07925543 0.00502606 0.00565902 0.00000786 0.00000715 0.00478545 0.00489305 0.00000586 0.00531260 0.07623758 0.00554519 0.00580356 0.00533901 0.00000882 0.00531862 0.00003385 0.00000740 0.00483043 0.00536800 0.00538853 0.00001024 0.00532483 0.00531289 0.00498202 0.00500593 0.00531656 0.00005835 0.07753405 0.00502268 0.00000644 0.00000524 0.00501813 0.00530140 0.00519327 0.00519348 0.00491686 0.00560922 0.00531507 0.00532282 0.00000812 0.00530366 0.00547335 0.00560940 0.00502061 0.00000524 0.00532418 0.00502099 0.00570431 0.00539415 0.00530460 0.00553272 0.00531275 0.00000697 0.00532432 0.03016936 0.00001143 0.00478194 0.15164719 0.00532933 0.00529164 0.00537041 0.00553266 0.00000606
F_28 0.00003439 0.00530059 0 0.00513212 0.00001953 0.00001984 0.00531123 0.00521299 0.00532140 0.00003264 0.00463592 0.00003763 0.00004535 0.00553559 0.00541020 0.00003391 0.00540630 0.00003464 0.00467790 0.00529648 0.00003272 0.00002175 0.00530039 0.00004218 0.07521733 0.00536128 0.00529708 0.00469373 0.15229398 0.00507073 0.00003409 0.00000258 0.00532542 0.00003530 0.00548584 0.00001815 0.00003385 0.00001582 0.00003247 0.00003440 0.00003211 0.00526996 0.00530512 0.00003343 0.00003333 0.00003438 0.00554343 0.00003293 0.00003052 0.00537740 0.00001748 0.00545207 0.00002011 0.00508649 0.00505267 0.00469014 0.00469588 0.00506921 0.00485149 0.00003366 0.08030875 0.00508432 0.00544039 0.00538611 0.00468445 0.00002643 0.00535666 0.00001836 0.00005057 0.00524116 0.00524108 0.00463193 0.00002075 0.00505352 0.00002130 0.00000000 0.00533125 0.07626596 0.00002124 0.00508851 0.00535682 0.00529660 0.00531721 0.00521440 0.00536329 0.00000705 0.07519301 0.00481787 0.00507782 0.00527470 0.00535602 0.00002000 0.00538483 0.00538626 0.00473142 0.00003414 0.00004534 0.00529694 0.00001824 0.00000164 0.00538198 0.00002133 0.00004538 0.00535743 0.07533236 0.00002006 0.00532568 0.00530130 0.00002250 0.00000258 0.00573363 0.00002798 0.00532432 0.00471026 0.00004528 0.00001711 0.00532726 0.00000352 0.00520652 0.00471410 0.00002400 0.00535669 0.00002489 0.00002569 0.00522488 0.00003341 0.00003317 0.00465969 0.00003295 0.00535560 0.00500124 0.66008719 0.00527239 0.00532088 0.15200075 0.00004515 0.00003198 0.00003465 0.00469708 0.00495949
s_2393 0.00529376 0.00000853 0.00513212 0 0.00515218 0.00514588 0.00458112 0.00000952 0.00458017 0.00486928 0.00559516 0.00487339 0.00538216 0.00481954 0.00474506 0.00528616 0.00480070 0.00537015 0.00544826 0.00000876 0.00536579 0.00513402 0.00000954 0.00537267 0.07318193 0.00000638 0.00000968 0.00555676 0.14577163 0.00551273 0.00531071 0.00513525 0.00468205 0.00536935 0.00488431 0.00513772 0.00537182 0.00515698 0.00528435 0.00536764 0.00486873 0.00000646 0.00456287 0.00536707 0.00526538 0.00528454 0.00427950 0.00514989 0.00513334 0.00000461 0.00516431 0.00000563 0.00514119 0.00551125 0.00509701 0.00542087 0.00560437 0.00551334 0.00558765 0.00539799 0.08233164 0.00511417 0.00000994 0.00000554 0.00559998 0.00486356 0.00000646 0.00513524 0.00536045 0.00543919 0.00472956 0.00549523 0.00514741 0.00511099 0.00513851 1.00000000 0.00001268 0.07917678 0.00487557 0.00547181 0.00000810 0.00000669 0.00458847 0.00477618 0.00000614 0.00514411 0.07319957 0.00554343 0.00554127 0.00510924 0.00000763 0.00514684 0.00003068 0.00000668 0.00484983 0.00537021 0.00538158 0.00001084 0.00515209 0.00514442 0.00477608 0.00486406 0.00530980 0.00005964 0.07873893 0.00487518 0.00000600 0.00000392 0.00486669 0.00513370 0.00495287 0.00519033 0.00464088 0.00560910 0.00530836 0.00515927 0.00000531 0.00513592 0.00522989 0.00560689 0.00487063 0.00000576 0.00515225 0.00486990 0.00545702 0.00539639 0.00514947 0.00553857 0.00530711 0.00001000 0.00509312 0.03403313 0.00000968 0.00458651 0.14525435 0.00532244 0.00512043 0.00536473 0.00553987 0.00000876
F_47 0.00001427 0.00531916 0.00001953 0.00515218 0 0.00000146 0.00531402 0.00523059 0.00531897 0.00003849 0.00476110 0.00003712 0.00002242 0.00551607 0.00539534 0.00001393 0.00541585 0.00001466 0.00478790 0.00531106 0.00001049 0.00001362 0.00531889 0.00002297 0.07615390 0.00535578 0.00531026 0.00479506 0.15230009 0.00515487 0.00001640 0.00001836 0.00539546 0.00001561 0.00546359 0.00002223 0.00001911 0.00002579 0.00001320 0.00001221 0.00003059 0.00528335 0.00530097 0.00001692 0.00001021 0.00001514 0.00546317 0.00001517 0.00000801 0.00539835 0.00002148 0.00547218 0.00001409 0.00516225 0.00523292 0.00468874 0.00480049 0.00514170 0.00481993 0.00001668 0.08329205 0.00523947 0.00546214 0.00540843 0.00478890 0.00002522 0.00537617 0.00002191 0.00002973 0.00524806 0.00524762 0.00480562 0.00001946 0.00523676 0.00000923 0.00000000 0.00534824 0.07940410 0.00002788 0.00517752 0.00537567 0.00531541 0.00530253 0.00527071 0.00538281 0.00002394 0.07624528 0.00481571 0.00515660 0.00514562 0.00537553 0.00001869 0.00540407 0.00540529 0.00467612 0.00001520 0.00002196 0.00530985 0.00000969 0.00002107 0.00537783 0.00001945 0.00002347 0.00537261 0.07851458 0.00002607 0.00534453 0.00532143 0.00002035 0.00001976 0.00563984 0.00001873 0.00539431 0.00481339 0.00002415 0.00002658 0.00534758 0.00001951 0.00537137 0.00481792 0.00002307 0.00537723 0.00003338 0.00002546 0.00522266 0.00001594 0.00001444 0.00477508 0.00001271 0.00537620 0.00522821 0.05618123 0.00528674 0.00531599 0.15193225 0.00002298 0.00000900 0.00001393 0.00478807 0.00497886
F_17 0.00001427 0.00531305 0.00001984 0.00514588 0.00000146 0 0.00530812 0.00522633 0.00531660 0.00003984 0.00476382 0.00003763 0.00002291 0.00551886 0.00539420 0.00001393 0.00541664 0.00001442 0.00479092 0.00531039 0.00001025 0.00001363 0.00531320 0.00002321 0.07612782 0.00537571 0.00531066 0.00479781 0.15231824 0.00515203 0.00001615 0.00001714 0.00533421 0.00001561 0.00547047 0.00002298 0.00001886 0.00002562 0.00001296 0.00001221 0.00003084 0.00528418 0.00530187 0.00001643 0.00001046 0.00001490 0.00546431 0.00001493 0.00000874 0.00539151 0.00002125 0.00546635 0.00001338 0.00515838 0.00520487 0.00471757 0.00480318 0.00515175 0.00482214 0.00001668 0.08328851 0.00515535 0.00545521 0.00540156 0.00479202 0.00002498 0.00537068 0.00002143 0.00002949 0.00524864 0.00523906 0.00480567 0.00001925 0.00520655 0.00000875 0.00000000 0.00534491 0.07945268 0.00002880 0.00516941 0.00536984 0.00530965 0.00531204 0.00526972 0.00537706 0.00002297 0.07629014 0.00478837 0.00515760 0.00516700 0.00536970 0.00001850 0.00531505 0.00539968 0.00467722 0.00001446 0.00002245 0.00531021 0.00000948 0.00002059 0.00535884 0.00001993 0.00002396 0.00536601 0.07851008 0.00002608 0.00533872 0.00531503 0.00002159 0.00001910 0.00564477 0.00001873 0.00533307 0.00481558 0.00002415 0.00002684 0.00534110 0.00001902 0.00537194 0.00481983 0.00002286 0.00537073 0.00003387 0.00002522 0.00522525 0.00001618 0.00001420 0.00477719 0.00001271 0.00537004 0.00522621 0.05618021 0.00528568 0.00531693 0.15195271 0.00002322 0.00000900 0.00001393 0.00475817 0.00497328
F_12 0.00532697 0.00477652 0.00531123 0.00458112 0.00531402 0.00530812 0 0.00478987 0.00000000 0.00526308 0.00558678 0.00532051 0.00533784 0.00468640 0.00495049 0.00532837 0.00495205 0.00532711 0.00559117 0.00478910 0.00532864 0.00531816 0.00478371 0.00533588 0.07564202 0.00481031 0.00477504 0.00556633 0.15182984 0.00540623 0.00532010 0.00528314 0.00342754 0.00532038 0.00497792 0.00532053 0.00531903 0.00531025 0.00532917 0.00532890 0.00532185 0.00477458 0.00002702 0.00532794 0.00525922 0.00532818 0.00482734 0.00532632 0.00531147 0.00478362 0.00532232 0.00480496 0.00531583 0.00543764 0.00567374 0.00545515 0.00558984 0.00540555 0.00559909 0.00532786 0.08433916 0.00565938 0.00482146 0.00478521 0.00559075 0.00531810 0.00477595 0.00532323 0.00531611 0.00552603 0.00489937 0.00561837 0.00531913 0.00565976 0.00531452 0.00000000 0.00478171 0.08275026 0.00531831 0.00545670 0.00477637 0.00477815 0.00000026 0.00492192 0.00480344 0.00528363 0.07565178 0.00560274 0.00542018 0.00564216 0.00477438 0.00532007 0.00478435 0.00476304 0.00539161 0.00532527 0.00533570 0.00477434 0.00531240 0.00531355 0.00493988 0.00527057 0.00533125 0.00478798 0.08034468 0.00531720 0.00478199 0.00478474 0.00531143 0.00528233 0.00516532 0.00523190 0.00342774 0.00559257 0.00532830 0.00531470 0.00477099 0.00528372 0.00568069 0.00559501 0.00531375 0.00478633 0.00531439 0.00532561 0.00565807 0.00532722 0.00532776 0.00560303 0.00532657 0.00479367 0.00565843 0.05560840 0.00478815 0.00000052 0.15213186 0.00533977 0.00530548 0.00532832 0.00563792 0.00442548
s_2384 0.00524575 0.00000952 0.00521299 0.00000952 0.00523059 0.00522633 0.00478987 0 0.00478966 0.00494149 0.00554597 0.00494294 0.00533479 0.00503392 0.00495852 0.00523884 0.00501569 0.00532174 0.00551995 0.00001403 0.00532324 0.00524121 0.00000739 0.00532650 0.07620966 0.00001000 0.00001214 0.00550976 0.15215807 0.00570178 0.00522921 0.00521735 0.00488730 0.00532098 0.00509054 0.00522065 0.00522385 0.00522771 0.00524197 0.00531908 0.00493928 0.00000903 0.00479208 0.00521891 0.00522058 0.00523708 0.00447594 0.00522509 0.00521853 0.00000904 0.00524568 0.00000759 0.00522470 0.00563256 0.00532558 0.00538050 0.00555510 0.00570480 0.00554645 0.00523190 0.08235615 0.00534106 0.00001117 0.00000857 0.00554897 0.00493284 0.00000738 0.00522015 0.00530835 0.00570240 0.00492057 0.00544164 0.00523011 0.00533756 0.00521608 1.00000000 0.00001453 0.07913073 0.00494828 0.00561229 0.00000762 0.00000809 0.00479691 0.00498813 0.00000634 0.00522198 0.07621542 0.00549883 0.00573258 0.00533604 0.00000834 0.00522903 0.00003401 0.00000739 0.00480765 0.00522286 0.00523693 0.00000975 0.00523427 0.00522242 0.00498471 0.00493671 0.00522565 0.00005881 0.07755880 0.00494071 0.00000833 0.00000785 0.00493657 0.00521460 0.00519514 0.00515183 0.00485292 0.00556356 0.00526152 0.00523614 0.00000810 0.00521530 0.00546683 0.00555996 0.00493982 0.00000856 0.00523429 0.00493786 0.00570751 0.00522433 0.00522415 0.00549208 0.00526321 0.00000886 0.00532018 0.02990453 0.00001236 0.00478916 0.15167550 0.00527531 0.00520207 0.00531640 0.00550166 0.00000808
F_53 0.00533054 0.00477772 0.00532140 0.00458017 0.00531897 0.00531660 0.00000000 0.00478966 0 0.00527436 0.00558620 0.00532863 0.00534089 0.00466750 0.00495532 0.00533208 0.00495888 0.00533054 0.00559242 0.00479018 0.00533167 0.00532508 0.00478256 0.00533913 0.07588155 0.00480896 0.00477145 0.00556911 0.15190129 0.00542398 0.00532345 0.00528379 0.00342539 0.00532376 0.00497552 0.00531701 0.00532229 0.00531727 0.00533263 0.00533219 0.00532185 0.00477606 0.00002517 0.00533135 0.00526562 0.00533151 0.00481983 0.00532943 0.00531526 0.00478294 0.00531724 0.00480044 0.00531945 0.00543371 0.00567013 0.00545613 0.00559066 0.00543132 0.00559856 0.00533114 0.08433806 0.00566384 0.00481852 0.00478092 0.00559056 0.00531934 0.00477162 0.00531533 0.00532063 0.00552199 0.00489219 0.00562125 0.00532707 0.00566229 0.00531961 0.00000000 0.00478121 0.08272598 0.00532306 0.00546129 0.00477236 0.00477678 0.00000026 0.00491427 0.00479911 0.00532018 0.07587409 0.00560211 0.00541645 0.00565150 0.00477269 0.00532290 0.00477798 0.00475975 0.00540028 0.00532901 0.00534028 0.00477182 0.00531565 0.00531385 0.00493986 0.00526945 0.00533534 0.00478657 0.08032334 0.00531901 0.00477732 0.00478372 0.00531281 0.00532031 0.00515279 0.00523574 0.00342559 0.00559446 0.00533187 0.00531083 0.00476949 0.00531817 0.00567711 0.00559534 0.00532302 0.00478007 0.00531573 0.00532569 0.00566893 0.00533023 0.00533006 0.00560631 0.00532741 0.00479499 0.00565947 0.05557718 0.00478985 0.00000052 0.15213192 0.00534287 0.00530822 0.00533161 0.00563815 0.00442518
F_35 0.00005623 0.00503223 0.00003264 0.00486928 0.00003849 0.00003984 0.00526308 0.00494149 0.00527436 0 0.00463100 0.00003506 0.00006759 0.00553229 0.00539198 0.00005607 0.00540353 0.00005712 0.00464498 0.00502166 0.00005340 0.00004083 0.00503348 0.00006342 0.07487489 0.00508630 0.00502399 0.00467462 0.15195063 0.00505979 0.00005747 0.00003322 0.00533339 0.00005699 0.00547498 0.00004773 0.00005881 0.00002012 0.00005691 0.00005420 0.00003610 0.00499548 0.00523620 0.00005867 0.00006396 0.00005736 0.00550585 0.00005728 0.00005444 0.00511491 0.00004657 0.00518308 0.00003930 0.00496931 0.00469803 0.00466986 0.00467600 0.00496599 0.00471674 0.00005921 0.07968772 0.00473925 0.00516466 0.00512073 0.00465728 0.00004201 0.00508976 0.00004729 0.00007623 0.00518694 0.00523421 0.00466013 0.00004687 0.00473899 0.00004215 0.00000000 0.00506697 0.07534378 0.00002094 0.00509071 0.00509113 0.00502896 0.00526935 0.00520233 0.00509006 0.00003782 0.07485314 0.00479223 0.00497069 0.00490948 0.00508888 0.00004597 0.00502886 0.00512104 0.00458756 0.00005706 0.00006631 0.00502398 0.00004250 0.00003325 0.00530946 0.00003285 0.00006424 0.00507311 0.07452729 0.00002049 0.00505701 0.00503383 0.00003063 0.00003242 0.00573354 0.00006284 0.00533289 0.00468562 0.00006568 0.00002190 0.00505924 0.00003466 0.00484864 0.00469196 0.00003612 0.00509067 0.00003274 0.00004020 0.00518919 0.00005813 0.00005649 0.00457181 0.00005424 0.00508911 0.00464786 0.16630603 0.00499747 0.00526212 0.15114291 0.00006747 0.00005324 0.00005660 0.00462062 0.00471451
