Row.names	clusters	lib	Species	length	n50	genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number	strain
s_170	1	N098_BC06	Acinetobacter_baumannii	3916203	3877302	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	AMP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_171	1	N098_BC07	Acinetobacter_baumannii	3910293	3871450	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	STREP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_172	1	N098_BC08	Acinetobacter_baumannii	3925339	3886348	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	KAN	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_173	1	N098_BC09	Acinetobacter_baumannii	3923702	2783095	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	CHLOR	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_174	1	N098_BC10	Acinetobacter_baumannii	3920061	3870413	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	TET	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_175	14	N100_BC08	Acinetobacter_baumannii	3668894	3632442	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	AMP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA	s14
s_178	1	N106_BC02	Acinetobacter_baumannii	3929450	3890418	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	CHLOR	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2	s1
s_179	1	N106_BC03	Acinetobacter_baumannii	3921609	3882655	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	KAN	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2	s1
s_180	1	N106_BC04	Acinetobacter_baumannii	3920693	3881749	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	TET	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2	s1
s_181	14	N106_BC06	Acinetobacter_baumannii	3680195	3643631	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	CHLOR	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA	s14
s_182	14	N106_BC10	Acinetobacter_baumannii	3662968	3626576	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	STREP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA	s14
