s_3356	s_3441	s_3349	s_3444	s_3331	s_3382	s_3436	s_3377	s_3277	s_3280	s_3402	s_3378	s_3328	s_3287	s_3410	s_3254	s_3428	s_3393	s_3386	s_3417	s_3415	s_3326	s_3395	s_3301	s_3274	s_3351	s_3421	s_3256	s_3358	s_3297	s_3425	s_3304	s_3357	s_3264	s_3338	s_3342	s_3353	s_3325	s_3368	s_3335	s_3303	s_3432	s_3292	s_3257	s_3266	s_3366	s_3306	s_3409	s_3355	s_3334	s_3399	s_3375	s_3265	s_3253	s_3288	s_3413	s_3345	s_3341	s_3299	s_3282	s_3319	s_3380	s_3397	s_3339	s_3259	s_3284	s_3435	s_3330	s_3423	s_3261	s_3446	s_3437	s_3384	s_3285	s_3448	s_3445	s_3329	s_3360	s_3369	s_3315	s_3309	s_3343	s_3383	s_3405	s_3258	s_3348	s_3294	s_3305	s_3296	s_3313	s_3450	s_3317	s_3359	s_3376	s_3262	s_3416	s_3362	s_3276	s_3332	s_3286	s_3401	s_3324	s_3278	s_3260	s_3350	s_3281	s_3321	s_3424	s_3293	s_3307	s_3403	s_3255	s_3269	s_3340	s_3316	s_3388	s_3336	s_3252	s_3279	s_3344	s_3396	s_3434	s_3352	s_3419	s_3298	s_3365	s_3320	s_3373	s_3354	s_3367	s_3438	s_3291	s_3300	s_3447	s_3308	s_3346	s_3404	s_3318	s_3295	s_3412	s_3272	s_3379	s_3433	s_3385	s_3333	s_3398	s_3374	s_3431	s_3314	s_3311	s_3449	s_3408
s_3356 0 0.00026472 0.00033869 0.00028856 0.00341431 0.00396328 0.00369327 0.00360645 0.00363726 0.00361762 0.00213335 0.00357289 0.00028895 0.00357890 0.00044528 0.00026699 0.00384468 0.00347062 0.00030305 0.00027911 0.00350897 0.00364574 0.00396241 0.00290403 0.00338923 0.00027151 0.00025496 0.00027207 0.00025315 0.00041985 0.00385741 0.00033094 0.00025706 0.00351246 0.00027013 0.00045384 0.00028031 0.00362019 0.00028076 0.00411539 0.00028978 0.00027208 0.00373791 0.00026516 0.00386476 0.00461706 0.00354363 0.00395743 0.00025455 0.00433441 0.00214999 0.00024322 0.00026503 0.00026818 0.00373014 0.00376642 0.00030057 0.00030292 0.00028188 0.00384895 0.00351555 0.00356774 0.00362447 0.00028220 0.00027299 0.00348328 0.00027309 0.00358192 0.00027537 0.00027008 0.00031223 0.00213675 0.00028841 0.00358484 0.00480675 0.00027874 0.00338512 0.00029779 0.05376076 0.00040871 0.00341281 0.00028882 0.00391916 0.00399325 0.00026670 0.00460183 0.00198554 0.00027475 0.00200119 0.00347975 0.00353871 0.00032334 0.00025409 0.00359551 0.00026645 0.00028926 0.00026388 0.00346925 0.00359577 0.00356297 0.00343637 0.00039678 0.00345681 0.00026771 0.00382414 0.00384006 0.00357599 0.00358687 0.00362433 0.00353165 0.00378091 0.00026747 0.00028201 0.00027850 0.00026221 0.00025936 0.00028682 0.00029952 0.00367849 0.00363755 0.00392499 0.00033079 0.00027344 0.00027087 0.00031447 0.00461866 0.00353496 0.00049662 0.00028475 0.00466702 0.00329698 0.00362472 0.00033412 0.00027759 0.00352700 0.00030362 0.00373569 0.00340521 0.00194658 0.00027625 0.00376134 0.00358942 0.00027258 0.00030447 0.00338968 0.00370400 0.00037481 0.00028165 0.00348087 0.00355099 0.00028919 0.00027206
s_3441 0.00026472 0 0.00016450 0.00003649 0.00382323 0.00449742 0.00401229 0.00415136 0.00403793 0.00398904 0.00230917 0.00393677 0.00003274 0.00381333 0.00030517 0.00003123 0.00432411 0.00394169 0.00017313 0.00002648 0.00410355 0.00398429 0.00447553 0.00308709 0.00367792 0.00003518 0.00010127 0.00002052 0.00007768 0.00026994 0.00434187 0.00019649 0.00008133 0.00375682 0.00002347 0.00027756 0.00002303 0.00396094 0.00004183 0.00433257 0.00012033 0.00002018 0.00404281 0.00001888 0.00427872 0.00510653 0.00389528 0.00443456 0.00008030 0.00456327 0.00239800 0.00006457 0.00001621 0.00001788 0.00395103 0.00419478 0.00010014 0.00011733 0.00006109 0.00420870 0.00389590 0.00404282 0.00388495 0.00002652 0.00001911 0.00378642 0.00002982 0.00396277 0.00007793 0.00001971 0.00008791 0.00235129 0.00017564 0.00397555 0.00532963 0.00002519 0.00355428 0.00011170 0.05761936 0.00023296 0.00368945 0.00009965 0.00452099 0.00458690 0.00002293 0.00497726 0.00213353 0.00007472 0.00214976 0.00376926 0.00398783 0.00016519 0.00008490 0.00407215 0.00001987 0.00009353 0.00004890 0.00379195 0.00400375 0.00392512 0.00393370 0.00019336 0.00378730 0.00001653 0.00412162 0.00418449 0.00395479 0.00411650 0.00379987 0.00387464 0.00417700 0.00001782 0.00003923 0.00002999 0.00007923 0.00005355 0.00002987 0.00007388 0.00408125 0.00402934 0.00448438 0.00015178 0.00002435 0.00002732 0.00013359 0.00509486 0.00388355 0.00035491 0.00002713 0.00513602 0.00371845 0.00395866 0.00016679 0.00002545 0.00388004 0.00009023 0.00415638 0.00365559 0.00207141 0.00002869 0.00408957 0.00405372 0.00003131 0.00017964 0.00367932 0.00416576 0.00019256 0.00003890 0.00375645 0.00385429 0.00006387 0.00003538
s_3349 0.00033869 0.00016450 0 0.00017395 0.00380616 0.00414103 0.00364313 0.00372034 0.00393657 0.00391391 0.00212695 0.00370302 0.00017231 0.00371899 0.00036458 0.00016550 0.00409407 0.00352710 0.00024822 0.00016997 0.00372842 0.00383319 0.00410679 0.00300381 0.00363970 0.00016361 0.00018348 0.00016002 0.00017606 0.00037145 0.00391144 0.00029000 0.00017822 0.00371330 0.00016723 0.00037462 0.00016071 0.00386895 0.00016624 0.00407362 0.00023650 0.00016230 0.00393398 0.00015580 0.00417419 0.00448873 0.00373861 0.00408765 0.00017069 0.00435727 0.00217053 0.00016917 0.00015672 0.00015880 0.00383567 0.00385713 0.00020808 0.00023043 0.00019541 0.00408526 0.00377343 0.00362607 0.00355842 0.00016738 0.00016304 0.00372895 0.00016928 0.00384493 0.00016218 0.00015731 0.00020289 0.00212288 0.00024381 0.00390702 0.00464464 0.00016805 0.00353031 0.00020181 0.05763182 0.00033784 0.00357650 0.00020961 0.00408809 0.00419193 0.00016299 0.00466679 0.00207262 0.00018664 0.00210109 0.00365366 0.00360488 0.00025979 0.00017522 0.00370104 0.00015386 0.00020878 0.00018077 0.00366467 0.00391479 0.00388061 0.00347963 0.00031548 0.00371215 0.00015837 0.00375001 0.00404953 0.00388609 0.00365382 0.00371686 0.00380671 0.00383442 0.00015563 0.00016680 0.00017056 0.00020618 0.00014734 0.00017739 0.00019870 0.00397821 0.00392548 0.00410827 0.00023653 0.00017158 0.00016126 0.00025479 0.00448665 0.00380134 0.00040913 0.00016358 0.00454298 0.00336689 0.00387605 0.00027821 0.00016640 0.00373126 0.00020262 0.00380810 0.00359136 0.00202544 0.00016168 0.00390615 0.00369992 0.00016946 0.00025314 0.00363458 0.00382790 0.00027552 0.00018007 0.00370487 0.00375421 0.00019013 0.00017271
s_3444 0.00028856 0.00003649 0.00017395 0 0.00379690 0.00446001 0.00397776 0.00410220 0.00402348 0.00397410 0.00229676 0.00391990 0.00004713 0.00373837 0.00031546 0.00004330 0.00430238 0.00391518 0.00018226 0.00004038 0.00407970 0.00399184 0.00444537 0.00309438 0.00368806 0.00004670 0.00011055 0.00003383 0.00008941 0.00027659 0.00432319 0.00020407 0.00009210 0.00375934 0.00004193 0.00029447 0.00003597 0.00397863 0.00005247 0.00432813 0.00012385 0.00003711 0.00404962 0.00002838 0.00426119 0.00507586 0.00386585 0.00441067 0.00009262 0.00459472 0.00235908 0.00008083 0.00003321 0.00003594 0.00393729 0.00416485 0.00012162 0.00012791 0.00007707 0.00419879 0.00390792 0.00400090 0.00388005 0.00004516 0.00003650 0.00378252 0.00004088 0.00396427 0.00009151 0.00003237 0.00010028 0.00234714 0.00018368 0.00396748 0.00536443 0.00003742 0.00356678 0.00011857 0.05752511 0.00024781 0.00370671 0.00011605 0.00450057 0.00455291 0.00003882 0.00495206 0.00212744 0.00009145 0.00214652 0.00379195 0.00401479 0.00017925 0.00009713 0.00404448 0.00003995 0.00010482 0.00006197 0.00377890 0.00400915 0.00393322 0.00392279 0.00020206 0.00378431 0.00003195 0.00409937 0.00416357 0.00395415 0.00407684 0.00379065 0.00392910 0.00419273 0.00003016 0.00005405 0.00004708 0.00009570 0.00006621 0.00004518 0.00009054 0.00406902 0.00404729 0.00445234 0.00015791 0.00003889 0.00004023 0.00014756 0.00507207 0.00390244 0.00037111 0.00004073 0.00508698 0.00371054 0.00395956 0.00017382 0.00003893 0.00389595 0.00010752 0.00413644 0.00364831 0.00207219 0.00003894 0.00408361 0.00403005 0.00004429 0.00018391 0.00365961 0.00415347 0.00020224 0.00004787 0.00376784 0.00386224 0.00006483 0.00003905
s_3331 0.00341431 0.00382323 0.00380616 0.00379690 0 0.00425210 0.00339362 0.00380114 0.00130255 0.00385160 0.00367054 0.00376148 0.00380837 0.00335548 0.00345397 0.00368959 0.00420311 0.00131990 0.00361441 0.00380946 0.00006907 0.00129813 0.00414326 0.00117298 0.00125202 0.00382593 0.00367593 0.00372770 0.00375186 0.00324310 0.00391166 0.00333411 0.00371695 0.00347009 0.00388900 0.00363661 0.00383735 0.00129680 0.00383993 0.00436629 0.00358683 0.00382564 0.00383232 0.00379287 0.00390389 0.00470003 0.00127468 0.00420888 0.00372457 0.00468616 0.00371075 0.00373511 0.00375722 0.00377764 0.00347830 0.00382538 0.00374860 0.00375571 0.00376960 0.00396513 0.00009589 0.00374825 0.00335468 0.00387242 0.00378134 0.00371521 0.00381068 0.00006415 0.00373519 0.00376927 0.00369485 0.00358146 0.00358315 0.00389486 0.00490700 0.00382113 0.00037661 0.00372695 0.06521506 0.00361173 0.00332665 0.00380071 0.00419209 0.00420455 0.00378149 0.00464302 0.00361971 0.00370264 0.00366448 0.00129123 0.00123819 0.00364828 0.00371286 0.00376802 0.00370683 0.00376563 0.00369356 0.00125689 0.00006325 0.00381127 0.00138857 0.00365086 0.00370789 0.00380771 0.00393821 0.00392529 0.00008919 0.00374769 0.00339615 0.00127752 0.00380430 0.00381315 0.00371070 0.00383566 0.00371639 0.00383986 0.00386749 0.00349909 0.00391347 0.00130031 0.00420225 0.00352040 0.00380544 0.00383852 0.00351565 0.00469306 0.00015763 0.00351137 0.00383529 0.00473235 0.00146935 0.00396369 0.00340095 0.00384326 0.00126060 0.00378898 0.00351826 0.00049048 0.00357903 0.00379215 0.00376870 0.00378325 0.00378190 0.00362726 0.00023236 0.00399528 0.00366127 0.00378660 0.00130965 0.00376828 0.00376351 0.00373806
s_3382 0.00396328 0.00449742 0.00414103 0.00446001 0.00425210 0 0.00434068 0.00449067 0.00282324 0.00017640 0.00453873 0.00424719 0.00427631 0.00422012 0.00411707 0.00422083 0.00027435 0.00276588 0.00426634 0.00448877 0.00449794 0.00284892 0.00036280 0.00233432 0.00263701 0.00452810 0.00435152 0.00425479 0.00432480 0.00363137 0.00370155 0.00383578 0.00422118 0.00342743 0.00409807 0.00403862 0.00444644 0.00283320 0.00451156 0.00430190 0.00409452 0.00446856 0.00351337 0.00431288 0.00368686 0.00488379 0.00278192 0.00033191 0.00431480 0.00455706 0.00456788 0.00432693 0.00434504 0.00429942 0.00434266 0.00358246 0.00407715 0.00407687 0.00425399 0.00365027 0.00434290 0.00436926 0.00426067 0.00431965 0.00434285 0.00021274 0.00445417 0.00436892 0.00437615 0.00434098 0.00426214 0.00444788 0.00425846 0.00019073 0.00498623 0.00449473 0.00400039 0.00433163 0.06077895 0.00404938 0.00395887 0.00414081 0.00030389 0.00034376 0.00432407 0.00503702 0.00430397 0.00416247 0.00432543 0.00277201 0.00285819 0.00405774 0.00416415 0.00443072 0.00425128 0.00441071 0.00440452 0.00270328 0.00443102 0.00019453 0.00279889 0.00412563 0.00024127 0.00433810 0.00046014 0.00360903 0.00439408 0.00437884 0.00420352 0.00276184 0.00357534 0.00433513 0.00421175 0.00431864 0.00419383 0.00444349 0.00431765 0.00399467 0.00016540 0.00284605 0.00041021 0.00412795 0.00442824 0.00448768 0.00394936 0.00484046 0.00434917 0.00399830 0.00443884 0.00484101 0.00251395 0.00016170 0.00386034 0.00448552 0.00279159 0.00421751 0.00423727 0.00407667 0.00424521 0.00449264 0.00353738 0.00442419 0.00447873 0.00425956 0.00405937 0.00046542 0.00420015 0.00440110 0.00274308 0.00322868 0.00437191 0.00441640
s_3436 0.00369327 0.00401229 0.00364313 0.00397776 0.00339362 0.00434068 0 0.00397821 0.00391464 0.00387367 0.00381931 0.00380017 0.00381981 0.00005862 0.00354876 0.00376205 0.00413636 0.00389096 0.00382135 0.00398277 0.00358180 0.00389864 0.00429726 0.00305334 0.00364760 0.00394621 0.00393815 0.00382533 0.00391062 0.00316077 0.00373014 0.00338983 0.00387236 0.00320065 0.00375661 0.00361046 0.00394239 0.00385389 0.00394291 0.00435168 0.00357163 0.00397593 0.00351018 0.00385085 0.00356975 0.00492120 0.00380876 0.00433814 0.00394898 0.00461401 0.00389147 0.00390435 0.00390636 0.00384175 0.00004135 0.00360573 0.00372996 0.00364685 0.00371064 0.00360945 0.00345257 0.00385461 0.00010615 0.00380686 0.00384908 0.00364716 0.00388533 0.00348375 0.00389642 0.00381043 0.00380826 0.00378147 0.00378766 0.00381157 0.00517838 0.00399386 0.00320752 0.00385429 0.09871073 0.00365463 0.00332788 0.00377023 0.00436289 0.00433797 0.00384852 0.00478720 0.00362873 0.00372849 0.00364540 0.00369627 0.00390565 0.00365444 0.00381428 0.00394451 0.00382227 0.00383662 0.00394513 0.00369706 0.00352596 0.00377422 0.00383347 0.00372668 0.00366324 0.00389861 0.00397864 0.00358066 0.00347555 0.00398351 0.00004722 0.00377802 0.00355976 0.00386073 0.00371280 0.00379256 0.00381230 0.00394931 0.00383233 0.00352136 0.00395009 0.00390849 0.00422681 0.00356285 0.00395516 0.00395761 0.00344965 0.00491873 0.00344630 0.00351021 0.00395593 0.00484963 0.00371768 0.00381968 0.00336719 0.00401197 0.00382151 0.00377828 0.00284269 0.00331781 0.00357219 0.00384192 0.00344287 0.00391683 0.00384782 0.00384640 0.00321558 0.00407656 0.00365398 0.00389314 0.00361098 0.00261094 0.00392063 0.00394621
s_3377 0.00360645 0.00415136 0.00372034 0.00410220 0.00380114 0.00449067 0.00397821 0 0.00405730 0.00394200 0.00413604 0.00003794 0.00384905 0.00380355 0.00369246 0.00377930 0.00449538 0.00400717 0.00397233 0.00413361 0.00403061 0.00404066 0.00442780 0.00316968 0.00375446 0.00407628 0.00402928 0.00381574 0.00396591 0.00323361 0.00418307 0.00344053 0.00387009 0.00356905 0.00369098 0.00366288 0.00403379 0.00400634 0.00404895 0.00447281 0.00363707 0.00412117 0.00388309 0.00388265 0.00406166 0.00515036 0.00395340 0.00446163 0.00395058 0.00474680 0.00423925 0.00395841 0.00388573 0.00386583 0.00393785 0.00404793 0.00367439 0.00369175 0.00379777 0.00406083 0.00387572 0.00002771 0.00386339 0.00386744 0.00388719 0.00370976 0.00409779 0.00392971 0.00402126 0.00388463 0.00389524 0.00405117 0.00388251 0.00387879 0.00537242 0.00412996 0.00353165 0.00388479 0.06040596 0.00364949 0.00371424 0.00373961 0.00447569 0.00451505 0.00388135 0.00498494 0.00389372 0.00372703 0.00390503 0.00383194 0.00406092 0.00369568 0.00383780 0.00003111 0.00381106 0.00403298 0.00394978 0.00380984 0.00394127 0.00381439 0.00396324 0.00367445 0.00373915 0.00388559 0.00412912 0.00402552 0.00390456 0.00002638 0.00379233 0.00391472 0.00403554 0.00390323 0.00379747 0.00383694 0.00376164 0.00408874 0.00387269 0.00351954 0.00401923 0.00404424 0.00438035 0.00374189 0.00401856 0.00413903 0.00348252 0.00507560 0.00387288 0.00356866 0.00402645 0.00512258 0.00377192 0.00389070 0.00341748 0.00413870 0.00398420 0.00377193 0.00428322 0.00366337 0.00381093 0.00412055 0.00388609 0.00003959 0.00411091 0.00393219 0.00363753 0.00419074 0.00377135 0.00406599 0.00381054 0.00383978 0.00397263 0.00405642
s_3277 0.00363726 0.00403793 0.00393657 0.00402348 0.00130255 0.00282324 0.00391464 0.00405730 0 0.00253061 0.00404187 0.00401808 0.00392685 0.00383127 0.00376421 0.00385409 0.00274796 0.00017365 0.00385056 0.00402774 0.00131677 0.00008655 0.00286174 0.00024374 0.00010818 0.00403095 0.00387689 0.00390772 0.00395371 0.00317093 0.00366573 0.00343057 0.00392220 0.00324569 0.00397885 0.00365106 0.00403960 0.00009197 0.00400369 0.00439856 0.00366766 0.00403006 0.00354375 0.00396922 0.00362413 0.00494670 0.00008610 0.00279154 0.00393814 0.00469177 0.00413527 0.00395139 0.00397267 0.00394660 0.00400235 0.00356396 0.00379227 0.00378664 0.00390929 0.00367919 0.00135018 0.00402338 0.00381737 0.00399124 0.00395101 0.00238973 0.00401977 0.00132074 0.00396704 0.00393950 0.00383547 0.00394765 0.00379399 0.00250787 0.00518256 0.00402356 0.00125101 0.00390041 0.06459151 0.00372498 0.00362591 0.00386969 0.00282243 0.00290229 0.00394212 0.00480413 0.00386967 0.00384644 0.00388398 0.00015470 0.00008190 0.00375994 0.00389802 0.00404074 0.00388480 0.00389817 0.00397764 0.00008322 0.00133203 0.00244756 0.00028179 0.00366226 0.00238774 0.00396886 0.00260362 0.00363580 0.00133979 0.00404761 0.00386673 0.00007909 0.00355878 0.00397967 0.00383959 0.00396818 0.00393371 0.00403499 0.00397705 0.00363854 0.00256922 0.00008412 0.00290510 0.00373657 0.00402994 0.00403386 0.00357728 0.00491549 0.00136146 0.00366177 0.00402116 0.00498203 0.00021832 0.00247991 0.00347224 0.00404018 0.00007979 0.00383539 0.00390375 0.00152670 0.00383959 0.00402569 0.00349419 0.00403804 0.00402292 0.00385004 0.00136527 0.00280315 0.00370023 0.00397667 0.00020460 0.00341692 0.00392535 0.00397161
s_3280 0.00361762 0.00398904 0.00391391 0.00397410 0.00385160 0.00017640 0.00387367 0.00394200 0.00253061 0 0.00398806 0.00389505 0.00391500 0.00381206 0.00364368 0.00383363 0.00012609 0.00244402 0.00385981 0.00399904 0.00396666 0.00247943 0.00016220 0.00200430 0.00235915 0.00401356 0.00389939 0.00388895 0.00394187 0.00308279 0.00323111 0.00347806 0.00390544 0.00308808 0.00395237 0.00369413 0.00399018 0.00247742 0.00398210 0.00411315 0.00373973 0.00400091 0.00310855 0.00396842 0.00326370 0.00449208 0.00247020 0.00017907 0.00391038 0.00436568 0.00401804 0.00393226 0.00393536 0.00393550 0.00393967 0.00309991 0.00382630 0.00381235 0.00390198 0.00324187 0.00396602 0.00390150 0.00378206 0.00397005 0.00393351 0.00016539 0.00399139 0.00396724 0.00392287 0.00394916 0.00378748 0.00398178 0.00381261 0.00013935 0.00456174 0.00398550 0.00359053 0.00389648 0.06421274 0.00372729 0.00394016 0.00392983 0.00011643 0.00016162 0.00393961 0.00446849 0.00387987 0.00388773 0.00392937 0.00240208 0.00244934 0.00377629 0.00389603 0.00393509 0.00387310 0.00393069 0.00398434 0.00239187 0.00400750 0.00014621 0.00240855 0.00375857 0.00017412 0.00395576 0.00034227 0.00318442 0.00400269 0.00392995 0.00384005 0.00244213 0.00310464 0.00395940 0.00379919 0.00395821 0.00392692 0.00396341 0.00396808 0.00365412 0.00007928 0.00248012 0.00022907 0.00365386 0.00399726 0.00400264 0.00360421 0.00445553 0.00392132 0.00352024 0.00397959 0.00452280 0.00212275 0.00008946 0.00348805 0.00400124 0.00250376 0.00389607 0.00374029 0.00369964 0.00384835 0.00399666 0.00313236 0.00392700 0.00398324 0.00382299 0.00365165 0.00031904 0.00371321 0.00393939 0.00239426 0.00286796 0.00391922 0.00393853
