s_2377	s_2405	F_28	s_2393	F_47	F_17	F_12	s_2384	F_53	F_35	s_2373	F_51	s_2382	F_58	F_13	s_2370	F_37	s_2366	s_2414	s_2399	s_2368	F_39	s_2344	s_2371	F_44	s_2408	s_2401	s_2364	F_64	F_31	s_2387	F_61	G_2	s_2367	F_26	F_19	s_2390	F_21	s_2337	s_2360	G_5	s_2396	F_32	s_2391	s_2349	s_2336	F_56	s_2410	F_59	s_2412	F_41	s_2379	F_27	F_54	F_15	s_2340	s_2356	F_45	s_2361	s_2389	s_2335	F_24	s_2345	s_2397	s_2354	G_9	s_2403	G_4	s_2369	F_52	F_34	s_2363	F_25	F_11	F_18	F_62	s_2404	s_2378	F_43	F_29	s_2347	s_2409	F_42	F_40	s_2406	F_14	F_60	s_2353	F_48	F_20	s_2376	F_23	F_57	s_2343	s_2372	s_2388	s_2386	s_2400	F_36	F_66	F_38	G_7	s_2385	s_2338	s_2380	F_55	s_2398	s_2413	F_67	F_46	F_65	s_2350	G_8	s_2362	s_2381	F_63	s_2395	F_16	G_1	s_2355	F_22	s_2407	s_2415	G_6	F_30	s_2392	s_2411	s_2374	s_2348	s_2394	G_3	s_2351	s_2402	F_33	F_50	s_2383	F_49	s_2359	s_2365	s_2346
s_2377 0 0.01454151 0.00018441 0.01451403 0.00004795 0.00004820 0.01382725 0.01434613 0.01384287 0.00062256 0.01329448 0.00038118 0.00002066 0.01462623 0.01395251 0.00000146 0.01419257 0.00000170 0.01327152 0.01454179 0.00000510 0.00017026 0.01460081 0.00002115 0.07508685 0.01480760 0.01454125 0.01315486 0.15267115 0.01389835 0.00000463 0.00018785 0.01451440 0.00001701 0.01456089 0.00021485 0.00002267 0.00053290 0.00000535 0.00000170 0.00035363 0.01454124 0.01373044 0.00000463 0.00000751 0.00000704 0.01458657 0.00000561 0.00000777 0.01464894 0.00004598 0.01481913 0.00016955 0.01389833 0.01497161 0.01269144 0.01335363 0.01389767 0.01319455 0.00000439 0.08312495 0.01498621 0.01504889 0.01464339 0.01330834 0.00031789 0.01451746 0.00020716 0.00005873 0.01429597 0.01381750 0.01366140 0.00020727 0.01498054 0.00001596 1.00000000 0.01453387 0.07931088 0.00037332 0.01395268 0.01471014 0.01453141 0.01380845 0.01396489 0.01470351 0.00019231 0.07508738 0.01325469 0.01389015 0.01428649 0.01470916 0.00020719 0.01463896 0.01484967 0.01395652 0.00000512 0.00002603 0.01454179 0.00016536 0.00018844 0.01427697 0.00030539 0.00003778 0.01501049 0.08187840 0.00052836 0.01463821 0.01454683 0.00030725 0.00018761 0.01578920 0.00001522 0.01451270 0.01330061 0.00003867 0.00037949 0.01465948 0.00018835 0.01527486 0.01330976 0.00031008 0.01450681 0.00034204 0.00031474 0.01394207 0.00000463 0.00003828 0.01337083 0.00000268 0.01465236 0.01459231 0.05534512 0.01454125 0.01384316 0.15235346 0.00002067 0.00002358 0.00000024 0.01330701 0.01391151
s_2405 0.01454151 0 0.01453829 0.00002374 0.01461507 0.01457871 0.01259107 0.00002806 0.01259641 0.01376514 0.01579409 0.01363252 0.01478762 0.01349039 0.01352588 0.01451748 0.01353778 0.01473226 0.01577472 0.00003119 0.01471803 0.01453214 0.00002574 0.01474012 0.07623148 0.00001392 0.00003119 0.01547417 0.15214165 0.01601056 0.01469959 0.01455395 0.01341571 0.01473230 0.01395935 0.01458510 0.01480029 0.01462599 0.01451244 0.01471621 0.01361426 0.00002595 0.01263398 0.01476194 0.01469498 0.01450875 0.01236820 0.01467254 0.01454153 0.00001762 0.01474525 0.00002496 0.01458971 0.01601537 0.01500015 0.01533264 0.01581013 0.01617080 0.01566098 0.01493806 0.08233095 0.01510191 0.00002631 0.00002838 0.01579509 0.01359619 0.00002286 0.01458704 0.01469790 0.01551861 0.01326554 0.01561518 0.01466110 0.01508573 0.01450945 1.00000000 0.00002382 0.07925543 0.01365602 0.01594544 0.00003264 0.00002668 0.01262883 0.01330199 0.00001930 0.01460055 0.07623758 0.01557193 0.01629472 0.01516145 0.00002525 0.01465738 0.00005456 0.00002433 0.01451973 0.01478521 0.01478709 0.00002810 0.01466606 0.01460118 0.01348089 0.01357996 0.01459303 0.00020337 0.07753405 0.01365130 0.00002934 0.00002168 0.01360256 0.01454507 0.01524585 0.01458949 0.01311803 0.01574939 0.01457967 0.01466596 0.00002553 0.01454801 0.01533143 0.01574601 0.01363765 0.00002595 0.01469256 0.01364078 0.01566832 0.01488486 0.01467674 0.01556992 0.01459264 0.00003052 0.01500323 0.04829462 0.00003167 0.01260775 0.15164719 0.01465986 0.01449837 0.01469372 0.01555765 0.00003009
F_28 0.00018441 0.01453829 0 0.01418238 0.00002758 0.00002816 0.01380425 0.01424700 0.01382737 0.00020159 0.01285262 0.00149643 0.00019787 0.01504283 0.01400187 0.00018168 0.01413888 0.00018241 0.01300424 0.01452676 0.00018065 0.00002996 0.01453510 0.00019642 0.07521733 0.01471906 0.01452627 0.01284666 0.15229398 0.01406905 0.00018497 0.00000423 0.01395955 0.00018377 0.01445824 0.00002793 0.00018451 0.00002300 0.00018205 0.00018315 0.00145660 0.01444982 0.01373825 0.00018294 0.00018654 0.00018210 0.01549147 0.00018073 0.00018088 0.01478714 0.00002586 0.01500082 0.00002908 0.01408847 0.01428563 0.01322439 0.01306492 0.01406122 0.01365719 0.00018217 0.08030875 0.01437951 0.01500238 0.01481292 0.01299029 0.00141742 0.01467483 0.00002955 0.00022553 0.01445218 0.01380991 0.01296348 0.00003625 0.01429912 0.00002889 0.16114790 0.01458717 0.07626596 0.00011825 0.01412062 0.01466952 0.01452883 0.01379343 0.01392827 0.01472645 0.00000752 0.07519301 0.01365459 0.01405099 0.01516748 0.01466827 0.00003166 0.01480789 0.01480826 0.01459690 0.00018306 0.00020292 0.01452492 0.00002747 0.00000470 0.01447364 0.00139163 0.00019971 0.01512550 0.07533236 0.00011918 0.01467437 0.01455025 0.00142311 0.00000493 0.01691833 0.00012919 0.01395816 0.01298764 0.00019924 0.00002650 0.01467683 0.00000493 0.01463945 0.01299806 0.00141053 0.01467005 0.00003391 0.00141302 0.01384878 0.00018284 0.00018094 0.01292141 0.00017622 0.01470960 0.01414736 0.05320098 0.01444826 0.01382731 0.15200075 0.00019783 0.00018384 0.00018343 0.01330462 0.01385452
s_2393 0.01451403 0.00002374 0.01418238 0 0.01426354 0.01422394 0.01216293 0.00001761 0.01215073 0.01341434 0.01578978 0.01331649 0.01475793 0.01302196 0.01301661 0.01448987 0.01304170 0.01470492 0.01546348 0.00001867 0.01469072 0.01415629 0.00001621 0.01471254 0.07318193 0.00002386 0.00001775 0.01546523 0.14577163 0.01560116 0.01466651 0.01419799 0.01272106 0.01470452 0.01350716 0.01421244 0.01481722 0.01430544 0.01448457 0.01468859 0.01329738 0.00001337 0.01218572 0.01478121 0.01459744 0.01448142 0.01189487 0.01435269 0.01416511 0.00001521 0.01436368 0.00001126 0.01420945 0.01559028 0.01449735 0.01524632 0.01581088 0.01560996 0.01565456 0.01490733 0.08233164 0.01459514 0.00002483 0.00001038 0.01579132 0.01328356 0.00001106 0.01420700 0.01469502 0.01494932 0.01285298 0.01575092 0.01427925 0.01458139 0.01418109 1.00000000 0.00002513 0.07917678 0.01334009 0.01554397 0.00002145 0.00001798 0.01218340 0.01307825 0.00001346 0.01424356 0.07319957 0.01556174 0.01571401 0.01467568 0.00001430 0.01427792 0.00004151 0.00001169 0.01462717 0.01480260 0.01475737 0.00002259 0.01428750 0.01424423 0.01302804 0.01329858 0.01456304 0.00019857 0.07873893 0.01335577 0.00002030 0.00001544 0.01328505 0.01419276 0.01469205 0.01456404 0.01236288 0.01574517 0.01455000 0.01433370 0.00000830 0.01419413 0.01479807 0.01573617 0.01331930 0.00001821 0.01432991 0.01332645 0.01513185 0.01490225 0.01435871 0.01560338 0.01456531 0.00010652 0.01449452 0.04876465 0.00002121 0.01218022 0.14525435 0.01463015 0.01412149 0.01466638 0.01559629 0.00003324
F_47 0.00004795 0.01461507 0.00002758 0.01426354 0 0.00000219 0.01384206 0.01432742 0.01386237 0.00049394 0.01328933 0.00030324 0.00002778 0.01458859 0.01396676 0.00004616 0.01418376 0.00004712 0.01335346 0.01460129 0.00001196 0.00005369 0.01461117 0.00009175 0.07615390 0.01472051 0.01459265 0.01315233 0.15230009 0.01422620 0.00006285 0.00002717 0.01425116 0.00006845 0.01418941 0.00013796 0.00011246 0.00039619 0.00004716 0.00001465 0.00025813 0.01451577 0.01380501 0.00006590 0.00001653 0.00004954 0.01466882 0.00003156 0.00000971 0.01487096 0.00012084 0.01507969 0.00001554 0.01423117 0.01500103 0.01275357 0.01335166 0.01418593 0.01319382 0.00006517 0.08329205 0.01506009 0.01508993 0.01490379 0.01330484 0.00021985 0.01475093 0.00012368 0.00006408 0.01450048 0.01379304 0.01369545 0.00008261 0.01504236 0.00000971 0.16114790 0.01465873 0.07940410 0.00039870 0.01428631 0.01474536 0.01460510 0.01380210 0.01404182 0.01480499 0.00003029 0.07624528 0.01325329 0.01420845 0.01446734 0.01474438 0.00008146 0.01493911 0.01488458 0.01396902 0.00003259 0.00002513 0.01459157 0.00001139 0.00003013 0.01427004 0.00014275 0.00007131 0.01511321 0.07851458 0.00035083 0.01475004 0.01463387 0.00021301 0.00002732 0.01573777 0.00013223 0.01424950 0.01329988 0.00007408 0.00042265 0.01476118 0.00002633 0.01531971 0.01331236 0.00021941 0.01475376 0.00036837 0.00020994 0.01387318 0.00006589 0.00003058 0.01330079 0.00004860 0.01479336 0.01501201 0.05618123 0.01452350 0.01385783 0.15193225 0.00005789 0.00002091 0.00004738 0.01329449 0.01393421
F_17 0.00004820 0.01457871 0.00002816 0.01422394 0.00000219 0 0.01380789 0.01428990 0.01383712 0.00050749 0.01331575 0.00030433 0.00002827 0.01460561 0.01396760 0.00004640 0.01418382 0.00004737 0.01337948 0.01456902 0.00001196 0.00005473 0.01457562 0.00009053 0.07612782 0.01476289 0.01456608 0.01317678 0.15231824 0.01422265 0.00006113 0.00002546 0.01402926 0.00006870 0.01420563 0.00013952 0.00011271 0.00039754 0.00004741 0.00001466 0.00025886 0.01449001 0.01379516 0.00006590 0.00001678 0.00004979 0.01467102 0.00003156 0.00001166 0.01482998 0.00012140 0.01504249 0.00001533 0.01420325 0.01493436 0.01284427 0.01337766 0.01421559 0.01321627 0.00006493 0.08328851 0.01494160 0.01504713 0.01486274 0.01333188 0.00021985 0.01471512 0.00012344 0.00006384 0.01450227 0.01379024 0.01369380 0.00008346 0.01497065 0.00001021 0.16114790 0.01462727 0.07945268 0.00040653 0.01427844 0.01470927 0.01456901 0.01380310 0.01404005 0.01476756 0.00003029 0.07629014 0.01320332 0.01420717 0.01451604 0.01470829 0.00008265 0.01468371 0.01484816 0.01398208 0.00003259 0.00003123 0.01456472 0.00001191 0.00002965 0.01423249 0.00014371 0.00007180 0.01506994 0.07851008 0.00035097 0.01471390 0.01459315 0.00021504 0.00002644 0.01576183 0.00013248 0.01402760 0.01332149 0.00007408 0.00042255 0.01472013 0.00002657 0.01532220 0.01333361 0.00022208 0.01471278 0.00037304 0.00021042 0.01388311 0.00006589 0.00003059 0.01332496 0.00004860 0.01475264 0.01500386 0.05618021 0.01449061 0.01383834 0.15195271 0.00005789 0.00002116 0.00004762 0.01321916 0.01389618
F_12 0.01382725 0.01259107 0.01380425 0.01216293 0.01384206 0.01380789 0 0.01263680 0.00000000 0.01369776 0.01477752 0.01384404 0.01387647 0.01232494 0.01309640 0.01385411 0.01268929 0.01385406 0.01481641 0.01264106 0.01386399 0.01383705 0.01262860 0.01386840 0.07564202 0.01269575 0.01258762 0.01454528 0.15182984 0.01461568 0.01383344 0.01377347 0.00914603 0.01383918 0.01306247 0.01383723 0.01383041 0.01383685 0.01386894 0.01385976 0.01384037 0.01259584 0.00007087 0.01385033 0.01368598 0.01385706 0.01264041 0.01384911 0.01383330 0.01260839 0.01384765 0.01270964 0.01383744 0.01472999 0.01521228 0.01433153 0.01479027 0.01462343 0.01472614 0.01384892 0.08433916 0.01518925 0.01275299 0.01261494 0.01481827 0.01382646 0.01259089 0.01385963 0.01385711 0.01495538 0.01278938 0.01495157 0.01382899 0.01519326 0.01383258 0.16114790 0.01260017 0.08275026 0.01385972 0.01478926 0.01259851 0.01260073 0.00000026 0.01299481 0.01269599 0.01375804 0.07565178 0.01476090 0.01467630 0.01505164 0.01258785 0.01386405 0.01263170 0.01259272 0.01526711 0.01384286 0.01386530 0.01258705 0.01382250 0.01379396 0.01309280 0.01373493 0.01385830 0.01270457 0.08034468 0.01386139 0.01261431 0.01261311 0.01381188 0.01377267 0.01476814 0.01368755 0.00914495 0.01478374 0.01384850 0.01383418 0.01261079 0.01377363 0.01522094 0.01478477 0.01380888 0.01262090 0.01384500 0.01386418 0.01485601 0.01384580 0.01385254 0.01480883 0.01385149 0.01263121 0.01509146 0.05560840 0.01263679 0.00000078 0.15213186 0.01388345 0.01381102 0.01385838 0.01485826 0.01183054
s_2384 0.01434613 0.00002806 0.01424700 0.00001761 0.01432742 0.01428990 0.01263680 0 0.01263604 0.01345346 0.01562132 0.01335392 0.01459260 0.01348155 0.01348250 0.01432323 0.01353765 0.01453830 0.01555603 0.00006842 0.01453681 0.01432008 0.00001644 0.01455017 0.07620966 0.00002462 0.00006964 0.01529848 0.15215807 0.01596010 0.01443623 0.01426483 0.01315766 0.01453701 0.01396619 0.01429219 0.01440821 0.01433524 0.01433012 0.01452062 0.01333483 0.00002020 0.01267447 0.01436721 0.01443766 0.01431591 0.01239058 0.01440263 0.01425331 0.00002355 0.01444379 0.00006165 0.01429326 0.01584748 0.01502211 0.01515111 0.01563177 0.01597855 0.01550259 0.01445603 0.08235615 0.01511552 0.00002904 0.00001976 0.01561725 0.01331792 0.00001761 0.01429490 0.01450170 0.01550846 0.01325793 0.01557021 0.01436059 0.01510051 0.01422118 1.00000000 0.00011197 0.07913073 0.01338059 0.01574489 0.00002120 0.00001951 0.01265389 0.01352623 0.00001488 0.01429755 0.07621542 0.01540060 0.01608241 0.01518468 0.00001881 0.01435813 0.00004756 0.00001669 0.01445566 0.01439137 0.01435013 0.00002187 0.01436700 0.01429813 0.01349414 0.01334633 0.01429252 0.00019585 0.07755880 0.01336931 0.00001999 0.00001665 0.01332188 0.01425577 0.01532750 0.01446964 0.01284501 0.01558383 0.01438515 0.01437622 0.00001500 0.01425624 0.01533196 0.01556965 0.01335061 0.00002283 0.01439625 0.01336058 0.01567795 0.01441030 0.01440741 0.01544027 0.01440679 0.00002179 0.01501992 0.04825558 0.00002330 0.01262749 0.15167550 0.01446506 0.01420049 0.01449991 0.01550538 0.00002716
F_53 0.01384287 0.01259641 0.01382737 0.01215073 0.01386237 0.01383712 0.00000000 0.01263604 0 0.01371919 0.01476218 0.01386257 0.01389160 0.01230012 0.01309715 0.01386932 0.01270016 0.01386913 0.01481606 0.01263975 0.01387909 0.01386680 0.01262332 0.01388511 0.07588155 0.01269066 0.01257570 0.01454592 0.15190129 0.01468456 0.01384922 0.01377398 0.00914410 0.01385414 0.01306215 0.01380908 0.01384580 0.01385023 0.01388451 0.01387453 0.01384081 0.01259058 0.00006688 0.01386558 0.01370136 0.01387232 0.01262148 0.01386418 0.01384993 0.01260366 0.01381584 0.01268966 0.01385509 0.01473271 0.01514379 0.01432812 0.01477767 0.01470465 0.01470843 0.01386370 0.08433806 0.01518998 0.01273173 0.01258987 0.01480307 0.01383359 0.01256792 0.01381920 0.01388371 0.01493077 0.01276293 0.01495211 0.01385922 0.01519439 0.01385313 0.16114790 0.01259431 0.08272598 0.01387217 0.01480404 0.01257621 0.01259521 0.00000828 0.01296078 0.01267217 0.01380696 0.07587409 0.01474230 0.01465990 0.01507152 0.01257472 0.01387824 0.01260816 0.01257384 0.01529578 0.01385903 0.01389122 0.01258147 0.01383545 0.01379480 0.01308756 0.01373434 0.01388386 0.01269127 0.08032334 0.01386400 0.01259106 0.01260549 0.01381362 0.01382712 0.01468710 0.01370919 0.00914302 0.01478390 0.01386427 0.01381512 0.01260589 0.01382168 0.01515887 0.01477047 0.01382957 0.01259105 0.01384762 0.01386378 0.01489391 0.01386087 0.01386806 0.01481104 0.01385633 0.01263287 0.01509738 0.05557718 0.01263633 0.00000052 0.15213192 0.01389871 0.01382961 0.01387315 0.01484182 0.01182652
F_35 0.00062256 0.01376514 0.00020159 0.01341434 0.00049394 0.00050749 0.01369776 0.01345346 0.01371919 0 0.01274628 0.00148200 0.00061602 0.01523131 0.01394165 0.00062005 0.01415262 0.00062070 0.01280559 0.01373505 0.00059208 0.00042521 0.01376903 0.00062624 0.07487489 0.01393197 0.01373837 0.01282073 0.15195063 0.01410062 0.00061227 0.00020929 0.01417191 0.00061980 0.01440679 0.00114834 0.00063109 0.00007480 0.00061253 0.00059601 0.00146701 0.01365562 0.01356618 0.00063117 0.00064514 0.00061266 0.01510110 0.00061257 0.00060431 0.01403786 0.00116302 0.01424807 0.00042739 0.01388982 0.01310504 0.01338718 0.01302927 0.01387882 0.01360100 0.00063747 0.07968772 0.01326408 0.01422578 0.01406391 0.01284873 0.00150799 0.01391160 0.00115151 0.00056469 0.01431468 0.01375069 0.01322727 0.00120945 0.01329257 0.00043839 0.16114790 0.01382282 0.07534378 0.00005505 0.01425946 0.01390171 0.01376257 0.01368306 0.01390613 0.01393926 0.00020894 0.07485314 0.01379124 0.01390002 0.01396664 0.01390277 0.00120403 0.01384948 0.01404852 0.01437323 0.00060811 0.00060758 0.01373784 0.00111594 0.00020569 0.01410561 0.00133345 0.00059969 0.01426732 0.07452729 0.00006486 0.01391015 0.01377465 0.00144073 0.00020149 0.01682592 0.00075481 0.01417071 0.01286360 0.00060898 0.00007631 0.01391297 0.00020725 0.01348607 0.01287712 0.00148701 0.01390764 0.00012654 0.00149668 0.01371491 0.00063135 0.00061105 0.01269233 0.00061115 0.01394796 0.01298740 0.05236420 0.01365864 0.01369842 0.15114291 0.00063172 0.00060991 0.00061849 0.01316400 0.01313974
