species	sample	contig	start	end	AR_gene
Acinetobacter_baumannii	N072	tig00000000	1753759	1755228	MsrE_MLS
Acinetobacter_baumannii	N072	tig00000000	148463	149279	OXA-23_Bla
Acinetobacter_baumannii	N072	tig00000000	1750707	1751474	ArmA_AGly
Acinetobacter_baumannii	N072	tig00000000	2202965	2203853	CARB-5_Bla
Acinetobacter_baumannii	N072	tig00000000	1755283	1756159	MphE_MLS
Acinetobacter_baumannii	N072	tig00000000	2527909	2528724	OXA-51_Bla
Acinetobacter_baumannii	N072	tig00000000	1243722	1244673	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N072	tig00000000	2793587	2794850	BlaA2_Bla
Acinetobacter_baumannii	N072	tig00000000	2306058	2306749	Mbl_Bla
Acinetobacter_baumannii	N072	tig00000000	1523466	1524606	ADC_Bla
Acinetobacter_baumannii	N072	tig00000000	642317	643472	ADC_Bla
Acinetobacter_baumannii	N072	tig00000000	2138113	2139119	BlaA1_Bla
Acinetobacter_baumannii	N073	tig00000009	330120	331588	MsrE_MLS
Acinetobacter_baumannii	N073	tig00000009	2571384	2572201	OXA-23_Bla
Acinetobacter_baumannii	N073	tig00000009	331643	332521	MphE_MLS
Acinetobacter_baumannii	N073	tig00000009	1104576	1105393	OXA-51_Bla
Acinetobacter_baumannii	N073	tig00000009	779790	780679	CARB-5_Bla
Acinetobacter_baumannii	N073	tig00000009	327068	327834	ArmA_AGly
Acinetobacter_baumannii	N073	tig00000009	3669683	3670635	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N073	tig00000009	882362	883056	Mbl_Bla
Acinetobacter_baumannii	N073	tig00000009	1370140	1371400	BlaA2_Bla
Acinetobacter_baumannii	N073	tig00000009	98885	100025	ADC_Bla
Acinetobacter_baumannii	N073	tig00000009	3066119	3067277	ADC_Bla
Acinetobacter_baumannii	N073	tig00000009	714890	715901	BlaA1_Bla
Acinetobacter_baumannii	N074	tig00000000	674204	675673	MsrE_MLS
Acinetobacter_baumannii	N074	tig00000000	2282569	2283386	OXA-23_Bla
Acinetobacter_baumannii	N074	tig00000000	677959	678726	ArmA_AGly
Acinetobacter_baumannii	N074	tig00000000	225821	226710	CARB-5_Bla
Acinetobacter_baumannii	N074	tig00000000	673272	674149	MphE_MLS
Acinetobacter_baumannii	N074	tig00000000	3750443	3751259	OXA-51_Bla
Acinetobacter_baumannii	N074	tig00000000	3483934	3485197	BlaA2_Bla
Acinetobacter_baumannii	N074	tig00000000	1185292	1186241	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N074	tig00000000	122859	123552	Mbl_Bla
Acinetobacter_baumannii	N074	tig00000000	905956	907096	ADC_Bla
Acinetobacter_baumannii	N074	tig00000000	1788186	1789343	ADC_Bla
Acinetobacter_baumannii	N074	tig00000000	290582	291590	BlaA1_Bla
Acinetobacter_baumannii	N076	tig00000000	2971646	2972463	OXA-23_Bla
Acinetobacter_baumannii	N076	tig00000000	1362074	1363541	MsrE_MLS
Acinetobacter_baumannii	N076	tig00000000	587748	588566	OXA-51_Bla
Acinetobacter_baumannii	N076	tig00000000	913184	914074	CARB-5_Bla
Acinetobacter_baumannii	N076	tig00000000	1361141	1362019	MphE_MLS
Acinetobacter_baumannii	N076	tig00000000	1365828	1366594	ArmA_AGly
Acinetobacter_baumannii	N076	tig00000000	1873648	1874600	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N076	tig00000000	321287	322551	BlaA2_Bla
Acinetobacter_baumannii	N076	tig00000000	810124	810817	Mbl_Bla
Acinetobacter_baumannii	N076	tig00000000	1593885	1595026	ADC_Bla
Acinetobacter_baumannii	N076	tig00000000	2476631	2477788	ADC_Bla
Acinetobacter_baumannii	N076	tig00000000	977960	978969	BlaA1_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	2355033	2356501	MsrE_MLS
Acinetobacter_baumannii	N098_BC06	tig00000000	111759	112574	OXA-23_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	1580211	1581029	OXA-51_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	2358788	2359555	ArmA_AGly
Acinetobacter_baumannii	N098_BC06	tig00000000	2354099	2354977	MphE_MLS
Acinetobacter_baumannii	N098_BC06	tig00000000	3580049	3580863	OXA-23_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	1905660	1906547	CARB-5_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	2873870	2874819	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	1802573	1803266	Mbl_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	1313653	1314909	BlaA2_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	2593756	2594896	ADC_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	3478739	3479895	ADC_Bla
Acinetobacter_baumannii	N098_BC06	tig00000000	1970449	1971459	BlaA1_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3524324	3525217	CARB-5_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3074510	3075976	MsrE_MLS
Acinetobacter_baumannii	N098_BC07	tig00000256	3076031	3076910	MphE_MLS
Acinetobacter_baumannii	N098_BC07	tig00000256	1451958	1452773	OXA-23_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3071457	3072224	ArmA_AGly
Acinetobacter_baumannii	N098_BC07	tig00000256	1850394	1851208	OXA-23_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3849978	3850795	OXA-51_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	2556294	2557244	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3627589	3628283	Mbl_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	249928	251191	BlaA2_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	2836172	2837310	ADC_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	1951381	1952540	ADC_Bla
Acinetobacter_baumannii	N098_BC07	tig00000256	3459428	3460438	BlaA1_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	981036	982506	MsrE_MLS
Acinetobacter_baumannii	N098_BC08	tig00000000	2206001	2206817	OXA-23_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	206166	206985	OXA-51_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	531641	532531	CARB-5_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	980102	980980	MphE_MLS
Acinetobacter_baumannii	N098_BC08	tig00000000	2604679	2605493	OXA-23_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	984793	985559	ArmA_AGly
Acinetobacter_baumannii	N098_BC08	tig00000000	428559	429253	Mbl_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	3807957	3809219	BlaA2_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	1499803	1500750	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	1219625	1220766	ADC_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	2104678	2105835	ADC_Bla
Acinetobacter_baumannii	N098_BC08	tig00000000	596442	597453	BlaA1_Bla
Acinetobacter_baumannii	N098_BC09	tig00000005	107901	108720	OXA-51_Bla
Acinetobacter_baumannii	N098_BC09	tig00000005	373921	375185	BlaA2_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	2100528	2101999	MsrE_MLS
Acinetobacter_baumannii	N098_BC09	tig00000007	477636	478454	OXA-23_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	876076	876893	OXA-23_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	2097476	2098243	ArmA_AGly
Acinetobacter_baumannii	N098_BC09	tig00000007	2551566	2552455	CARB-5_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	2102054	2102931	MphE_MLS
Acinetobacter_baumannii	N098_BC09	tig00000007	1582119	1583070	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	2654867	2655561	Mbl_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	1862150	1863291	ADC_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	977060	978218	ADC_Bla
Acinetobacter_baumannii	N098_BC09	tig00000007	2485598	2486607	BlaA1_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	3484020	3485488	MsrE_MLS
