Genome_ID	Nanopore_ID	Species	Sequence_size	N50	AR_gene_list	Genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
s_16	N098_BC01	Achromobacter_sp.	6604822	1616007		HIGH_QUAL	WEE076	HMST004_02	HMST006_02	AMP	HMST004	Ward_2	Sink_Trap	Metal	Empty	2	MDRO_wards	NA
s_17	N098_BC02	Achromobacter_sp.	6736052	3460099		HIGH_QUAL	WEE076	HMST004_02	HMST006_02	STREP	HMST004	Ward_2	Sink_Trap	Metal	Empty	2	MDRO_wards	NA
s_18	N098_BC04	Achromobacter_sp.	6551986	6486988		HIGH_QUAL	WEE076	HMST004_02	HMST006_02	CHLOR	HMST004	Ward_2	Sink_Trap	Metal	Empty	2	MDRO_wards	NA
s_19	N098_BC05	Achromobacter_sp.	6759540	1878176		HIGH_QUAL	WEE076	HMST004_02	HMST006_02	TET	HMST004	Ward_2	Sink_Trap	Metal	Empty	2	MDRO_wards	NA
s_183	N098_BC06	Acinetobacter_baumannii	3916203	3877302	MsrE;OXA-23;OXA-51;ArmA;MphE;OXA-23;CARB-5;Zn-dependent;Mbl;BlaA2;ADC;ADC;BlaA1;	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	AMP	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_7297	N098_BC07	Stenotrophomonas_maltophilia	3738920	63626		MEDIUM_QUAL	WEE063	HMCT019_02	HMCT021_02	STREP	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_184	N098_BC07	Acinetobacter_baumannii	3910293	3871450	CARB-5;MsrE;MphE;OXA-23;ArmA;OXA-23;OXA-51;Zn-dependent;Mbl;BlaA2;ADC;ADC;BlaA1;	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	STREP	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_185	N098_BC08	Acinetobacter_baumannii	3925339	3886348	MsrE;OXA-23;OXA-51;CARB-5;MphE;OXA-23;ArmA;Mbl;BlaA2;Zn-dependent;ADC;ADC;BlaA1;	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	KAN	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_186	N098_BC09	Acinetobacter_baumannii	3923702	2783095	OXA-51;BlaA2;MsrE;OXA-23;OXA-23;ArmA;CARB-5;MphE;Zn-dependent;Mbl;ADC;ADC;BlaA1;	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	CHLOR	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_187	N098_BC10	Acinetobacter_baumannii	3920061	3870413	MsrE;OXA-23;OXA-23;OXA-51;CARB-5;MphE;ArmA;Zn-dependent;Mbl;BlaA2;ADC;ADC;BlaA1;BlaA1;BlaA1;	HIGH_QUAL	WEE063	HMCT019_02	HMCT021_02	TET	HMCT019	Ward_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_wards	2
s_20	N100_BC01	Achromobacter_sp.	6631289	6565505		HIGH_QUAL	WEE074	HMA004_02	HMA006_02	STREP	HMA004	Ward_2	Aerator	Metal	Empty	2	MDRO_wards	NA
s_21	N100_BC02	Achromobacter_sp.	6626476	5607636		HIGH_QUAL	WEE074	HMA004_02	HMA006_02	KAN	HMA004	Ward_2	Aerator	Metal	Empty	2	MDRO_wards	NA
s_22	N100_BC03	Achromobacter_sp.	6557333	2272914		HIGH_QUAL	WEE074	HMA004_02	HMA006_02	CHLOR	HMA004	Ward_2	Aerator	Metal	Empty	2	MDRO_wards	NA
s_4390	N100_BC04	Serratia_marcescens	5571684	5516393	Tet-41;SRT-SST;Aac6-Ic;	MEDIUM_QUAL	WEE056	HMST039	HMST041	AMP	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_4391	N100_BC05	Serratia_marcescens	5559980	5504804	Tet-41;SRT-SST;Aac6-Ic;	MEDIUM_QUAL	WEE056	HMST039	HMST041	TET	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5487	N100_BC06	Staphylococcus_epidermidis	2567463	2541915	DfrC;MECA;	HIGH_QUAL	WEE047	HMD013	HMD015	AMP	HMD013	Room_5	Door_Handle	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5488	N100_BC07	Staphylococcus_epidermidis	2561752	2536261	DfrC;MECA;	HIGH_QUAL	WEE047	HMD013	HMD015	CHLOR	HMD013	Room_5	Door_Handle	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_188	N100_BC08	Acinetobacter_baumannii	3668894	3632442	OXA-51;Zn-dependent;Mbl;BlaA2;ADC;BlaA1;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	AMP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3252	N100_BC08	Enterococcus_faecalis	3089401	2833683	MphD;TetM;LsaA;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	AMP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3253	N100_BC09	Enterococcus_faecalis	3222947	3190911	Aac6-Aph2;TetM;TetM;MphD;TetM;LsaA;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	KAN	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_5489	N100_BC09	Staphylococcus_epidermidis	2680848	2534808	ErmC;MECA;Aac6-Aph2;ErmC;DfrC;Aac6-Aph2;Far1;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	KAN	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_5490	N100_BC10	Staphylococcus_epidermidis	2704982	2539699	MECA;DfrC;ErmC;Far1;Aac6-Aph2;DfrC;BlaZ;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	TET	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3254	N100_BC10	Enterococcus_faecalis	3208503	2842971	TetM;TetM;Aac6-Aph2;MphD;TetM;LsaA;	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	TET	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
