s_4097	s_4089	s_4082	s_4046	s_4074	s_4032	s_4029	s_4039	s_4031	s_4051	s_4038	s_4087	s_4030	s_4041	s_4028	s_4034	s_4049	s_4057	s_4080	s_4033	s_4100	s_4076	s_4040
s_4097 0 0.00372433 0.00004265 0.00510025 0.00537934 0.00006259 0.00004061 0.00011237 0.00004832 0.00553121 0.00501239 0.00371240 0.00007924 0.00025238 0.00414070 0.00311274 0.00530378 0.00373991 0.00522771 0.00332408 0.00003805 0.00504165 0.00011393
s_4089 0.00372433 0 0.00355832 0.00484056 0.00512511 0.00350527 0.00358685 0.00356134 0.00353994 0.00523719 0.00478473 0.00012243 0.00345437 0.00357839 0.00403389 0.00309203 0.00504379 0.00009523 0.00495873 0.00336744 0.00369693 0.00492273 0.00357509
s_4082 0.00004265 0.00355832 0 0.00495299 0.00526412 0.00006428 0.00004563 0.00012220 0.00005841 0.00536332 0.00505972 0.00354728 0.00008422 0.00025110 0.00412780 0.00306197 0.00516211 0.00364630 0.00512293 0.00326291 0.00004620 0.00494042 0.00012417
s_4046 0.00510025 0.00484056 0.00495299 0 0.00299607 0.00487726 0.00495860 0.00493237 0.00490812 0.00063618 0.00288330 0.00485020 0.00484361 0.00488202 0.00373928 0.00421587 0.00065951 0.00488839 0.00065075 0.00459428 0.00506043 0.00327951 0.00494595
s_4074 0.00537934 0.00512511 0.00526412 0.00299607 0 0.00502189 0.00516226 0.00509034 0.00505322 0.00300953 0.00289691 0.00513790 0.00495548 0.00504759 0.00381567 0.00437531 0.00287067 0.00516762 0.00284443 0.00472437 0.00534237 0.00323577 0.00512523
s_4032 0.00006259 0.00350527 0.00006428 0.00487726 0.00502189 0 0.00007038 0.00014235 0.00007450 0.00510352 0.00500600 0.00349387 0.00010365 0.00025382 0.00397252 0.00292038 0.00505131 0.00352058 0.00491652 0.00322124 0.00006860 0.00472978 0.00013267
s_4029 0.00004061 0.00358685 0.00004563 0.00495860 0.00516226 0.00007038 0 0.00011440 0.00005519 0.00524808 0.00510596 0.00356346 0.00008090 0.00024053 0.00409356 0.00294163 0.00516622 0.00359504 0.00501688 0.00325149 0.00004565 0.00479649 0.00011615
s_4039 0.00011237 0.00356134 0.00012220 0.00493237 0.00509034 0.00014235 0.00011440 0 0.00012331 0.00522993 0.00485631 0.00354939 0.00014690 0.00030425 0.00404422 0.00304487 0.00513118 0.00357161 0.00500558 0.00323648 0.00012332 0.00479061 0.00018657
s_4031 0.00004832 0.00353994 0.00005841 0.00490812 0.00505322 0.00007450 0.00005519 0.00012331 0 0.00518042 0.00505274 0.00352567 0.00009012 0.00024713 0.00407037 0.00295378 0.00512026 0.00354643 0.00498163 0.00322424 0.00005642 0.00475691 0.00012170
s_4051 0.00553121 0.00523719 0.00536332 0.00063618 0.00300953 0.00510352 0.00524808 0.00522993 0.00518042 0 0.00284354 0.00522629 0.00512726 0.00521341 0.00361275 0.00453027 0.00014581 0.00526840 0.00019301 0.00494020 0.00546515 0.00332455 0.00522704
s_4038 0.00501239 0.00478473 0.00505972 0.00288330 0.00289691 0.00500600 0.00510596 0.00485631 0.00505274 0.00284354 0 0.00474010 0.00501812 0.00493632 0.00380047 0.00436630 0.00276469 0.00498614 0.00269473 0.00483478 0.00518964 0.00320718 0.00503253
s_4087 0.00371240 0.00012243 0.00354728 0.00485020 0.00513790 0.00349387 0.00356346 0.00354939 0.00352567 0.00522629 0.00474010 0 0.00344118 0.00356927 0.00407119 0.00309865 0.00501732 0.00008306 0.00493186 0.00335791 0.00368165 0.00489792 0.00355959
