s_129	G_20	s_163	s_133	s_194	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_135	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	s_192	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_221	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_126	s_150	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_176	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_251	s_130	s_175	s_255	G_6	s_141	G_30	G_29	s_173	s_235	G_3	s_211	s_206	s_210	s_232	s_157	s_186	s_190	G_24	s_161	s_238	G_13
s_129 0 0.01861270 0.00047025 0.01858205 0.00071883 0.01796308 0.01795307 0.00001085 0.01789863 0.00000926 0.00002449 0.01827946 0.01815694 0.00004051 0.00002954 0.00002881 0.01879988 0.01999016 0.01917725 0.01779500 0.01792165 0.01820332 0.01938846 0.01886426 0.01972613 0.01821766 0.01815671 0.00047478 0.01786182 0.01789684 0.01814117 0.00001614 0.01947829 0.00003406 0.01935663 0.01856207 0.01797331 0.01791775 0.01795711 0.01842645 0.01794997 0.01781516 0.01951116 0.00003121 0.01800882 0.01932394 0.01935730 0.01863538 0.00003008 0.01787116 0.00002593 0.00069577 0.01807218 0.01944103 0.01817041 0.00002975 0.01940354 0.01793321 0.01750792 0.01835412 0.00003678 0.00004873 0.01784414 0.00002910 0.00003018 0.00008280 0.01767566 0.01758466 0.01942070 0.01818951 0.01797618 0.01845162 0.01806429 0.00003241 0.01783838 0.00005238 0.01856996 0.01811086 0.00001032 0.00046889 0.00004451 0.01782341 0.01801989 0.01968577 0.01790783 0.01794067 0.01770092 0.01792295 0.01796498 0.01809408 0.00002168 0.01793980 0.01797281 0.01790674 0.02049329 0.00001454 0.01888029 0.01884864 0.01820809 0.01794941 0.00046592 0.00004052 0.01798900 0.00004317 0.01819602 0.00002276 0.00002129 0.01720048 0.01854136 0.01856207 0.01752357 0.01824256 0.01813087 0.00003811 0.01950855 0.01825882 0.01771960 0.01796833 0.00002012 0.01794012 0.00009146 0.00005939 0.00001877 0.00001641 0.01779573 0.00002906 0.01614558 0.01817137 0.01878027 0.01835286 0.01884307 0.01834043 0.01795523 0.00002194 0.01797161 0.01833444 0.00002516 0.01777773 0.01831866 0.01943345 0.01969632 0.01780314 0.00004392 0.01847562 0.01951713 0.01871264 0.00002381 0.00002983 0.01882849 0.01833648 0.00002938 0.01778595 0.01783602 0.00004048 0.01948121 0.01941010 0.02031261 0.01813184 0.01933554 0.01794316 0.00003233 0.01790910 0.01795581 0.01799114 0.00046211 0.01784159 0.01780109
G_20 0.01861270 0 0.01844364 0.01932321 0.01670981 0.01837568 0.00258916 0.01862824 0.00258989 0.01834882 0.01857322 0.00253986 0.01851762 0.01858831 0.01860413 0.01867017 0.01953291 0.01999286 0.01931686 0.00239816 0.00258979 0.00243906 0.01904368 0.01811639 0.01996960 0.01868017 0.01850165 0.01846562 0.00236189 0.00289152 0.01850689 0.01865783 0.02024316 0.01861806 0.01903816 0.01830355 0.00259417 0.00261808 0.00258911 0.00603988 0.00259368 0.00239342 0.01934852 0.01862957 0.00265882 0.01925790 0.01364749 0.01981572 0.01858724 0.00240008 0.01866144 0.01673292 0.00267008 0.01913399 0.01859035 0.01867163 0.01904924 0.00261707 0.01876241 0.00251175 0.01858911 0.01853479 0.00242760 0.01866794 0.01867707 0.01843439 0.01940281 0.01881491 0.01927878 0.00248126 0.00261369 0.01849995 0.00268254 0.01864069 0.00242537 0.01848598 0.01826201 0.01878804 0.01862338 0.01848262 0.01858891 0.00239913 0.00269753 0.02004324 0.00238772 0.00258964 0.01946206 0.00261567 0.00259042 0.01884725 0.01865450 0.00259204 0.00261753 0.00257823 0.02005293 0.01863374 0.01867745 0.01964964 0.01915379 0.00259437 0.01844117 0.01863710 0.00265589 0.01846519 0.01992861 0.01865184 0.01815902 0.01875160 0.01828516 0.01827179 0.01881573 0.00262435 0.00252393 0.01857476 0.01928928 0.01880943 0.00240095 0.00259573 0.01862756 0.00258940 0.01977210 0.01857130 0.01861903 0.01863767 0.00237282 0.01861801 0.00326804 0.01846222 0.01949462 0.00266093 0.01958733 0.00254032 0.00258799 0.01862531 0.00262147 0.00631159 0.01866245 0.00239649 0.00606719 0.01904783 0.02005292 0.00240905 0.01858737 0.01860729 0.01936898 0.01942892 0.01868735 0.01859069 0.01984466 0.00276909 0.01868490 0.00240985 0.00237806 0.01860605 0.01988036 0.01357795 0.02044125 0.01844092 0.01925738 0.00258814 0.01858572 0.00257659 0.00258724 0.00261139 0.01844323 0.00258291 0.00238019
s_163 0.00047025 0.01844364 0 0.01861680 0.00076223 0.01790863 0.01775775 0.00045633 0.01778421 0.00047498 0.00079235 0.01778349 0.01813286 0.00077696 0.00049587 0.00044900 0.01850725 0.01982744 0.01895229 0.01773020 0.01779106 0.01784852 0.01945777 0.01872236 0.01951186 0.01799287 0.01812993 0.00002411 0.01776519 0.01789433 0.01811210 0.00046096 0.01930378 0.00076924 0.01942562 0.01848474 0.01779750 0.01779802 0.01776280 0.01824497 0.01777090 0.01773818 0.01938104 0.00045376 0.01799608 0.01930874 0.01914775 0.01832479 0.00077806 0.01778859 0.00047529 0.00073611 0.01813050 0.01949839 0.01790653 0.00045296 0.01941660 0.01779473 0.01756378 0.01778072 0.00077052 0.00079223 0.01780450 0.00045272 0.00045840 0.00097543 0.01774209 0.01767697 0.01932564 0.01784900 0.01779521 0.01838136 0.01802317 0.00045401 0.01770821 0.00077575 0.01849373 0.01808782 0.00044573 0.00002204 0.00076057 0.01768924 0.01801011 0.01944560 0.01777260 0.01780024 0.01775725 0.01780541 0.01779136 0.01809299 0.00046417 0.01777502 0.01779042 0.01776050 0.02033036 0.00046222 0.01847754 0.01854543 0.01816498 0.01776886 0.00002853 0.00077965 0.01795162 0.00080079 0.01842331 0.00046900 0.00044738 0.01719240 0.01846255 0.01848384 0.01756749 0.01785556 0.01773278 0.00048282 0.01940278 0.01801578 0.01770749 0.01779291 0.00045300 0.01776409 0.00096232 0.00076883 0.00046525 0.00045899 0.01774053 0.00045245 0.01672313 0.01814770 0.01866012 0.01799496 0.01867755 0.01777742 0.01779142 0.00044613 0.01780642 0.01820665 0.00046767 0.01769990 0.01813063 0.01950133 0.01951815 0.01777662 0.00076994 0.01806534 0.01935599 0.01849307 0.00047687 0.00078263 0.01839049 0.01810634 0.00047242 0.01777986 0.01772493 0.00077968 0.01945217 0.01913617 0.02013990 0.01810339 0.01927686 0.01778167 0.00077881 0.01775865 0.01775475 0.01797806 0.00002984 0.01772107 0.01777802
s_133 0.01858205 0.01932321 0.01861680 0 0.01661640 0.00004460 0.01885031 0.01866941 0.01884565 0.01873928 0.01867450 0.01884422 0.01892487 0.01869348 0.01870364 0.01866475 0.01948157 0.01960638 0.01869421 0.01881457 0.01884111 0.01897093 0.02082851 0.01783534 0.01952932 0.01864647 0.01887027 0.01862516 0.01884418 0.01889866 0.01891510 0.01862985 0.01172954 0.01869590 0.02082119 0.01912995 0.01883992 0.01886358 0.01884164 0.01885884 0.01883471 0.01889379 0.01877219 0.01866921 0.01884272 0.01913111 0.02004347 0.01109195 0.01867940 0.01881095 0.01867383 0.01660881 0.01888687 0.02082036 0.01854938 0.01865770 0.02079438 0.01887110 0.01222242 0.01892250 0.01869813 0.01868645 0.01885380 0.01861720 0.01856499 0.01962861 0.01234903 0.01232927 0.01914454 0.01883565 0.01887759 0.01051863 0.01883543 0.01867281 0.01882151 0.01863738 0.01914014 0.00001134 0.01855064 0.01861968 0.01869192 0.01879065 0.01880678 0.01953068 0.01885864 0.01886556 0.01227021 0.01887361 0.01885495 0.00002303 0.01860170 0.01883360 0.01887427 0.01883545 0.02054866 0.01866469 0.01165623 0.01949164 0.01025977 0.01883471 0.01861091 0.01866013 0.01894175 0.01864982 0.01060356 0.01866308 0.01805353 0.01011334 0.01913256 0.01913176 0.01228497 0.01892645 0.01887101 0.01860419 0.01875865 0.01866833 0.01878574 0.01885593 0.01866471 0.01883625 0.01950398 0.01867086 0.01866697 0.01866616 0.01880909 0.01866688 0.01854876 0.01892008 0.01188304 0.01892332 0.01198793 0.01898947 0.01886654 0.01866888 0.01887390 0.01883608 0.01859563 0.01889503 0.01881943 0.02083003 0.01956068 0.01886142 0.01867637 0.01786986 0.01878055 0.01948660 0.01860060 0.01870860 0.00954881 0.01892238 0.01865922 0.01887924 0.01891842 0.01869532 0.01108509 0.02008103 0.02000851 0.01892151 0.01914994 0.01885023 0.01867376 0.01883917 0.01883975 0.01884317 0.01861835 0.01878777 0.01882847
s_194 0.00071883 0.01670981 0.00076223 0.01661640 0 0.01664241 0.01660460 0.00073567 0.01662636 0.00071339 0.00073242 0.01673463 0.01700622 0.00073965 0.00072417 0.00074649 0.01728577 0.01963381 0.01677705 0.01663404 0.01675981 0.01671611 0.01861717 0.01813854 0.01707933 0.01695090 0.01701170 0.00075652 0.01669979 0.01660783 0.01701395 0.00074674 0.01946234 0.00073450 0.01861315 0.01674730 0.01665954 0.01675548 0.01657699 0.01706709 0.01660330 0.01674127 0.01871733 0.00072662 0.01665012 0.01794921 0.01762227 0.01724704 0.00071667 0.01670135 0.00071553 0.00003759 0.01683650 0.01860894 0.01665975 0.00074865 0.01852519 0.01660733 0.01652601 0.01670411 0.00073950 0.00072751 0.01680174 0.00073680 0.00075150 0.00089739 0.01651673 0.01666522 0.01794026 0.01669723 0.01657186 0.01521445 0.01665096 0.00075475 0.01665132 0.00075543 0.01673955 0.01660747 0.00073108 0.00075636 0.00075483 0.01664397 0.01671830 0.01711445 0.01668178 0.01668919 0.01652862 0.01660974 0.01662319 0.01660411 0.00073904 0.01661121 0.01660260 0.01659498 0.01866731 0.00072964 0.01820046 0.01728840 0.01611292 0.01675546 0.00074953 0.00075017 0.01664223 0.00073605 0.01628135 0.00070453 0.00075842 0.01637104 0.01670752 0.01674967 0.01652636 0.01671195 0.01660519 0.00074583 0.01873403 0.01695990 0.01662723 0.01676168 0.00074759 0.01661048 0.00101494 0.00076108 0.00073240 0.00074089 0.01670581 0.00075269 0.01619884 0.01699799 0.01842036 0.01662448 0.01846797 0.01660039 0.01655870 0.00075827 0.01676537 0.01707471 0.00073892 0.01664720 0.01707440 0.01863466 0.01707776 0.01666242 0.00073289 0.01672328 0.01879133 0.01729522 0.00073977 0.00072283 0.01741327 0.01681565 0.00075138 0.01669469 0.01675467 0.00074527 0.01679239 0.01771717 0.01895093 0.01699624 0.01792869 0.01658889 0.00073976 0.01655297 0.01661588 0.01658000 0.00075788 0.01660970 0.01668374
s_252 0.01796308 0.01837568 0.01790863 0.00004460 0.01664241 0 0.01815228 0.01794843 0.01814496 0.01764590 0.01796232 0.01826250 0.01820704 0.01797740 0.01797803 0.01794343 0.01881355 0.01858330 0.01762089 0.01813809 0.01813914 0.01831897 0.01943190 0.01753682 0.01846681 0.01749018 0.01816468 0.01791989 0.01815520 0.01818107 0.01819607 0.01793720 0.01295890 0.01799113 0.01943006 0.01773876 0.01819275 0.01815639 0.01815009 0.01822872 0.01813653 0.01829277 0.01796035 0.01795311 0.01818908 0.01863871 0.01880094 0.00942931 0.01796326 0.01813968 0.01796192 0.01663158 0.01821629 0.01952353 0.01730864 0.01794367 0.01942491 0.01816388 0.01275575 0.01826905 0.01797853 0.01797554 0.01816426 0.01796385 0.01795148 0.01871924 0.01213780 0.01285909 0.01863118 0.01815863 0.01816560 0.01121507 0.01816963 0.01795441 0.01814224 0.01797012 0.01778818 0.00000630 0.01792245 0.01791155 0.01797614 0.01819609 0.01814938 0.01821367 0.01817723 0.01816905 0.01207223 0.01816526 0.01816026 0.00001291 0.01794180 0.01813744 0.01816378 0.01815737 0.01981252 0.01794889 0.01194195 0.01880953 0.01013219 0.01813708 0.01790409 0.01795142 0.01819766 0.01795415 0.00992410 0.01797534 0.01734171 0.01007652 0.01778070 0.01777830 0.01277129 0.01828625 0.01820369 0.01790635 0.01793565 0.01753677 0.01810349 0.01815319 0.01795344 0.01814580 0.01875199 0.01795975 0.01795278 0.01795249 0.01816462 0.01794804 0.01783804 0.01820065 0.01285902 0.01822741 0.01292458 0.01820773 0.01817196 0.01796359 0.01815887 0.01823835 0.01794778 0.01828276 0.01821454 0.01943609 0.01850256 0.01817380 0.01796004 0.01730425 0.01796699 0.01882253 0.01795008 0.01799017 0.01033718 0.01824467 0.01794664 0.01821267 0.01824416 0.01797636 0.01121663 0.01885512 0.02034181 0.01820510 0.01863341 0.01809663 0.01795724 0.01814631 0.01815373 0.01815803 0.01791124 0.01809471 0.01817118
s_201 0.01795307 0.00258916 0.01775775 0.01885031 0.01660460 0.01815228 0 0.01799512 0.00003727 0.01764860 0.01794784 0.00030418 0.01813752 0.01790655 0.01796746 0.01798552 0.01892403 0.01904305 0.01812292 0.00028571 0.00003809 0.00031188 0.01875293 0.01800308 0.01877246 0.01828621 0.01813111 0.01779390 0.00027835 0.00009497 0.01812901 0.01799242 0.01963461 0.01802754 0.01873701 0.01786201 0.00003183 0.00002111 0.00004015 0.00349006 0.00000730 0.00029848 0.01857552 0.01790780 0.00032426 0.01862979 0.01837311 0.01930763 0.01788874 0.00030551 0.01791494 0.01673036 0.00032906 0.01872855 0.01802785 0.01796609 0.01870244 0.00000914 0.01852729 0.00030864 0.01794944 0.01791174 0.00036391 0.01801747 0.01790475 0.01763127 0.01873644 0.01859882 0.01861982 0.00031791 0.00003337 0.01778806 0.00031312 0.01790312 0.00029013 0.01779103 0.01786175 0.01832340 0.01800563 0.01778908 0.01795142 0.00029803 0.00029050 0.01878598 0.00029388 0.00003751 0.01864560 0.00001435 0.00004487 0.01832640 0.01797531 0.00003466 0.00004410 0.00000391 0.01953209 0.01791792 0.01815883 0.01893573 0.01835168 0.00003780 0.01780527 0.01795657 0.00032973 0.01776714 0.01879064 0.01792588 0.01749575 0.01812113 0.01787324 0.01783294 0.01852206 0.00049152 0.00038002 0.01796912 0.01864200 0.01824823 0.00029425 0.00004408 0.01797435 0.00000574 0.01885467 0.01794148 0.01798473 0.01802028 0.00029330 0.01792048 0.00010410 0.01810715 0.01904973 0.00028198 0.01907319 0.00035367 0.00003049 0.01791026 0.00004508 0.00364908 0.01787523 0.00028483 0.00348257 0.01876022 0.01884085 0.00029690 0.01788346 0.01829789 0.01860086 0.01878294 0.01794705 0.01791531 0.01858070 0.00038051 0.01793762 0.00031530 0.00030820 0.01799960 0.01992818 0.01829538 0.02034905 0.01808955 0.01861887 0.00004172 0.01796100 0.00000782 0.00003390 0.00030613 0.01777963 0.00000451 0.00029282
s_245 0.00001085 0.01862824 0.00045633 0.01866941 0.00073567 0.01794843 0.01799512 0 0.01798852 0.00001709 0.00003527 0.01832332 0.01815985 0.00004062 0.00002998 0.00002060 0.01880962 0.02003234 0.01915699 0.01787829 0.01799771 0.01826003 0.01950327 0.01897970 0.01975763 0.01828500 0.01816291 0.00045184 0.01792123 0.01793489 0.01814291 0.00001790 0.01951692 0.00003209 0.01948461 0.01871213 0.01804566 0.01799880 0.01800361 0.01845680 0.01800955 0.01790192 0.01952169 0.00002289 0.01803435 0.01942853 0.01941213 0.01863869 0.00003289 0.01795104 0.00001659 0.00071590 0.01811432 0.01958510 0.01824319 0.00002361 0.01947266 0.01794688 0.01751107 0.01837546 0.00003637 0.00004351 0.01793778 0.00002882 0.00002265 0.00007756 0.01767999 0.01765193 0.01947093 0.01826408 0.01799370 0.01703011 0.01808741 0.00003162 0.01788670 0.00004617 0.01871573 0.01812831 0.00000895 0.00046148 0.00003611 0.01784654 0.01807978 0.01973563 0.01796332 0.01801590 0.01767787 0.01793512 0.01802449 0.01813736 0.00001506 0.01800967 0.01798989 0.01794728 0.02047782 0.00002710 0.01888247 0.01887848 0.01822095 0.01804267 0.00045311 0.00004409 0.01800898 0.00005196 0.01817859 0.00003213 0.00002152 0.01728660 0.01865807 0.01871243 0.01757344 0.01827746 0.01819393 0.00003294 0.01954077 0.01830454 0.01779247 0.01804411 0.00002132 0.01801406 0.00008920 0.00005251 0.00001684 0.00000979 0.01784013 0.00002931 0.01611160 0.01817178 0.01876828 0.01838029 0.01885222 0.01837686 0.01799506 0.00002789 0.01803628 0.01836092 0.00002459 0.01784948 0.01841824 0.01955523 0.01976501 0.01790433 0.00003766 0.01860757 0.01952916 0.01874498 0.00003278 0.00002839 0.01883759 0.01838851 0.00002739 0.01786256 0.01790851 0.00003847 0.01851985 0.01942687 0.02048811 0.01813301 0.01943065 0.01801608 0.00003154 0.01794578 0.01803223 0.01802154 0.00044477 0.01794239 0.01788015
s_228 0.01789863 0.00258989 0.01778421 0.01884565 0.01662636 0.01814496 0.00003727 0.01798852 0 0.01767936 0.01789261 0.00029899 0.01815909 0.01791386 0.01797543 0.01794856 0.01888272 0.01914117 0.01810101 0.00028548 0.00000287 0.00031235 0.01862107 0.01819059 0.01878611 0.01826867 0.01815897 0.01783976 0.00028625 0.00009475 0.01815418 0.01794103 0.01973791 0.01797327 0.01862554 0.01780333 0.00003494 0.00002186 0.00001302 0.00347413 0.00001198 0.00029065 0.01860863 0.01797876 0.00033812 0.01863377 0.01848866 0.01930425 0.01789725 0.00031758 0.01795416 0.01675212 0.00033340 0.01862641 0.01796004 0.01797582 0.01868011 0.00000653 0.01854272 0.00030294 0.01791302 0.01785795 0.00033729 0.01797911 0.01796167 0.01762249 0.01875368 0.01859778 0.01868215 0.00031891 0.00000704 0.01782446 0.00031348 0.01787815 0.00029596 0.01787590 0.01780150 0.01831936 0.01794498 0.01780066 0.01791402 0.00029596 0.00028239 0.01881231 0.00029814 0.00000963 0.01868217 0.00004742 0.00000860 0.01831808 0.01796557 0.00000677 0.00001147 0.00002266 0.01957071 0.01792651 0.01813021 0.01888033 0.01845285 0.00001068 0.01781892 0.01797838 0.00034153 0.01779401 0.01884191 0.01793462 0.01741663 0.01808580 0.01780366 0.01775954 0.01853821 0.00049684 0.00037421 0.01793308 0.01865461 0.01819557 0.00030293 0.00000939 0.01798260 0.00001120 0.01885321 0.01788742 0.01793952 0.01796696 0.00029566 0.01791124 0.00010246 0.01812204 0.01915791 0.00028464 0.01910283 0.00033852 0.00003153 0.01796409 0.00001094 0.00366975 0.01793277 0.00028148 0.00351611 0.01863769 0.01883755 0.00030286 0.01789086 0.01826999 0.01862750 0.01876031 0.01796700 0.01792382 0.01862935 0.00037705 0.01799274 0.00031610 0.00029777 0.01796002 0.02002537 0.01847655 0.02045663 0.01810637 0.01864624 0.00001199 0.01792690 0.00002581 0.00000469 0.00029336 0.01779125 0.00001696 0.00029367
s_142 0.00000926 0.01834882 0.00047498 0.01873928 0.00071339 0.01764590 0.01764860 0.00001709 0.01767936 0 0.00002761 0.01804403 0.01795101 0.00004120 0.00002792 0.00002989 0.01845076 0.01969648 0.01890601 0.01761694 0.01769329 0.01798758 0.01922854 0.01917187 0.01994163 0.01792320 0.01795022 0.00047656 0.01765930 0.01769117 0.01794430 0.00002045 0.01917931 0.00003074 0.01919210 0.01839836 0.01765881 0.01769708 0.01765020 0.01814592 0.01763755 0.01763463 0.01958576 0.00003054 0.01780721 0.01908986 0.01902182 0.01830787 0.00002657 0.01767427 0.00001582 0.00070056 0.01783523 0.01927212 0.01782683 0.00003210 0.01919585 0.01771156 0.01719214 0.01809890 0.00004225 0.00004507 0.01764875 0.00002485 0.00003343 0.00007813 0.01755810 0.01727484 0.01911123 0.01800993 0.01767124 0.01823949 0.01782378 0.00003610 0.01762262 0.00006859 0.01844483 0.01817988 0.00001369 0.00047422 0.00005215 0.01760828 0.01780403 0.01955228 0.01760731 0.01763765 0.01752691 0.01771126 0.01766906 0.01819798 0.00002244 0.01764476 0.01766723 0.01768375 0.02057109 0.00001760 0.01853556 0.01852206 0.01817956 0.01763565 0.00046097 0.00004981 0.01769616 0.00005585 0.01773977 0.00001970 0.00002126 0.01692879 0.01837824 0.01839806 0.01720359 0.01800699 0.01791912 0.00003781 0.01964517 0.01795299 0.01753046 0.01765464 0.00002512 0.01763716 0.00009319 0.00005290 0.00001526 0.00002406 0.01758725 0.00003169 0.01598282 0.01796550 0.01845012 0.01810013 0.01851220 0.01806938 0.01764984 0.00002329 0.01766600 0.01806884 0.00002590 0.01758475 0.01806150 0.01926816 0.01995072 0.01760416 0.00003594 0.01825468 0.01920242 0.01838833 0.00002484 0.00004094 0.01857384 0.01804745 0.00003316 0.01758603 0.01757226 0.00004537 0.01918186 0.01907376 0.02031431 0.01793586 0.01906403 0.01762967 0.00003464 0.01768813 0.01765035 0.01777951 0.00046859 0.01762861 0.01760364
