s_1645	s_1669	F_28	s_1661	s_1633	F_47	F_17	F_12	F_53	F_35	F_51	s_1688	s_1655	s_1617	s_1630	F_58	F_13	s_1626	F_37	s_1622	s_1691	s_1658	s_1666	F_39	F_44	F_64	F_31	s_1649	F_61	G_2	F_26	s_1613	F_19	F_21	s_1653	s_1667	s_1674	G_5	s_1684	F_32	s_1641	s_1686	s_1643	F_56	s_1689	s_1672	F_59	s_1632	F_41	F_27	F_54	F_15	s_1627	F_45	s_1664	s_1624	s_1615	s_1639	F_24	s_1679	s_1612	G_9	s_1677	s_1647	G_4	s_1692	F_52	F_34	F_25	s_1650	s_1620	F_11	F_18	F_62	F_43	s_1614	s_1648	F_29	s_1657	s_1671	s_1625	s_1646	s_1656	F_42	s_1660	F_40	s_1636	s_1690	s_1687	F_14	F_60	F_48	s_1682	F_20	F_23	F_57	s_1659	s_1676	s_1680	s_1638	s_1631	s_1662	F_36	F_66	F_38	G_7	s_1644	F_55	s_1637	F_67	F_46	F_65	G_8	s_1673	F_63	F_16	G_1	s_1654	s_1681	s_1683	s_1665	F_22	s_1621	G_6	F_30	s_1628	s_1685	s_1651	s_1642	G_3	F_33	F_50	s_1675	s_1668	s_1670	s_1678	F_49	s_1640	s_1623
s_1645 0 0.00000266 0.00003272 0.00001547 0.00481331 0.00001025 0.00001001 0.00532864 0.00533167 0.00005341 0.00004924 0.00000242 0.07966591 0.00471010 0.00479951 0.00552618 0.00540478 0.00000169 0.00542389 0.00544102 0.00477035 0.00001499 0.00000315 0.00002736 0.07536534 0.15279658 0.00509775 0.00482425 0.00003297 0.00550894 0.00551461 0.00000387 0.00002792 0.00004026 0.00536685 0.00000291 0.00537133 0.00004427 0.00543554 0.00531288 0.00481110 0.00543973 0.00000387 0.00545642 0.00000266 0.00539353 0.00000361 0.00483267 0.00001442 0.00002639 0.00511297 0.00520094 0.00000581 0.00509472 0.00001574 0.00536129 0.00528475 0.00483143 0.00523416 0.00537340 0.08354511 0.00003742 0.00537378 0.00000363 0.00002888 0.00003280 0.00523153 0.00525206 0.00003104 0.00480171 0.00539075 0.00520464 0.00001146 1.00000000 0.00002766 0.00000024 0.00001328 0.00511957 0.08206818 0.00536661 0.00000121 0.00002218 0.00545495 0.00531158 0.00001545 0.00522378 0.00000387 0.00537195 0.00536954 0.00003786 0.07534759 0.00510505 0.00537178 0.00513012 0.00003079 0.00539104 0.00001544 0.00538785 0.00537405 0.00483213 0.00480498 0.00001501 0.00002227 0.00003347 0.00539103 0.00003423 0.00000363 0.00004120 0.00000363 0.00003496 0.00003346 0.00563010 0.00550808 0.00538086 0.00002643 0.00003443 0.00533786 0.00000389 0.00536720 0.00537229 0.00000266 0.00003720 0.00530966 0.00003864 0.00524105 0.05765193 0.00536568 0.00485195 0.00483708 0.00511955 0.00533140 0.15237192 0.00538835 0.00000242 0.00000266 0.00537401 0.00000724 0.00485531 0.00498517
s_1669 0.00000266 0 0.00003343 0.00001625 0.00481066 0.00001594 0.00001545 0.00532794 0.00533135 0.00005815 0.00005330 0.00000024 0.07953694 0.00470108 0.00479697 0.00552493 0.00543051 0.00000582 0.00542076 0.00543034 0.00479871 0.00001599 0.00000096 0.00002795 0.07516159 0.15279578 0.00507720 0.00470021 0.00003319 0.00545568 0.00551366 0.00000461 0.00002899 0.00004411 0.00535351 0.00000024 0.00536791 0.00004783 0.00542821 0.00530721 0.00480686 0.00546207 0.00000461 0.00546444 0.00000192 0.00540706 0.00000460 0.00482898 0.00001569 0.00002723 0.00508898 0.00523457 0.00000949 0.00507560 0.00001675 0.00535517 0.00529589 0.00483016 0.00523576 0.00536939 0.08356534 0.00004096 0.00537317 0.00000437 0.00002994 0.00003566 0.00525685 0.00528829 0.00003212 0.00476776 0.00538759 0.00515422 0.00001248 1.00000000 0.00003149 0.00000291 0.00001357 0.00509628 0.07852687 0.00538151 0.00000145 0.00002391 0.00545064 0.00532642 0.00001623 0.00522293 0.00000437 0.00536803 0.00536155 0.00003808 0.07516182 0.00508614 0.00536375 0.00511814 0.00003161 0.00539393 0.00001622 0.00539729 0.00536749 0.00483082 0.00480021 0.00001603 0.00002333 0.00003443 0.00537124 0.00003777 0.00000437 0.00004481 0.00000436 0.00003849 0.00003368 0.00565820 0.00539856 0.00537578 0.00003050 0.00003490 0.00528514 0.00000414 0.00536170 0.00536511 0.00000000 0.00004075 0.00530347 0.00004219 0.00523780 0.05749777 0.00535971 0.00478749 0.00480114 0.00507186 0.00533110 0.15240995 0.00539664 0.00000048 0.00000000 0.00536856 0.00000824 0.00485745 0.00496210
F_28 0.00003272 0.00003343 0 0.00004516 0.00470482 0.00001953 0.00001984 0.00531123 0.00532140 0.00003264 0.00003763 0.00003300 0.07626596 0.00473669 0.00482726 0.00553559 0.00541020 0.00003339 0.00540630 0.00543451 0.00468709 0.00004528 0.00003420 0.00002175 0.07521733 0.15229398 0.00507073 0.00474335 0.00000258 0.00532542 0.00548584 0.00003445 0.00001815 0.00001582 0.00535602 0.00003373 0.00526996 0.00003211 0.00536329 0.00530512 0.00470225 0.00536128 0.00003471 0.00554343 0.00003317 0.00535560 0.00003052 0.00472280 0.00001748 0.00002011 0.00508649 0.00505267 0.00002804 0.00506921 0.00004542 0.00535682 0.00533245 0.00472084 0.00508432 0.00529708 0.08054192 0.00002643 0.00529648 0.00003397 0.00001836 0.00002522 0.00524116 0.00524108 0.00002075 0.00463600 0.00538626 0.00505352 0.00002130 0.00000000 0.00002124 0.00003253 0.00004218 0.00508851 0.07533236 0.00513212 0.00003295 0.00005039 0.00545207 0.00531721 0.00004536 0.00521440 0.00003472 0.00530130 0.00529660 0.00000705 0.07519301 0.00507782 0.00533125 0.00527470 0.00002000 0.00538483 0.00004535 0.00532568 0.00527239 0.00486071 0.00469343 0.00004538 0.00001824 0.00000164 0.00538198 0.00002133 0.00003537 0.00002006 0.00003440 0.00002250 0.00000258 0.00573363 0.00532432 0.00531665 0.00001711 0.00000352 0.00520652 0.00003439 0.00535666 0.00530059 0.00003409 0.00002400 0.00530039 0.00002569 0.00522488 0.05452305 0.00535669 0.00466762 0.00473448 0.00500124 0.00532088 0.15200075 0.00538611 0.00003391 0.00003341 0.00529694 0.00003198 0.00468254 0.00495949
s_1661 0.00001547 0.00001625 0.00004516 0 0.00482085 0.00002126 0.00002127 0.00533826 0.00534137 0.00006429 0.00005952 0.00001652 0.07954230 0.00471121 0.00483640 0.00553419 0.00541192 0.00001520 0.00543511 0.00545367 0.00480818 0.00000097 0.00001675 0.00003832 0.07525376 0.15279131 0.00510097 0.00468963 0.00004419 0.00552108 0.00551588 0.00001792 0.00004083 0.00005010 0.00537306 0.00001650 0.00538697 0.00005453 0.00545202 0.00532228 0.00481508 0.00545622 0.00001768 0.00546687 0.00001601 0.00540930 0.00001521 0.00483775 0.00002544 0.00003736 0.00511419 0.00520686 0.00001887 0.00509656 0.00000145 0.00537385 0.00528619 0.00483385 0.00520972 0.00538903 0.08351584 0.00004793 0.00538941 0.00001744 0.00004033 0.00004328 0.00523567 0.00525661 0.00004224 0.00477272 0.00540336 0.00521016 0.00002320 1.00000000 0.00003780 0.00001622 0.00000266 0.00512151 0.07846809 0.00538188 0.00001499 0.00003365 0.00547021 0.00532117 0.00000096 0.00522945 0.00001768 0.00538759 0.00538525 0.00004884 0.07525100 0.00510601 0.00538738 0.00513956 0.00004198 0.00540710 0.00000145 0.00540353 0.00538964 0.00484013 0.00481050 0.00000048 0.00003395 0.00004543 0.00539642 0.00004499 0.00001744 0.00005104 0.00001741 0.00004546 0.00004467 0.00563940 0.00552002 0.00539646 0.00003584 0.00004541 0.00537418 0.00001777 0.00538283 0.00538827 0.00001624 0.00004772 0.00532156 0.00004891 0.00525007 0.05757801 0.00538130 0.00481960 0.00485459 0.00512819 0.00534102 0.15237326 0.00540476 0.00001602 0.00001623 0.00538964 0.00001764 0.00487762 0.00499659
s_1633 0.00481331 0.00481066 0.00470482 0.00482085 0 0.00480990 0.00481261 0.00558984 0.00559066 0.00468562 0.00492608 0.00481301 0.07549977 0.00005709 0.00001515 0.00546920 0.00546059 0.00477986 0.00481803 0.00562398 0.00000179 0.00481526 0.00480979 0.00480778 0.07602077 0.15243031 0.00519865 0.00005953 0.00470486 0.00556539 0.00550649 0.00481110 0.00480827 0.00469565 0.00561605 0.00481159 0.00561014 0.00492012 0.00564240 0.00559345 0.00001009 0.00563735 0.00481126 0.00563450 0.00481187 0.00560959 0.00481049 0.00000298 0.00481458 0.00481334 0.00514852 0.00079440 0.00469122 0.00514118 0.00482118 0.00560796 0.00561550 0.00000547 0.00077822 0.00561244 0.08087678 0.00491363 0.00561232 0.00481103 0.00481134 0.00470051 0.00496976 0.00544439 0.00483794 0.00000448 0.00560994 0.00077853 0.00481485 1.00000000 0.00473573 0.00483865 0.00481578 0.00522225 0.07765816 0.00560871 0.00480954 0.00480617 0.00563959 0.00558985 0.00481739 0.00545462 0.00481139 0.00561639 0.00560834 0.00470856 0.07603617 0.00513900 0.00561859 0.00083739 0.00483731 0.00561797 0.00481980 0.00561430 0.00560889 0.00001440 0.00000250 0.00481920 0.00483638 0.00470827 0.00548871 0.00490163 0.00481090 0.00473988 0.00480973 0.00491087 0.00470319 0.00550820 0.00556552 0.00561264 0.00470316 0.00470764 0.00081415 0.00480595 0.00561620 0.00560723 0.00481137 0.00491827 0.00560654 0.00489577 0.00531883 0.05677819 0.00561195 0.00001115 0.00005344 0.00076581 0.00558849 0.14861180 0.00561631 0.00481038 0.00481280 0.00560919 0.00480171 0.00010026 0.00514803
F_47 0.00001025 0.00001594 0.00001953 0.00002126 0.00480990 0 0.00000146 0.00531402 0.00531897 0.00003849 0.00003712 0.00001520 0.07940410 0.00476320 0.00482506 0.00551607 0.00539534 0.00000974 0.00541585 0.00545627 0.00479760 0.00002415 0.00001523 0.00001362 0.07615390 0.15230009 0.00515487 0.00468856 0.00001836 0.00539546 0.00546359 0.00001420 0.00002223 0.00002579 0.00537553 0.00001671 0.00528335 0.00003059 0.00538281 0.00530097 0.00480402 0.00535578 0.00001469 0.00546317 0.00001396 0.00537620 0.00000801 0.00482707 0.00002148 0.00001409 0.00516225 0.00523292 0.00001755 0.00514170 0.00002200 0.00537567 0.00534323 0.00482849 0.00523947 0.00531026 0.08354072 0.00002522 0.00531106 0.00001396 0.00002191 0.00003325 0.00524806 0.00524762 0.00001946 0.00476525 0.00540529 0.00523676 0.00000923 0.00000000 0.00002788 0.00001323 0.00002297 0.00517752 0.07851458 0.00515218 0.00001271 0.00002953 0.00547218 0.00530253 0.00002272 0.00527071 0.00001396 0.00532143 0.00531541 0.00002394 0.07624528 0.00515660 0.00534824 0.00514562 0.00001869 0.00540407 0.00002242 0.00534453 0.00528674 0.00482902 0.00479836 0.00002347 0.00000969 0.00002107 0.00537783 0.00001945 0.00001564 0.00002607 0.00001221 0.00002035 0.00001976 0.00563984 0.00539431 0.00533694 0.00002658 0.00001951 0.00537137 0.00001427 0.00537617 0.00531916 0.00001640 0.00002307 0.00531889 0.00002546 0.00522266 0.05765248 0.00537723 0.00478260 0.00482952 0.00522821 0.00531599 0.15193225 0.00540843 0.00001914 0.00001594 0.00530985 0.00000900 0.00485981 0.00497886
F_17 0.00001001 0.00001545 0.00001984 0.00002127 0.00481261 0.00000146 0 0.00530812 0.00531660 0.00003984 0.00003763 0.00001496 0.07945268 0.00476492 0.00479764 0.00551886 0.00539420 0.00000999 0.00541664 0.00544934 0.00480063 0.00002415 0.00001449 0.00001363 0.07612782 0.15231824 0.00515203 0.00468967 0.00001714 0.00533421 0.00547047 0.00001395 0.00002298 0.00002562 0.00536970 0.00001671 0.00528418 0.00003084 0.00537706 0.00530187 0.00480678 0.00537571 0.00001444 0.00546431 0.00001371 0.00537004 0.00000874 0.00482899 0.00002125 0.00001338 0.00515838 0.00520487 0.00001755 0.00515175 0.00002249 0.00536984 0.00533668 0.00483045 0.00515535 0.00531066 0.08353719 0.00002498 0.00531039 0.00001396 0.00002143 0.00003375 0.00524864 0.00523906 0.00001925 0.00476797 0.00539968 0.00520655 0.00000875 0.00000000 0.00002880 0.00001299 0.00002321 0.00516941 0.07851008 0.00514588 0.00001271 0.00002928 0.00546635 0.00531204 0.00002296 0.00526972 0.00001396 0.00531503 0.00530965 0.00002297 0.07629014 0.00515760 0.00534491 0.00516700 0.00001850 0.00531505 0.00002291 0.00533872 0.00528568 0.00483124 0.00480148 0.00002396 0.00000948 0.00002059 0.00535884 0.00001993 0.00001564 0.00002608 0.00001221 0.00002159 0.00001910 0.00564477 0.00533307 0.00533048 0.00002684 0.00001902 0.00537194 0.00001427 0.00537068 0.00531305 0.00001615 0.00002286 0.00531320 0.00002522 0.00522525 0.05765149 0.00537073 0.00478468 0.00479673 0.00522621 0.00531693 0.15195271 0.00540156 0.00001890 0.00001618 0.00531021 0.00000900 0.00485973 0.00497328
F_12 0.00532864 0.00532794 0.00531123 0.00533826 0.00558984 0.00531402 0.00530812 0 0.00000000 0.00526308 0.00532051 0.00532632 0.08275026 0.00552159 0.00560274 0.00468640 0.00495049 0.00528286 0.00495205 0.00482241 0.00559117 0.00532830 0.00532527 0.00531816 0.07564202 0.15182984 0.00540623 0.00543982 0.00528314 0.00342754 0.00497792 0.00532818 0.00532053 0.00531025 0.00477438 0.00532786 0.00477458 0.00532185 0.00480344 0.00002702 0.00556633 0.00481031 0.00532711 0.00482734 0.00532776 0.00479367 0.00531147 0.00559501 0.00532232 0.00531583 0.00543764 0.00567374 0.00527067 0.00540555 0.00533180 0.00477637 0.00478866 0.00559499 0.00565938 0.00477504 0.08469077 0.00531810 0.00478910 0.00532837 0.00532323 0.00531382 0.00552603 0.00489937 0.00531913 0.00558678 0.00476304 0.00565976 0.00531452 0.00000000 0.00531831 0.00532917 0.00533588 0.00545670 0.08034468 0.00458112 0.00532657 0.00531995 0.00480496 0.00000026 0.00533684 0.00492192 0.00532832 0.00478474 0.00477815 0.00528363 0.07565178 0.00542018 0.00478171 0.00564216 0.00532007 0.00478435 0.00533784 0.00478199 0.00478815 0.00559909 0.00559075 0.00533125 0.00531240 0.00531355 0.00493988 0.00527057 0.00532038 0.00531720 0.00532890 0.00531143 0.00528233 0.00516532 0.00342774 0.00477227 0.00531470 0.00528372 0.00568069 0.00532697 0.00477595 0.00477652 0.00532010 0.00531375 0.00478371 0.00532561 0.00565807 0.05682252 0.00478633 0.00560182 0.00563453 0.00565843 0.00000052 0.15213186 0.00478521 0.00531903 0.00532722 0.00477434 0.00530548 0.00561472 0.00442548
F_53 0.00533167 0.00533135 0.00532140 0.00534137 0.00559066 0.00531897 0.00531660 0.00000000 0 0.00527436 0.00532863 0.00532943 0.08272598 0.00552260 0.00560211 0.00466750 0.00495532 0.00528528 0.00495888 0.00481938 0.00559242 0.00533187 0.00532901 0.00532508 0.07588155 0.15190129 0.00542398 0.00544788 0.00528379 0.00342539 0.00497552 0.00533151 0.00531701 0.00531727 0.00477269 0.00533114 0.00477606 0.00532185 0.00479911 0.00002517 0.00556911 0.00480896 0.00533054 0.00481983 0.00533006 0.00479499 0.00531526 0.00559534 0.00531724 0.00531945 0.00543371 0.00567013 0.00527576 0.00543132 0.00533637 0.00477236 0.00478724 0.00559688 0.00566384 0.00477145 0.08467435 0.00531934 0.00479018 0.00533208 0.00531533 0.00531516 0.00552199 0.00489219 0.00532707 0.00558620 0.00475975 0.00566229 0.00531961 0.00000000 0.00532306 0.00533263 0.00533913 0.00546129 0.08032334 0.00458017 0.00532741 0.00532322 0.00480044 0.00000026 0.00533989 0.00491427 0.00533161 0.00478372 0.00477678 0.00532018 0.07587409 0.00541645 0.00478121 0.00565150 0.00532290 0.00477798 0.00534089 0.00477732 0.00478985 0.00559856 0.00559056 0.00533534 0.00531565 0.00531385 0.00493986 0.00526945 0.00532376 0.00531901 0.00533219 0.00531281 0.00532031 0.00515279 0.00342559 0.00477075 0.00531083 0.00531817 0.00567711 0.00533054 0.00477162 0.00477772 0.00532345 0.00532302 0.00478256 0.00532569 0.00566893 0.05679163 0.00478007 0.00560510 0.00563476 0.00565947 0.00000052 0.15213192 0.00478092 0.00532229 0.00533023 0.00477182 0.00530822 0.00561759 0.00442518
F_35 0.00005341 0.00005815 0.00003264 0.00006429 0.00468562 0.00003849 0.00003984 0.00526308 0.00527436 0 0.00003506 0.00005740 0.07534378 0.00468540 0.00480602 0.00553229 0.00539198 0.00006408 0.00540353 0.00517902 0.00465482 0.00006568 0.00005718 0.00004083 0.07487489 0.15195063 0.00505979 0.00460501 0.00003322 0.00533339 0.00547498 0.00005696 0.00004773 0.00002012 0.00508888 0.00005934 0.00499548 0.00003610 0.00509006 0.00523620 0.00468375 0.00508630 0.00005724 0.00550585 0.00005650 0.00508911 0.00005444 0.00470126 0.00004657 0.00003930 0.00496931 0.00469803 0.00006217 0.00496599 0.00006643 0.00509113 0.00505795 0.00469718 0.00473925 0.00502399 0.07991682 0.00004201 0.00502166 0.00005619 0.00004729 0.00003282 0.00518694 0.00523421 0.00004687 0.00463228 0.00512104 0.00473899 0.00004215 0.00000000 0.00002094 0.00005712 0.00006342 0.00509071 0.07452729 0.00486928 0.00005424 0.00007608 0.00518308 0.00526935 0.00006689 0.00520233 0.00005672 0.00503383 0.00502896 0.00003782 0.07485314 0.00497069 0.00506697 0.00490948 0.00004597 0.00502886 0.00006759 0.00505701 0.00499747 0.00472628 0.00466690 0.00006424 0.00004250 0.00003325 0.00530946 0.00003285 0.00005711 0.00002049 0.00005420 0.00003063 0.00003242 0.00573354 0.00533289 0.00504841 0.00002190 0.00003466 0.00484864 0.00005623 0.00508976 0.00503223 0.00005747 0.00003612 0.00503348 0.00004020 0.00518919 0.05349635 0.00509067 0.00457913 0.00466040 0.00464786 0.00526212 0.15114291 0.00512073 0.00005893 0.00005813 0.00502398 0.00005324 0.00468919 0.00471451
