s_3203	s_3356	s_3347	s_3226	s_3193	s_3277	s_3249	s_3328	s_3287	s_3254	s_3200	s_3185	s_3250	s_3224	s_3326	s_3268	s_3218	s_3227	s_3274	s_3358	s_3165	s_3181	s_3188	s_3297	s_3196	s_3164	s_3283	s_3304	s_3357	s_3174	s_3264	s_3237	s_3322	s_3342	s_3353	s_3325	s_3292	s_3190	s_3257	s_3266	s_3213	s_3191	s_3306	s_3189	s_3209	s_3355	s_3334	s_3242	s_3265	s_3253	s_3217	s_3288	s_3205	s_3345	s_3341	s_3319	s_3282	s_3337	s_3259	s_3223	s_3235	s_3284	s_3330	s_3244	s_3163	s_3220	s_3261	s_3271	s_3228	s_3167	s_3169	s_3215	s_3285	s_3251	s_3202	s_3225	s_3343	s_3258	s_3312	s_3210	s_3294	s_3238	s_3263	s_3233	s_3305	s_3313	s_3310	s_3187	s_3204	s_3275	s_3317	s_3262	s_3186	s_3171	s_3162	s_3241	s_3276	s_3332	s_3173	s_3230	s_3286	s_3240	s_3324	s_3350	s_3260	s_3278	s_3302	s_3195	s_3168	s_3321	s_3194	s_3206	s_3293	s_3247	s_3307	s_3243	s_3178	s_3255	s_3269	s_3340	s_3212	s_3245	s_3252	s_3207	s_3344	s_3183	s_3201	s_3175	s_3208	s_3267	s_3161	s_3216	s_3234	s_3354	s_3291	s_3170	s_3346	s_3308	s_3229	s_3318	s_3295	s_3166	s_3239	s_3197	s_3333	s_3222	s_3311	s_3314	s_3248	s_3214	s_3289
s_3203 0 0.00441533 0.01067712 0.00474284 0.00927080 0.00446574 0.00437533 0.00438552 0.00773889 0.00469738 0.00831994 0.00795223 0.00470618 0.00496296 0.00443444 0.00447438 0.00731004 0.00845426 0.01092874 0.00458070 0.00442295 0.00791949 0.00828056 0.00447772 0.00739930 0.00445127 0.00510215 0.00978807 0.01108935 0.00443062 0.00441401 0.00448100 0.00793763 0.00441291 0.00446829 0.00461411 0.00948095 0.00778451 0.00999764 0.00443624 0.00515245 0.00773988 0.00757838 0.00851597 0.00482971 0.00463480 0.00780122 0.00794244 0.00517319 0.00765767 0.00766968 0.00772785 0.00016239 0.00747829 0.00444289 0.00554712 0.00606010 0.00936494 0.01042341 0.00817382 0.00774903 0.00446520 0.00453320 0.01234379 0.00450766 0.00891927 0.00444350 0.00441821 0.00719557 0.00446913 0.00444038 0.00767959 0.00769975 0.00512708 0.00733411 0.00445402 0.00542243 0.00458668 0.00779292 0.01005771 0.00472550 0.00849879 0.00444050 0.00495284 0.01004858 0.00766873 0.01085617 0.00921006 0.00025390 0.01058652 0.00445734 0.00443722 0.00773068 0.00445219 0.00442510 0.00720369 0.01085958 0.00449550 0.00809524 0.00724783 0.00771167 0.00724063 0.00725048 0.00443686 0.00445010 0.09573526 0.00806193 0.00887278 0.00444761 0.00442741 0.00888223 0.00554032 0.00476343 0.00444121 0.01060806 0.01106470 0.00452191 0.00464905 0.00452316 0.00446862 0.00473534 0.00447444 0.00464471 0.00461653 0.00443025 0.00800180 0.00777642 0.00778649 0.00442710 0.00446749 0.00469283 0.00756348 0.00778112 0.00444533 0.01004016 0.00443868 0.00062017 0.00026097 0.00731259 0.00974444 0.00479359 0.00445061 0.00721929 0.00738563 0.00767075 0.00791399 0.00031175 0.00951844 0.00443912 0.00452824 0.00761650
s_3356 0.00441533 0 0.01052496 0.00049971 0.00937161 0.00008454 0.00008488 0.00005056 0.00785215 0.00041972 0.00830635 0.00794548 0.00042970 0.00082224 0.00006382 0.00019966 0.00770690 0.00904816 0.01093903 0.00021262 0.00008787 0.00896663 0.00828469 0.00014103 0.00780383 0.00005312 0.00069888 0.00966130 0.01108005 0.00006136 0.00020201 0.00009621 0.00852940 0.00006803 0.00010463 0.00034365 0.00945720 0.00843961 0.01000271 0.00019946 0.00089870 0.00838579 0.00797952 0.00846920 0.00092855 0.00030112 0.00826479 0.00872444 0.00105886 0.00781235 0.00771779 0.00804043 0.00433439 0.00790156 0.00005986 0.00139239 0.00159527 0.00916454 0.01029240 0.00841222 0.00791088 0.00018199 0.00031122 0.01223166 0.00013380 0.00899418 0.00005772 0.00010670 0.00783960 0.00007656 0.00006043 0.00775477 0.00806715 0.00091203 0.00766189 0.00023753 0.00064131 0.00041392 0.00834603 0.01005183 0.00058604 0.00930385 0.00006700 0.00056109 0.01024273 0.00849109 0.01082619 0.00920136 0.00436194 0.01053957 0.00011135 0.00005537 0.00776204 0.00008250 0.00007866 0.00796348 0.01076388 0.00020569 0.00883455 0.00791255 0.00812011 0.00787101 0.00799250 0.00005181 0.00007932 0.05630722 0.00812090 0.00906623 0.00006883 0.00006405 0.00906309 0.00159990 0.00057073 0.00007814 0.01044625 0.01088710 0.00014364 0.00038310 0.00026653 0.00010377 0.00050571 0.00009985 0.00036886 0.00074821 0.00005960 0.00801954 0.00842706 0.00896397 0.00025765 0.00018897 0.00049027 0.00765013 0.00783621 0.00005201 0.01008481 0.00005938 0.00522674 0.00484913 0.00808141 0.00971105 0.00053731 0.00009391 0.00797664 0.00783168 0.00806002 0.00804838 0.00477537 0.00966591 0.00007077 0.00032563 0.00795819
s_3347 0.01067712 0.01052496 0 0.01055174 0.00872720 0.01058584 0.01019801 0.01026369 0.01037283 0.00999528 0.00785435 0.00343287 0.01015439 0.01070908 0.01029754 0.00979753 0.01044199 0.00790923 0.01368107 0.01066476 0.01025215 0.01009116 0.00792153 0.01017525 0.01078886 0.01034813 0.01095351 0.00913601 0.01379339 0.01022782 0.00984992 0.01042330 0.01030480 0.00995635 0.01052933 0.00968637 0.00894168 0.01030225 0.01275916 0.00979294 0.01095420 0.01029719 0.01081229 0.00802308 0.01080689 0.01065869 0.01034475 0.00732621 0.01078940 0.00311723 0.00343892 0.01056789 0.01057340 0.01075830 0.01029923 0.01227526 0.01252269 0.00855546 0.00977083 0.00379272 0.00359192 0.01007351 0.01019613 0.01508943 0.01037017 0.00786092 0.01029426 0.01005621 0.00643719 0.01038010 0.01023139 0.00351830 0.01059150 0.01078652 0.01067267 0.01011654 0.01144041 0.00989715 0.01022717 0.00280547 0.01075788 0.00750749 0.01035737 0.01083158 0.00936789 0.01098351 0.00267959 0.00879419 0.01060496 0.01324274 0.01039681 0.01029193 0.00315583 0.01023077 0.01037544 0.00639936 0.01348511 0.01018327 0.01007167 0.00638733 0.01068216 0.00639969 0.00637650 0.01051076 0.01053251 0.05461820 0.00352505 0.00835697 0.01032300 0.01005398 0.00834188 0.01180955 0.01049081 0.00998970 0.00996814 0.01377139 0.01058148 0.01017845 0.01018311 0.01024601 0.01044133 0.01045355 0.00989607 0.01081373 0.01016045 0.00351249 0.01030820 0.01004663 0.01039537 0.01006467 0.01061546 0.00346345 0.00355946 0.01056030 0.00938572 0.01039201 0.01118900 0.01076864 0.00659999 0.00921949 0.01096704 0.01029381 0.00640689 0.01071274 0.01055708 0.00346012 0.01082781 0.00875710 0.01033883 0.01006000 0.01039888
s_3226 0.00474284 0.00049971 0.01055174 0 0.00960363 0.00051622 0.00058271 0.00049316 0.00823498 0.00074599 0.00847307 0.00814290 0.00072997 0.00099670 0.00055739 0.00058976 0.00800150 0.00909840 0.01119554 0.00070651 0.00058937 0.00919038 0.00845515 0.00051031 0.00806226 0.00054783 0.00118206 0.00980333 0.01134966 0.00052426 0.00058106 0.00061572 0.00875546 0.00056000 0.00059617 0.00064857 0.00947600 0.00861884 0.01024176 0.00057469 0.00128516 0.00860618 0.00820584 0.00868459 0.00121614 0.00080114 0.00837166 0.00884513 0.00129656 0.00786999 0.00780744 0.00821047 0.00462576 0.00810527 0.00053653 0.00167017 0.00201602 0.00961917 0.01027234 0.00865660 0.00787786 0.00055493 0.00060724 0.01242845 0.00065763 0.00927020 0.00054590 0.00048908 0.00797546 0.00057320 0.00054369 0.00785440 0.00822894 0.00121594 0.00796966 0.00043204 0.00114312 0.00082714 0.00859302 0.01034043 0.00088336 0.00936425 0.00051234 0.00109688 0.01025668 0.00864551 0.01078237 0.00942367 0.00471814 0.01084003 0.00058219 0.00050477 0.00788441 0.00055286 0.00058322 0.00795853 0.01110871 0.00057290 0.00905641 0.00798879 0.00822989 0.00796312 0.00800893 0.00052781 0.00052356 0.05069833 0.00810935 0.00921857 0.00057157 0.00054329 0.00916494 0.00198516 0.00087128 0.00055288 0.01058389 0.01119710 0.00066490 0.00067456 0.00069210 0.00059371 0.00082383 0.00060680 0.00067540 0.00108758 0.00051808 0.00829605 0.00865077 0.00909267 0.00054243 0.00055770 0.00106402 0.00781121 0.00788339 0.00054135 0.01015434 0.00055871 0.00554892 0.00515004 0.00818849 0.00991641 0.00088498 0.00060436 0.00804097 0.00804067 0.00821034 0.00819408 0.00513421 0.00972308 0.00057247 0.00063252 0.00815280
s_3193 0.00927080 0.00937161 0.00872720 0.00960363 0 0.00947016 0.00942206 0.00940025 0.00924453 0.00912018 0.00087961 0.00683827 0.00917841 0.00978703 0.00939014 0.00928828 0.00861815 0.01078056 0.01025458 0.00953904 0.00921883 0.00817850 0.00083452 0.00968172 0.00919873 0.00921692 0.00997239 0.00124640 0.01019301 0.00922925 0.00916887 0.00936471 0.00816593 0.00938748 0.00944262 0.00901753 0.00102664 0.00799659 0.01087264 0.00926879 0.00963302 0.00794382 0.00928266 0.00089068 0.00982828 0.00951991 0.00805086 0.01036509 0.01010851 0.00620843 0.00621458 0.00934985 0.00921348 0.00918444 0.00939374 0.01082970 0.01152906 0.00102832 0.00217776 0.00689938 0.00626597 0.00955586 0.00925655 0.01133486 0.00935528 0.00872663 0.00940108 0.00927964 0.00956559 0.00924881 0.00916191 0.00623459 0.00928273 0.00958140 0.00912987 0.00929444 0.01015223 0.00981467 0.00806152 0.00885573 0.00964934 0.01083203 0.00936365 0.00983341 0.00133134 0.00916213 0.00927076 0.00149977 0.00928936 0.01017745 0.00940802 0.00939239 0.00645729 0.00920981 0.00929709 0.00953317 0.01019253 0.00965657 0.00834779 0.00954567 0.00927904 0.00956649 0.00956742 0.00941315 0.00943718 0.05978383 0.00681434 0.00095951 0.00928671 0.00937534 0.00098474 0.01031992 0.00966902 0.00939487 0.00205099 0.01022580 0.00936903 0.00916051 0.00945148 0.00938766 0.00927730 0.00939708 0.00910810 0.00968610 0.00935259 0.00691021 0.00805998 0.00806089 0.00944670 0.00932912 0.00957155 0.00623867 0.00627614 0.00935515 0.00119079 0.00920273 0.00987752 0.00955723 0.00974312 0.00115459 0.00994284 0.00932269 0.00952679 0.00911584 0.00932216 0.00655835 0.00962569 0.00102284 0.00936285 0.00897625 0.00931783
s_3277 0.00446574 0.00008454 0.01058584 0.00051622 0.00947016 0 0.00011385 0.00008552 0.00797698 0.00046367 0.00840110 0.00803163 0.00050820 0.00079926 0.00009394 0.00016144 0.00773582 0.00919069 0.01097402 0.00025467 0.00011878 0.00886848 0.00836627 0.00012307 0.00772892 0.00010949 0.00072222 0.00981365 0.01112360 0.00010196 0.00017526 0.00012034 0.00848464 0.00010332 0.00015319 0.00040131 0.00951754 0.00829372 0.01002194 0.00017906 0.00104805 0.00827580 0.00792714 0.00857515 0.00093566 0.00032598 0.00811068 0.00879530 0.00105855 0.00785621 0.00771253 0.00795336 0.00437398 0.00786572 0.00009718 0.00143427 0.00168281 0.00959277 0.01032700 0.00847773 0.00793144 0.00014158 0.00030081 0.01225086 0.00018061 0.00902301 0.00008965 0.00009371 0.00788680 0.00011649 0.00010294 0.00775223 0.00795937 0.00096405 0.00768099 0.00027195 0.00081964 0.00041927 0.00831152 0.01010600 0.00058063 0.00938974 0.00009991 0.00060880 0.01035407 0.00859396 0.01088059 0.00929574 0.00441818 0.01056451 0.00013059 0.00008407 0.00781270 0.00010906 0.00010493 0.00804001 0.01080024 0.00017620 0.00891259 0.00799990 0.00796488 0.00795977 0.00807569 0.00009233 0.00009414 0.06573627 0.00815638 0.00915962 0.00010522 0.00010168 0.00911717 0.00163231 0.00058669 0.00011720 0.01063848 0.01085512 0.00017875 0.00046288 0.00026151 0.00013422 0.00061171 0.00014323 0.00044009 0.00079918 0.00009266 0.00811660 0.00828456 0.00881192 0.00027089 0.00019235 0.00053891 0.00770826 0.00790656 0.00008824 0.01020816 0.00009572 0.00527590 0.00494435 0.00821021 0.00987541 0.00051528 0.00013718 0.00804296 0.00774971 0.00793798 0.00807109 0.00486566 0.00983709 0.00011886 0.00037682 0.00789540
s_3249 0.00437533 0.00008488 0.01019801 0.00058271 0.00942206 0.00011385 0 0.00006897 0.00790530 0.00044772 0.00830569 0.00792782 0.00047989 0.00087769 0.00007708 0.00023184 0.00766629 0.00901484 0.01078235 0.00024265 0.00011987 0.00890705 0.00824992 0.00017272 0.00775462 0.00008187 0.00074495 0.00951094 0.01095007 0.00007695 0.00024524 0.00012137 0.00836066 0.00009546 0.00014317 0.00036695 0.00923390 0.00831967 0.00984779 0.00022316 0.00099919 0.00829801 0.00783662 0.00845573 0.00097228 0.00034622 0.00803201 0.00868574 0.00110912 0.00766964 0.00766985 0.00787201 0.00429923 0.00774924 0.00008894 0.00141536 0.00165222 0.00934450 0.01020458 0.00842445 0.00785913 0.00021219 0.00034844 0.01224183 0.00017789 0.00891694 0.00007896 0.00012544 0.00776027 0.00011297 0.00008474 0.00762233 0.00789781 0.00095457 0.00771575 0.00027073 0.00066836 0.00045896 0.00818405 0.01012611 0.00062960 0.00937158 0.00008647 0.00060016 0.01010938 0.00831799 0.01055366 0.00921661 0.00436546 0.01041488 0.00014805 0.00008396 0.00775398 0.00012067 0.00010030 0.00788935 0.01070654 0.00024118 0.00885730 0.00789532 0.00787492 0.00777406 0.00777880 0.00008114 0.00010262 0.05322802 0.00797338 0.00901259 0.00009825 0.00008762 0.00906431 0.00164332 0.00062642 0.00010370 0.01030516 0.01082297 0.00019132 0.00040556 0.00029448 0.00014085 0.00053616 0.00012593 0.00039307 0.00081307 0.00008487 0.00801328 0.00832447 0.00877530 0.00028520 0.00021741 0.00056129 0.00761003 0.00780850 0.00008126 0.01007691 0.00008627 0.00514888 0.00477838 0.00797118 0.00957345 0.00055666 0.00012313 0.00787653 0.00776547 0.00786995 0.00801193 0.00476637 0.00953737 0.00009260 0.00033900 0.00782135
s_3328 0.00438552 0.00005056 0.01026369 0.00049316 0.00940025 0.00008552 0.00006897 0 0.00785925 0.00041028 0.00835909 0.00797397 0.00043256 0.00080207 0.00006568 0.00020646 0.00771998 0.00909454 0.01095991 0.00020681 0.00009222 0.00886820 0.00830955 0.00014546 0.00773909 0.00005499 0.00067254 0.00969587 0.01098300 0.00005856 0.00020233 0.00008426 0.00846397 0.00007280 0.00011273 0.00035010 0.00948681 0.00834110 0.01001313 0.00019636 0.00088569 0.00830078 0.00801408 0.00851180 0.00092394 0.00029929 0.00794140 0.00872159 0.00106218 0.00786255 0.00771248 0.00805391 0.00428469 0.00781302 0.00007104 0.00138167 0.00158411 0.00939055 0.01019004 0.00841625 0.00791779 0.00017732 0.00030415 0.01218321 0.00013632 0.00903095 0.00006084 0.00010732 0.00785592 0.00008095 0.00005732 0.00776212 0.00808919 0.00090132 0.00777152 0.00023476 0.00061773 0.00039212 0.00826089 0.01000880 0.00058570 0.00931172 0.00006824 0.00055189 0.01028660 0.00850775 0.01086027 0.00922591 0.00430635 0.01055067 0.00010693 0.00005786 0.00779328 0.00007258 0.00006863 0.00797365 0.01079696 0.00021475 0.00867530 0.00795167 0.00812520 0.00790488 0.00800298 0.00005832 0.00007771 0.05622302 0.00816981 0.00909661 0.00006195 0.00006862 0.00902503 0.00156077 0.00057108 0.00007153 0.01050920 0.01082989 0.00013732 0.00038117 0.00026968 0.00010182 0.00049892 0.00009922 0.00036165 0.00074239 0.00006102 0.00807588 0.00831363 0.00884382 0.00025312 0.00019689 0.00049485 0.00770031 0.00787751 0.00005716 0.01010271 0.00006001 0.00518501 0.00479609 0.00815454 0.00971283 0.00052872 0.00009580 0.00799812 0.00784298 0.00792878 0.00804455 0.00474268 0.00968498 0.00007202 0.00032500 0.00798102
s_3287 0.00773889 0.00785215 0.01037283 0.00823498 0.00924453 0.00797698 0.00790530 0.00785925 0 0.00773247 0.00833062 0.00811729 0.00783125 0.00834106 0.00786980 0.00782237 0.00764376 0.00893549 0.01090016 0.00797210 0.00782224 0.00822072 0.00835109 0.00785299 0.00759671 0.00796268 0.00835920 0.00940121 0.01067719 0.00785756 0.00797684 0.00800516 0.00754957 0.00787077 0.00790542 0.00766274 0.00910555 0.00771140 0.01000203 0.00786390 0.00846593 0.00768818 0.00740699 0.00855386 0.00820888 0.00801187 0.00740869 0.00832565 0.00876654 0.00776968 0.00783661 0.00009162 0.00761176 0.00733003 0.00787461 0.00940197 0.00979797 0.00921421 0.01046761 0.00839390 0.00789414 0.00805840 0.00801500 0.01261838 0.00793712 0.00892677 0.00797623 0.00787913 0.00756746 0.00797988 0.00786072 0.00784777 0.00008475 0.00827557 0.00751150 0.00783929 0.00828944 0.00786480 0.00740488 0.01016497 0.00828686 0.00900183 0.00797592 0.00847925 0.00970294 0.00817724 0.01046673 0.00920091 0.00770203 0.01059237 0.00788893 0.00797403 0.00786546 0.00792667 0.00797343 0.00762012 0.01080030 0.00794095 0.00821293 0.00760577 0.00008174 0.00761658 0.00736582 0.00786542 0.00795043 0.05777412 0.00797325 0.00885868 0.00798390 0.00786941 0.00884632 0.00908709 0.00822611 0.00768323 0.01018540 0.01130973 0.00812867 0.00782686 0.00808802 0.00791007 0.00792343 0.00805212 0.00767132 0.00811056 0.00782996 0.00818669 0.00771468 0.00815179 0.00798194 0.00799318 0.00819216 0.00775552 0.00790731 0.00787169 0.00972701 0.00797145 0.00808724 0.00780748 0.00787453 0.00943979 0.00857590 0.00802422 0.00768224 0.00758545 0.00007661 0.00799361 0.00778128 0.00919814 0.00796599 0.00763848 0.00008970
s_3254 0.00469738 0.00041972 0.00999528 0.00074599 0.00912018 0.00046367 0.00044772 0.00041028 0.00773247 0 0.00829203 0.00785974 0.00030669 0.00098671 0.00041815 0.00054223 0.00778883 0.00903079 0.01100213 0.00058830 0.00047592 0.00879439 0.00823972 0.00049677 0.00776384 0.00039876 0.00110960 0.00939985 0.01113459 0.00041887 0.00052446 0.00048554 0.00826552 0.00043107 0.00047763 0.00017713 0.00910140 0.00817789 0.01003800 0.00052922 0.00080254 0.00811272 0.00798730 0.00845954 0.00100223 0.00068545 0.00788128 0.00864210 0.00124433 0.00760744 0.00782230 0.00771666 0.00458672 0.00792023 0.00042195 0.00124730 0.00203436 0.00908563 0.01019974 0.00830382 0.00802160 0.00053568 0.00054645 0.01249970 0.00052121 0.00901550 0.00042083 0.00047316 0.00775899 0.00048199 0.00043357 0.00787781 0.00769715 0.00076386 0.00783082 0.00054106 0.00105997 0.00076560 0.00813309 0.00998636 0.00089319 0.00919002 0.00043435 0.00099054 0.00969449 0.00846026 0.01036726 0.00921740 0.00466816 0.01060729 0.00047890 0.00041664 0.00763495 0.00045700 0.00045257 0.00784110 0.01088027 0.00056030 0.00885523 0.00785825 0.00769764 0.00775125 0.00764919 0.00041629 0.00045342 0.05264505 0.00778846 0.00876930 0.00045052 0.00043068 0.00870355 0.00181950 0.00088183 0.00045186 0.01019001 0.01110182 0.00052508 0.00022434 0.00060325 0.00046215 0.00031195 0.00047464 0.00023325 0.00094599 0.00043010 0.00801549 0.00817051 0.00868794 0.00045869 0.00053536 0.00090993 0.00782430 0.00802775 0.00038749 0.00985959 0.00043054 0.00550321 0.00513073 0.00806041 0.00935268 0.00084894 0.00047990 0.00790489 0.00788071 0.00768445 0.00788180 0.00509020 0.00915814 0.00045362 0.00016062 0.00764269
