s_3485	s_3545	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3514	s_3509	s_3484	s_3458	s_3507	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3542	s_3489	s_3557	s_3473	s_3457	s_3517	s_3478	s_3493	s_3515	s_3453
s_3485 0 0.10000000 0.00229800 0.00062447 0.00067776 0.00032978 0.00068471 0.00071005 0.00067621 0.00096999 0.00090076 0.00061847 0.00070269 0.00004228 0.00092113 0.00058783 0.00004032 0.00074548 0.00067621 0.00075339 0.00092860 0.00004271 0.00062077 0.00091955 0.00090888 0.10000000 0.10000000 0.00099617 0.00029527 0.10000000 0.00046811 0.00094102 0.00097743 0.00100954 0.00030213 0.00099722 0.00095236 0.00092377 0.00070351 0.00030189 0.00061765 0.00007337 0.00026675
s_3545 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007427 0.00007424 0.10000000 0.10000000 0.00007621 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_3559 0.00229800 0.10000000 0 0.00228006 0.00211339 0.00234262 0.00231011 0.00217901 0.00220439 0.00186633 0.00242377 0.00226383 0.00220674 0.00234153 0.00244005 0.00211492 0.00231103 0.00226241 0.00221036 0.00219426 0.00178003 0.00227057 0.00203750 0.00237341 0.00241221 0.10000000 0.10000000 0.00194018 0.00219757 0.10000000 0.00220004 0.00178926 0.00192544 0.00197337 0.00246076 0.00198252 0.00183491 0.00175638 0.00215506 0.00234411 0.00217397 0.00226787 0.00229639
s_3518 0.00062447 0.10000000 0.00228006 0 0.00066098 0.00067443 0.00067295 0.00064209 0.00011734 0.00062273 0.00088603 0.00004185 0.00065032 0.00064042 0.00089654 0.00004445 0.00063357 0.00071733 0.00009684 0.00050521 0.00054542 0.00062988 0.00013283 0.00090339 0.00088935 0.10000000 0.10000000 0.00059546 0.00055714 0.10000000 0.00070734 0.00055915 0.00059357 0.00059549 0.00065829 0.00058448 0.00057193 0.00056459 0.00016571 0.00065224 0.00008853 0.00063982 0.00065030
s_3468 0.00067776 0.10000000 0.00211339 0.00066098 0 0.00079966 0.00008465 0.00010174 0.00070105 0.00104200 0.00038239 0.00065750 0.00009394 0.00068037 0.00039925 0.00067069 0.00067677 0.00012058 0.00067937 0.00057999 0.00102081 0.00068707 0.00069313 0.00039943 0.00037357 0.10000000 0.10000000 0.00104539 0.00073254 0.10000000 0.00092025 0.00103514 0.00103875 0.00103796 0.00076954 0.00102607 0.00106218 0.00102205 0.00072553 0.00079228 0.00070085 0.00067955 0.00075714
s_3524 0.00032978 0.10000000 0.00234262 0.00067443 0.00079966 0 0.00076878 0.00079706 0.00067405 0.00100918 0.00095313 0.00064331 0.00078338 0.00031290 0.00097500 0.00063878 0.00031658 0.00081862 0.00070630 0.00071039 0.00094576 0.00031038 0.00067449 0.00098295 0.00095516 0.10000000 0.10000000 0.00101827 0.00015267 0.10000000 0.00033914 0.00097124 0.00101770 0.00101789 0.00007600 0.00097774 0.00098806 0.00095892 0.00072704 0.00009377 0.00066689 0.00033690 0.00008474
s_3538 0.00068471 0.10000000 0.00231011 0.00067295 0.00008465 0.00076878 0 0.00003958 0.00069386 0.00103724 0.00037393 0.00065581 0.00004412 0.00069009 0.00038866 0.00062401 0.00067840 0.00008628 0.00068332 0.00053201 0.00095014 0.00066817 0.00064441 0.00037253 0.00036501 0.10000000 0.10000000 0.00102894 0.00071008 0.10000000 0.00086603 0.00096499 0.00103500 0.00104181 0.00078033 0.00103950 0.00098517 0.00095283 0.00070979 0.00075166 0.00067417 0.00066756 0.00073546
s_3469 0.00071005 0.10000000 0.00217901 0.00064209 0.00010174 0.00079706 0.00003958 0 0.00069745 0.00105176 0.00036378 0.00062987 0.00010264 0.00068195 0.00038030 0.00065715 0.00068294 0.00009677 0.00068115 0.00055446 0.00101362 0.00068681 0.00068841 0.00038344 0.00035021 0.10000000 0.10000000 0.00104617 0.00079293 0.10000000 0.00087873 0.00104624 0.00104187 0.00105080 0.00075811 0.00102461 0.00106748 0.00102329 0.00071342 0.00077715 0.00070696 0.00066329 0.00074351
s_3494 0.00067621 0.10000000 0.00220439 0.00011734 0.00070105 0.00067405 0.00069386 0.00069745 0 0.00065778 0.00089098 0.00010623 0.00069888 0.00068092 0.00091584 0.00011019 0.00066976 0.00072958 0.00017022 0.00055609 0.00059487 0.00066325 0.00017493 0.00090733 0.00089741 0.10000000 0.10000000 0.00064209 0.00057523 0.10000000 0.00070056 0.00060001 0.00064484 0.00063616 0.00068029 0.00063819 0.00062690 0.00060975 0.00022254 0.00066191 0.00014010 0.00066605 0.00064640
s_3526 0.00096999 0.10000000 0.00186633 0.00062273 0.00104200 0.00100918 0.00103724 0.00105176 0.00065778 0 0.00123608 0.00062004 0.00106403 0.00099570 0.00126645 0.00060312 0.00098160 0.00110036 0.00065174 0.00104555 0.00012329 0.00098134 0.00063898 0.00127060 0.00123039 0.10000000 0.10000000 0.00012581 0.00087419 0.10000000 0.00098564 0.00011092 0.00011510 0.00010494 0.00098725 0.00011090 0.00012925 0.00013895 0.00067944 0.00097901 0.00064155 0.00098042 0.00099125
