Nanopore_ID	Plasmid_ID	Contig_ID	Sequence_size	Number_of_AR_genes	AR_gene_list	Best_blast_hit	Fraction_aligned	Percent_identity	novel	clusters
1	N100_BC08	p_3	tig00000003	10472	0	NA	Acinetobacter pittii strain WCHAP005069 plasmid pOXA58 005069, complete sequence	0.552	92.345	yes	249
2	N111_BC11	p_6	tig00000048	20597	2	GES;Aph3-Ib;	Serratia marcescens strain AR 0027 plasmid unitig 1 pilon, complete sequence	0.625	90.161	yes	201
3	N161_BC11	p_8	tig00000045	165066	0	NA	Klebsiella variicola strain LMG 23571 plasmid, complete sequence	0.472	93.593	yes	304
4	N130_BC07	p_10	tig00000062	10067	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.913	92.1	yes	1
5	N130_BC07	p_12	tig00000056	9033	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.729	93.117	yes	8
6	N130_BC07	p_13	tig00000043	4794	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.648	83.967	yes	37
7	N130_BC07	p_16	tig00000279	3872	0	NA	Bacillus thuringiensis strain 4Q2 plasmid pTX14-2, complete sequence	0.502	91.453	yes	39
8	N130_BC07	p_18	tig00000203	7408	0	NA	Listonella anguillarum strain 13YK-003 plasmid pJV, complete sequence	0.273	87.215	yes	146
9	N130_BC07	p_19	tig00000136	10705	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.146	84.76	yes	88
10	N130_BC07	p_20	tig00000044	17106	0	NA	Listonella anguillarum strain 13YK-003 plasmid pJV, complete sequence	0.097	88.965	yes	180
11	N192_BC03	p_24	tig00000089	76449	0	NA	Bacillus cereus strain K8 plasmid pBCK802, complete sequence	0.442	92.238	yes	175
12	N122_BC10	p_27	tig00000009	183664	0	NA	Bacillus thuringiensis strain SCG04-02 plasmid PSCG364, complete sequence	0.729	92.615	yes	123
13	N122_BC10	p_28	tig00000008	4813	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.629	87.624	yes	37
14	N122_BC10	p_31	tig00000014	93041	0	NA	Bacillus thuringiensis HD1002 plasmid 2, complete sequence	0.092	76.977	yes	89
15	N189_BC06	p_32	tig00000059	1269	0	NA	Staphylococcus aureus plasmid pSN2 Includes an unknown gene	1.007	83.354	yes	257
16	N117_BC10	p_44	tig00000033	4269	0	NA	Uncultured prokaryote from Rat gut metagenome metamobilome, plasmid pRGRH0231	1.021	97.468	yes	375
17	N117_BC10	p_48	tig00000079	2055	0	NA	Staphylococcus epidermidis plasmid SAP108D, complete sequence	0.778	85.48	yes	403
18	N117_BC10	p_50	tig00000043	4269	0	NA	Acinetobacter lwoffii strain ZS207 plasmid pmZS sequence	0.713	89.465	yes	378
19	N117_BC10	p_51	tig00000239	14490	0	NA	Acinetobacter lwoffii strain ZS207 plasmid pmZS sequence	0.48	90.203	yes	382
20	N117_BC10	p_52	tig00000167	12973	0	NA	Acinetobacter baumannii strain CU2 plasmid pMMCU2, complete sequence	0.449	91.92	yes	419
21	N117_BC10	p_53	tig00000068	7150	0	NA	Acinetobacter sp. M131 plasmid pM131-6, complete sequence	0.301	74.67	yes	386
22	N217_BC09	p_75	tig00000102	67348	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p55166, complete sequence	0.659	93.876	yes	72
23	N217_BC09	p_76	tig00000092	51223	0	NA	Bacillus weihenstephanensis KBAB4 plasmid pBWB404, complete genome	0.375	85.946	yes	65
24	N217_BC09	p_77	tig00000082	97080	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	0.357	92.515	yes	62
25	N217_BC09	p_78	tig00000099	2003	0	NA	Bacillus thuringiensis Bt407 plasmid BTB 6p, complete sequence	0.35	83.535	yes	410
26	N217_BC09	p_80	tig00000106	4033	0	NA	Bacillus thuringiensis YBT-1518 plasmid pBMB0228, complete sequence	0.276	84.692	yes	23
27	N217_BC09	p_81	tig00000089	5762	0	NA	Bacillus cereus 03BB108 plasmid pBFI 3, complete sequence	0.258	72.01	yes	74
28	N141_BC01	p_97	tig00000110	164731	0	NA	Bacillus sp. FDAARGOS 235 plasmid 1, complete sequence	0.518	87.995	yes	145
29	N157_BC11	p_98	tig00000027	2025	0	NA	Enterococcus faecium isolate 2014-VREF-268 plasmid p268-2 sequence	1.014	96.307	yes	24
30	N140_BC03	p_100	tig00000011	136788	0	NA	Aeromonas salmonicida subsp. salmonicida strain JF2267 plasmid pAsa4c, complete sequence	0.686	89.262	yes	2
31	N140_BC03	p_102	tig00000012	96628	0	NA	Acinetobacter sp. ACNIH2 plasmid pACI-3569, complete sequence	0.417	92.096	yes	6
